"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,82.8,99.7,70.3,81.7,127,83.5,111.8,115.7,60.9,129.1,36.4,95,114.6,104.3,72.7,101.3,100.1,104.2,115.4,95.1
2016,82.5,96.3,100.2,73.4,108.4,71.7,96.3,85,78.4,48.5,41.3,104.7,109.5,67.9,106.8,97.3,119.3,86.2,81.9,87.1
2017,76.4,127.3,141.7,62.9,127.4,88.9,81.9,95.2,72.7,116.9,75.8,91.5,112.9,78.8,111.2,89.9,92.3,104.1,74.3,95.9
2018,77.4,91.2,62.9,70,103.1,123.2,97.7,85.8,56.7,87.3,39.1,102.8,61.3,77.6,84,110.2,148.4,99.7,77.5,87.2
2019,89.2,97.2,165.4,86.2,106.6,130.9,121.5,85.2,53.6,81.6,80.5,110.8,142.5,73.5,103.2,111.7,104.4,114.5,91.1,102.6
2020,84.5,165.8,45.7,82.3,124.4,112.8,81.8,104.9,69.9,145.6,105.3,119.2,59.5,73.2,86.6,86.1,99.6,137.4,91.3,98.7
2021,80.9,74.7,115.4,73.8,122.4,128.1,87.2,86.8,59.6,66.6,89.4,88.2,90.6,70,91.9,88.2,148.1,119,84.8,92.9
2022,88.5,116,120.8,64.5,104,103.4,102.3,89.3,60.3,77.3,49.8,83.8,131.5,73.7,92.6,81.5,132.2,95.6,79.5,91.9
2023,96.7,104.4,127.5,72.4,109.5,112.2,97.2,74.8,49,103.8,80.9,97.8,146.3,84.3,109,91.2,83.4,116.7,86.3,97
2024,71.2,129.3,147.8,54.5,99.2,108.1,100.1,100.7,60.3,91.2,65,64.4,98.2,90.2,85.6,98.6,117.2,144.2,70.9,94.6
2025,89.8,80,129.2,66.6,98.7,121.2,97.4,88.3,49.2,78.2,58.4,101.8,101.3,91.2,108.4,95.3,111.5,152.8,67.9,94.1
2026,73.9,112.7,95,75.7,107.1,116.9,100.3,116,71.8,151.6,105.5,83.2,114.5,75.5,98.2,94.9,142.8,122.1,73,101.6
2027,76.2,122.2,98.7,70.6,97.9,100.5,122.8,111.7,66,20.6,32.8,78.3,65.4,101.1,81.3,76.6,146.1,112.7,79.5,87.4
2028,78.8,107,137.1,75.9,118.3,121.7,110,92.5,41.4,108.9,102.6,88.9,144.3,70.5,87,94.2,157,87.3,70.9,99.7
2029,82.2,74.5,77.6,87.8,126.7,124.2,93.2,111.7,56.4,116.6,57.9,96.8,140,100.9,116.6,104.9,83.2,91.1,86,96.2
2030,86.5,80.2,137.1,70.3,115.2,87.8,117.1,101.6,61.4,112.8,110.3,86.4,72.3,118.1,64.4,96.8,76.7,106.2,138.9,96.8
2031,95.2,80,55.8,66.6,99.4,123.4,112.1,113.2,68.1,104.2,42.3,95,86.9,121.2,124.5,94,95.4,98.2,81.6,92.5
2032,73,18.6,72.9,79.8,116.6,115.5,114.6,98.1,52,114.1,70.5,104.9,56.4,79.8,80.7,98.5,133.9,99.4,93.7,88.1
2033,84.6,129,52.3,57.9,112.5,146.2,118.4,92.6,30.4,132.2,66.7,78.9,164.2,90.7,111,90.9,73.1,120,110.7,98
2034,86.7,72.1,68.7,69.9,115.2,95.5,120.4,103.7,59.8,41,72.5,92,94.7,102,88.4,102.3,153.3,81.6,79.4,89.4
2035,84.2,150.1,110.5,71.7,92.2,120,95.5,82,77.7,61.2,78.5,114.5,120.8,83.6,105.2,70.9,115.6,97.8,96.1,96.2
2036,98.5,79,129.1,69.1,113.9,82.1,91.4,129.6,31.6,41.5,54.8,93.5,45.6,100.5,134.4,94.4,112.9,96.4,72.8,88
2037,83.7,129.8,132.8,77,109.7,86.7,101.3,112.7,60.9,89.9,48,89.8,151.6,73.4,109.2,90.1,99.2,91.8,96,96.5
2038,79.3,83.1,76.8,76.4,128.1,90.5,100.1,98.2,56.2,142.1,41.3,88.2,126.2,77,98.4,82.3,107.7,91.7,136.8,93.7
2039,94.2,29.9,115.8,77.2,138.4,138.9,88.8,98.7,61.8,77.5,39.4,114.2,132.5,94.1,106,106.6,87.7,93.4,87.7,93.8
2040,74.2,65.8,76,81.8,96.2,118.9,112.3,94.5,58.4,87.9,101.2,70.3,117.7,84.1,99.6,92.6,69.9,108.8,110.8,90.6
2041,77.2,79.5,94,68.9,108.2,107.6,117.1,106.3,71.4,76.9,118.3,79.8,65.9,93,104.6,91.9,154,132.4,97.5,97.1
2042,86.6,105.1,96.3,67.4,95.4,112.1,127.7,115.8,39.8,91.7,70.5,98.3,144.2,61.5,80.1,95.6,107.3,136.3,100,96.4
2043,84.2,104.2,60.7,73.2,91,109,91.3,122.1,77.7,111.7,74,89.8,115,92.3,75.4,93.6,113.1,95.8,80.6,92.4
2044,82,82.8,95.6,69.4,111.2,124.6,124.5,105.6,66.8,54.8,89.7,86.5,121.5,113,101.4,89.5,105.2,97.6,102.1,96
2045,76.7,74.6,86.8,85.2,130.1,107.3,103.1,133.3,53,93.7,50.7,100.8,95.2,84.1,143.5,87.4,112.2,70.6,105,94.4
2046,92.7,169.3,85.6,61.4,132.8,119.8,71.5,122.3,58.5,91.7,75.5,113.9,88.6,81.3,101.4,97.7,92.5,109,86,97.4
2047,73.8,104.7,177.1,63,124.1,121.3,131.5,111.8,83.2,70.8,66,75.9,65.7,92.5,132.6,92.2,122.4,90.9,118.5,100.9
2048,90.6,110.5,122.1,85.4,114.3,77.6,71.2,110.3,67.1,105.8,93.4,101.5,89.5,96.3,107.8,96.5,89.1,105,94.8,96.3
2049,81.1,126,105,71.9,132.9,129.1,96.5,113.5,65.4,106.4,65,107,59.2,109,73.4,89.7,131.6,96.4,85.9,97.1
2050,80.3,120,66.4,83.4,112.1,130.1,140.7,85.8,77.8,70.7,88.4,101.8,138.6,79.5,99.8,103.5,130.7,89,112.1,100.6
2051,77,132,69.6,86.7,121,114.7,118.7,76.4,53.1,69.4,78.1,115.1,73.6,82.9,54.1,103.8,94.9,134.6,106.5,92.7
2052,63.8,65.4,94.3,75.8,120.4,108.8,69.8,101.5,48.1,102.6,104.8,116.6,48.3,68.5,142.1,87.8,148.4,174.9,84.6,96.1
2053,91.3,76.3,184.7,88,106.6,108,119.4,74.2,71.9,138.4,125,109.4,40.5,71.5,126.4,91.1,120.8,38.1,63,97.1
2054,77,97.2,128.9,73.5,116,109.6,120.1,124.9,76.4,117.2,65.1,109.6,115.6,96.3,112.9,90.3,156.1,78.2,86.6,102.7
2055,79.2,170.2,141.9,66.8,88,112.5,110.5,103.1,53.1,131,107.7,109.8,80.9,78.5,78.2,90.3,139.8,116.8,110.5,103.6
2056,79.3,172.2,95.5,88.3,107.5,110.9,110.8,96.7,54,98.8,92.2,106,104.6,81.5,62.7,105.8,158.2,82.6,126.9,101.8
2057,86.8,126.2,104,67.4,120.5,90.2,94.1,123.8,67,139.2,81,87.1,123.2,99.4,81,98.3,152.5,76.7,97.5,100.8
2058,82.9,116.4,135.4,90,124.8,128.7,113.9,105.9,72.7,42.1,59.1,108.2,111.6,94.4,75.6,87.1,134,123.3,94.3,100
2059,96.2,128.7,120.9,74.8,121.6,108.1,109.4,121.5,55,64.4,74.5,84.1,108.5,104.9,115.9,91.9,98.1,103.8,131.4,100.7
2060,83.9,95.8,74.5,76.3,112.1,111,104.9,95.2,52.2,122.4,86.8,117.5,37.1,79.3,101.4,84.2,190.2,120.3,82.4,96.2
2061,80.5,140.8,103,72.3,98.7,99.1,102.9,84.2,52.2,123,121.1,102.2,44.1,104.9,82,92.6,123.3,104.6,105.2,96.7
2062,80.3,126.3,118.1,80.7,100.2,128.2,141.5,104.1,88.1,115.5,29.6,102.6,84.8,106.2,63.4,78.4,150.3,124.8,76.9,100
2063,80.3,61.4,81.5,88.7,126.6,118.1,90.4,116.2,87.3,79.9,98.3,94.5,65.1,102.3,89.5,94.7,106,102.7,92.2,93.5
2064,69.7,96.6,125,80.2,120.4,114.2,145.4,109.8,58.5,114.2,108.4,101.1,97.3,104.7,72.5,101.2,47.4,113.8,92.2,98.6
2065,79.3,97,173.9,86.5,93.6,110.8,105.3,115.8,58.6,93.5,46.2,112.5,128.2,112.2,138.2,100.1,118.2,107.8,116.1,104.9
2066,78.7,152.3,100.9,69,124,108.6,95.3,99.5,95,75.5,85.2,94.4,144.8,77.4,93.1,85.7,154.4,82.8,85.2,100.1
2067,90.6,164.4,83,79.5,109.4,118.5,105.4,110.6,67.6,63.9,34.8,102.5,136.7,87.5,119.3,86.3,106.3,107.7,73.2,97.2
2068,83.4,98.7,154.5,70.7,103.2,119.7,119.9,96.5,53.9,30.9,58.9,106.7,73.2,56.7,113,94.8,112.4,140.1,95.3,93.8
2069,87.6,104.6,92.9,72.4,108.2,139.2,144.8,101.3,70.7,69.3,82.7,94.5,105.8,64.8,154.4,70.5,127.9,155.8,82.4,101.6
2070,78.7,125.9,179.7,84.1,125.5,150.2,139,84.9,59.1,63.5,86.5,81,123.9,87,89.4,93.7,171.7,106.1,91.6,106.4
2071,77.2,99.1,101.5,78.6,112.2,102.4,135,85.2,54,93.1,77.2,78.3,106,103.4,113.6,81.5,77.2,69,103,92
2072,95.9,88.9,113,81.4,108.2,125.2,99.7,90.8,46.5,65.6,63.6,86.8,100.5,90.2,117.3,82.2,121.2,84.8,59.2,90.6
