"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,202.3,112,186.1,223.1,236.8,249.4,249.5,202.7,193.4,205.6,215.6,224.2,288.1,242.9,227.7,189.6,273.7,193.6,198.5,216.6
2016,208.6,120.4,175.1,210.8,235.5,250.5,236.6,194.4,166.8,203.2,238.8,209.3,292.8,253.2,220.4,183.1,273.3,217.3,184.4,214.4
2017,206.1,139.7,173.8,214.3,228.4,242.6,237.6,218.9,181.1,190.6,225.1,196.1,249.7,262.1,213.2,158.1,272.6,218.3,185.4,211.2
2018,207.3,131,170.5,218.9,221.1,246.4,246.2,215.8,179.9,198.3,263,200.7,257.3,251.1,189.7,188.6,274.8,227.4,185,214.4
2019,207.4,116.1,203,215.3,229.4,239.9,228.4,221.8,177.5,204.5,237.3,208.1,278.7,241.8,204.9,197.2,290.6,221.9,187.8,216.4
2020,210.1,125.7,193.6,214.7,236.6,232.5,241.4,194.3,175.2,199.3,243.9,194.5,259,247.3,197.2,165.6,249.8,212.2,196.5,210
2021,208,120.1,199.1,228.9,243.5,234.7,251.7,207.7,184.4,194,257.2,209.6,284.4,257.6,195.5,205.9,245.8,190.2,187.9,216.1
2022,204.2,106.7,199,213.5,241.4,243.4,246.6,222.9,185.7,202.9,247.3,220.4,265.8,262.8,225.7,193.7,250.9,192.2,203.4,217.3
2023,204.4,145.4,223.4,220.2,239.5,247.5,238.1,188.2,179.8,197.6,285.2,211.9,290.4,250.8,220.6,189.7,245.7,196.8,194.8,219.5
2024,221.5,120,238.9,235,243.3,257.8,238.4,176.4,189.9,208.3,275.8,225.9,285.7,258.5,261.7,173.4,308,207,181.5,226.7
2025,218.5,132.5,178.3,232.7,258.4,255.2,255,213.6,166.8,214,253.8,218.1,247.1,261.3,251.2,175.7,274.7,232.8,189.1,222.6
2026,215.7,131,182.9,233.6,240.7,259,249.9,231.2,182.9,205.7,265.3,222.3,317.9,261.2,202.2,184,249.1,213.1,200.5,223.6
2027,213.5,121.1,191.4,232,236.2,249.4,236.4,236,203.9,217.2,230.6,208.1,300.4,249.4,223.5,196.7,262.5,206.6,197.5,221.7
2028,214.4,121.9,197.7,225.7,237.7,259.3,258,226.7,180.2,198,299,214.5,300.6,249.4,235.2,188.5,274.7,214.8,211.3,226.7
2029,215.3,140.6,216.1,242.8,240.8,252.6,258.8,238.5,191.4,204.4,274.2,221.8,284.8,268.3,271.3,180.5,264.5,214.7,200.5,230.6
2030,217.7,129.7,230.2,234.8,244.2,252.5,252,240,197.1,218.9,225.6,220.4,325.3,261.6,229.9,179.2,265.5,220.5,208,229.1
2031,213.8,125.7,192.3,232.2,236.7,257.6,260.5,254.4,196.8,209.5,256.7,224.6,282,272.9,200.6,200.6,275.8,210.6,213.1,227.2
2032,210.4,136.2,219.1,248.3,242.4,242.6,249.8,238.5,191.7,209.6,244.6,209.1,306.2,270.8,212,188.9,273.5,226.3,211.7,228
2033,216.5,152.3,212,244,239.9,254.7,244.5,223,191.9,198.5,236.9,206.2,311.1,255.9,248.5,176.7,286.7,224.3,204.5,227.8
2034,218.2,127.4,219.7,246.1,242.2,245.1,258,207.9,193.8,206.7,256.9,213.2,297.9,251.2,216.9,172.3,263.1,224.1,208.7,224.7
2035,219.8,133,199.5,239.4,237.6,263.3,262.1,182.1,188.3,206.6,251.4,232.9,323.9,253.3,260.9,181.6,241.7,217.7,199.3,226
2036,223,135.3,209.5,253.8,252.6,255.9,266.3,216.7,191.2,205.3,304.6,215.9,286.3,275.2,229.9,178.6,295.4,230.8,209.3,233.5
2037,224.4,134.5,178.1,251.3,252.8,258,255.2,242.2,202.7,210.7,269.3,223.5,274.4,280.9,215.6,216.6,287.2,212.4,218.2,232
2038,231.1,145.4,172,256.5,248.5,260.7,254.6,231.9,189.2,230.6,272.2,226.8,293.7,280.1,191.1,197.9,295.6,239.9,216.6,233.4
