"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,65.2,10,45.4,55.8,76.1,77.4,NA,63.1,49.2,56.6,59,62.2,73.8,76.2,50.9,35.9,71.9,63.7,58.3,58.4
"historical",1851,64.4,11.1,46.6,56.5,68.4,74.7,70.1,53.8,43.7,62.4,68,63.3,76.5,74.1,55.6,42.5,66.6,57.7,60.4,58.8
"historical",1852,61.5,6.6,47.4,52.9,74.8,71.7,67.3,56.5,44.6,64.1,73.3,63.9,73,76.3,52.7,37.3,76,61.8,61.6,59.1
"historical",1853,64.2,19.7,38.7,56.8,67.3,75.1,62.9,63.9,43,66.5,60.5,54.8,86.6,71.7,61.2,39.9,74.4,58.2,61.4,59.3
"historical",1854,60,17.4,43.7,59.4,72.3,72.5,63.4,62.2,49.9,61.6,63.2,61.5,80,72,51.9,42.4,61.6,61,62.2,58.9
"historical",1855,60.7,8,36.3,59.1,71.3,77.1,67,52.1,48,63.2,58.7,60.6,84.5,70.6,51.6,36.8,66.4,59,58.2,57.3
"historical",1856,63,8.3,47.2,55.7,67.8,72.7,66.8,53.7,45.9,61.1,71.9,60.1,76.1,73.6,51.3,35.6,77.7,58.2,61.1,58.3
"historical",1857,62.2,12.8,51.6,58.7,74.5,73.4,66.7,61.9,46.2,60.9,69.6,65,78.3,71.3,48.5,40.8,66.2,56.2,61.2,59.3
"historical",1858,61.8,10.2,44.5,55.1,70.9,74.1,62.4,47.5,44.2,63.1,59.9,59.4,80.4,75.2,49.9,38.9,73.2,59.7,59.1,57.3
"historical",1859,67.8,6.8,36.9,59.4,72.2,75.1,64.6,54,43.3,62.4,54.4,62.9,81,71.6,54.2,36.6,70.7,59.1,61.7,57.6
"historical",1860,66,11.3,51.2,60.3,65.7,76,63,58.9,43.5,60.2,68.5,62.6,76,72.7,52.8,39.5,78.3,59.1,59.3,59.2
"historical",1861,64.9,16.2,39.2,57.8,72.5,72.8,63.3,65.5,41.8,60.2,61.2,56.5,78.1,70.8,49,37.3,64.8,51.9,62,57.1
"historical",1862,62.6,18,41.3,55.7,72,76.9,64.5,57.4,53.6,64.2,60,63,71.9,74.2,52.4,39.1,71.2,57.2,61.3,58.8
"historical",1863,65.7,5.3,46.9,57.8,70.7,76,60,63.1,49.5,62.3,64.1,63.1,81.9,69.6,48,40.9,73.7,60.9,57.1,58.8
"historical",1864,64.2,6.5,51.4,53.9,72.2,74.8,64.1,65.2,46.3,62.3,62.4,53.1,84.9,69.7,49.9,42.2,76.6,58.7,58.7,58.8
"historical",1865,61.9,7.2,47.8,52.1,71.7,79.2,60.8,60.8,39.2,65.9,64.6,62,79.2,75.8,49.4,40.7,72.7,62.8,61.2,58.7
"historical",1866,63.2,13.7,45.6,56.4,70.5,78.4,61.4,59.5,37.1,61.9,74,59.1,71.1,75.6,48.9,40.6,68.6,55.6,60.4,58
"historical",1867,61.6,16,43.1,58.4,68,79.5,65.9,54.7,45,61.1,62.6,59.5,74.2,73.7,56.1,39.9,72.4,61.3,55.7,58.4
"historical",1868,60.3,9,38.8,56,71.6,80.6,62.1,67.3,40.8,57.5,68.6,64.2,75.2,74.8,56.1,40.3,70.5,55.5,60.9,58.4
"historical",1869,64.2,25.2,37.6,60.5,72,77.1,64.4,56.8,47,64,66.7,59.3,74.8,70.1,56.7,40.7,76.3,57.4,57.9,59.4
"historical",1870,65,17.5,44.4,61,71,73.5,64.5,53.1,40.7,58.1,62.3,63.8,76.5,67.6,49.5,41.5,66,56.9,60.3,57.5
"historical",1871,62.2,9.7,38.8,59.4,72.6,77.2,68.4,57.6,47,63,69.5,62,76.7,69.2,55.8,44.2,70.2,63.4,61.5,59.4
"historical",1872,59.6,12.1,39.4,61.2,74,74.2,65.2,62.5,44.2,59.8,58.2,60.1,80.7,75.5,49.8,42.6,74.8,61.9,63.7,58.9
"historical",1873,64.5,15.7,46.8,56.7,73.5,79.1,66,55.4,57.3,58.7,61.4,57.7,76.1,71.4,52.1,45,74.1,61.4,64.8,59.9
"historical",1874,61.7,18.3,42.6,56.2,74,76.5,61.7,57.7,43.5,62.4,69.3,61.1,83.2,76.3,50.9,41.1,76.8,62,59.1,59.7
"historical",1875,59.1,14.4,46.1,57,70.3,77.1,62.8,61,43.6,61.7,62.5,59.6,75.2,70.8,51.5,42.3,73.8,61.5,62.7,58.6
"historical",1876,63.2,21.6,47.1,63.9,74.3,76.6,69,61.4,47,61.1,59.8,54.7,80,77.4,54.6,39.3,74,57.4,58.1,60
"historical",1877,59.3,4.9,42.3,56.8,72.2,74.8,60.6,60.8,42.8,67.4,63.7,57.2,77,71.1,54.1,39,72.1,60,62.2,57.8
"historical",1878,61.3,15.5,47.1,59.9,73.6,75.6,62.9,59.2,48.9,63.2,65.1,59.1,67.8,70.1,54.2,42.4,69.6,58.3,61.6,58.7
"historical",1879,65,9.2,45,60.7,72,73.9,61,55.2,40.8,63.2,65.3,62.2,84,71.9,52.2,39.9,66,60.6,62,58.4
"historical",1880,62.2,17.7,50.9,60.5,71.2,78.6,69.7,53.9,52.2,60.9,59.5,64.2,80.7,75.4,51.2,37.9,72.4,56.7,52.4,59.4
"historical",1881,65.4,8.3,52,57.9,70.3,74.9,60.9,62.8,43.8,61.8,59.4,59.4,81.6,72.4,49.5,36.5,68.5,62,56.4,58.1
"historical",1882,62.5,15.6,43.9,56.3,74.2,75.7,64.7,57.1,57.6,63.5,66,61,69.4,75.5,56.5,38.3,73.8,59.4,59.1,59.5
"historical",1883,65.1,16.2,35.6,59.5,70.7,74.8,63.6,59.8,45.9,58.9,66.2,64.6,77.1,73.7,56,35.6,72.1,58,55.9,58.4
"historical",1884,59.8,7,28.3,45.7,69.9,76.4,60.7,58.8,32,60.1,66.5,62.7,79.9,73.6,45.3,33.3,75.8,52.8,55.1,54.9
"historical",1885,60.3,3.9,46.7,58.2,65.6,75.3,59.6,64.9,41.2,61.9,68.7,61.3,79.1,72.2,48.9,36.2,71.6,59.8,61.6,57.7
"historical",1886,60.5,17.8,37.5,56.7,69.7,72.1,61.1,58.2,50.5,58.8,62.7,64.2,75.4,70.7,49.7,41.6,71.5,61.6,57.8,57.8
"historical",1887,66.3,12.7,49.9,54.1,76.8,71.3,61.8,58.8,45.1,59.8,59.6,57.2,85.6,73.6,47.1,40,72.3,57.9,60.1,58.4
"historical",1888,57.8,14.2,45,57.5,72,71.9,68,62.7,42.9,52.4,59.9,62.3,78.3,73.5,43.1,38.6,68.4,55.9,61.7,57.2
"historical",1889,60.7,8.2,47.4,52.9,68.7,71.6,63,57.7,53.9,58,57.3,60,77.2,76.6,52.8,44.1,71.2,61.7,60.6,58.1
"historical",1890,63.4,11.6,46,51.6,72.3,77.6,65.5,62.2,46.5,60.8,64.9,62.4,79.3,74.1,47.6,37.4,68.5,55.9,58.9,58.2
"historical",1891,65.6,6.5,45.2,50.4,70.3,75.7,69.1,63.1,48.5,56.7,58.2,62.5,70.9,67.8,49.4,37.1,68.9,54.3,57.9,56.7
"historical",1892,57.9,28.1,43.2,54.9,68,74.3,69.1,59.9,45.5,64,61.8,62.7,85.5,72,47.9,38.6,69.1,58,57.9,58.9
"historical",1893,56.5,9.2,44.7,56.8,68.3,73.9,63.1,62.9,51.8,59.3,66.5,59.4,72.7,73.2,50.3,37.5,78,56.1,60.7,57.9
"historical",1894,61.1,8.8,49.4,57.7,72.6,71.7,60.7,57.9,47,54.6,62.2,59.6,84.5,73.3,53.1,35.2,68.3,63,58.6,57.9
"historical",1895,64.7,16.7,41.2,58.4,72.6,73.1,62.3,56,43.3,62.2,55.1,62.2,77.9,68.7,53,44.4,69.5,58.1,60,57.9
"historical",1896,58.7,7.9,49.4,59.4,68,72.5,64.2,58.3,49.6,64.8,64.2,64.3,83.3,70.3,52.9,37.3,65,59,60.7,58.4
"historical",1897,68.8,18.3,44.5,60.1,69.2,75.3,63.1,63.9,46.2,60.8,59.6,60.9,86.8,71.8,47.8,39.6,72.6,62.8,62.7,59.7
"historical",1898,65.1,12.9,40.1,52.4,71.3,76.4,64.9,69.7,48,57.2,62.2,60.3,76.5,69.2,54.3,42.9,72.1,61.1,59.6,58.7
"historical",1899,61.8,12.9,43.6,54.3,73.8,71.1,63.7,55.5,47.1,61.3,58.1,56,76.6,69.9,57.8,48.6,69.6,58.5,59.5,57.9
"historical",1900,65.4,18.1,44.2,57,71.9,71.4,66.7,69.6,46.6,58.2,63.7,60.9,80.7,73.4,49.5,41.9,72.9,57.5,60.6,59.5
"historical",1901,64.5,19.7,41.4,54.3,74.9,76.4,64.1,68.8,53.3,59.8,56.4,62.6,77.8,67.9,53.6,44,71.5,61,58.5,59.5
"historical",1902,65,21.8,38.7,57.9,73.6,78.2,68.7,58.6,46.6,62,64.7,64,72.9,70,50.2,51.1,72,59.2,56.8,59.6
"historical",1903,56.6,18.8,45.1,52.9,69.4,74.6,60.7,59.3,46.8,66,70.6,61.6,80.4,70.7,46.3,40.3,63.8,54.3,57,57.6
"historical",1904,63.3,16.2,47.6,55.1,67.2,78.1,60.1,57,43.9,56.8,58.5,58.6,81.7,70.9,51.6,43.3,70.7,63.7,52.8,57.7
"historical",1905,63.4,18.7,43.8,58.7,73,74.4,67.4,56.3,45.4,57.3,64,63.9,77.4,69.6,51.3,43.8,76.7,60.6,58.3,59.2
"historical",1906,65.2,10.3,33.5,50.7,68.8,74.4,64.8,57.9,45.6,52.3,64.5,63.9,71.3,71.9,48.9,40.1,75.1,57.5,59.9,56.7
"historical",1907,62.7,14.9,33.7,54.8,75.4,75.8,64.3,64,47.5,56,57.7,52.8,73.5,70.5,45.4,38.8,70.9,61.3,59.3,56.8
"historical",1908,63.5,14.6,42.7,62.2,71.3,72.8,69.4,52.5,43.1,63.4,60,63,76.6,68.4,53.7,37.1,69.3,57.6,59.4,57.9
"historical",1909,64.4,15.7,46.6,55.5,67.8,77.6,66.1,58.9,45.2,62.1,66.8,64.6,75,72.5,50.2,38.5,72.1,58.1,56.8,58.7
"historical",1910,65.2,21.6,42.1,54.6,68.7,79.1,66.3,63.2,52,57.6,59.2,61.5,77.4,70.4,51.4,44.3,71,66.2,56.7,59.4
"historical",1911,66,17.8,37.8,58.1,75.1,77.8,62.5,58.6,47,62.7,54.7,64.2,76,73.6,43.9,47.5,70.6,54.8,61.4,58.4
"historical",1912,63.9,20.2,33.9,51.7,70.2,75.1,57.1,56.2,40.5,61.7,65.2,54.7,76.2,71.6,46.7,38.1,65,58.3,55.2,55.9
"historical",1913,65.2,10.9,43.4,54.6,71,72.2,71.5,65.3,42.8,59.1,65.3,59.8,79.3,70.6,52,44.2,75.4,63.3,55,59
"historical",1914,61.8,13.8,42,54.8,71.9,73,61.5,67.4,45.2,58.5,58.5,61.5,64.9,75,51,41,77.7,54.5,62,57.7
"historical",1915,63.6,12.1,41.4,60.2,71.9,73.1,64.9,59.3,44,61.6,67.5,57.6,76.4,74.3,52.4,38.8,71.8,57.6,57.1,58.2
"historical",1916,60.5,21.6,52.9,55.2,70.3,75.6,67.4,58.9,43.6,61.4,71.9,60.4,78.6,73.9,49.2,44.1,74.3,59.1,59.4,59.9
"historical",1917,62.3,17,46.2,54.8,71.4,75.4,65.6,57.3,48.3,57,69.6,59.1,73,72.6,51.1,43,70.3,61.7,52.3,58.3
"historical",1918,63,20.3,38.5,58,68.2,79,66.8,64,46.6,57.2,58.8,62.3,78.1,69.1,47.3,41.1,72.1,59.1,53.5,58.1
"historical",1919,60.8,15.6,41,56.2,73.6,75.9,61.9,58.4,42,60,62.7,65.3,81.2,74.9,51,41,74.2,60.8,55.3,58.5
"historical",1920,61.2,17.4,37.7,59.4,71.4,75.7,65.8,62.3,52.4,63.7,64.9,64.2,76.8,72.6,49.3,47.3,67.8,59.8,55.7,59.2
"historical",1921,65.5,14.5,52.7,61.3,69.6,70.3,66.8,68.3,42.5,60.8,68.3,64.6,88,70.3,51.3,39.6,69.5,63.9,61.2,60.5
"historical",1922,66.7,9.6,46.1,62.2,72.2,72.3,69.4,66.8,44.4,60.5,63.4,67.4,79.4,68.9,55.5,41.8,73.3,60.5,56.2,59.8
"historical",1923,62.8,12.5,40.4,60.4,69.9,76.5,69,62,43,61.7,63.3,60.4,77.8,68.2,57.9,39.2,73.5,62.8,62.2,59.1
"historical",1924,64.2,20.1,46.6,57.9,70.6,78.5,61.8,58.1,42.6,63.2,62.9,57.1,78.6,73.6,55.5,44,72.3,59.1,57,59.1
"historical",1925,60.2,20.6,45.3,59.4,68.5,74.1,67,60.5,39.6,61.2,58.5,64.8,76.1,73.7,56.5,40.5,74.4,61.6,58.7,59
"historical",1926,62.7,28,35.9,59.5,70.5,75.1,66.2,56.7,44.9,56.4,64,57.7,78.4,71.9,52.7,41,73,64.6,62.6,59
"historical",1927,61.5,24,45.6,62.5,75.6,75.4,68.3,66,51,61.4,66.5,64,80.5,69.3,56.9,40.9,66.1,58.7,60.3,60.8
"historical",1928,65.7,17.4,44,57.8,74.3,77.8,62.6,52.4,51.3,64.8,56.7,63.7,76.8,74.9,58.1,42.2,74.1,59.8,56,59.5
"historical",1929,65,14.6,41.4,59.4,77.7,77.7,69.5,66.8,46.7,62.4,67.3,64.5,83.4,73.5,53.5,47,73,58.4,62.8,61.3
"historical",1930,62.9,22.2,42.7,61.9,72.8,76.5,62.7,59.7,42.1,61.8,66,60.7,72.6,73.6,54.9,46.5,73.3,65.7,60.7,60
"historical",1931,61.8,16.3,46.6,57.5,72.7,73.6,64.3,58.3,52.1,64.8,59,61.6,73.1,73.8,51.1,40.4,76.6,65.7,61.3,59.5
"historical",1932,65.8,16.7,49.5,59.4,70.9,73.9,68.2,56.4,47.5,53.7,60.6,67.3,76.9,72.6,53.8,46,68.8,60.2,57.9,59.3
"historical",1933,65.5,21,48.7,57.3,71.3,74.2,70.3,59.5,41.6,65.4,64.1,60.1,82.3,71.3,56.8,47.2,68.7,58.1,58.6,60.1
"historical",1934,69,15.7,43.2,55.1,71.6,78,67,59.4,51.5,61.4,65.7,61.6,78.9,75.9,54.9,48.8,72.8,56.3,59.1,60.3
"historical",1935,65.9,17.3,46.4,57.6,73.8,75.1,65.1,52.2,51.9,59.4,62.1,69.6,75.5,71.3,56.1,42.3,78.9,63,62.8,60.3
"historical",1936,64.5,21.1,44.8,54.8,68.3,76.1,61.9,55.3,40.5,60.5,67.5,61.7,75.9,74.8,54.7,45.2,73.1,52.7,61.4,58.7
"historical",1937,62.7,16.8,42.8,56,69.9,70.5,65.5,55.4,46.2,64.2,64.5,64,80.8,73.3,52.7,47.1,75,60.3,61.5,59.4
"historical",1938,67.5,15,34.8,53.7,74.5,74.6,64.2,62.7,37.9,60.4,62.9,61.5,80.7,73.9,49.3,39.1,72.1,58.3,61,58.1
"historical",1939,65.9,20.7,31.2,57.2,70.2,74.9,65.6,61.1,36.5,59.8,63.1,64.9,84.6,72.9,56.2,46.2,69.3,60.4,64.7,59.2
"historical",1940,64.8,19,34.9,61.2,67.9,76,69.8,53.7,47.3,56.6,61.5,66.4,86.1,72,54.5,38,71.4,65.4,58.4,59.2
"historical",1941,61.9,6.7,44.9,59.1,72.8,76.1,67.9,61.5,46.6,64.1,71.7,59.5,78.4,73.8,53.7,48.6,70.6,59.3,60.7,59.9
"historical",1942,63.5,13.3,45.3,55,72.9,77.7,63.1,57.6,37,58,65.3,65.4,80.5,74.5,50,43.9,74.8,60.1,56.9,58.7
"historical",1943,57.9,14.1,47.9,58.4,72.8,76.1,65.1,60,51.2,56.7,61.4,64.3,78.4,72.1,53.3,43.1,68.6,66.5,57.4,59.2
"historical",1944,65.4,22.6,47.5,57.4,68.3,74.8,66.3,64.3,54.8,63.5,66,61.2,79.6,75.6,50.8,40,75.1,62.7,59.5,60.8
"historical",1945,57.1,12.7,48.8,60,73.2,77.6,70.4,58.7,39.3,59.9,71.1,62.8,83.5,69.6,56.8,47.1,70.7,60.8,60.8,60
"historical",1946,64.8,10.1,44.5,57.6,68.5,74,61.4,62.4,48.4,61.9,70.6,62.2,74.7,70.2,51.3,44.4,64.7,60.4,56.2,58.3
"historical",1947,62.2,7.3,45.4,54.5,71.3,73.4,63.6,60.9,50.8,63.5,69.3,59.8,80.6,72.9,59.2,45.6,76.4,61.1,58.2,59.8
"historical",1948,61.1,14.9,50.1,59.2,71.9,77.4,66.1,53.8,46.5,60,67.3,68.9,79.6,77.8,50.2,36.8,77.7,61.7,55.9,59.8
"historical",1949,66.1,19.5,56.5,61.3,75.2,70.2,65.7,58,37.1,63.9,65.3,65.4,83.7,71.2,52.5,39.3,61.4,62.2,57.8,59.6
"historical",1950,68.1,14.2,46.2,63.4,69.3,75.2,67.9,64.3,49.1,63.6,63.4,69.1,75.5,74.1,57.7,41.8,72.4,59.3,56.2,60.6
"historical",1951,60.7,21.4,48.3,52.4,70.7,74.3,64.7,67.2,44.1,59.9,71.3,62.3,72.4,72.5,55.4,46.4,74.6,57.9,58.5,59.7
"historical",1952,64.4,17.9,48.5,55.6,73.9,77.1,66.8,61,45.6,63.6,68.1,58.7,78.6,73.5,52.3,39.8,69.6,60.1,58.8,59.7
"historical",1953,67.2,10.2,45.7,59.7,71.9,77.8,70.9,57.8,48.6,57.6,65.1,68.1,83.2,76,57.1,39.5,64.6,61.6,61.1,60.2
"historical",1954,62.9,21.8,41,58.4,73.2,74.4,69.3,67.6,48.9,62.5,68.5,66.6,88.2,77.5,48.7,47.4,69.7,65.5,58.4,61.6
"historical",1955,65.7,15.8,40.3,58.9,73,78,64.7,61.1,45.7,61.6,66.4,65.4,86.5,67.7,53.3,44.8,74.4,59.1,60.7,60.2
"historical",1956,62.4,19.4,51.7,60.8,71.8,78.1,67.2,58.5,46.2,60.7,63.3,68.8,74.9,76.6,58.1,48,74.1,62.9,52.2,60.8
"historical",1957,61.9,18,48.7,57.3,72.8,74.1,70.1,60.5,39.4,61.8,66.3,65.9,88.7,72.6,47.3,42.8,80.2,61.6,58.8,60.5
"historical",1958,58.4,19,47.9,59.4,71.3,76.6,68.7,67.6,48.3,58.9,68.4,64.1,87.4,75.1,49.2,43.3,69.1,60.9,60.2,60.7
"historical",1959,65.4,20.9,45.4,56.3,74.3,74.4,65.5,60.8,43.6,63.6,68.3,60.1,81.9,71,49.3,46.6,69.9,63.9,60.9,60.1
"historical",1960,61.8,6.7,44.8,57.6,73.8,74.6,64.5,62.4,49.3,59.4,62.5,69,79.1,75,53.4,43.5,77.5,64,55.6,59.7
"historical",1961,65.4,14.7,43.5,60.2,67.2,71.6,72.5,56.8,50,61.9,70,58.9,80.4,71.4,56.2,47,73,55.7,59.6,59.8
"historical",1962,57.9,17.5,49.1,59.6,69.6,76.2,62.7,59.3,41,57.7,70.1,65.1,78.8,73.1,52.6,49.1,70.5,59.4,55.6,59.2
"historical",1963,62,26.5,46.5,56.4,74.2,76.4,64.7,56.5,39.8,60.8,64.8,60.2,79.5,71.2,55.2,42.3,69.2,58.5,55,58.9
"historical",1964,62.7,17,38,53,67.9,77.1,68.9,59.5,46.9,60.5,57.2,61.6,75.6,73.5,50.6,43.6,73.5,60.1,54,58
"historical",1965,61.4,16.8,53.5,52.8,70.4,73.7,68,55.3,53.2,59.1,62.8,60.1,80.9,67.8,53.7,46.7,70.3,59.9,54.9,59
"historical",1966,62.8,14.1,46.1,56.3,68.7,75.3,66.9,55.7,42.5,57.4,66.8,61.1,78,71.7,55.1,44.8,64.6,58.8,55,58
"historical",1967,63.6,16.1,40,57.5,74.2,76.8,61.7,53.8,39.5,52,62.2,65.7,77.5,73.1,56.2,43.2,67.1,62.5,54.6,57.8
"historical",1968,63.3,13.4,41.5,57.3,73.8,74.5,67.4,51.1,39.8,59.8,74.4,60.6,77.8,69.2,58.4,43,70.7,60.1,51.8,58.3
"historical",1969,62.4,18.4,48,56.2,75.9,77.9,63.7,62.7,42.9,60.2,67.9,63.8,81.1,70,57.4,41.5,71.7,64.7,59.3,60.3
"historical",1970,68.9,13.5,42.5,54.4,75.2,76,61.7,57.3,46.9,61.9,67.8,61.1,73.5,72.1,53.9,44.4,64.8,55.3,57,58.3
"historical",1971,59.1,15.7,35.3,56.2,72,73.6,64.9,56.5,44.6,59.9,66.8,64,83.6,70.8,52.1,42,64.6,58.7,55.1,57.7
"historical",1972,60.8,12.8,43.3,58.1,66.5,75.3,69.1,57.6,43.1,64.1,69.2,65.9,77.2,75.2,58.3,43.9,66.4,59.7,56.4,59.1
"historical",1973,58.6,23.4,43.7,56.7,73.4,72.1,62.8,56.5,49.4,59,64.6,64.3,78.5,73.7,51.4,44,71.9,59.6,57.9,59
"historical",1974,63.1,22.4,42.9,60.4,70.7,70.6,66.2,65.6,47.1,59,63.4,57.6,74.7,73.4,54.8,46.2,71.5,59.5,51,59
"historical",1975,63.8,10.8,43.6,59.4,65.7,74.5,69,52.3,41.2,58.4,63.1,68.3,83.7,77,57,39.1,65.3,61.8,56.4,58.4
"historical",1976,60.6,11.7,50.2,55.5,67.8,71.2,63.3,56,41.5,64.5,70.5,64,76.5,76.8,58.9,45.2,69.5,57.5,57.9,58.9
"historical",1977,60.9,18.8,39.9,59.2,70.8,69.2,67.7,60,46,58.8,61.9,66.7,74.1,78.3,59.6,43.5,73.7,56.9,54.5,59
"historical",1978,63.8,14.8,40.7,59.3,72.5,75.4,73.4,50.4,42.5,62,71.2,63.3,87.2,76.2,55,46.1,70.2,59.3,57.4,60
"historical",1979,61.7,17.2,42.2,57.5,73.1,78.8,62.5,58.9,38.6,63.5,68.6,65.5,78.1,74.2,58.9,45.4,69.1,59.5,56.9,59.5
"historical",1980,64,14.5,40.8,59.4,69,77.8,62.1,58.1,46.7,64.9,60.3,65.8,84.4,69.8,51,43.6,63.4,58.4,55.7,58.4
"historical",1981,68.3,20.2,46.1,55.1,73.4,74,69.5,61.1,47.7,63.4,60.2,60.2,75.7,71.9,57.1,52.1,70.3,56.1,56,59.9
"historical",1982,65,14.3,43.4,58.8,72.7,70.8,71.2,56.2,36.2,58.4,61.5,66.9,82.3,72.2,60,44.7,71.6,55.3,58.1,58.9
"historical",1983,66,20.7,41.8,57.2,74,71.7,62.8,55.2,45.9,64.1,62.5,66.9,69.6,73.7,53.6,42,65.5,62,58.2,58.6
"historical",1984,59.3,20.4,43.6,59.1,70.4,78.7,64.5,51,36.5,54.5,64.8,66.9,70.1,73.2,54,44.8,75.4,61.5,57.8,58.2
"historical",1985,63.7,18.7,36.5,55.3,72.7,74.6,68.5,59.1,47.3,60.1,63.1,60.8,76.3,72.3,55.7,44.5,74.5,60.7,60.4,59.2
"historical",1986,60.6,14.6,39.7,62.9,70,72.5,76.2,57.6,42.2,55.9,63.3,69.8,81.3,71.6,56.8,42.2,72.3,57.2,58.1,59.2
"historical",1987,61.2,20.7,46.2,55.9,73.5,74.3,65.6,53.2,43,59.3,62.5,61.2,86.3,73.8,56.5,49.7,76.9,64.9,59,60.2
"historical",1988,58.4,18.2,39.5,55.2,71.7,73.5,65.1,66.7,44.4,66.7,64.1,62.2,85.3,76.2,54.4,47.9,69.1,60.8,56.7,59.8
"historical",1989,68.8,11,42.2,60.8,69.9,75.6,72.6,57.6,46.1,54.5,64.8,70.4,86.3,75,52.1,42.9,71.1,58.9,58.6,60
"historical",1990,65,14.1,46.1,61.2,73.5,76.1,72.5,67.2,45.4,62.4,69.2,66.7,81.8,67.7,57.8,47.2,72.1,61.9,55.6,61.2
"historical",1991,60.2,16.3,52.6,56.6,71,77.5,74.2,61.9,43.9,57,67.4,68.7,82.4,75.7,59.4,44,72,64.8,61.9,61.4
"historical",1992,62.8,20.8,38.8,57.7,69.1,77.3,66.3,55.5,42.8,59.8,68.2,68.9,81,71.8,50.2,42,66.6,62,58.4,58.9
"historical",1993,62.6,14.9,43.6,59.4,76.1,79.6,64.3,55.4,45.8,55.2,57,67.4,71.8,72.2,57.9,48.5,70,60.7,58.5,59
"historical",1994,63.5,23.8,47.7,58.5,72.9,80.2,62.8,52.5,47.9,61.8,65.8,68.1,71.7,70.1,59,44.1,73.7,57.1,55.9,59.8
"historical",1995,62.6,14.9,46.9,62.8,75,77.8,61.3,59.1,48.9,61.3,63.3,65.1,78.3,73.8,62.7,44.9,73,58.7,56.5,60.4
"historical",1996,63.9,26.7,38.5,59.1,72.2,77.5,70.4,61.5,44.8,57.9,67.3,67.5,88.9,74.8,59.7,46.2,76.9,63.5,60,62
"historical",1997,61.3,15.1,48.3,59.5,75.3,72.7,68.9,56.3,43.2,59,74.5,65.6,84,76,56.6,48.6,68.7,60.3,60,60.7
"historical",1998,62,28.2,55.2,62,70.3,75.8,76.3,65.4,45,64.2,73.3,66.6,83.8,75.1,62,50.1,78.9,62.2,63.3,64.2
"historical",1999,64.2,22,55.8,58.5,74.1,76.5,72.4,69.7,44.7,58.5,70.6,66.3,71.9,75.7,56,50.4,72.5,61.8,61.2,62.3
"historical",2000,65.3,21.4,50.3,60.3,75.5,77.3,65.6,59,47.5,65.1,66.8,69.1,80.7,78.4,58.7,52.4,73.4,58.9,62.2,62.5
"historical",2001,66.6,14.3,51.8,62,72.3,72.7,71.1,64.8,49.6,65.1,72,68.4,83.6,74.2,60.3,49,76.7,62.8,61.4,63.1
"historical",2002,65.4,23.8,47.2,60.3,73.3,75.8,74.4,59.4,46.4,61.5,67.9,69.3,84.9,73.4,61.6,44.2,75.4,60.9,63.5,62.6
