"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,41.3,21.1,49,53.2,52.8,59,61.7,30.1,41.2,NA,71.6,44.7,82,66.4,56.5,37.5,71.7,NA,25.4,50.9
2016,42.5,9.5,34.8,47.2,53,67.4,65.5,55.1,41.8,NA,73,47.7,63.3,74.1,53.3,36.7,71.6,NA,33.5,51.2
2017,39.3,11.4,32.5,45.3,56.7,56.6,62.8,49.2,34,NA,69.1,39.9,48.4,65.8,54.3,43.1,66.2,NA,32.7,47.5
2018,50.7,8.2,45.5,40.7,59.9,61.1,63.2,50.7,30.2,NA,60.5,44.5,72.9,82,54.6,45,64.3,NA,27.3,50.7
2019,48.6,5.3,53.4,45.9,54.8,61.6,60.5,40.8,26.2,NA,68.9,50.3,88.2,65.6,58.8,36.4,68.5,NA,30.8,50.9
2020,47.3,34.9,35.3,51.7,59.5,55.3,66.7,51.6,42.2,NA,73.9,44.3,92,59.7,54.2,36.8,72.1,NA,42.9,54.1
2021,44.8,13.6,46.3,54.4,56.5,61.9,59.8,46.8,41.2,NA,68.6,43.3,91.3,69.6,54,40,64.5,NA,22.4,51.7
2022,43.8,11.2,49.9,56.6,53.2,60.7,53.7,66.3,45.6,NA,72.4,43.1,83.2,62.6,57,36.2,77.7,NA,21.3,52.6
2023,41.9,7.9,51.4,54.5,61.2,54.4,61.3,44.5,36.5,NA,68.6,45.3,91.1,70.6,58.2,37.2,74.1,NA,35.2,52.6
2024,46.8,2.4,45.8,55.5,51.5,54.3,62.8,57.2,41.2,NA,72.7,46.7,86.9,81,52.7,40.4,68.5,NA,34,53
2025,50.7,12,58.8,52,56.3,67.6,53.8,60.4,44.1,NA,68.7,43.2,78.5,64.3,50.2,45,77.6,NA,43.9,54.5
2026,43.4,11,40.5,58.9,59.5,59,56.2,61.6,40.4,NA,67.8,48.3,87.4,68.3,57.6,42.7,71.2,NA,30.8,53.2
2027,49.2,17.6,52.5,59.2,52,57.1,59.2,44.8,42.7,NA,71.8,42.3,89.1,73.9,58.5,36.5,71.4,NA,35.9,53.7
