"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,2225.8,1875.1,2073,1588.4,2649.5,2204,2199.2,2180.6,1428.5,NA,1574.6,2068.5,1546.6,1695.8,2246.8,1941.3,2347.3,NA,2291.2,2008
2016,2175.5,1907.9,1892.8,1547.9,2665.5,2664.5,2123.1,2162.2,1391.8,NA,1532,2309.2,1792.3,1666.5,2216.8,2068.3,2528.1,NA,2356.2,2058.9
2017,2191.9,1841,1962.6,1628.2,2374,2631.5,2316.4,1926.4,1397.7,NA,1593.4,2107.8,1727,1620.3,2116,1860.7,2496.4,NA,2245.3,2002.2
2018,2252.6,2885.1,1805.2,1398.4,2487.2,2394.1,2127.4,2597.7,1531.3,NA,1564.7,2161.8,1550.4,1490.2,2149.8,1998.6,2477.5,NA,2152.1,2060.2
2019,2082.5,2344.1,2135.3,1554.6,2571.3,2386.7,1994,1882.2,1675.4,NA,1377.6,2239.3,1626.1,2043.1,2319.2,1944.6,2502.1,NA,2550.6,2072.3
2020,2244.6,2214.1,1892.7,1647.7,2365.6,2548.7,2216.9,2291.1,1441.4,NA,1404.5,2198.8,1197.6,1443.4,2021,2143.8,2319.3,NA,2210.9,1988.4
2021,2301.5,2374.5,1846.3,1547.4,2380.4,2534.2,2276.6,2539.9,1395.8,NA,1536.1,2062,1543.6,1668.8,2293.4,1861.2,2502.8,NA,2645.5,2077.1
2022,2268.6,2287.6,1559.6,1638.8,2674.3,2525.7,2470.4,2146.1,1565,NA,1450.2,2258.8,1422.9,1718.9,2238.8,1913.1,2322.8,NA,2306.1,2045.2
2023,2210.6,2865.6,1731.3,1594.9,2663.8,2516.5,2118,2717.3,1431.1,NA,1484.8,2264.5,1454.7,1725.7,2018.3,2074.8,2380,NA,2415.7,2098.1
2024,2182.7,2321.5,1905.8,1640.8,2395.3,2410.5,2371.9,2333.4,1496.2,NA,1586.4,1994.3,2069.2,1815.4,2176.9,1983.7,2398.5,NA,2176.3,2074
2025,2044.2,2547.6,1609.6,1563.6,2566.6,2514.3,2091.8,2154.2,1535.7,NA,1526.8,2201.5,1648.8,1762,2332.3,2071.8,2352.6,NA,2388.3,2053.6
2026,2111.9,1782.2,1716.4,1643.3,2526,2564.9,2071.1,2382.4,1501.3,NA,1488.6,2294.3,1640.6,1635.2,2037.7,1994.6,2250.3,NA,2434.5,2004.4
2027,2121.5,2218,1580,1604.4,2413.1,2279,2144.4,2208.1,1425.8,NA,1575.4,2094.5,1631.1,1755.8,2140.7,1717,2112.8,NA,2171.6,1952.5
2028,2184.5,2361,1474.5,1518.8,2523.4,2589.5,2238.9,2654,1461.9,NA,1492.3,2099.9,1778.1,1795.9,2198.8,2016.4,2056.3,NA,2355.6,2047
2029,2239.2,1762.5,1542.5,1685.9,2660.1,2621.8,2244.7,2019.9,1489.1,NA,1552.6,2126.5,1936.6,1663,2086.4,2137.8,2563.9,NA,2251.7,2034.4
2030,2404,2109.8,1772.4,1558,2364.2,2379.5,1990.8,2607.8,1618.9,NA,1646,2271.4,1560.8,1806.7,2055.7,1974.3,2249.9,NA,2361,2043
2031,2093.1,2674,1880.3,1562.7,2348.4,2819,2163.3,1723.1,1575.5,NA,1611.3,2119.7,1703.5,1597.3,2113.8,1824.4,2443.7,NA,2377.4,2037.1
2032,2370.9,2041.2,1834.2,1594.1,2690.7,2448.7,2367.8,2157.4,1427.9,NA,1477.2,2162.4,1660.1,1751.5,2414.5,1841.7,2431.8,NA,2373.7,2061.5
2033,2210.6,2826.7,1558.2,1559,2358.4,2543,2223.5,2019.4,1545.7,NA,1647,2123.1,1916,1667.3,2068.3,2198.8,2560.5,NA,2086.9,2065.4
2034,2207.9,2602.9,1928.4,1723.8,2448.8,2593,2250.1,1942.1,1641.8,NA,1658.4,2160.8,1924,2090.1,2116.3,2037.9,2394,NA,2644.4,2139.1
2035,2431.9,2728.7,1713.4,1676.3,2373.2,2953.5,2354.2,2135.5,1502.1,NA,1426.3,2247.6,1701.2,1688.5,2245.6,2063.6,2463.2,NA,2366.6,2121.8
2036,2227.8,2627.9,2014.1,1758.7,2680.5,2436.3,2315.2,1902.3,1291.5,NA,1532.5,2034.3,1412,1668.7,2395.6,2086.9,2552.4,NA,2406.2,2079
2037,2471,2553.4,1815,1643.5,2384.1,2655.8,2443.3,2222.2,1513.8,NA,1402.3,2107.5,1558,1750.7,2159.1,2007.2,2637.8,NA,2381.2,2100.3
2038,2255.4,2808.7,1966.3,1751.5,2777.7,2593.7,2320.7,2411.1,1393.4,NA,1581.9,2191.5,1392.8,1718.3,2220.1,1808.4,2604.9,NA,2418.3,2130.3
2039,2240.2,2204.1,1483.8,1690.7,2307,2699.2,2026.9,2383.4,1664.5,NA,1519.3,2116.3,1706.7,1959.9,2136.7,1960,2386.9,NA,1988.4,2027.9
2040,2300.7,2632.5,1932.9,1609.6,2650.6,2580.2,2157.9,2171.4,1615.8,NA,1493.6,2232.1,1571.5,2054.4,2315.6,2059,2577.6,NA,2263.2,2130.5
