"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,218.4,308.6,160.4,161.2,226.8,268,237,104.8,284.8,185.4,249.9,168.1,141.6,201,192.3,175.9,186.2,239.4,206.1
"historical",1851,298.6,205.2,196.5,138.4,265.8,254.4,243,105.6,276.3,150.6,249.4,214.6,176,215.5,169.7,171.5,179.7,258.7,209.4
"historical",1852,282.3,184.3,189.9,138.8,269.3,236.4,301.8,134.3,257.6,166.7,204.6,126.7,208.7,173.9,265.9,272.6,167.5,184.7,209.2
"historical",1853,350.1,303,94.5,173.1,243.1,260.8,212.9,159.5,189.8,161.6,237.4,204.2,178.4,287.3,218.7,222.4,228.1,216.3,219
"historical",1854,198.2,213.3,155.8,183.4,231.4,215.6,180,131.9,361,171,238.2,147.7,148,220.2,220.8,238.5,227.2,233.2,206.4
"historical",1855,179.4,245.9,182.1,168,215.5,327.8,353.4,124,223.7,200.1,197.9,145.3,150.8,243.9,243.8,191.4,238.9,289.8,217.9
"historical",1856,261.5,237.2,230.1,163.4,208,292,263.9,123.8,238.5,204.2,265.3,118.8,163.3,201.5,214.7,248.6,217.1,255.7,217.1
"historical",1857,213.7,273,180.7,178,233.1,255.7,324.5,117.6,246.8,162.7,202.9,100.9,161.9,208.8,199.4,254.9,278.6,218.6,211.8
"historical",1858,229.9,275,353.5,157.5,215.9,261.6,259.5,112.8,158.3,167.1,285.9,146.3,142.1,244.8,216.2,237.4,211.5,210.1,215.9
"historical",1859,216.4,269.7,173.5,150.8,252.7,201,220.4,113,257.4,164.9,244.5,206.3,132.7,188.5,239.9,193.5,251.3,229.2,205.9
"historical",1860,154.7,233.3,191.6,159.6,255.1,250.9,289.8,125.5,324.2,150.6,221.6,174.9,208.2,260.9,211.4,287.6,225.5,216.3,219
"historical",1861,217.3,345,251,130.8,198.9,220,211.5,148.5,195,164.2,268.1,218.7,166.2,201,168.8,313.5,224.8,252.6,216.4
