"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,30.9,52.9,95.6,17.8,111.5,85.3,94.7,78.4,23.4,29.9,15.6,55.1,67.2,55.7,25.2,40.3,33.1,6.5,63.9,51.7
2016,20.1,73.6,27.3,15.2,36.5,68.6,53.3,68.5,93.4,29.3,1.2,37.2,53.3,41.5,30.1,44.8,96.4,42.2,29,45.3
2017,18.7,17.2,52.8,21.9,59.7,92.5,63.4,140.1,42,21.1,12.3,26,76.5,48.5,38.1,35.6,107.1,19.4,63.2,50.3
2018,26.6,49.2,85.1,14.4,84.5,81.8,59.3,70.5,82.6,5.9,4.6,48.8,64.3,57,52.6,32.7,78.5,22.4,60.4,51.6
2019,23.1,40.2,99.1,30.5,76.6,72.5,41.5,108.3,55.6,29.7,8.4,64.5,91.7,62.1,12.4,42.1,38.3,8.5,53,50.4
2020,17.3,6.6,110.9,26.2,68.5,59.5,79.5,87.8,52.2,26.3,18.6,46.1,59.6,82.3,46.8,26.4,65.7,31,40.7,50.1
2021,33.4,47.5,33.8,27,82.7,150.8,55.4,43.8,48,20.4,10,20.5,72.6,49.3,47.3,48.8,87.3,29.8,52.4,50.6
2022,38.9,106.5,5.4,21.9,54.9,110.3,107.5,81.7,115.2,93.4,20.9,66.4,104,51.7,38.5,43.7,32.8,56.6,70.7,64.3
2023,18.2,117.7,28,30.8,100.5,109,81.3,47.1,59.4,15.1,28.7,64.8,113.1,50.8,35.6,36.2,108.6,37.3,39.1,59
2024,67.8,55,17.8,19.5,95.5,83,74.2,38.2,47.9,0.6,40.8,34.3,120.1,64,23.1,34.7,48.7,18.1,43.1,48.8
2025,16.9,73.1,79.7,28.8,80.3,84.7,75.3,106.6,33.2,28.7,15,43.9,58.1,69.4,12.3,42.5,51.5,22.6,60.3,51.7
2026,32.3,109.7,69.7,28.1,145.6,36.8,51.5,62.2,53.6,55.8,58.6,44.5,40.4,60.1,18.4,27.4,33.4,62.7,20.3,53.2
2027,16,47.4,12.1,17.1,55.1,68.5,46.8,118.6,60.4,4.5,18.8,40.3,87.4,60.1,20.6,35,172.5,73.7,27.7,51.7
2028,19.2,62.3,0.7,21.8,49.3,33.9,91.3,111.6,34.7,45.7,22.3,44.4,33.1,51.1,24.8,32.6,95.2,49.9,25.4,44.7
2029,29.2,61.4,23.4,23.2,76.4,83.5,56.4,117.4,69.4,50,9.1,48.3,64.2,59.1,26,28.8,40.5,35.4,37,49.4
2030,27.3,38.1,18.9,17.3,84.4,85.7,76,41.1,34.2,176.2,29.8,44.3,72.1,72.2,41,44.1,72.8,68.4,70.4,58.6
2031,25.3,13.5,92.2,19.8,59,59.2,54.2,84.1,55.5,8.9,4.6,49.6,41.1,36.8,76.8,45.7,67.4,45.8,45.6,46.6
2032,18.6,24.9,29.8,17.5,80,86.8,66.1,59,57.5,54.5,10.9,30.8,71.1,56.1,35.8,39.2,71.7,68.2,30.1,47.8
2033,43.9,55.4,29.3,30.4,91.1,56.7,40,54.5,53.9,109.8,24.4,40.9,22.2,58.3,23.4,49.5,66.5,63.6,33.7,49.9
2034,18.6,15,125.4,25.3,85.7,77.3,54.3,65,29.7,47.2,6.7,47.9,68.5,43,69.7,33.8,86,16.9,24.1,49.5
2035,31,17.6,62.1,24,80.8,66.1,91.1,64.6,60.8,22.4,48.1,51.2,59.2,82.8,84.4,42.8,79.2,20.9,28.5,53.6
2036,36.8,55.8,74.4,20,111.6,81.5,36.4,96.9,64.4,71.5,1.8,42.3,102.7,68.6,36.4,41,31.7,20.6,84,56.8
2037,31,50.2,99.5,20.5,82.3,74.9,104.2,96.8,88.3,21.6,2.7,39.2,33.3,59.3,24.1,41.5,48.8,35.8,13.3,50.9
2038,37.7,78.8,119.2,20.1,59.2,40.1,45.2,85.2,60.3,13.6,10,42.8,109.7,50.1,50.6,27,119.5,53.4,69.3,57.5
2039,32.9,12.1,61.7,16.2,97.2,35.9,52.8,76.6,81,85,1.7,21.3,41.3,120.5,40.9,30.1,81.9,38,12.3,49.4
2040,17.4,17.4,18.2,16.6,71.4,99,64.4,45.3,53.4,53.2,11.2,16.6,29.2,61.5,16.3,34,190,39.3,38.2,47
2041,26.1,8.4,128.3,15.3,72.7,104,71.9,80.6,45,10.1,17.4,40.6,66.8,15.9,59,37.1,106.2,7.2,31.1,49.7
2042,25.1,8.9,68.8,18.5,75.2,44.9,65.3,50.8,66.8,6.3,10.1,36.9,48.8,39.6,49.8,53.2,58.6,47.5,99.6,46
2043,38.9,22.9,25.2,22.7,61.8,103.2,100.2,64.3,54.4,43,40.5,38.8,39.5,82.9,33.3,49,85.4,54.8,26,51.9
2044,28.3,94.4,111.6,16.6,119.4,64.8,23.1,68.7,39.8,10,5.8,67.5,77.1,65.5,32.5,41.2,26.2,53.3,109.5,55.5
2045,43.3,9.5,102.8,18.2,106.5,54.3,59.1,66.9,48.9,4.2,12,36.1,77.5,71,54.8,33.3,47.9,86.2,34.4,50.9
2046,17.9,17.8,32.7,17.9,63.8,62.6,47.3,25.8,96.6,52.2,24.4,38.4,48.4,36,67.5,27.3,67.5,45,29.7,43.1
2047,39.1,48.2,99.4,33,50.8,81.1,51.1,49.9,83.8,1,16,47.3,66.5,55.5,46.7,30.4,35.2,63.5,19.2,48.3
2048,13.2,14.4,46.3,20,42.3,47.5,40.7,43.2,21.9,9.5,18.8,36,67.6,44.1,82,39.1,138.2,35.5,43,42.3
2049,21.2,7.9,13.8,17.1,46.6,74.5,65,88.8,63.1,50.2,21.2,57.7,56.8,22.8,18.8,34.2,132.3,29.1,28.4,44.7
2050,28.8,14.2,31.8,18.9,64.6,147.4,24.1,105.3,59.1,55.7,7.3,36.1,45.5,51.8,20.8,34.7,54.3,26,54.5,46.4
2051,21.8,20.2,28.1,20.1,67.8,94.6,54.2,53.6,98,2.6,5.9,53.3,118.9,38.4,17.9,40.5,122,11.2,94.5,50.7
2052,46.5,64.8,128,15.5,97.7,91.3,67.7,50.9,94.8,24.2,5.2,47.8,55.7,74.3,86.3,33,103.9,20.6,27.2,59.8
2053,51,13.2,74.6,19.3,81.6,96.7,54.9,92.3,35.9,9.9,29,53.6,64.9,40.2,23.9,33.4,174.9,26.4,59.8,54.5
2054,32.7,54.5,54.3,24.1,75.4,91.6,49.7,48.6,48.6,38.1,7.6,23,50,48.5,87.3,21.6,71.1,46.7,25.9,47.3
2055,24.4,12.7,29.8,16.2,67.7,53.5,57.4,112.7,100.8,7.8,14.5,34.8,43.6,56.5,71.4,45.5,250.1,29.1,40.3,56.3
2056,39.8,35.5,49.4,26.6,59.7,62.4,45.7,72.5,63.6,7.9,33.7,40.3,105.6,80.8,16.8,22.9,149.5,29.7,37.8,51.6
2057,21.6,22.4,118.6,21.8,88.4,59.4,49.7,81.5,48.3,2.6,11.5,35.7,64.8,42.2,30.9,34.8,31.5,76.7,35,46.2
2058,42.2,7.5,48,25.6,74,70.9,72.1,109.1,69.6,7.1,25.4,53.7,52.6,61.4,44.8,31.5,69.5,33.9,41,49.5
2059,23.6,16.2,31,27.3,119.9,100.5,67.8,74,51.7,5.4,4.4,49,95.2,49,32.8,29.4,155.9,14.8,26.7,51.3
2060,16.9,88.3,114.6,25.9,42.9,72.1,37.4,104.4,81.2,1.6,61.3,31.8,57.2,54.7,51.5,22.9,29.1,20.8,37.9,50.1
2061,43.1,39.3,88.8,20.3,65.4,111.5,73.2,28.6,86,9.4,12.5,54.8,72.8,51.8,70.8,51.8,199.1,17.8,45.4,60.1
2062,44.1,30.9,59.5,16.9,63.8,172,46.9,66,58.6,37.1,5.6,28,85.3,53.8,37.1,41.6,40.9,14.3,50.8,50.2
2063,44.8,23.9,142.3,25.4,81.9,77.5,45.1,93.4,89.6,18.9,35.7,39.7,55.7,35.4,77.8,32.2,31.4,35,66.6,55.4
2064,35,43.8,4.5,15.6,110.4,96.2,51.8,40,43.9,21.5,4.7,49.7,47.3,78.3,29.8,35.3,89.8,40.1,46.4,46.5
2065,19.6,100.7,43.5,27.3,84.5,37,84.7,40,29.9,18.3,13.6,42,40.5,34.1,54.2,26.9,156.9,12.2,56.4,48.5
2066,39.1,39.2,58.2,28.9,75.6,108,60.7,59.1,36.3,3.3,10.6,23.8,52.3,58.2,15.7,38,52.8,26.6,50,44
