"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,15.7,25.1,12.6,14.8,14.8,17.7,16.8,14.4,14.4,16.1,17.6,13.8,14,20.1,16.9,13.5,16,6.6,11.9,15.4
2016,14.8,22.6,13.3,14.2,16.9,16.8,14.5,14.2,13.5,13.7,15.9,10.6,14.7,19.6,15.2,13.5,17.8,7.2,13.4,14.9
2017,14.7,24.4,16.3,13.1,14.6,15.8,14.2,11.3,13.4,17,15.8,13.3,13.9,20.7,14.2,14.2,16.7,9.6,12.2,15
2018,14.2,26.7,17.5,13.7,16.8,16.4,15.5,16.1,12.8,12.6,16.4,13.8,15.8,21,16.7,13.4,14.8,11.3,13.2,15.7
2019,15.5,22.9,13.8,13.7,14.7,16.9,16.4,13.1,13.5,14.4,16.3,14.2,16.2,20.1,15.4,12.6,18.2,7.6,14.2,15.2
2020,16.4,24.7,14.9,13.9,15.4,16.4,14.9,14.4,15.1,12.9,17.8,15.2,15.8,23,17.8,12.5,16,8.2,13,15.7
2021,15.6,21.1,12.2,15.2,15.6,17.7,14.9,15.2,14.8,15,17.4,14.8,16.6,21.2,16.4,12.9,16.9,11.7,12.3,15.7
2022,15.4,24.1,13.6,14.2,16.4,16.4,15.3,13.6,12.5,13.4,17.6,14,16.3,21.1,15.4,14,15.5,10.7,14.1,15.5
2023,17,23.4,15,13.6,15.2,15.2,15.1,13.1,15,15.8,17.5,14.3,16.7,19.7,14.7,14.2,15.4,9,13.6,15.4
2024,16.9,26.6,9.9,15.2,16,15.8,14.4,11,15.7,10.6,17.9,15.2,15.8,20.9,15.4,12.7,15.9,8.3,15.6,15.3
2025,15.4,24,9.8,13.5,15.8,18.8,15.7,13.1,13.5,15.1,20.2,15.3,15.8,22.6,13.9,12.9,14.8,7.4,12.1,15.2
2026,15.9,23,11,14.6,14.2,15.5,15.3,11,13.1,18.3,16,15.4,14.2,21.5,15.2,13.7,14.5,7.8,12.8,14.9
2027,17.2,21.7,14.3,14.5,16.4,15.9,15.3,13.8,14.1,15.3,18.7,14.9,14.4,22,15.2,13.7,14.2,11.9,14.1,15.7
2028,14.9,23.2,13.9,14.4,16.3,15.3,14.3,13.8,12.9,16.7,17,15.5,16.6,22,15.4,12.9,16.5,9.5,12.3,15.4
