"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-36.2,-54.8,-43.7,-37.6,-40.5,-39.1,-40.7,-46.7,-41.5,-42.3,-46.5,-43.9,-30.5,-37.7,-44.4,-44.5,-37.5,-42,-44.8,-41.8
2016,-36.3,-55,-41.7,-42.3,-39.6,-39.3,-43.2,-41.4,-40.5,-40.1,-46.9,-44.7,-28.5,-34.1,-43.2,-43.4,-37.6,-44.5,-45.8,-41.5
2017,-35.9,-56.3,-41.7,-39.1,-39.7,-36.8,-43,-36.7,-41.6,-39,-31.4,-48.4,-35,-33.8,-38.5,-42.4,-40.3,-43.2,-44.6,-40.4
2018,-35.1,-56.8,-39.8,-37.6,-38.7,-39.9,-40.7,-46.3,-43.5,-45.3,-32.4,-42.3,-31.2,-35.4,-43.7,-42.4,-38.7,-41,-43.3,-40.7
2019,-36.1,-53,-31.3,-37.6,-40,-38.8,-41.5,-39.4,-41.1,-44.8,-40.5,-45.6,-28.8,-36.1,-41.5,-43.3,-36.9,-44.8,-43.1,-40.2
2020,-35.5,-51.6,-38.3,-39.1,-38.5,-37.3,-43,-39,-40.4,-41.9,-40.1,-40.5,-28.9,-37.3,-44.4,-42.6,-33,-41,-45.7,-39.9
2021,-36.5,-48.1,-41,-37.6,-37.8,-38.5,-41.2,-40.6,-40.6,-43.5,-37.9,-43,-36.7,-34.5,-41.8,-41.6,-38.1,-40.6,-43.3,-40.2
2022,-36.7,-50.8,-46.3,-39.9,-41,-38,-40.5,-42.9,-42.2,-42.9,-42.2,-44.6,-31.9,-36.5,-43.7,-42.8,-32.8,-36.4,-42.6,-40.8
2023,-35.6,-54.1,-44.2,-40.6,-38.4,-38.3,-42.3,-44.2,-40.8,-44.4,-39.5,-43.9,-28.7,-38.3,-40.1,-41.7,-35.1,-40.7,-45.4,-40.9
2024,-35.2,-39.3,-45.5,-38.8,-38.4,-36.6,-41.6,-42.5,-41.2,-43.2,-41.9,-42,-31.9,-37.3,-39.5,-43.6,-42.9,-39.1,-42.1,-40.1
2025,-36.6,-53.8,-38.7,-37.5,-40.3,-39.5,-38.9,-40.2,-41.3,-47.5,-42.8,-43.9,-29.2,-32.9,-41,-43,-34.3,-42.9,-41.3,-40.3
2026,-36,-50.4,-43,-38.6,-41.5,-39.8,-39.8,-37.5,-41.8,-42.7,-38.6,-42.7,-34.3,-34.6,-44.4,-42.8,-37.9,-38.3,-42.1,-40.4
2027,-36,-52.6,-41.6,-39.2,-39.4,-39.9,-42.1,-36.7,-41.4,-43.1,-45.7,-39.9,-30.7,-34.3,-43.5,-43.5,-29.1,-38.4,-40.5,-39.9
2028,-35.5,-50.3,-41.5,-41,-36.1,-37.5,-39.7,-41.1,-41.7,-40.2,-42.1,-41.6,-28.4,-34.3,-42.9,-43.1,-36.1,-40.2,-43.6,-39.8
2029,-34.5,-39,-41.5,-38.4,-39,-37.4,-41,-35.2,-41.2,-43.9,-41,-41,-25.2,-33.6,-43.8,-40.6,-41.3,-39.6,-43.9,-39
2030,-34.9,-54.1,-38.1,-40,-40.4,-38.4,-39.5,-34.7,-40.6,-44.9,-42.1,-41,-34.2,-35.6,-42.2,-42.1,-36.3,-41,-41.5,-40.1
2031,-37.2,-55,-46.7,-38,-40.5,-38.2,-41.6,-37.9,-43.2,-43.7,-43,-43.2,-32.3,-35.4,-35.2,-42.5,-36.4,-40.6,-42.3,-40.7
2032,-35.8,-58.1,-38.3,-36.2,-41,-37.9,-38.6,-42.9,-43.2,-47.6,-39.6,-44.6,-33,-34.8,-43.5,-43.2,-35.5,-40.6,-43.7,-41
2033,-35.7,-50.9,-36,-38.5,-40.2,-39.3,-41,-38.1,-39,-39.2,-35.3,-40.8,-27.8,-35.8,-41.7,-42.6,-35.9,-39.7,-42.2,-38.9
2034,-35,-50.7,-40.8,-39,-40.4,-42.2,-42.1,-39.4,-42.4,-43.1,-45.6,-43.6,-29.7,-35.3,-41.8,-43.1,-40.4,-37.7,-43.2,-40.8
2035,-35.7,-50.6,-42.4,-39.3,-39.4,-38.5,-40.3,-38.8,-40.5,-45.2,-41,-39.7,-32.4,-33,-40.9,-42,-30.6,-37.8,-40.9,-39.4
2036,-34.2,-51.6,-37.2,-36.4,-39,-38,-41.2,-42.8,-44,-42.7,-44.5,-43.9,-36.1,-35.3,-44.2,-42.7,-33.2,-41.8,-43.1,-40.6
2037,-35.5,-51.5,-39.1,-37.6,-35.5,-38.2,-38.8,-35.7,-40.9,-36.4,-42.4,-41.8,-29.6,-34.5,-44,-44,-35.6,-43.4,-43.5,-39.4
2038,-34.8,-52.5,-42.2,-37,-39.7,-38.1,-38.2,-42.1,-40.5,-43.5,-41.3,-38.9,-27.5,-36.3,-39.8,-41.2,-34.7,-40.8,-44.3,-39.7
2039,-34.6,-46.7,-43.3,-38.7,-40.2,-38.7,-39.6,-44.8,-39.1,-40.2,-37.2,-43.4,-32.3,-33.1,-36.2,-41.3,-37.8,-42.3,-42.6,-39.6
2040,-34.4,-50.9,-42.4,-39.2,-38.5,-38.1,-40.6,-40.3,-38.8,-42.7,-33.9,-39.3,-31.4,-35.5,-40,-40.9,-35.8,-39,-43.6,-39.2
2041,-33.8,-55.8,-40.6,-35.6,-39,-37.1,-37.9,-36.8,-40,-42.9,-41.3,-42.6,-37.2,-34.5,-39.2,-41.7,-34.4,-40,-42.9,-39.6
2042,-34.3,-41.8,-32.2,-40,-38.9,-35.7,-40.8,-33.7,-38.4,-41.6,-43.6,-43.6,-30.8,-34.7,-40.5,-41,-31.5,-41.4,-43.1,-38.3
2043,-34.9,-47.7,-35.6,-36.5,-38.6,-39.2,-39.2,-43,-38.3,-42.8,-41.1,-40.7,-30.6,-33.9,-41,-42.3,-26.5,-42.5,-41.6,-38.7
2044,-35,-51.8,-39.2,-37.6,-38.5,-34.9,-41.1,-39,-38.4,-40.5,-36.2,-43,-30.9,-35.4,-34.8,-43.2,-37.6,-42.6,-42.8,-39.1
2045,-34.5,-44.4,-38.3,-35.2,-39.3,-37.8,-40.9,-34.6,-40.2,-44.4,-37.3,-42.9,-31.5,-34.8,-35,-42.1,-35.2,-36.4,-41,-38.2
