"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,1014.1,1147,1129.5,1120.7,1196.1,1245.1,871.7,1053,864,916.1,937.6,1316.1,1337.9,1150.6,1016.2,1082.3,1190.5,1182,874.3,1086.6
2016,967.8,1133.8,942.9,1091.8,1163.4,1227.6,933.9,1164.1,873.4,891,1229.8,1239.5,1466.4,1217.7,1160.5,1124.7,1372.7,1192.7,815.6,1116.3
2017,989.1,1143,1080.9,1101.5,1112.5,1201.6,911,1214.9,891.6,925.8,1057.4,1159.7,1315.2,1200.5,970.2,1042.1,1356.8,1321.4,890.2,1099.2
2018,952.6,1064.3,1157.9,1136.3,1138.3,1192.3,926.6,1080.6,978.3,957.3,1236.5,1253.5,1300.4,1164.6,1133.7,1060.8,1311.7,1198.7,933.7,1114.6
2019,944.6,1321.9,1252,1134.7,1207.6,1200.3,939.1,1239.6,884.5,827.8,1145.3,1223.3,1036.1,1159.6,1230.5,1069.5,1361.1,1189.2,803.9,1114.2
2020,984.2,986,1266.9,1110,1189.7,1146.4,893.1,1181,864.4,904.8,1177.1,1259.5,1114.8,1227.5,982,1147.2,1370.5,1274.9,885.6,1103.5
2021,973.6,1119.2,1219.3,1196.3,1277.2,1209.6,939.3,1227.3,936.7,861.5,1186.5,1291.6,1235.4,1173.1,1062.1,1134.4,1310.9,1217.2,826.2,1126.2
2022,938.5,1078.7,1213.6,1130.7,1290,1309.2,1054.8,1036.7,931.5,917.8,1117.1,1258.1,1217.8,1190.1,1052.8,1127.5,1355.1,1092.4,881.4,1115.5
2023,909.1,1210.8,1420.1,1133.6,1251,1310.7,917,1099.8,855.3,877.2,1305.7,1243.3,1257.7,1186.6,1064.6,1052.8,1128.7,1221.2,880.4,1122.4
2024,973.5,1147.7,1401.8,1194.6,1272.6,1361.2,988.9,1084.4,893.8,915.5,1212.8,1304.2,1345.6,1187.7,1118.4,1082.6,1357.5,1138.7,932.8,1153.4
