"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,0.1,-6.2,-5.1,-1.3,-2.2,-1.1,-4.5,-4.9,-3.5,-1.7,-2.9,-3.6,4.4,1.3,-3,-4.7,-1.7,-4.8,-3.3,-2.6
2016,0.1,-4.9,-3.4,-2.3,-2.2,-1,-4.9,-2.2,-3,-0.3,-3.5,-4.1,3.9,1.9,-4.1,-3.8,-0.4,-4.8,-3.6,-2.2
2017,0.5,-5.7,-2.7,-2,-1.7,-0.7,-4.9,-1,-4.2,-2.7,-2.6,-4.2,1.8,1.8,-3,-4,-0.4,-4.4,-2.6,-2.2
2018,0.6,-4.5,-3.1,-1.8,-1.7,-1.3,-3.7,-4,-4.6,-2.1,-1.6,-3.4,4.1,1.5,-3.4,-3.2,0.1,-3,-2.6,-2
2019,0.4,-4.9,-2.3,-1.5,-1.8,-0.9,-4.1,-1.7,-3.9,-2.7,-3.1,-3.6,3.2,1.7,-3,-4,0.1,-4.7,-2,-2
2020,1,-5.4,-2.7,-2.4,-1.4,-0.9,-3.9,-1.5,-3.3,-3.5,-2.5,-2.2,4,2.1,-3.2,-3.9,1.6,-3.6,-2.6,-1.8
2021,0.8,-2.9,-3.9,-1.5,-1.1,-0.9,-4.1,-1.4,-3,-2.5,-3,-2.7,2.7,2.4,-2.4,-3.5,-0.7,-3,-2.5,-1.7
2022,0.7,-4.5,-3.7,-1.5,-1.6,-0.7,-4.5,-2.4,-3.6,-1.5,-1.5,-3.2,2.6,1.6,-3.2,-3.2,0.5,-2.6,-2,-1.8
2023,1.1,-4.3,-5,-1.7,-1.6,-0.6,-4.5,-4.5,-3.1,-1.4,-1,-3.6,5.2,1,-2.8,-3.5,-0.6,-3.5,-2.5,-1.9
2024,1,-3.8,-6.7,-1.2,-1.1,-0.1,-4.5,-3.3,-2.5,-4.2,-0.3,-2.5,4.9,1.3,-1.8,-3.8,-0.5,-3.8,-1.5,-1.8
2025,0.7,-4.2,-4.2,-1.1,-1.8,-0.5,-4.4,-1.6,-2.9,-2.5,-0.5,-2,4.2,2.6,-2.8,-3.9,-0.3,-4.8,-2.2,-1.7
2026,0.9,-1.9,-4.4,-1.4,-1.8,-0.8,-3.1,-2.5,-3.1,-0.2,-1.1,-2.9,2.9,2.6,-2.3,-3.5,0.2,-3.5,-2.6,-1.5
2027,0.9,-2.5,-5.1,-1.2,-1.7,-0.5,-3.8,-2.2,-3.1,-0.6,-2.6,-2.4,2.3,2.3,-2.9,-3,-1,-3.1,-2.6,-1.7
2028,0.6,-3.8,-4.5,-1.6,-0.9,-0.5,-4,-1.8,-2.8,-0.3,-1,-2.2,5.4,2.8,-2.1,-3.8,-0.3,-3.3,-1.8,-1.4
2029,1.2,-4.6,-2.9,-1,-1.7,-0.2,-3.3,-0.6,-2.6,-1.8,-0.6,-2.8,4.5,2.4,-3.2,-3.5,0.3,-3.6,-2.2,-1.4
