"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,7.9,18.8,5.4,5.7,7.1,8.6,1,3.9,5.9,NA,5.7,2.7,14.8,10.9,8.4,6.4,7.6,NA,6.5,7.5
2016,8.7,19.2,2.1,4.8,6.7,8.3,2.5,8.4,7.3,NA,5.3,3.5,10.6,8.8,7,7.2,8,NA,6.8,7.4
2017,8.6,12.2,2.4,3.8,7.4,7.3,2.2,7.3,4.8,NA,5.4,3.2,10.1,14.4,7.7,8,8.7,NA,7.9,7.1
2018,9.3,14.3,3.8,4.5,7.7,8,2.2,6.6,5.4,NA,5.7,4.2,15.8,15.6,6.4,7.8,7.3,NA,6.7,7.7
2019,8.6,15.2,4.8,5.2,7,8.6,2,6.6,2.5,NA,5.2,3.6,15.5,10.2,8.1,7,8.3,NA,7,7.4
2020,8.4,18.5,3.3,5.7,8.3,8.6,1.4,7.8,6,NA,4.8,3.5,15.5,10.2,7.3,7,8,NA,7.3,7.7
2021,7.6,19.2,1.8,6.3,7.2,9.2,2.2,6.9,5.4,NA,6,3.4,17.9,9.7,7.5,6.3,8.3,NA,6.4,7.7
2022,7.9,17.2,5.2,6.5,6.4,7.6,2.1,8.4,5.2,NA,5.1,3.5,15.5,9.6,9.2,6.3,8.8,NA,7.7,7.8
2023,7.4,22.3,3.4,5.4,7.3,7.2,3.1,7,5.6,NA,6.2,3.1,18.6,14,8.2,7.3,8.9,NA,8.5,8.4
2024,9,15.5,3.1,5.4,7.8,8.7,2.3,6.6,5.3,NA,5.6,3.3,15.1,13.6,8.1,6.8,8.6,NA,7.6,7.8
2025,8.7,12,6,5.9,8.5,8.8,1.1,8.1,6.2,NA,5.3,3,15.6,9.2,7.7,8,9.9,NA,8.7,7.8
2026,8.2,14.8,2.3,5.1,7.5,7.6,1.8,7.3,4.7,NA,6.5,3.2,16.4,8.8,6.9,7.6,8.8,NA,7.3,7.3
2027,9.7,19.9,5.1,5.7,7.4,8,2.4,7.5,7.3,NA,4.7,3.5,14.8,13.9,8.8,7.4,9.3,NA,6.9,8.4
2028,8.9,18.9,3.7,5.5,6.7,9.3,2.7,5.2,6.5,NA,6.4,3.6,12.3,12.4,8,8.5,9.9,NA,8.2,8
2029,9.4,19.3,6.2,5.5,6.8,8.4,2.4,6.1,7.6,NA,5.2,3.7,17.4,14.3,8.8,7.9,9,NA,7.9,8.6
2030,8.8,15.3,3.7,5.5,6.6,8.2,1.7,6.6,6.2,NA,6,2.6,10.2,14.8,8.3,7.8,7.8,NA,6.6,7.5
2031,8.1,9.8,3.4,5.7,8.5,9.7,3.6,6.9,5.7,NA,5.1,4,17.5,12,8.1,7.9,9.8,NA,7.6,7.8
2032,8.8,13.7,2.2,6.6,9.5,10.7,3.7,8.2,5.5,NA,7.9,3.7,18.5,11.9,9.2,7.2,7.7,NA,8,8.4
2033,8,17.7,5,6.2,8.6,8.9,1.6,8.1,7.7,NA,6.3,3.4,15.3,13.8,7.9,8.4,8.3,NA,6.8,8.4
2034,8.7,13.7,3.9,6.2,7.2,9.6,2,7.9,7.2,NA,5.7,3.4,9.3,12.5,8.7,6.7,10,NA,8.4,7.7
2035,8.6,20.7,6.1,6.3,8.2,8.4,3.7,7.4,5.3,NA,7.9,2.8,15.3,13.1,8,7.6,8.7,NA,7.7,8.6
2036,9.5,18.3,5.3,5.8,9.1,9.8,2.3,7.6,3.9,NA,7.3,3.7,18.6,15.3,7.8,6.6,9.4,NA,9.5,8.8
2037,9.3,17.4,7.4,6.3,6.8,9.7,1.9,8.8,7.2,NA,6.7,3.9,17.3,14,8,9.4,9.2,NA,8.2,8.9
2038,9.5,17.9,3.2,6.2,6.8,8.5,2,5.9,8.4,NA,7.1,3.7,13.7,13.9,8.4,8.6,8.1,NA,7.9,8.2
2039,8.6,15.4,2.6,6.5,6.1,8.6,3.5,7.1,6.8,NA,8.8,4,16,9.2,9.3,7.8,8.6,NA,8.8,8.1
2040,9.5,18.9,2.1,6.9,8.3,9.2,2.4,7.1,6.3,NA,7.2,4.4,17,10.3,7.8,7.7,10,NA,10,8.5
2041,9.3,22.1,4.9,5.7,8.5,8,1.1,7.8,8.2,NA,6.3,4.3,17,11.8,6.8,8.1,10.1,NA,8.1,8.7
2042,9.6,6,4,5.5,8.4,8,3.5,6.7,6.7,NA,7.3,3.8,16,13.2,9.5,8.1,8.4,NA,8.7,7.8
2043,9.6,21.2,3.8,6,7.2,9.9,4.8,7.5,6.6,NA,7.9,3.6,17,14.4,9,8.9,9,NA,8.6,9.1
