"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,-15.1,-41.4,-18,-22,-19.6,-20.8,NA,-21.5,-20,-23.2,-23.2,-31.4,-12.5,-16,-21.5,-24.1,-13.5,-24.3,-25.3,-21.9
1851,-14.4,-39.5,-21.1,-22,-21.4,-21.3,-20.5,-18.7,-23,-30.4,-18.9,-28.8,-10.9,-16.2,-20,-25.9,-12.5,-19.4,-27.5,-21.7
1852,-16.5,-41.9,-25.7,-21.3,-19.3,-19.6,-19.5,-20,-20.8,-31.8,-24.5,-28.1,-11.7,-16.9,-20.1,-23.5,-17.5,-18.1,-27.5,-22.3
1853,-16.3,-43.8,-21.4,-19.8,-18.9,-18.6,-22.5,-16.3,-22.9,-22.5,-23.1,-29.9,-17.9,-16.9,-21.9,-22,-15.6,-20.1,-25.5,-21.9
1854,-14.6,-40.5,-25.1,-17.2,-19.3,-20.6,-22.9,-18.3,-17.4,-23.2,-23.6,-30.1,-10.6,-17.1,-21.4,-23.4,-15.2,-23.5,-24.7,-21.5
1855,-16.3,-42,-22.3,-19.2,-21.6,-20.5,-20.4,-21.4,-21.6,-25.2,-22.5,-27.2,-12.8,-18.4,-22.4,-26,-15.6,-23.8,-26.4,-22.4
1856,-16.4,-40.6,-17.1,-20.7,-22.1,-18.4,-21.8,-18.9,-26.4,-24.6,-20.8,-27.7,-10.6,-15.9,-19,-24.2,-15.8,-19,-25.7,-21.4
1857,-13.8,-41.5,-22.6,-19.4,-20.6,-20.5,-21.7,-17.1,-22.8,-27.1,-20.4,-28.6,-8.6,-16.1,-22.1,-24.8,-22.4,-24.1,-25,-22.1
1858,-13.8,-39.9,-19.2,-23.5,-22.8,-21.7,-18.5,-26.3,-21.7,-31.3,-22.7,-29.7,-11.2,-19.2,-20.6,-24,-13.6,-24.5,-25.8,-22.6
1859,-13.1,-40.5,-20.3,-22,-19.6,-20.7,-19.4,-21.1,-19.1,-26.2,-25.7,-26.9,-13.7,-16.6,-20.4,-24.9,-14.5,-20.9,-22.7,-21.5
1860,-15.9,-43.5,-24.4,-20.4,-20.1,-19.9,-18.3,-19.9,-21.9,-23.7,-21.5,-28.2,-12,-19.2,-22.7,-25.3,-16.1,-14.7,-23.1,-21.6
1861,-16,-38.1,-21.9,-19.5,-20.6,-17.5,-21.5,-22.7,-19.9,-29.2,-23.6,-27.7,-11.2,-14,-26.5,-26.8,-14.9,-21.5,-26.4,-22.1
1862,-16.6,-40.3,-16.7,-22,-19.8,-17.5,-19.1,-19.7,-17.2,-24.4,-21.8,-25.8,-10.8,-15,-20.9,-25,-14.4,-23.1,-26.2,-20.9
1863,-13.4,-45.6,-21.6,-19.8,-22.4,-22.9,-20.3,-18.1,-18.5,-24.6,-23.2,-26.6,-12.3,-14.7,-23,-24.3,-16.1,-17.9,-23.1,-21.5
1864,-15.8,-38.9,-20.6,-19.5,-19.9,-18.1,-22,-23.8,-18.6,-26.2,-20.8,-31.3,-14.4,-18.3,-22.7,-23.7,-15.8,-19.6,-23.5,-21.8
1865,-13.8,-37.4,-22.1,-20.2,-19.4,-18,-22,-18.1,-19.3,-22.8,-21.5,-29.9,-10.9,-17.4,-25,-22.1,-17.8,-23.5,-27.3,-21.5
1866,-15,-36.6,-20.2,-21.8,-20.6,-19.6,-21.5,-20.4,-24.8,-27.3,-25.7,-29.7,-9.1,-17.9,-23.6,-24.4,-14.7,-24.3,-27.1,-22.3
1867,-15.8,-45.6,-20.8,-20.3,-20.7,-19,-20.5,-20.7,-21.4,-22.2,-23.1,-29.2,-15.2,-18.6,-19,-22.3,-17.3,-20.9,-24.2,-21.9
1868,-15.6,-34.8,-25.9,-19.8,-20.9,-19.7,-17.9,-25.3,-22.5,-26.2,-21.5,-30.1,-13.8,-16.6,-23.5,-25.3,-19.5,-21.9,-24.3,-22.4
1869,-16,-31.2,-15.6,-19,-22,-18.8,-20.6,-17.1,-22.8,-19.7,-21.8,-25.7,-11.6,-14.9,-21.4,-23.6,-15.1,-19.1,-26.3,-20.1
1870,-15.9,-39.3,-19.5,-21.9,-22,-18.9,-17.1,-21.3,-18,-25,-21.5,-27,-14.4,-13.8,-23.9,-24.8,-16.9,-23,-24.3,-21.5
1871,-14.3,-43.4,-20.1,-18.8,-21.9,-19.9,-17.3,-20.1,-18.5,-25.7,-22.1,-26.5,-11,-17.8,-24.1,-24.6,-14.3,-22.4,-24.9,-21.5
1872,-13.9,-45.7,-24.3,-21.7,-21.4,-18.1,-16.5,-19.3,-25,-23,-18.5,-27.4,-9.7,-14.5,-18.2,-24.9,-15.7,-20.5,-24,-21.2
1873,-14.8,-41,-18.2,-23.1,-20.7,-19,-19.5,-18.9,-17.8,-24.5,-20.2,-29.3,-9.3,-15.3,-21.1,-24.6,-14.7,-21.5,-28.8,-21.2
1874,-13.4,-41.1,-19.1,-20.5,-20.7,-21.3,-23.3,-19.3,-18.9,-23.2,-22.8,-27.1,-12.9,-13.8,-18.8,-22.8,-16.2,-22.2,-26.4,-21.3
1875,-14.3,-41.2,-18.5,-22.1,-19.8,-20.6,-16.6,-16.1,-23.1,-22.8,-22.8,-26.2,-12.2,-16.3,-21.1,-25.8,-19.1,-21.4,-25.3,-21.3
1876,-15.3,-38.2,-20.3,-19.3,-21.2,-19.6,-22.1,-23.1,-22.8,-27.4,-19.2,-27.4,-12.5,-15.1,-19.3,-22.2,-16.6,-22.6,-25.4,-21.6
1877,-16.7,-34.3,-16.8,-20,-21.3,-21,-24.4,-24.6,-23.1,-24.2,-20.8,-26.1,-10.9,-16.5,-22.8,-25.5,-13.9,-24.8,-24.1,-21.7
1878,-15.7,-37.4,-22.5,-20.8,-20.3,-19.9,-18.5,-22.2,-17.9,-23,-19,-28.3,-16.4,-14.3,-21.7,-23.2,-14.5,-23,-22.9,-21.1
1879,-14.7,-44.3,-19.9,-22.2,-19.8,-18.8,-16.1,-23.8,-20.8,-24.2,-20.9,-27.4,-9.4,-15.5,-23.6,-25.6,-16.2,-20.1,-27.7,-21.6
1880,-15.6,-41,-20.2,-21.2,-19.8,-17.6,-23.1,-19.6,-22.3,-22.1,-22.9,-24.8,-12.1,-17.3,-24.6,-25.4,-13.9,-18,-24.3,-21.4
1881,-16,-38.7,-20.4,-20.3,-20.7,-22,-17.9,-20.7,-20,-26.8,-20.8,-26.3,-11.8,-17.6,-20.8,-23.2,-17.8,-22.5,-23.9,-21.5
1882,-15.5,-36.9,-19.7,-21.2,-19.2,-19.8,-20.8,-28.1,-17.8,-26.1,-22.6,-26.7,-8.8,-15.3,-22,-24.4,-15.8,-22.6,-23.5,-21.4
1883,-15.6,-38.9,-21.7,-21.3,-23.5,-23,-19.9,-21,-17,-25,-21.7,-26.8,-10.3,-15.8,-21.8,-22.9,-15.8,-24,-24.3,-21.6
1884,-14.1,-40.3,-24.1,-23.2,-21.7,-21.2,-18.3,-20.5,-21.6,-25.4,-21.6,-29.2,-14.8,-17.3,-24.4,-25,-17.8,-23.8,-28.7,-22.8
