"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,6,0,0.1,0.1,3.3,7.5,NA,0.1,8.2,1.2,6.9,1.7,30.9,18.8,5.2,2.3,3.2,7.8,3,5.9
1851,3.6,0,0,0.2,3.4,9.2,0,0,2.4,1.1,6,3.8,28.6,18.1,6.3,4.9,3.5,13.5,1.7,5.6
1852,5.7,0,0.1,0.1,5.1,8,0.4,0.4,2.6,4.3,3.6,4.6,35.3,13.5,5.5,2.6,1.3,10.4,3.1,5.6
1853,3.8,0,0,1.2,4.4,7.1,0.3,2.4,4.3,4.1,3.3,2.2,31.6,11.5,8.2,3.6,0.7,16.2,2.9,5.7
1854,5.6,0,0,0.2,4.8,7.5,0.2,1.8,7.4,3.3,7.1,0.4,31.2,12.3,6.5,2.2,3.5,5.7,5,5.5
1855,3.4,0,0.1,0.1,3.4,4.8,0.5,0.1,3.8,2,2.1,3.3,36,11.6,4.8,4.1,2.2,15.4,1.7,5.2
1856,3.3,0,0,0.2,2.7,6.3,0.1,1.3,4.3,3.2,5.5,0.9,43.9,17.3,3.8,7.3,0.9,11.4,2.1,6
1857,3.5,0,0,0.1,2.6,6.6,0,0,11.1,2.6,11.1,3.1,37.3,21.5,9.8,4,1.1,8.3,1.4,6.5
1858,1.7,0,0,0.2,2.8,5.7,0.2,1,0.3,7,4.8,2.8,27.8,16.7,8.6,3,2.1,7.4,3.3,5
1859,7,0,0,0.8,4.8,5.9,0,1,5.2,5.8,2.2,1.7,31.5,23.1,4.2,4.1,1.8,14.3,2.5,6.1
1860,4.2,0,0,2.4,4.8,6.4,0.1,1.9,0.6,5.6,4.9,2.4,33.8,15,6.5,6.6,1.8,10.5,4.9,5.9
1861,5.6,0.1,0.1,0.2,3.8,7.9,0,0.8,9.8,1.2,4.7,4.5,33.2,20.4,5.9,3.2,1,14.6,0.7,6.2
1862,7.5,0,0,0.2,5.8,8.9,0,0.1,2.2,6.2,6.2,1.4,36.2,11.5,4.8,2,3.6,17.5,4,6.2
1863,8.7,0,0,0.6,1,6.9,0,3,9.5,1.8,3.9,1.5,30.7,20.4,10.1,2.3,0.7,9,3.3,6
1864,5.1,0,0.9,0.1,4.2,8.3,0.2,0.1,7.4,1.8,5.9,1.7,36,14.6,8.1,3.1,2.2,12.9,4.4,6.2
1865,5.1,0,0,1.6,5,6.7,0,0.2,4.3,10.4,5.8,2.3,36,20.6,5.5,3.3,2,4,4.2,6.2
1866,5.6,0,0,0.2,4.5,8.7,0.1,0.4,4.6,5.4,5.5,1.7,36.5,17,10.4,3.2,2.9,7.5,2.2,6.1
1867,3.3,0,0,0.5,2.7,7.6,0,1.6,6.6,3.8,4.3,2.6,30.3,21.4,5.6,4.1,0.8,4.7,1.9,5.4
1868,3.4,0,0,0,2.5,7.6,0.1,0,2.8,1,6.4,3.7,29.8,12.5,5.7,4.5,0.8,8.9,3.7,4.9
1869,6.9,0,0,0.6,2.4,8.6,0,0.3,6.9,9.2,6.2,2.5,45,22.9,3.7,5.6,1.9,5.4,2,6.8
1870,4.3,0,0,2.4,4.7,7.5,0.1,1.1,5,11.6,7,2.1,40.1,21.6,7.8,5,2.2,8.2,3.1,7
1871,3.5,0,0.2,0.1,4.9,7.5,0.4,0.2,0.3,0.6,5.5,0.9,33.9,15.1,7.4,6,1.7,9.9,5.5,5.5
1872,4.2,0,0.1,0.2,4.1,8.9,0,0.1,2.7,0.4,6.5,4.5,31,18.1,9.1,5,1.1,4.9,2.7,5.5
1873,5.5,0,0,0.3,2.5,8.9,1.8,0.4,8,1,4,1.9,31.7,24.4,3.7,5.7,0.9,15.4,3.1,6.3
1874,5.6,0,0.1,0.4,5,6.7,0,0.1,1.3,3.5,5.7,2.1,31.8,25,7.2,4.6,2.1,9.4,2.9,6
1875,4,0,0,0.4,2.1,8,0.3,0,1.6,3.3,6.7,2.6,38,17.5,5.9,5.1,5.9,13.2,1.7,6.1
1876,4.9,0,0.1,0.4,3.5,13.3,0,0.1,2.4,6.9,6.8,4.1,39,14.9,8.4,5.1,1.5,5.4,3.1,6.3
1877,2.6,0,0,0.1,4.2,6.5,0.1,0.5,9.5,7.2,2,1.8,31.1,15.9,6.1,4.1,1.3,7.4,2.2,5.4
1878,3.4,0,0,1,4.3,5.1,0.5,0.6,15.8,4,9.6,3.2,31.7,18.5,3.2,4,0.8,7.8,3,6.1
1879,4.4,0,0,0.1,3.8,9.6,0,0.3,4.2,7.1,3.5,3,26.9,22.8,4.5,2.5,3.7,14.3,3.5,6
1880,8,0,0,0.1,3.1,8.8,0.2,0.7,3.3,6.5,4.4,0.7,36.3,14.3,4,4,4.2,14,4.7,6.2
1881,3.8,0,0,0.2,3.9,9.3,1.2,0.3,3.7,3.1,3.6,1.3,33.5,14.3,8.8,4.1,1.9,16.7,4.3,6
1882,5.8,0,0,2.8,1.6,7.9,0,0.1,7.1,0.4,4.5,3.2,33,14.3,6.5,2.2,2.1,13.7,3.8,5.7
1883,3.5,0,0,0.2,4.4,8.3,0,0.4,10.4,2.1,3.5,2.7,31.2,16.6,4.4,2.7,1.2,9,4.4,5.5
1884,2.6,0,0,0.1,4.8,10.5,0.1,0.1,2,3.4,3.3,2,33,19.6,4.4,1.2,0.4,7.1,4.3,5.2
1885,4,0,0,0.1,3.2,9.7,0.1,0.1,0.3,4.5,9.6,3.4,32.3,19.6,2.5,3.4,1,13.3,5.1,5.9
1886,4.7,0,0,0.1,3.2,3.8,0,0.2,2.9,1.8,6,2.5,34.4,14.1,4.4,0.8,1.3,8.6,3.6,4.9
1887,3.7,0,0.1,0.5,4.3,7.7,0.1,0.8,3.1,3.3,1.7,2.6,28.9,9.7,6.3,5.8,0.5,6.2,2.1,4.6
