"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,9.6,0,0,6,6,12.6,3,0,2.6,10.1,2.1,8.7,45.6,21.8,17.4,9.2,2,7.2,6.4,9
2016,10.2,0,0,4,11.3,16,0.8,0.6,4.8,21.8,4.3,3.9,32.8,20,16.8,11.5,11.7,11.5,4.7,9.8
2017,5.2,0.1,5.1,2.7,4.8,9.8,1.1,1.6,4.7,8.5,3.5,6.6,31.2,25.8,10.7,12.2,6.3,18.6,8.9,8.8
2018,10.2,0,0.8,1.5,12.1,9,2.5,0.4,4.1,10.5,16.6,9.9,36.7,21.6,22,8.8,4.8,20,5.3,10.4
2019,7.8,0,0.6,2.2,5,10.3,2.4,1,3.8,7,5.2,9.4,31.5,24.7,8.8,8.8,11.1,20.8,8,8.9
2020,13,0,0.6,1.8,8.2,11.3,2.4,1.6,6.6,3.7,1.8,10.6,45.4,25.8,16,10,5.8,12.4,8.1,9.7
2021,11.8,0,0,5.6,9.4,13.4,1.9,1.4,9.4,23.7,0.2,11.4,41,27.5,9.3,8.4,7.8,29.9,7,11.5
2022,11.5,0,0,2.6,9.2,12.9,0.4,0.3,6,3.6,24.9,8.8,32.5,24.7,15.6,19.5,3.8,23,12.6,11.2
2023,13.4,0,0.1,4.2,8.2,8.5,3.1,0.1,5,26.5,16.9,11.7,35.6,17.8,15.2,10.9,2.9,15.1,3.9,10.5
2024,18.6,0,0,5.6,13.9,12.1,0.4,0,14.7,2.1,28.8,12.4,39.3,19.4,16.8,11.4,4.4,7.6,13.9,11.7
2025,11.1,0,0,2.5,7.3,13.9,1.6,0.1,6.4,19,27,15.9,41,28.4,8.8,8.7,4.3,25.1,6.3,12
2026,12.1,0,0,5.7,5.2,12.7,2.4,0.1,5.5,21.6,27.3,11.5,31.4,28.7,18.5,12,4.5,13.1,8.1,11.6
2027,15.6,0.1,0,5.7,7.9,17.3,4.1,0.3,7.2,18.7,20.2,12.8,31,26.6,14.7,18.6,0.4,21.3,6.6,12.1
2028,12.7,0,0,5,9.7,9.2,1.9,0.9,1,17.8,28.1,12.5,48.2,30.2,22.8,11.2,3.8,19.8,9.4,12.9
2029,12.9,0,0,5.5,10.2,13.9,2.2,10.1,8.9,9,21.8,10,33.6,26.1,16.4,6.2,16.1,15.8,4.9,11.8
2030,16.1,0,0,5.7,8,11.6,1.8,3.2,2.3,25.3,17.5,9.7,31,26.4,11.7,11.2,8.1,21.8,18.8,12.1
2031,8.5,0,0.1,4.2,10.4,18.3,1.3,3,4.4,13.8,16.4,17.1,29.6,23.5,20,12.7,10.4,18.2,13,11.8
2032,10.5,0,0,8.7,12.3,12,2.7,0.5,8.4,31.9,20.8,12.2,48.3,27.1,18.4,11.3,9.7,17.1,10.3,13.8
2033,12.1,0,0.1,7.3,10.4,14.4,2.5,2.9,9.9,8.2,13.5,20.3,55,22.9,18.4,12.4,3.9,16.6,10.2,12.7
2034,11.9,0.1,0.1,6.2,8.4,13.2,2.4,3.3,7.6,19.4,27.7,15.2,32.1,21.2,9.3,11.9,20.9,20.1,15.3,13
