"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,61.7,86,84.5,67.3,90.4,84.4,NA,69,43.4,77.7,93.8,79.8,138.3,69,69.7,56,83.5,55.8,52.9,75.7
1851,44.1,70.7,86.4,63.7,86.8,84.1,38.7,87.2,49.3,64,72.1,88.5,108.2,72.7,55.1,54.4,64.7,54.2,56,68.5
1852,62.9,70,66.8,66.5,87.8,95,36.4,89.5,60.3,35,75.7,61.8,82.7,77.5,68.8,78.5,90.8,40.8,47.6,68.1
1853,61.7,90.7,40.8,63.7,88.4,84.8,43.3,84.6,52,58.6,107.8,78.6,105.2,77.5,73.2,63.2,88,53.2,55.6,72.2
1854,70.4,92.3,75.7,74.4,84.8,72.9,35.4,76.8,79.7,89.1,73.6,81.9,82.3,64.4,66.6,58.9,91.6,58,58.6,73
1855,49.8,81.2,83.8,79.4,85.5,93.6,44,105.6,46,61.5,96.6,74.2,82.7,73.4,72.1,69.8,63.7,58.2,60.1,72.7
1856,57.5,48.2,74.2,72.3,69.9,89.9,26.4,83.4,54.8,52.2,90.1,103.2,64.4,77.2,54.9,58.8,84.5,59,56.9,67.3
1857,59.9,78.6,77.7,69.2,78.5,81.8,39.9,91.8,53,65.8,100.1,68.7,63.1,72.4,64.8,56.8,96.4,60.8,53.1,70.1
1858,46.1,71.2,101.9,71.7,67.6,86.2,49.8,102.2,53.1,48.4,96.7,105.4,77.7,67.1,57.6,64.8,68.7,58.4,57.9,71.2
1859,62.4,52.6,76.4,67.6,68.3,77.9,48.2,75.8,47.4,66.7,100.5,84.4,94.5,54.5,63.1,72.6,68,71.9,48.1,68.5
1860,64.7,62.1,68.3,69.2,89.3,87.2,41.6,108.6,54.4,80.8,81.1,79.7,90.4,80,72.7,67.2,102,57,48.4,73.9
