"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,69.3,103,92.4,56.9,61.7,71.8,32.8,88.8,49.8,27.4,63,73.2,161.8,68.4,73.9,58.7,81.4,71.2,34,70.5
2016,57.7,101.3,47.4,58.9,67.4,52.5,54.5,88,57.3,74.6,82.1,74.2,97.2,95.6,92.1,75.9,61.8,76,46.2,71.6
2017,55.6,87.9,85.9,66.7,59,66.7,36.2,62.2,45.7,80.6,81.1,62.2,146.9,53.4,67,73.4,50.3,70.4,40.5,68
2018,60.7,86,111.6,63.3,55.5,62.7,53.6,65.8,59,40.6,113.9,71.9,125.4,58.3,97,67.8,98.3,78.6,46.4,74.5
2019,58.6,59.2,84.6,60.4,77.4,58.2,44.7,72.2,57.7,57.2,87.6,73,110.3,51.4,58.8,59,119.5,72,44.3,68.7
2020,51.8,124.4,92.6,72.9,63.4,66.1,41.9,62.4,57.9,48.6,65.8,67.5,91.6,65.9,82.7,60.1,24.1,80,41.6,66.4
2021,56.7,99.2,93.4,63.9,66,65.6,47.5,75.1,74.4,54.1,73,76.6,74.2,50.7,88.7,71.2,77.3,56.2,32.9,68.2
2022,61.1,48.7,77.5,61.5,64.2,55.8,39.3,68.8,49.4,69.8,42.7,67.1,140.7,71.9,61.7,68.7,128.4,71.3,54.3,68.6
2023,59.5,52.1,119.2,61.8,65.8,69.5,46.9,71.7,53.2,36.9,61.5,77.3,68.6,77.3,59.8,66,53.9,72.3,38.9,63.8
2024,54.8,126.5,74,74,51.2,63.2,36.7,71.5,49.5,52.7,88.2,77.8,101.3,66.6,94.8,63.8,115.1,76.8,36.5,72.4
2025,50.8,140,95,60.5,60.6,48.8,52,90.7,54.1,25.8,131.4,64,105.2,66.3,57,67.5,76,65.4,41.7,71.2
2026,56.8,91.6,38.9,61.7,59.3,71.3,41.8,86,49.9,27,113.1,85.1,101.2,84.8,78.2,66.7,37.9,81.3,43.2,67.1
2027,56.5,103,57.9,56.2,62,67.4,41.3,103,51.3,94.6,54.6,77.2,112.6,78.5,88.1,74.1,30.8,76.8,34.6,69.5
2028,58.4,96.2,85.6,63.8,63.3,83.3,53.5,66.4,79.5,67,98.7,81.6,100.5,70.7,55.9,77.2,25.9,83.3,44.2,71.3
2029,54.4,73.4,102.2,51.1,81.7,57.8,47.4,73.8,52,50.2,70.4,67.4,118.8,81.2,77.8,65,104.8,50,52.3,70.1
2030,54.2,63.8,106.2,64.7,60.5,58.8,58,75.6,43.4,44.3,60.6,74.4,99.8,88.1,83.4,71.5,71.1,85.8,43,68.8
2031,55.9,45.7,54.2,66.9,75.4,66.6,56.9,80.3,60.8,46.8,66.5,75.5,97.5,78.8,53.9,63,90.9,70.4,47.8,66
2032,58.4,84.1,93.4,64.6,71.4,53.3,38.4,76.6,57.2,58.8,85.9,69.9,106.1,69.1,93.8,59.9,82.6,82,50.8,71.4
2033,56.5,49.2,118.3,68.8,59.2,65,41.3,61.9,76.3,78.3,71.3,66.6,108.2,77,84.8,70.7,121,62,44.7,72.7
2034,54.2,127.6,90.2,73,61.6,55.5,43,59.7,66.2,59.6,61.7,88.5,67.3,63.7,91.3,63.2,92.6,57.3,42.2,69.4
2035,58.2,81.4,95.8,63.1,48.7,52.5,41.6,69.9,53.2,52.7,115.9,73.1,127,67.4,112.1,61.3,69.6,75.5,48.8,72
2036,55.6,65.9,76.9,76.2,64.8,80.2,44.5,88.4,60.5,80.5,124.4,73.2,125.8,99.8,84,73,112.3,75.3,49.3,79.5
2037,66.8,100.5,97.4,63.7,71,58.3,50.5,65.6,67.2,35.1,99.1,77,110.8,77.6,65.2,67.4,71.4,76.3,47.3,72
2038,67,77.7,78.7,61.6,65.4,63.9,43.9,59.4,59.8,34.9,62.7,85,111.9,63.2,64.4,63.2,83.5,87.4,51.9,67.7
2039,69.5,109.7,75.7,56.5,62.7,75.2,50.4,86.1,54.7,55.1,89.3,63.1,92.9,41.2,76.8,72.9,72.9,78.4,47.5,70
2040,54.9,53.2,84,73.1,65.6,64.9,64.7,68.3,62.6,74.3,93.6,67.7,71.1,88.3,81.7,62.7,62.3,63.8,37.8,68.1
2041,57.6,116.4,32.4,77.5,60.1,53.5,53.9,51.3,74.3,43.3,120.2,78,172.8,85.8,61.2,57.2,110.2,76.8,51,75.4
2042,61.9,59.1,52.8,74.7,66,65.9,46.2,75,60.9,44.6,78.1,79.6,103.5,57.4,89.7,70.2,66.3,75.8,59.1,67.7
2043,66,97.1,79,58.3,69.2,69.2,46.5,62.7,56.4,66.2,101.4,93.3,87.4,76.7,103.2,71.2,66.3,80.4,49,73.7
2044,62.4,57.3,69.7,64.8,76.1,64.4,43.1,70.5,56.2,68.2,54.6,58.4,109.4,76.3,60.1,52.8,35,80.4,62.7,64.3
2045,63.9,65.1,64.4,60.6,79.7,57.6,48.9,86.5,70.2,60.4,53.9,63.5,111.4,88,99.6,68.2,40.1,75,56.6,69.1
2046,55.6,62.4,104.6,61.3,59.5,47,45.7,67,59.5,55.7,80.3,81.2,76.4,80.8,75.6,65.1,78.9,83.8,58.7,68.4
2047,62.4,76.8,84.4,70.4,66.4,66.8,42.4,75.1,65.1,54.1,68.3,89.1,122.1,70.5,76.9,82.6,77.6,93.7,44.7,73.1
2048,60.7,72.9,72.7,58.6,69,66.8,47.2,67.9,65.4,43.4,75.7,70.8,91,44.2,87.5,75.3,40.4,62.4,56.4,64.6
2049,64.2,107.6,108.6,73.2,62.4,74.6,66.2,80.9,66.2,43,50,69.4,142,71,85.2,75.8,109.1,95.6,48.2,78.6
2050,63.2,83.1,86.7,64,54.4,56.4,53.4,84.2,71.6,46.5,106.3,69.2,95.5,78.3,66.8,70.6,73.7,73.4,45.9,70.7
2051,64.2,84.7,76.6,74.8,59.7,67.3,54.4,71.6,65,100.4,107.9,68.7,116.6,82.7,75.2,69.5,100.5,77.8,49.4,77.2
2052,56.1,79.6,80.3,64.8,74.3,66.2,40.9,91.6,62.4,52.9,136.9,69.4,145.8,109.4,97.2,68,48.9,59.8,44.5,76.3
2053,53.8,127.3,130.6,59.6,73.9,65.8,48,64.9,62,50.3,92.5,65.4,58.2,78.7,65,55.3,72.4,46.4,64.9,70.3
2054,63,45,95.9,72.5,61,83.9,47.5,86.7,49.4,63.9,120,77.4,151.9,84.6,66.9,64.3,96.1,93.2,43.6,77.2
2055,69.2,78.2,85.9,87,64.8,71.8,53.1,77.1,64.7,42.6,91.6,89.5,120.3,92.3,56.9,67.5,125,72.2,47.5,76.7
2056,54.8,92.2,81.5,59.4,55,76.1,44.3,95.6,64,33.7,64.4,56.7,125.9,75.7,87.7,69.3,91.6,64,46.5,70.4
2057,62,74.9,62.3,73,53.9,57,59.3,74.7,69.2,65.9,69.7,70.8,134.2,70.6,75.8,63.8,71.9,94.2,54.9,71.5
2058,57.8,61.9,77.2,65.2,65,58.8,48.9,94.1,73.1,41.7,119.6,85.2,105.1,87.4,90.4,56.6,81.6,80,54.1,73.9
2059,60.6,72.3,71.6,77.8,56.3,74.7,53.7,64.2,57,31.5,40.7,75.5,118.6,70,83.8,85.7,53.5,55.8,56.1,66.3
2060,61.8,84.8,88.6,73.8,75.6,60.6,51.5,80.5,51,56.8,90.6,75.2,58.3,62.4,95.6,63.5,120.2,68.4,43.8,71.7
2061,59.8,122.9,85.5,80.4,62,65.2,51,58.9,73.8,80.4,73.6,81,131.6,72,78,63.9,79.4,106.8,51.3,77.8
2062,63.7,117.5,91.8,69.9,72.1,55.4,56.6,59.2,50,49.2,111.8,78.6,124,61.5,77.8,68.7,85.8,86.7,42.2,74.9
2063,63.3,54.3,65,77.5,62.2,87.6,62.3,80.1,65.6,57.7,107.5,65.2,98.1,88.3,63.4,71.8,61.7,68.4,49.1,71
2064,56.5,48.9,51.3,91,72.6,64.9,46.8,78,71.5,79.9,96,73.9,85.4,63.8,97.1,72.2,92.8,74.1,42.6,71.5
2065,68.8,53.5,59.9,71.6,67.9,53.2,52.4,88.2,63.1,53.1,117.2,89.2,105.3,63.7,74.7,65.5,93.6,75.2,66.7,72.8
2066,63.7,110.9,111.4,70.6,66.5,65.1,69.3,76.4,52.4,60.8,63.9,63.1,105.2,71.6,94.6,69,84.8,83.6,50.4,75.4
2067,62.8,113.2,181.9,75.8,83.5,90,59.4,89.1,73,35.1,118.8,63.5,101.4,51.3,67.9,77,93,74.9,57.3,82.6
2068,61.2,65.2,117.7,80.3,53.7,76.9,56.7,63,51.3,61.4,78.7,83.3,132.1,87.6,83,71.5,123,76.2,57.8,77.9
2069,56.3,95.5,62.1,74.2,62.7,63.3,55.6,75.4,55.5,50.6,52.9,76.6,68.4,73.6,81.6,74.5,119.2,69.6,45.5,69.1
2070,61.8,90.2,126.5,60.8,58.8,63.2,41.9,91.2,62.4,83.2,158.9,77.5,52.6,76.6,77.2,61.9,98.1,84.8,64.8,78.5
2071,62.5,79.9,46.2,73.3,73.2,74.7,49.7,63.5,49.5,29.8,76.5,72.4,97.5,99.3,59.9,66.4,73.9,73.3,56.3,67.3
2072,66.4,81.7,51.5,81.6,69.7,62.8,46.5,62,56.3,91.5,77.9,85.3,119.3,105.4,94.2,80.6,65.9,83,75.1,76.7
2073,50.1,103.4,65.5,67.8,62.5,84.2,46.7,61.3,63.1,50.2,62.1,65.6,142,79.7,70.3,70.3,55,83.9,66.9,71.1
2074,65.6,114.8,84.4,78.7,83.9,79.9,49.8,81.6,58.1,46.3,68.9,68.9,83.4,74.1,62.2,67.9,70,75.8,47.6,71.7
2075,62.2,81.2,108.1,78.9,74.7,70.4,62.8,49.2,54.1,61.9,88.5,73.4,138.8,81,86.1,74.6,51.4,78.6,48.4,75
2076,60,74.1,79.6,80,65.5,70.4,57.4,70.8,63.7,80.4,52.3,77.6,79.4,74.6,65.7,69.7,43,100.4,51.3,69.3
2077,58.1,115.6,122.7,81.2,75.7,73.5,44,92.8,70.7,44.5,67.8,67.9,109,80,96.7,80.9,106,69.2,45.3,79
2078,46.2,156.5,32.9,81.7,57.9,66.8,55.6,74.7,66.7,48.9,102.1,88.6,109.6,84.1,108,64,75.7,87.6,58.4,77.2
2079,67.8,112.8,85.8,79.5,53.2,73.6,47.9,91.9,53.1,57.8,82.6,63.3,112.6,61.5,76.6,72,44.6,78.9,62.9,72.5
2080,66.2,122.7,76.6,67.3,69.9,63.5,54.4,90.6,61.6,35.1,60.3,77.7,165.7,81.3,50.4,64,82.5,90.6,44.5,75
2081,69,116.4,130,70.6,75.3,65,60.8,73,59.2,51.9,65.5,86.7,114.2,70.7,55.9,67,77.3,82.8,55.6,76.2
2082,67.3,94.6,95.5,79.8,80.5,79.5,48.4,78.7,55.5,59.4,103.7,91.5,71.4,71.1,68.6,62.1,67.6,58.9,45.5,72.6
2083,63.6,101.5,75.8,75,59.1,61,55.6,70,56.5,50.3,48.8,70.1,102.2,87.3,50.3,76.1,69.8,91.8,66.6,70.1
2084,60.2,111.2,119.9,77.8,82.2,68.6,42,105.2,54.2,49.8,71.4,72.3,97.9,69.7,71.9,75.9,26.7,68.7,57.9,72.8
2085,77.1,38.1,96,91.3,68.1,69.4,56.6,81.2,83,65.2,94.5,79.3,95.7,67.1,108,69.1,44.2,85.9,47.5,74.6
2086,66.5,69.4,58.5,79.4,63.5,60.4,53.3,80.5,57,97.5,139.6,84.8,69.2,61.6,51.6,72.8,68.9,80.6,55.7,72.1
2087,53.8,85.4,89.8,84.4,79.6,66.9,59.2,84.4,53.5,60.2,91.6,87.5,134.6,69.4,69.3,76.8,101.6,95.7,53.6,78.8
2088,69.4,20.1,88.9,81.9,70.1,75.4,58.5,60.8,59.3,59.3,114.9,87.6,73.6,80.2,54.5,58.1,106.6,61.2,46.1,69.8
2089,66.4,102.2,59.3,92.2,69.4,72,66,65,72.9,70.4,78.8,88.2,93.3,84,98.5,74.9,84.8,110.7,51.6,79
2090,64.9,139,136.8,72.8,72.5,68.3,64.1,85.6,53.4,81.6,169.1,73.9,143.2,80.1,43.1,78.4,49.9,50.6,51.4,83.1
2091,67.4,129.2,59.6,72.1,62.9,64.1,53.8,102.9,62.5,49.8,98.7,84.4,120.6,100.8,69,73.4,95.3,73.8,62.4,79.1
2092,53.8,94.6,111.8,80.9,77.8,73.1,46.6,80.9,70.2,74,77,75.2,118.6,80.3,68.1,83.4,118.2,88.8,67.5,81.1
2093,59.6,57,65.6,67.8,59.5,78,52.4,91.1,74.8,54.1,106.4,76,150.7,108.3,95.4,77,47.5,99,49.8,77.4
2094,64.3,75.2,106.5,74.1,80.9,54.8,56.6,64,57.8,88.2,63.7,84.3,84.8,71.1,80.5,72.6,89.7,66.7,46.1,72.7
2095,57.2,92.4,129,72.3,61.8,66.2,58.1,80.3,68,51.4,78.1,83.4,104.9,98.6,119.1,74.2,34.2,80.7,63,77.5
2096,59.6,70.8,136.7,73,64.9,66,42.8,70.1,65.2,86.1,59.5,68.7,122.1,76.5,100.6,78.7,121.4,88.6,50.3,79
2097,57.2,111.3,95.9,84.5,70.4,71.6,48.1,80.9,65.8,74.9,82.1,80.4,94.8,75,73.4,70,115.4,98.2,58,79.4
2098,60.9,35.1,74.8,78.9,61,63.9,61.2,74.1,63.7,54.1,98.7,85.8,108.6,103.8,84,69.4,89.3,82.4,45.9,73.5
2099,69.6,59.8,82.4,91.1,71.4,86.2,52.3,84.6,67.6,47.2,100.4,73.7,99.5,104.7,109.3,68.9,76.9,78.2,63.9,78.3
2100,60.9,96,74.7,74.9,81.5,70.5,64.6,63.8,43.2,41.5,71,78.2,68.1,92.8,75.3,74,62.4,72.6,39.5,68.7
