"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,80.4,31.4,75.9,74.3,76.9,74.7,72.5,75.8,77,79.9,76.4,79.3,89.8,81.3,77.7,77.6,77.7,95.3,75.5,76.3
2016,79.8,31.6,69.3,74.3,76.2,76.7,72.6,74.2,78.1,79.9,81.4,77.8,87.4,80.5,77,77.7,83.5,94.9,76.1,76.3
2017,80,29.8,69.7,74.8,77,75.2,73.6,75.8,75.4,81.5,78.6,77.8,87.6,80.9,78.6,76.8,77.8,95.2,75.6,75.9
2018,79.5,35.8,74.7,75.7,75.1,75.6,73.1,76.2,74.8,71.5,81,78.9,87,80.2,72.8,77.4,80.8,95.6,77.7,76
2019,80.2,39.8,67.9,75.5,76.3,76.5,72.6,74.5,77.3,76.2,82.4,79.1,84.8,80.4,78.2,77.3,77.2,95.2,77.2,76.2
2020,80,36.4,71.4,73.8,76.9,77.5,72.6,75.9,76.4,78.7,81.8,78.4,89.5,80.5,75,76.2,79.5,95.3,77.5,76.5
2021,79.4,35.8,72.5,75.7,77.5,76,72.5,76.3,77.4,77.4,81.9,78.3,87.4,81.7,77,77.2,78.4,95.1,75.9,76.5
2022,79.5,27.1,72.5,73.1,75.6,76.7,73.1,73.5,77.4,80.7,73.6,78.3,88.9,79.6,77.7,76.5,78.5,95.5,77.5,75.5
2023,79.4,29.6,74.3,75.3,75.3,77.2,72.8,74.5,77,81.2,81,77.2,89.3,79.2,78.2,77,80.5,95.8,76.9,76.4
2024,80.8,32.2,76.3,73.8,76.4,77.5,73.3,74.9,77.2,80.6,83,78.9,87.5,81.9,76.2,76.2,79.5,94.9,77.5,76.8
2025,80.4,29.3,69.4,75.7,77,76.2,73,77,77.4,79.2,83.1,78,87.2,81.1,76,77.9,80.1,95.4,77.6,76.4
2026,79.8,32.9,76,76.3,76.3,76.3,72.6,75.7,77,83.1,84.4,79,87.6,80.5,76.2,76.8,76.5,95.4,77.2,76.8
2027,80,34.1,77,76.8,75.3,76.5,73,74.8,77.7,80.3,81.9,76.1,88.6,79.8,72.7,76.3,79.3,95.2,77.4,76.5
2028,79.3,27.8,71.4,76,76.8,75.9,72.5,77,77.4,79.3,84.6,77.8,86.8,82.3,76.1,76.6,80.5,95.5,77.7,76.4
2029,80,30,73,75.9,75.1,76.6,73.3,74.5,74.9,73,76.1,78.8,88.3,82.6,75.9,77.7,81.2,95.3,77.5,75.8
2030,80.6,27.3,75.6,76.8,75.8,75.8,71.8,77,77.4,78,86.6,76.4,88,81.9,74.7,77,76.3,95.5,77.4,76.3
2031,79.5,31.6,78,75,76,75.5,73.5,73,79.6,82.8,81.8,76.8,85.9,82.4,75.2,78,78,95.4,76.9,76.6
2032,79.5,33.8,76,74,76.3,77.2,74.2,77.4,76.3,81.6,83.1,78.3,88.5,81.1,77.6,78.3,81.3,95.2,78.1,77.3
2033,81,35,74.3,76.4,76,75.9,72.6,74.6,78.2,82.4,81.4,79.9,88.7,80.3,77,77.1,80.1,95,77.3,77
2034,79.9,31.7,73.9,76.5,76.8,75.3,73,76.2,78.5,79.1,78.2,79.9,88,80.2,76.6,77.6,78.1,95.3,79.3,76.5
2035,80.6,28.7,72.3,75.6,76,76.2,74.5,76.8,76.8,81.6,79.8,79.3,89.3,80.5,78.4,76.7,79.8,95.1,78.1,76.6
2036,80,35.4,71.1,76.8,76.2,76,74.8,74.3,77.8,77.7,79.3,78,85.2,81.2,77.8,77.4,78.3,95.2,77.1,76.3
2037,79.9,33.6,77.4,75.9,76.6,76.5,75.1,77.5,77.8,82.3,81.4,79.1,88.3,81.4,78.8,77,76.8,95.1,76.7,77.2
2038,79,31.2,76,75.6,75.3,76.1,72.3,76,77.4,78.5,81.4,79.4,87.8,79.8,75.7,77.6,81.4,94.9,80,76.6
2039,80,25.8,74.6,76.7,76,76.1,73.4,75,78.8,80.3,79.5,77.7,88.2,82.8,77.4,77.6,76.3,95.3,79.2,76.4
2040,81,25.2,75.6,77.3,75.8,76.1,73.1,75.1,77.6,79.9,79,80.4,88.6,82.5,77.7,77.2,82.5,95.5,78.2,76.8
2041,79.7,27.9,76.8,77,76.3,75.9,73,77.1,77.9,82.3,81.9,78.6,86.9,80.6,80,77.2,79.3,95.4,79.6,77
2042,81.1,31.3,73.9,76.1,75.8,76.8,73.5,76.3,78.9,80.3,83.4,78,89.2,80.7,77.2,77.8,76.5,95.6,78.3,76.9
2043,79.5,29,73.9,76.6,75.9,77.1,73.3,75.7,79.2,83.4,83.1,78.6,89.9,80.9,79.8,78.3,77,95.8,80.2,77.2
2044,81.2,31.3,71.3,77,76.6,76.1,73.9,75.5,76.9,82.8,80.4,77.7,89.2,81.2,78,76.8,76.9,95.2,78.4,76.7
2045,80.6,31.7,80.4,76.9,76.7,76.7,72.8,73.4,76.5,77.3,83.4,80.3,87.3,79.9,77.2,78.1,81,95.2,78.4,77
2046,80.6,28.8,80,76.4,75.7,76.5,72.9,75.5,76.8,81.7,83.5,79.7,89.4,80.1,76,77.6,80,96,77.2,77.1
2047,80.4,31.9,71.4,77.3,76.9,76.9,73.6,76.6,78.4,80.5,82.8,79,87.7,80.4,74.9,76.9,80.4,95.6,78.6,76.9
2048,80.3,24.5,67,77.2,76.8,76.5,72,75,77.4,80.8,79.4,80.7,85.9,80.1,79,77.3,78.6,95.8,79.8,76
2049,80.7,24.4,76.8,76,75.9,76.9,72.9,75.6,77.1,83.7,84.2,79.6,87.9,81.3,78.7,77.8,81.9,95.5,78.2,77.1
2050,80.8,34.8,70.2,76.2,75.3,76.1,73.8,77.7,78.4,81.9,78,79.4,86.8,81.2,73.7,77.9,76.7,95.8,80.2,76.6
2051,79.9,25.5,75.7,77.3,75.4,75.7,73.4,76.5,77.8,72.1,79.8,79.5,89.6,79.9,76.6,78.3,79.1,95.8,79.7,76.2
2052,79.8,41,75,78.1,76.7,76.7,74.5,76.9,79.6,84.1,83.2,77.3,88.1,83.3,76.7,77.9,77.9,96.2,79.7,78
2053,80.5,41.5,68.9,76.8,76.5,76.2,73.8,74.1,76.6,81.3,83.6,80.6,86.6,80,77.5,77.9,79.4,95.4,78.8,77.2
2054,80.1,38.6,78.3,77.4,77.1,76.7,73.9,74.9,78.6,77.8,80.7,79.8,87,83.2,77.6,77.8,80.6,95.5,78.9,77.6
2055,80.6,36.3,76.5,77.4,76.5,76,72.3,77.3,78.7,80.7,82.5,79.8,89.3,80.2,78.3,78.2,79,95.2,77.8,77.5
2056,80.4,41.1,73.4,77.6,77.1,77.5,73.3,76.5,77.2,81.7,84.3,80.4,88.6,79.2,78.6,79.5,81.5,95.8,79.1,78
2057,79.9,33.6,70.7,77.8,76.7,77,74.3,74.4,78.2,79.8,80.3,79.6,85.7,80.8,81.1,78.6,81.2,96,79.4,77.1
2058,81.4,40.8,77.5,78.2,76.2,76.4,74,76.8,76.9,85.8,82.9,77.9,86.9,81.9,78.3,78.2,81,95.7,81.4,78.3
2059,80.4,32.4,78,78.3,76,76.9,73.6,76,77.8,78.3,83.1,79.7,86.9,81.7,80,78.2,76.4,95.5,78.4,77.2
2060,81.3,37.7,76.1,78.3,77,77.4,72.8,76.5,78.8,80.1,80.3,80.6,88.5,80.5,79.7,76.9,77.2,95.6,79.9,77.6
2061,80.7,30,74.4,77.1,76.3,77.5,75.4,75.9,78.7,78.8,81.9,80.9,88,82.5,79,77.1,76.5,95.8,79.1,77.1
2062,80.4,43.9,70.4,78.1,75.9,75.9,73.6,73.9,76,77.5,79.1,79.8,87.6,82.1,78.2,78.3,80.1,96,79.3,77.2
2063,81.3,33.3,77.5,78.2,76.2,77.9,74,76.4,78.3,82.1,82,79.3,88.1,82.3,75.9,77.8,82.1,95.8,78.6,77.7
2064,79.6,36.9,75.8,78.3,77.3,77.2,73.6,78,76.7,83,81.2,79,88.3,82.4,77.1,78.5,80.7,96,79.6,77.9
2065,80.3,30.7,74.6,77.8,76.4,75.7,74.1,76.4,77.5,81.2,82.9,80.2,88,81.6,77.4,78,77.4,95.2,79.2,77.1
2066,81,42.3,75.2,78.2,75.8,76.1,74.6,76.9,77.1,83.8,79.8,80.6,87.9,81.8,78.9,78.7,78.9,95.8,79.5,78
2067,80.7,31.8,71.5,78.5,77,76.4,73.9,75,76.7,80,75.1,81.3,88.8,82.8,79.7,77.5,80.5,95.8,77.7,76.9
2068,81.9,30.7,75.9,78.9,76.5,77.1,73.7,76.2,78.2,81.7,81.8,80.6,88.4,80.8,80.2,78.7,80.6,95.7,79.7,77.8
2069,80.1,30.7,80.3,78.3,76.6,76.4,75.3,76.5,80,83.1,81.1,79.5,88.4,79.5,77.9,77.9,78.4,96,77.8,77.6
2070,80.4,28.8,79.2,76.3,76.9,78.2,73.9,76.4,78.3,83.3,82.2,79,88,82,77.8,78.9,80.6,96.2,79.1,77.7
2071,80.3,31.2,71.6,77.9,76.2,76.6,74.6,76,77.2,78.4,79.3,80.7,87.5,81.7,79.8,79.2,82.6,95.9,80,77.2
2072,80.7,29.9,75.1,77.1,76.9,78.2,74.8,75.4,78.5,82,76.7,80.6,88.6,80.1,76.8,78.7,80.4,95.8,78.7,77.1
2073,80.9,28,78.6,78.1,76.6,76.9,74.5,75.7,76.9,82.9,81.4,80,90.3,82.6,76.4,78.3,79,95.9,80.2,77.5
2074,81,34.4,75.6,79,76.7,77.7,75.2,76.2,78,78.3,85.6,80.8,89.4,81.5,77.5,78.2,82.8,96.3,79,78.1
2075,80.7,31.6,78.7,79.6,76.6,77.6,74.3,76.9,76.9,80.9,83.4,79.7,88.8,81.4,78.3,78.9,82,95.8,80.5,78
