"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-7,0.2,-4.9,-4.9,-5.5,-7,-11.7,-5.2,-11.9,-11.5,-6.4,-6.6,-1.1,-6.3,-10.7,-11,-1.2,-18.3,-9.1,-7.4
2016,-5.9,-0.2,-3.3,-8.1,-7.6,-7.2,-8.9,-5.4,-12.2,-9.8,-7.5,-7.9,-4.7,-6.6,-6.6,-9.5,-2.4,-15.1,-9.6,-7.3
2017,-8,1.3,-4.4,-6.4,-9.8,-8,-9.5,-8,-8.1,-12.9,-4,-7.3,-4.4,-4.1,-11.4,-12.3,-4.5,-16.6,-11.5,-7.9
2018,-7.5,2.7,-8.4,-5.9,-5.9,-7.8,-11.4,-5.4,-10.2,-7,-9.7,-7.2,-7.4,-8.9,-7.1,-8.5,-4.4,-19.1,-12.5,-8
2019,-8.2,-1.7,-0.6,-8.3,-8.8,-9.1,-14.4,-5.5,-11.9,-16.7,-5.9,-8.5,-3.2,-6.9,-8.8,-8.8,-7.4,-17.4,-10.3,-8.5
2020,-6.4,0.4,-9.6,-6.5,-13.2,-7.9,-10.2,-9.1,-11.3,-17,-16.1,-6.4,-3.7,-8.4,-4.6,-8.5,-3.1,-17,-11.5,-9
2021,-6.9,0.2,-10.9,-6.4,-9.8,-8.4,-10,-11,-11.1,-21.6,-5.6,-7.5,-3.7,-6.3,-6,-10,-1.9,-9.2,-15.4,-8.5
2022,-5.8,5.8,-10.4,-6.2,-6.6,-7.1,-7.6,-9,-10.8,-3.3,-6.5,-10.6,-4.7,-4.5,-5.2,-12.6,-11.2,-13.9,-13.4,-7.6
2023,-8.8,1.2,-4.8,-7.7,-8.5,-10.5,-10,-5.4,-7.5,-9.8,-2.6,-9.5,-1.4,-8.8,-11.2,-12.8,-3.8,-13.7,-11.8,-7.8
2024,-7.4,1.2,-3.7,-8.2,-6.5,-8.9,-10.8,-6.3,-12,-10.7,-6.7,-10.5,-5.4,-5.1,-12.9,-10.1,-3.8,-15.4,-16.4,-8.4
2025,-6.3,0.9,-12.7,-8.8,-10.2,-5.4,-10.7,-3.9,-11.8,-11,-2.9,-5.5,-1.4,-12.4,-9.2,-7,-13.8,-17.4,-13.3,-8.6
2026,-6.3,0.4,-7.8,-4.8,-9.7,-8.1,-8.4,-6.1,-8.2,-12.8,-4.4,-11,-4.2,-7.2,-7.7,-8.8,-7.7,-14.2,-12.1,-7.8
2027,-4.3,0.3,-7.7,-5.3,-7.4,-5.5,-9,-5.2,-8.2,-14.9,-15.9,-7,0.7,-4.8,-10.4,-9.6,-5.6,-12.4,-14,-7.7
2028,-6.8,1.6,-13.4,-5.9,-8.4,-7.9,-10.5,-7.1,-8.8,-6.7,-2.5,-8.6,-5.3,-10.7,-9.9,-11,-2.9,-17.4,-14.1,-8.2
2029,-6,0.3,-6.3,-5.6,-7.8,-9.4,-9.6,-3.9,-10.7,-11.6,-12,-8.1,-3.8,-3.8,-9.2,-10.1,-1,-16.1,-12.4,-7.7
2030,-6.3,1.5,-9.8,-6.2,-11.6,-9.7,-10,-3.5,-10.3,-14.4,-10.7,-8.9,-0.4,-3.8,-4.7,-9.1,-2.4,-16.9,-10.1,-7.8
2031,-5.2,-1.2,-3.7,-4.7,-7.2,-4.9,-11.7,-7.5,-10,-14.5,-4.6,-10.5,-8.3,-3.1,-7.4,-8.1,-2.3,-12.9,-7.8,-7.1
2032,-6.5,4.4,-8.2,-6.1,-7,-9,-11.1,-6.6,-10.3,-13.4,-3.7,-7.3,-5.1,-8.2,-7.6,-8.7,-5.6,-15.1,-8.5,-7.6
2033,-4.6,0.9,-11.2,-6.9,-7.2,-5.8,-7.2,-6.4,-11.1,-15.7,-20.6,-7.5,0,-3,-5.3,-9.5,0.2,-12.8,-10.1,-7.6
2034,-5.7,2.7,-3,-6.2,-8.8,-5.5,-12,-4.3,-11.5,-13.7,-16.5,-11.8,-4.6,-6.9,-6.4,-8.6,-4.9,-11.1,-9.1,-7.8
2035,-4.9,-2.7,-7.8,-6.7,-6.8,-7.6,-10.6,-5.8,-11.4,-10.2,-9,-6.2,-0.4,-4.3,-10.9,-10.2,-3.3,-13,-11.3,-7.5
2036,-5.4,0.6,-2,-7.6,-10.4,-6.1,-12.2,-5,-6.5,-12.7,-3.6,-7.7,-0.8,-3,-9.4,-9.4,-3.4,-15.9,-9.1,-6.8
2037,-4.9,0.2,-1.4,-7,-9.1,-4.8,-10.6,-3.5,-9,-7.6,-8.3,-5.6,-3.5,-5.2,-12.8,-10.8,-2.7,-12.2,-9.4,-6.7
2038,-5.1,-1.4,-3.6,-5.7,-5.4,-6.3,-10.1,-7.7,-6.9,-3.4,-8.8,-8.2,-2.7,-7,-7.4,-9,-5.3,-14.1,-11.1,-6.8
2039,-5.9,1.6,-7.5,-5,-7.9,-5.4,-9,-5.4,-10.4,-9.1,-17.3,-5.6,-2.1,-5,-10.2,-8.7,-5.6,-13.8,-10.6,-7.5
