"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-3.6,-16.6,-6.6,-5.1,-3.5,-5.1,-6.4,-7.7,-3.2,-4.2,-6,-6.2,3.1,-3.1,-6.1,-7.2,-5.3,-7,-5.6,-5.5
2016,-3.2,-19.4,-5.1,-6.6,-3.9,-4,-5.2,-7.2,-4.2,-1.7,-6,-5.7,1.1,-3.1,-3.8,-7.2,-2.3,-5.7,-4.9,-5.2
2017,-3.1,-19.1,-4.2,-6.2,-3.3,-3.8,-6.5,-7.8,-3.6,-4.4,-8.4,-5.8,-3.5,-2.3,-4.2,-6.9,-4,-4.2,-3.8,-5.5
2018,-3.2,-15.5,-4.8,-6.6,-3.6,-4.5,-7,-8.2,-3.1,-3.7,-4.3,-5.2,1.8,-3.4,-6.2,-6.6,-4.4,-5.9,-3.8,-5.2
2019,-3.4,-16.7,-3.6,-6.4,-4,-3.5,-4.8,-5.7,-4.4,-3,-6.7,-5.9,-0.4,-2.7,-6.3,-7.1,-5.5,-5.8,-3.8,-5.2
2020,-3,-15.9,-4.7,-6.3,-3.5,-4.1,-5.3,-9.4,-4.5,-4.5,-7.3,-3.8,3,-2.1,-5.3,-7.1,-4.1,-3.4,-3.7,-5
2021,-2.5,-9.2,-8.5,-5.3,-2.8,-2.3,-4.7,-4.9,-3.7,-4.1,-9.5,-5.4,2.5,-1.5,-4,-5.8,-4.4,-2.6,-5.2,-4.4
2022,-2.4,-15.9,-5.6,-5.8,-3.4,-3.2,-6.7,-7.2,-4.8,-1.3,-2.2,-5.8,0.8,-1.9,-5.4,-5.4,-7.4,-3.9,-5.6,-4.9
2023,-2.9,-16.5,-7.4,-6.8,-4.4,-2.3,-5.3,-6.3,-4.9,-0.9,-4.3,-3.2,1.8,-3.6,-5.7,-6.3,-6.4,-3.3,-4.2,-4.9
2024,-2.3,-15.8,-6.2,-5.7,-2.7,-2.3,-5.4,-8.1,-3.8,-9.1,-4.4,-4.1,2.4,-4.2,-3.2,-6.5,-1.9,-5.4,-3.4,-4.8
2025,-3,-18,-6,-5.8,-3.3,-3.1,-6.5,-5.5,-3.4,-2.7,-3.1,-3.9,2.6,-2,-3.7,-6.8,-4.3,-2.5,-4.2,-4.5
2026,-2.8,-14.3,-7.2,-6.3,-4.7,-2.1,-5,-8.9,-4.3,-5.6,-3.1,-5.7,0,-0.9,-2.8,-6,-3.9,-3.9,-5.5,-4.9
2027,-2.7,-13.3,-7.8,-5.3,-4.8,-3,-4.7,-8.4,-2.5,-3.1,-4,-5.3,-1.1,-2.2,-4.7,-4.9,-7.7,-3.8,-5.9,-5
2028,-3,-20.1,-6.5,-6.1,-2.5,-2.5,-5.2,-5.5,-2.9,-1.5,-3.9,-5.7,3.2,-2.8,-3.4,-7.3,-4.1,-3.2,-3.9,-4.6
