"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,973.6,1232.6,1053,930.5,1160.1,1099.5,936.3,1271.1,768.9,780.3,918.7,1283.5,1201.7,1143.7,1377.2,756.5,1157.9,866.8,845.1,1039.8
2016,903.7,1297,959.3,969.4,1054.5,1130.4,908.5,1012.2,868.5,787.3,1069.3,1238.8,1438.9,1054.8,1192.1,771.8,1248.7,751.4,798.3,1023.9
2017,968.4,1238,829.3,909,1140.7,1191.4,905.1,1204.7,822.4,920,1270.6,1168.5,1541.6,1072.1,1315.3,765.5,1388.9,919.8,824.9,1073.5
2018,869.4,1242.6,778.4,905,1112.6,1142.7,871.2,1444.8,942.6,776.2,1099.2,1276.4,1375.2,1126.5,1346.2,839.3,1302.8,897.6,805.9,1060.8
2019,957.5,1550.2,1082.2,996.1,1137,1129.2,882.8,1073.9,861.3,872.2,1280.4,1148.1,1248,1089,1313.5,741.3,1134.4,787,828,1058.5
2020,945.6,1111.1,823.8,988.2,1078.6,1055.2,901.7,1181.2,924.1,681.7,1029.8,1275.7,1450.7,1077.5,1247.1,823.4,1256.6,795.7,909.6,1029.3
2021,897.3,1295.8,795.8,1025.4,1103.7,1150.8,964.2,1255.5,872.4,863.7,1115.4,1204.6,1392.3,1067.8,1125.8,808.1,1227,892.9,789.9,1044.7
2022,976.6,1294.9,1008.9,929,1182.3,1070,958.7,1333.7,979.8,868.6,1070.8,1208.2,1365.2,1163.4,1336.7,771.1,1581,766.4,800.6,1087.7
2023,900.3,1113.7,936,985.7,1167.3,1187.6,989.8,1451.8,881.1,909.6,840.8,1205.3,1251.5,1101.5,1210.6,784.2,1395.2,780.9,917,1053.2
2024,886.6,1570.8,1045.3,954.3,1176.1,1098.1,956.1,1350.6,895.3,898.7,965,1210.5,1268.9,1108.6,1159.3,790.5,1221,745.3,895.4,1063
2025,965.3,1268.3,1067.4,952.4,1172.2,1069.6,966.7,1352.9,820.2,783,850.3,1182.5,1253.9,1103.9,1162.7,766.4,1324.3,898.5,865.4,1043.5
2026,940.5,1154.9,936.9,1040,1225,1145.6,868.6,1197.7,896.1,716.8,968.4,1358.9,1334.4,1065.6,1235,768.2,1447.5,833.9,939,1056.5
2027,1013.7,1122.8,893.6,976,1156,1076,919.1,1315,919.4,781.4,1115.2,1251,1542.7,1125.6,1222.6,805.1,1394.6,733.5,801.6,1061.3
2028,947.1,1296.1,970,956.5,1179.3,1094.4,897.6,1057.7,872.4,791.3,1078.9,1295.3,1052.6,1027.6,1213.6,794,1519.4,868.1,784.5,1036.7
2029,983.7,1331.7,913.4,947.9,1211.7,1145.7,906.6,1284.6,862.5,865.3,976.3,1212.1,1362.3,1079,1151.7,744.6,1299.7,863.8,816.1,1050.5
2030,988.2,1213.8,1079,962,1215.4,1127,913.6,1261,825.2,864,1114.7,1326.7,1441.5,1102.4,1361.7,770.2,1554.3,888.4,857.7,1098.3
2031,945.6,1408.4,948.4,1048.5,1233.6,1111.4,912.1,1193.1,846.8,962.2,938.9,1275,1345.3,1044.3,1262.8,774.5,1451.7,757,820.2,1067.4
2032,954.4,1317.8,912.6,1046,1139.2,1079.6,921.3,1285.3,834.8,942.4,1195.8,1183.9,1222.2,1121.8,1292.9,801.6,1269.2,842.6,934.4,1068.3
2033,1000.5,1346.3,961.2,1025,1218.2,1183,975.4,1283.3,846.2,970.6,1196.6,1181.1,1308.9,1146.6,1204.5,802.3,1305.9,876.2,894.3,1090.8
2034,930,1241.5,887,1036.4,1124.6,1148,903.6,1346.3,933.5,830.2,1179.5,1284.6,1295,1157,1335.9,802.5,1210,824,861.2,1070
2035,922.2,1417.9,880.4,981.6,1158.4,1099.5,863.5,1191.1,926.1,964.5,916,1235.9,1328.5,1039.2,992.1,801,1752.1,840.6,857.4,1061.5
2036,953.4,1292.2,848.2,975.1,1192.7,1179.4,895.6,1181.9,961.9,722.4,1364.6,1298.3,1390.7,1096.7,1243.4,822.7,1252.4,949.6,834,1076.6
2037,968.8,1255.9,895.4,1013.4,1148.2,1094.3,817.5,1322.7,866.6,853.1,1031,1179.8,1254.5,1130.9,1297.9,809.5,1330.4,742.8,835.5,1044.6
2038,954.6,1277.1,748.4,1010.4,1165.9,1076.6,973.5,1368.5,867,876.8,1042.2,1209.4,1160.4,1121.7,1263.9,792.7,1532.8,815.7,913,1061.6
2039,953.9,1138.6,902,1058.7,1157.6,1168.6,885.7,1379.7,915.2,826.8,1011.5,1292.2,1305.1,1069.2,1090,762.2,1266.4,775.7,898.3,1045.1
2040,963.5,1292.7,884.3,1035,1181.2,1151.6,1025,1452,973.5,780.8,1012.9,1254,1324.7,1134.3,1236.3,827.6,1493.5,865.9,842.4,1091.1
2041,982.2,1643.4,1131.2,978.2,1236,1107.2,940.1,1166.9,886.6,1027.6,950.7,1296.3,1501.6,1157.5,1138.2,810.7,1444.8,794.6,910.8,1110.8
2042,926.8,1455.5,1012.8,981.6,1207.9,1071.5,1015.7,1461.3,902.3,860.6,920.8,1341.2,1240.3,1079.6,1344.9,818.2,1486.6,786.4,840.3,1092.3
2043,1002.8,1195,955.9,1004.5,1150.9,1071.3,926.8,1143,825.6,881.5,925.1,1242.5,1235.3,1177.2,1255.5,769.9,1363.9,751.8,897.5,1040.8
2044,961.8,1301,915,994.9,1100.9,1127.1,967.7,1068.9,895.8,894.7,1164.6,1248.8,1407.2,1150.8,1299.2,782.8,1437.8,721,806.4,1065.6
2045,995.9,1484.3,876.4,1018.4,1117.2,1180.7,950.2,1162.7,912.9,803.5,1126.7,1298,1397,1062.6,1230.3,801.4,1248.3,750.5,893.5,1069
2046,983.7,1188.6,782.8,1023.4,1230.9,1204,980.8,1389.4,801.7,894.2,1020.7,1231.1,1111.4,1067.4,1150.4,773.5,1572.9,899.2,851.1,1060.9
2047,925.5,1282.3,996.7,1085.6,1139.7,1187.9,931.4,1334,971.1,726.7,1009.8,1411.5,1475.1,1114.4,1180.8,838.7,1491.8,933.4,844.1,1099
2048,940.4,1417.8,1060,1046.3,1209.4,1090.8,1008.9,1343.1,822.3,769.7,994.2,1315,1404.6,1115.8,1273.2,771,1454.9,850.6,859.3,1092
2049,885.3,1389.9,953.5,975.2,1273.4,1027.7,905.3,1354,993.4,885.5,1183.6,1298.3,1464.9,1082.5,1235.1,749.9,1531.2,839,853.6,1099
2050,949.5,1281.1,854.5,1052.3,1272.5,1107.4,928.1,1392.9,992,708.8,1041.1,1236.1,1226.9,1178.8,1276.5,764.8,1412.6,810.2,900.7,1073
2051,916.6,1307.3,823.7,1029.3,1175.6,1121,919.2,1333.1,854.7,709.3,1101.9,1234.1,1403.7,1110.4,1369.6,809.2,1350.8,794.5,907.4,1066.9
2052,969.8,1252,887,1099.4,1180,1147.6,933.5,1536.3,960,918.4,855.5,1288.5,1474.7,1129.6,1348,828.8,1423,744.9,931.9,1100.5
2053,963.9,1169.8,1000.4,1085.8,1200.2,1102.4,929.5,1328.3,906.3,963.9,1044.4,1179,1324.5,1150,1082.5,832.2,1562.4,852,871.4,1081.5
2054,934.1,1223.6,897.1,1046.2,1166.1,1092.8,931.3,1242.9,1011.4,831.6,1088.5,1275.2,1378.6,1104.1,1228.4,853.8,1348.2,915.5,846,1074.5
2055,985.9,1489.9,901.5,1050.1,1220.8,1179.1,918.1,1289.7,904.7,785.6,1222.2,1213.2,1200.8,1109.8,1345.9,806,1361.4,754.9,831.4,1082.7
2056,914.1,1437.7,885,1052.5,1204.8,1127,910.7,1287.6,832.1,881,1083.7,1285.9,1333.2,1085.5,1358.5,823.2,1650.4,868.6,907.7,1101.5
2057,946,1005.3,1096.3,1074.7,1167.6,1180.7,971.1,1216.5,884,676.7,1214.3,1372.6,1347.7,1162,1206.7,801.8,1568.2,729.1,931.4,1081.7
2058,949.2,1051,755.9,1038.2,1182.2,1130.9,952.2,1332.9,878.5,959.8,893.5,1307.5,1260.9,1221.7,1196.1,773.5,1448.5,805.4,905.6,1054.9
2059,945.9,1752.4,866.5,1086.1,1188.8,1077.3,947.9,1460.3,891.6,845.7,1187,1326.9,1523,1129.7,1167,793.4,1390.7,877.9,890.5,1123.6
2060,976.4,1285.5,835.8,1069.3,1190.9,1139.5,910.6,1294.9,936.6,822.1,918.7,1306.3,1055.1,1131.4,1394.2,768.7,1511.4,875.5,853.5,1067.2
2061,985.4,1238,1052.2,1012.1,1199.2,1099.6,902.6,1084.4,923.8,866.3,861.7,1295.7,1222.6,1109.1,1362.7,823.1,1472.8,854,861.8,1064.6
2062,946.8,1215.7,881.6,1109.1,1179.7,1194.5,919.3,1165.1,912,663.1,1050.8,1217.8,1314.8,1117.8,1355.6,834.9,1450.2,900.5,857.5,1067.7
2063,952.7,1440.5,899.9,1002.7,1206.5,1186.5,975.9,1269.8,1052.2,791.9,1028.7,1321.6,1183.6,1118.5,1224.9,797.9,1304.9,891.3,888.5,1081
2064,884.9,1343,1080.3,1027.1,1136.5,1213.1,946,1310.1,908.2,883.5,1176.8,1343.9,1362.6,1110.8,1302.2,797.6,1333.2,862.2,843.1,1098.2
2065,914.8,1242.4,897.3,1078.5,1246.5,1129,932,1497.3,902.8,805.1,976.1,1313.7,1353.5,1058.7,1327.2,760.2,1677.8,842.3,830.7,1094
