"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,68.6,184.6,86.9,50,65,65.8,59.6,89.6,59.4,65.7,71.4,87,147.2,62.9,102.8,59.9,126.7,61.2,48.4,82.2
2016,68.7,122.3,100.5,58.2,71.5,72.4,52.6,96.8,52.6,49,51.3,83.4,106.7,70.7,50,61.5,73.7,55.2,47.9,70.8
2017,66.2,113.7,64.1,59.2,79.2,70.5,66.6,85.7,63.6,47.4,109,83.1,121.2,67.4,102.9,65.4,42.8,84.1,48.6,75.8
2018,65.3,45.4,92.4,65.8,64.7,70,50.8,87.7,48.6,55.8,79.2,66.6,113.9,69.1,107.2,69.7,97.6,79.3,54.6,72.8
2019,70,142.9,92.6,58.9,74.7,67.7,57.4,88.9,64.5,31.3,104.6,95,141.1,65.2,115.7,51,54.9,87,52.2,79.8
2020,73.9,92.1,56.7,68.2,64.7,74.8,66.9,71.2,62.9,78.9,67.6,83.2,112.5,75.2,111.8,73.8,84.3,66.4,59.5,76
2021,70.7,99.9,71.6,67.8,64.3,80.1,48.9,95.1,59.8,42.6,60.3,90.3,130.6,66.3,73.8,73.2,122,49.7,58,75
2022,67.2,81.9,52.3,65.7,70,78.6,54.7,78.3,40.9,40.4,84.4,76.2,132,77.2,111.4,56.2,88.8,92.6,43.7,73.3
2023,65.5,108,63.9,67.4,74.7,68.5,54.6,90.4,57,50.9,56.1,75.2,120.5,61.6,147.3,68.7,92.4,67.5,58.5,76.2
2024,75.8,77.1,98.8,64,69.2,63.2,61.7,119.6,58.3,51.5,94.3,69.5,100.5,66.8,94.2,66.9,92.4,78.6,60.3,77
2025,70.4,139,73.8,58.1,75,73.9,55.3,104.4,52.7,52.2,60.6,79,149.5,63.7,63,70.6,94.4,89.2,63.5,78.3
2026,81.6,93.3,70.9,64.7,80.7,70.2,51.6,94.5,72.2,68.5,51.6,87.8,120.9,74,92.2,67.8,118.1,78.6,60.4,78.9
2027,82.3,73.3,38.8,68.7,81.7,66.9,58,71.7,58.5,61.4,41,91.1,89.9,74.2,69.4,65.4,111,68.7,59.1,70.1
