"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,75,22.7,64,66.3,70.4,69.2,70.1,63.9,70.3,67.1,67,68.2,83.9,70.1,67.7,68,72.2,93.3,67.4,68.3
2016,75.1,23.4,63.9,66.3,69,69.6,69.7,62.7,70.7,71.7,71.4,67.3,83.4,70.1,65.4,69,72.1,93.4,66.7,68.5
2017,75.4,20.4,62.1,65.5,69.8,70.2,71,67.5,70.6,69.2,73.7,66.5,83,70,66.2,68.8,69.9,93.6,67.9,68.5
2018,74.3,20.9,62.5,65.7,70,69.8,69.9,67.2,71.2,69.3,73.3,68.1,83.4,70.4,66.6,70.6,72.6,93.6,67.9,68.8
2019,74.9,23.4,67.2,66.5,70,69.6,70.1,65,70.9,69.4,73.4,66.9,83,70.4,66.8,68.8,71,93.4,68.1,68.9
2020,75,24.8,62.2,66.3,69.8,68.9,70.5,64,71.8,66.7,70.9,70.1,83.5,69.7,67,70,72.5,93.3,68.2,68.7
2021,75,28.1,59.9,66.9,69.6,69.7,71.1,66.8,71.7,70.7,71.8,67.9,82.3,70.1,66.1,70.1,71,93.4,66.9,68.9
2022,75.3,24.3,64.5,66.7,69.9,69.5,71.4,65.1,71.2,72,72.3,66.8,82.2,70.1,67.6,69.6,73.9,93.3,67.2,69.1
2023,74.9,21.6,62.4,66.1,70.3,70.5,70.4,67.3,71.4,70.9,70.1,67.5,83.8,69.4,68.2,69.3,71.4,93.6,68.6,68.8
2024,75,24.8,63.8,66.7,70.3,69.8,70.4,69.7,71.4,68.5,72.7,68.4,83.4,69.6,67.5,69.2,70.1,93.4,68.6,69.1
2025,75.5,23.7,67,67.1,69.9,69.6,70.1,66.5,70.9,68.4,70.9,68.4,83.8,70.7,66.7,69.4,71.4,93.4,68.3,69
2026,75.3,27.5,63.7,67.1,70.2,69.8,69.6,66.5,71.2,67.8,71.1,69.2,82.7,70.1,66.8,69.6,73.5,93.1,68.3,69.1
2027,75.7,27.6,61.7,66.6,70,69.3,70.2,64.5,71.1,71,72.5,68.4,83.2,70.5,66.6,70.1,71.3,93.7,66.8,69
2028,74.9,25.8,65.7,66,70.7,69.8,70.8,65.3,71.2,71.7,74.4,68.9,82.2,69.8,66.6,69.2,73.5,93.8,67.6,69.4
2029,75.7,25.3,63.3,66.1,70.3,70.4,70.3,65.8,71.8,69.4,71.8,68.1,83.5,70.5,65.2,69,71.3,93.8,67.5,68.9
2030,75.2,23,65.1,66.3,70.2,69.4,70.4,66.6,70.6,68.1,75.4,69.7,82.8,70.5,67.1,69.4,73,93.4,69.4,69.2
