"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,76,18.4,63.9,65.4,67.6,67.2,68.5,64.6,70.5,68,71.8,70.3,80.4,66,59.2,65,67.3,92.6,66.6,66.8
2016,75.8,23.1,66.9,63.1,69.3,67.5,69.5,63.4,71.2,70,76.9,66.7,81.4,65.8,67.6,67,66.1,93.4,65.4,67.9
2017,75.4,25.6,63.6,65,67.2,69,69,63.8,70.1,68.5,72.7,69.5,82.3,66,68.9,66,67.7,94.1,66.7,68
2018,75.9,23.5,66.6,64.6,68.3,67.7,69.4,64.4,71.3,70.5,77.1,68.3,80.9,65.3,58.2,68.2,68,94.2,64,67.7
2019,75.3,18.8,68.9,66,67.8,67,69.4,62.1,71.8,69.7,76.5,67.8,80.7,65.8,65.5,65.3,68.5,93.3,67,67.7
2020,75.6,14,67.7,63.7,68.7,68.9,69.9,63.4,71.3,69.5,73.1,67.4,83.7,65.9,68.6,69.3,66.7,93.3,66.5,67.7
2021,75.3,23.6,64.2,66.2,67.5,66.7,69,59.1,71,67.9,75.2,68.5,81.8,65.1,65.2,70.2,66.7,93.2,65.6,67.5
2022,75.7,23.5,60.8,63,67.1,68.2,69.2,65.6,70.2,70,72.2,69.8,80.8,65.5,68.8,68.2,69.4,92.8,67,67.8
2023,74.9,29.7,67.6,63.8,67.6,66.1,69.6,61,69.8,69.6,73.7,67.6,79.2,66,64.8,68.7,64.8,93.6,65.5,67.6
2024,75.6,23.5,70.5,65,68.6,67.3,69.8,64.4,71.2,70,77,71,80.1,65.1,73,67.9,67.5,93.7,66,68.8
2025,75.4,34.2,69,65.8,68.2,69.3,68,58.3,70.9,69.2,75.7,69.5,80.1,65.7,68.6,67.3,66.3,94.2,65.7,68.5
2026,75.5,22.1,65.7,66.7,66.5,67.9,68.4,64.2,70.5,67.3,72.5,70.9,84.8,66.1,71.6,72.9,71.3,94.1,65.9,68.7
2027,75.6,22.5,69.4,64.6,67.4,68.1,70,62.4,69.8,71.7,71.8,69.6,81.3,66,67.5,70,71.2,93.7,66.4,68.4
2028,75.8,23.8,69.6,65.4,70.7,66,68.8,61.9,71.5,66.8,75.8,71.1,83.8,65.7,67.5,67.6,71,92.8,66.2,68.5
2029,75.5,22.6,61.3,65.9,68.6,66.9,69.7,64.6,70.8,70.9,75.5,72.4,80.4,66.7,70.5,70.3,64.3,93.2,67.6,68.3
2030,75.2,26.7,66.5,65.7,68.3,66.6,70.1,66.4,71,67.2,75.7,69.3,81.6,66.3,69.8,68.6,66.1,93.8,65.7,68.5
2031,74.9,22.3,59.4,64.2,67.5,66.7,69.2,63.1,69.8,68.2,79.3,72.1,82,64.9,68.1,68.9,68.2,93.8,67.1,67.9
2032,74.2,27.6,70.3,65.2,66.5,67.9,67.9,63.2,70.2,70.3,71.5,70,81.7,66.6,66.2,68.7,63.7,94.1,66.5,68
2033,75.7,28,64.9,65.7,66,68.5,68,58.7,70.3,67.7,75.6,68.2,82.2,65.9,69.7,68.6,66.2,93.4,66.7,67.9
2034,75.4,21.6,64,64.8,69.6,67.6,69.1,59.5,70.8,71.6,75.2,70.2,81.3,66.6,67.2,69.1,70,93.3,67.8,68.1
2035,75.9,24.3,70,65.2,68.8,67.4,69.5,64.2,70.9,68.9,73.4,70.1,81.6,65.8,68.3,66.7,63.7,93.2,65.7,68.1
2036,76.1,18.3,69.1,66.5,68.8,68.4,69.4,58.4,71.3,69.2,78.3,71.2,82.4,65.3,66.1,68.2,67.4,94.1,67,68.2
2037,75,25.1,67.7,67.3,68.6,69.4,69.7,57.4,70.9,71.5,76.4,71.5,81.1,66.4,66,69.9,68.4,93.5,67.3,68.6
2038,75.6,33,64.1,67.7,68.5,68.3,68.7,65.5,71.3,69.4,78.5,69.7,81.6,65.7,62.7,69.6,73.9,94.3,67,69.2
2039,75.6,24.6,66.2,66.2,68.1,68.5,69.2,63.2,72,71.6,77.9,71.3,82.9,66.2,69.5,68,69.4,93.7,65.6,68.9
2040,74.8,28.3,62.3,66.8,69.2,67.8,70.2,66.2,72.2,71.7,76.5,72.1,81.3,64.9,65.9,68,68.2,93.7,67.8,68.8
2041,75.5,17.8,66.2,66.6,68.2,66.7,69.3,63.8,69.9,71.2,76,69.8,83.9,65.4,67.4,69.8,70.4,94.4,69.3,68.5
2042,75.6,20.3,64.1,66.1,69.7,67.5,69.9,64.5,71.9,69.4,76.2,71.2,83.1,66.7,65.8,68.6,66.5,94.2,67,68.3
2043,75.5,13.4,68.3,66.7,69.8,67.8,69.7,61.8,70.9,70.7,75.9,70.1,84.1,66.6,62.5,70.7,70.6,93.4,66.7,68.2
2044,75.6,24.4,63.5,68.4,68.4,67.8,71,62.5,71.9,71.3,77.7,69.4,80.9,66.3,71.3,67.4,70.6,93.4,67.2,68.9
2045,75.2,24.1,68.9,67.1,69.1,68.4,69.8,58.9,71.4,70.6,76.4,73.8,82.6,67.2,66.3,70.7,68.3,93.3,68.9,69
2046,75.7,19.6,63.9,65.9,68,66.6,69.7,61.9,71,69.2,76.1,70.5,82.5,64.4,68.4,68.2,72.1,94,68,68.2
2047,76.2,25,69.9,67.6,68.7,67.5,69.4,60.4,69.8,71,77.7,70.6,80.1,65,67.6,70.8,67.5,94.4,67.2,68.8
2048,75.7,24.5,68.7,67.1,68.3,68.4,69.1,62.5,70.6,70.9,77.4,72,82.3,63.7,71.5,68.8,71.4,93.3,68.6,69.2
2049,76.3,27.7,63,66.8,67.6,70.2,70.2,60.5,70.7,71.6,75.8,74.3,81.3,65.3,65,70.4,69,93.4,67.7,68.8
2050,75.8,21.3,67.8,66.9,68,68.1,69.9,67.6,70.5,70.6,73.2,72.6,84.6,65.8,58.9,72.4,67.8,94.4,68.5,68.7
2051,75.6,29.4,69,66.9,69.6,69,68.7,62.5,71,72.4,76.9,71.7,80.8,65.6,72.3,69.8,71.9,93.7,65.7,69.6
2052,75.1,24.9,62.9,67.9,68.9,69.1,69.4,63.7,71,70.7,79.3,71.6,81.7,66.4,65.7,69.7,67.9,94.2,70.9,69
2053,75.4,22,68.6,68.1,69.4,68.8,70,63.2,71.2,72.7,74.7,72.2,83,66.6,66.2,72.2,65.2,93.7,69.6,69.1
