"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,4.1,14.3,0.6,4.9,4.2,5.7,2.5,0.4,5.1,NA,6,0.8,10.2,6.2,4.7,2.7,4.8,NA,4.5,4.8
2016,5.2,17,2.4,3.4,4.7,6.8,4,8.4,4.6,NA,6,0.9,7.7,7,4.6,3.6,5.8,NA,5.1,5.7
2017,3.6,11.8,1.1,3.8,5.6,4.2,2.7,4.1,3.8,NA,5.9,0.4,4,6.6,4.9,5.6,5.1,NA,4.2,4.6
2018,4.3,10.4,2.8,3.6,5.1,5.6,2.7,4,2.4,NA,4.4,1.2,8.1,9.8,4,5.5,4.8,NA,4.8,4.9
2019,5.3,10.8,2.8,3.7,5.2,6,2.5,2.2,2.9,NA,5.4,1.8,6.5,5.7,4.9,3.9,5.3,NA,4.5,4.7
2020,4.8,16.4,0.4,4.1,6.3,5.7,3.6,3.8,4.7,NA,6.1,0.6,8,5.5,4.4,3.9,6.4,NA,6.6,5.4
2021,4.6,9.5,2.5,4.5,5.8,6.5,2.5,1.9,4.7,NA,5.8,0.7,10.8,6.7,4.3,5.6,5.9,NA,3.8,5.1
2022,4.5,18.3,3.7,4.8,4.9,5.3,2.7,3.8,5,NA,6,0.6,9.2,4.6,4.9,4.6,5.8,NA,4.2,5.5
2023,3.8,8.8,5.8,4.3,6.1,4.9,4,3.2,3.1,NA,5.7,0.6,9.6,10.1,5.2,3.3,5.8,NA,4.9,5.2
2024,5.1,3,3.3,4.2,4.5,4,3.8,3.5,3.5,NA,6.8,0.7,10.3,11.7,4.1,5.2,4.9,NA,5.1,4.9
2025,5.3,5.8,7.1,3.6,5.5,6,3.7,6.7,4.6,NA,5.7,0.1,6.9,6.3,2.8,6.2,6.9,NA,5.9,5.2
2026,4.1,15.1,1,4.6,6,5.2,2.6,4.7,4.3,NA,6.1,1.2,10.2,8.9,5.2,5,5.6,NA,4,5.5
2027,5,11,5.7,5.4,4.2,5.5,3.8,4.9,3.7,NA,6.3,0.5,9.2,10.5,4.5,3.6,6.1,NA,6,5.6
2028,5.4,5.7,3.2,3.7,5.9,7.5,4,2.4,2.8,NA,6.1,1.1,9.5,5.3,5.3,6,7,NA,4.9,5
2029,4.6,7.5,6.9,4.3,4.7,4.9,3.7,1.5,3.4,NA,5,1.1,8.4,7.4,5,5.2,4.6,NA,5,4.9
2030,5.8,15.6,7.2,3.9,5.3,5.5,2.6,1.8,3,NA,5.6,1.1,8.2,9.5,5.9,5.6,4.7,NA,4.6,5.6
2031,4.8,13.2,-0.1,4.9,6,5.6,3.7,3.7,4.2,NA,4.7,1.7,8.1,6.8,4.5,5.7,6,NA,5.5,5.2
2032,4.9,18.2,0.2,5.4,5.4,7,5,3.1,4.2,NA,6.8,1.5,11.1,9.8,4.9,5.4,3.4,NA,5,6
2033,4.7,14,7.4,5.5,5.6,6.9,2.9,4.6,4.7,NA,6.5,1.1,8.2,8.4,4.7,6.3,6,NA,5.3,6
2034,3.7,14.4,0.6,4.4,5.4,6.9,3.2,4,3.2,NA,6.2,1,5,6.3,6.4,5.8,4.4,NA,5.6,5.1
2035,3.8,13.1,2.4,4.9,5.2,5.7,2.9,1.5,5.9,NA,8.2,0.6,6.8,8.5,4.3,4.1,6,NA,4.7,5.2
2036,5.1,10,3.4,3.8,5.4,6.5,3.1,4.5,4,NA,6.4,1.3,9.1,9.3,5.4,6.1,6.3,NA,5.4,5.6
2037,4.2,11.4,2.6,4.4,4.9,5.8,1.9,1,4.7,NA,6.6,0.9,8.6,10,5.4,4.4,6.1,NA,5.4,5.2
2038,5.6,8.1,1.6,5.4,3.7,5.9,3,4.5,4.7,NA,7.3,0.9,9.5,9.6,5.4,5.7,4.8,NA,5.7,5.4
2039,4.6,6.6,1.6,5.4,5.5,6.3,3.2,4.6,5,NA,8.3,2,7.8,7.6,5.9,6.3,5.3,NA,5.9,5.4
2040,5.5,13.7,2.3,5.6,5.8,5.6,2.2,1.5,5.7,NA,7.6,1.1,9.3,8.6,5.7,6.2,7.4,NA,5.9,5.9
