"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,10.5,1.3,3.2,7.3,5.7,6.8,NA,2.5,9.6,8.7,8.5,6.3,11,9.9,5.3,5.7,6.5,12.1,7.7,7.1
1851,10.3,0.8,2.7,6.8,5.4,6.6,6.7,4.2,10.9,8.8,8.5,6.5,11,10.4,5.7,5.6,6.6,11.6,7.5,7.2
1852,9.8,0.4,2.7,6.3,4.9,6.6,8.3,3.7,9.6,9.4,8.3,6.2,10.9,10.1,6.2,5.3,6.6,11.3,8.3,7.1
1853,10.3,-0.8,1.9,6.7,5.6,6.5,7.3,2.9,9.3,9,8.7,6.4,10.8,10.3,5.8,5.1,6,12,7.9,6.9
1854,10.4,-1.1,4.5,6.7,5.2,6.9,6.8,4.5,8.4,8.9,8.2,6.4,10.7,10.2,5.8,5.4,6.4,11.2,7.6,7
1855,10.4,1.5,2.7,7,5.8,6.4,6.5,3.2,8.4,9.1,8.4,6,11.2,10,5.1,4.9,6.6,11.9,7.7,7
1856,10.4,0.8,2.6,6.9,5.2,6.1,7.3,4.1,8.4,8.6,8.1,6.7,11.3,10.2,5.7,5.7,6.7,11.7,7.7,7.1
1857,10.5,1.7,3.4,6.5,4.9,6.3,7.1,4.2,8.1,9.4,8.6,6.1,11.6,9.9,5.2,5,7.3,11.2,7.8,7.1
1858,10.7,0.2,3.9,6.2,5.2,6.6,7.2,4,9,8.9,8.3,6.6,10.8,10.2,5.4,5.3,6.8,11.5,7.4,7.1
1859,10.9,0.5,3.5,7.2,5.5,6.9,6.4,4.4,8.8,9.9,8.1,6.4,11.3,10.4,6,5.4,6,11,8,7.2
1860,10.8,0,2.8,7.2,5.4,6.4,8.2,3.6,8.9,9.7,8.5,6.1,11.3,9.7,5.8,5,6.6,11.5,8,7.1
1861,10.4,-0.4,3.4,7.3,5.3,6.2,6.5,2.4,9.6,9.2,8.4,6.3,10.8,10.3,5.9,4.9,7.7,10.9,7.9,7
1862,10.4,0.5,4.9,6.7,5.5,5.7,7.7,2.8,9.3,9,8.3,6.3,10.8,10.2,6,5.2,6.5,12,8.7,7.2
