"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,123.2,36.5,57.2,85.5,96.3,103.5,NA,72.3,107.5,108.6,128.1,83.8,136.8,132.3,86.6,82.3,114.4,119.3,102.4,98.7
"historical",1851,119.5,28.7,54.4,85.6,93.5,106.8,90.4,70.7,95.4,113.3,128.1,93.3,136.1,125.7,90,87.6,111,122,104.5,97.7
"historical",1852,122.1,13.1,58.8,80.8,93.9,105.2,94.6,70.9,101.8,112,125.1,89.1,142.7,126.2,82.6,80.9,112.2,122.2,107.5,96.9
"historical",1853,117.3,25.4,64,86,97.3,104.7,86.5,73.1,103,114.1,126.2,81.9,151.5,124.9,94.1,80.6,110.2,123.4,109.1,98.6
"historical",1854,121.8,16.1,63.7,87.5,97.6,105.1,87.4,71.1,106.1,115.5,127,81.9,143.2,125.6,91.1,85.5,106.6,116,110.8,97.9
"historical",1855,120.3,41.6,62,80.2,94.3,103.4,89,69.6,95.3,109.8,126.4,86.4,142.8,124.5,93.1,81.8,108.3,118.5,104.4,97.5
"historical",1856,121.6,32.8,73.2,82.8,94.1,104.4,90.1,64.5,96.1,111.4,126.3,88.2,150.2,126.7,91.8,85.2,114.1,123.8,104.3,99
"historical",1857,124.9,26.9,62.1,79.4,97.4,106.9,85.3,70.5,102.5,112.4,127.1,90.6,146.2,129.9,92.7,87.4,112.7,116.6,104.8,98.8
"historical",1858,116.2,40.5,72.7,84.1,93.8,103.1,88.4,65.9,100.2,112.5,124,87.3,137.5,127.2,93.8,86.5,114.7,117,107.4,98.6
"historical",1859,125,23.1,63.4,86.7,98.3,103.8,93.5,69,105.4,111.6,120.1,88.2,144.8,129.1,92.5,88.3,111,118.6,110,99.1
"historical",1860,122,22.2,77.5,85.2,99.8,104.4,92.3,72.3,95.2,114.6,128.7,90.9,151.1,131.5,91.6,86,115.7,118.8,106.2,100.3
"historical",1861,121.3,23.6,66.1,88.8,94.1,104.6,87.6,71,105.2,113.5,126.3,88.3,142.4,129.5,94.1,89,107.4,116.5,104.1,98.6
"historical",1862,124.8,27.6,53.7,78.2,97.2,106.8,89.2,63.4,111.6,112.7,124.1,83.5,146.4,124.9,81.9,81.7,113.2,122.7,108.4,97.5
"historical",1863,125.5,23.5,60.7,82.7,96.1,106.2,91.1,74.9,100.7,109.7,126.7,86.4,147,127.1,92.4,78.3,105.1,115.8,107.5,97.8
"historical",1864,122.5,26.4,77.4,77.6,94.9,108.3,94.7,69.8,107,107.9,122.2,82.8,152.7,125.9,85.3,82.1,116.7,120.6,108.8,99.1
"historical",1865,118.8,19.9,78.6,90.1,99,106,88.3,72.5,104.1,115.6,127.3,84.7,145.5,128.9,93.4,82.4,112.5,115,109.7,99.6
"historical",1866,121.8,41.6,74.7,80,96.6,103.4,85.8,66.1,99.7,115.5,126.3,90.8,149.8,129.6,92.7,84.1,110.5,117.9,107.1,99.7
"historical",1867,119,38.1,65,80.4,90.8,103.8,82.1,80.2,98.2,115.7,123.9,86.8,136.4,127.2,86.7,85.2,100,121.4,104.4,97.1
"historical",1868,118.3,30.3,66.6,80.7,92.5,106.6,97.9,63.5,99.4,105.4,127.9,86.9,139.3,127.5,90.8,77.3,108.9,116.3,108.3,97.1
"historical",1869,120.5,49.6,69.2,84.8,94.8,108.4,89.3,67.3,105.7,115,125.6,86.6,145.6,131.3,88.6,83.4,113.7,117.3,107.4,100.2
"historical",1870,124.3,30.5,68,91.5,99.7,109.8,86.7,81.3,106.7,114.7,127.1,88.9,147.7,132.4,86.3,82.6,107.1,117.1,106.9,100.5
"historical",1871,120.7,23.3,65,91.3,96.8,108.3,92.6,78.6,91,114.5,127.3,89.8,143.1,128.2,91.8,88.8,110.7,119.9,105.2,99.3
"historical",1872,120.4,33.3,61.9,82.9,94.5,107.2,92.3,67.5,104.2,104.7,120.5,89.4,146.4,131.2,89.5,86.9,109.1,127,109.7,98.9
"historical",1873,121.3,46.8,58.4,78.9,96.8,110.2,91.5,74.2,107.9,105,125.4,89.8,142.6,129.2,90,85.8,108.7,122.5,112,99.8
"historical",1874,123.5,38.7,59,83.3,97.9,104.9,80.6,67,93,117.9,126.6,85.2,143.2,132,93,84.5,113.2,126,107.6,98.8
"historical",1875,116.4,25.9,77.6,83.3,94.7,104.4,86.2,68.9,96.9,112.2,124.1,90.9,152.9,131,91.1,84.7,113.1,118,105.9,98.9
"historical",1876,120.6,40,68.3,91.7,95.8,105.4,87.2,74.8,98.5,110.3,127.1,84.5,152.8,126.5,90.1,87,112.8,119.1,105.8,99.9
"historical",1877,116.2,33,57.9,85.5,99.2,105,87,83.1,106.6,119,125.5,82.3,148,128.7,93,84.3,112.6,115.3,105.6,99.4
"historical",1878,119,25.3,66.8,85.2,98.3,103.9,88.2,74.2,109.2,113.4,127,88,136.3,129.7,88.9,86.7,104.1,116.1,108.4,98.4
"historical",1879,125.3,31.3,59.3,86.7,101.7,103.3,91.4,75.6,98.9,117.2,121.3,88,139.6,132.5,87.9,83,100.6,121.3,106.4,98.5
