"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,23.3,0,2.8,9,10.2,16.6,12.1,0.1,16.8,27.6,30.8,6.7,44.8,33,16.2,17.2,28.1,23.8,23.5,18
2016,23.4,0.1,0.4,8,17.8,23.5,3.1,0.5,5.2,27.2,49.3,6.8,41.5,36.5,23.5,14.3,24.3,30.2,6.4,18
2017,23.4,0.5,0.3,16.4,11.2,17.3,2.8,1.5,9.4,25.9,35.8,10.6,34.3,40.9,14.1,2.8,23.7,27.6,8.3,16.1
2018,26.5,0.3,0.6,12.6,15.6,22.7,8.4,3.9,6.4,25.6,51.2,7.6,54.3,33.6,23.3,26.4,28.9,28.5,23,21
2019,28.2,0,0.1,6.2,8.3,13.5,6,9.4,7.5,28.7,50.6,8.1,60.6,32.2,18.7,25,34.3,32.5,23.3,20.7
2020,28.6,0,2.3,14,16,15.4,5.5,0.1,16.4,25.4,34.6,4.6,67.9,33.1,16.2,5.1,20.7,29.6,27.6,19.1
2021,24.4,0,1.2,15.8,10.2,17.5,8.6,0.7,7.7,28,59.6,10.1,61.2,39.5,13.7,11.4,20.7,19.6,14,19.2
2022,20.4,0,17.8,12.9,14.4,26.5,5.7,12.3,11,26.7,41.8,8.1,37.8,39.9,26,22.3,20.6,19.2,24.2,20.4
2023,22.3,0.1,3.6,14.3,17.4,14.7,4,0.3,12.6,24.5,54.3,9.9,60.9,35.9,29.4,7.3,27.9,5.9,16.7,19.1
2024,29.7,0,1.2,15.4,18.7,26.1,3.4,0,9,24.8,62.8,12.2,50.9,41.4,16.3,29.2,42.9,27.4,8,22.1
2025,28.4,0,0.3,17.6,17.3,25.4,12.7,0.1,2,29.9,57.3,15.7,33.7,36.9,29.9,10.7,47.8,28.6,22.9,22
2026,27.8,0,0,9.9,21.2,19.7,7.7,15.1,12,29.4,45.8,15.2,72.2,36.9,13.1,16.4,18.1,31.8,27,22.1
2027,30.4,0,0.4,15.7,13.3,21.6,2.8,13,21.5,26.5,47.3,10.6,61.8,38,25.1,10.1,14.2,17.1,23.8,20.7
2028,28.2,0,2.2,12.3,10.2,21.4,17.5,1,6.7,30.2,56,9.9,49.6,32.8,27.5,22.6,43.6,31.5,25,22.5
2029,28,0,8.6,20.5,16,28.1,9.9,1,12.6,27.8,51.4,15.2,61.5,42.4,26.6,12.8,27.3,38.4,23.4,23.8
2030,29.5,0.1,12.3,16.8,23.8,23.1,9,6.1,13.3,30.5,40.9,15.5,61.1,39.8,16.9,22.4,27.1,20,29.1,23
2031,30,0,1,17.1,17.6,17.1,9.8,0.8,18.1,30.4,65.3,16.8,59.9,42.4,21.4,22.7,24.2,19.3,30.4,23.4
