"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,64.4,45.1,90.8,54.1,100.9,40.4,87.3,117.9,61.5,NA,43.5,58.4,72.2,114.4,47.6,64.4,82.6,NA,45.4,70.1
2016,66.6,25.9,84.7,54.1,93.8,109.3,51.2,21.7,67.2,NA,40.1,105.4,129.2,78.9,54.7,74.9,62.8,NA,45.1,68.6
2017,65,34.7,182.3,61,45.7,51.2,72.7,31.4,88.2,NA,59.8,50.8,31.5,67.1,44.6,74.1,82.8,NA,79.1,66
2018,57.6,53.7,73.5,62.4,122,65.4,56.9,62,71.4,NA,41.7,58.1,81.6,65.2,44.4,55,94.6,NA,69.7,66.8
2019,50.2,33.9,144.8,74.2,79,78.1,48,28.6,61.2,NA,41.3,48.5,98.8,99.1,61.2,58.5,76.5,NA,58.3,67.1
2020,72.4,39,40.9,74,87.8,52.4,65.9,80.2,70.2,NA,41,66.2,59.3,61.8,37.9,77.4,85,NA,45.8,62.2
2021,84.5,62.3,125.1,69.6,74,108.3,57.6,136.9,64.6,NA,35.4,79.9,54.4,81.7,46.6,58.2,91.6,NA,62.7,76.1
2022,81.3,48.8,99,80.1,73.1,38.2,41.3,28.3,89.8,NA,43.3,74.4,96.3,86.8,37.4,67.1,55.5,NA,47,64
2023,72,63.3,126.7,72.5,58.4,82,67.8,168.7,49.8,NA,38.1,75.2,82.1,82.9,41.1,80,82.1,NA,52.9,76.2
2024,80.2,58.1,138.2,55.1,90,71.6,70.3,47,73.3,NA,42.1,57.3,95,80.2,43.7,65.5,106.3,NA,52.2,72.1
2025,52.6,36.1,167.2,67.2,107.5,79.8,55.8,79,76.7,NA,44.6,66.6,77.9,56.3,50.8,75.6,74.2,NA,47.2,71.5
2026,62.1,39.2,59.9,68.7,75,63.7,66.7,95.7,91.2,NA,40.4,54,71,87.6,31.7,71.2,92.9,NA,62.1,66.7
2027,41.5,41.3,28.9,87.8,59.4,51.1,68,36.5,94.6,NA,48.2,85,92.8,78.7,42.4,44.6,87.4,NA,74.2,62.5
2028,77.7,53.9,53.9,79.7,91.5,61.2,54,82.6,75.3,NA,37.3,92.6,70,77.3,44.9,52.1,75.2,NA,40.1,65.8
2029,62.4,16.4,82.1,63.1,82.6,58.9,55.9,129.1,94.8,NA,58.6,70.9,67.6,96.3,47,64.2,79.4,NA,96.6,72.1
2030,52.1,11.9,75.6,71,96.7,75.8,63.8,69.3,61.8,NA,54.1,50.6,113.2,92.4,59.6,64,64.5,NA,64.5,67.1
2031,66.3,48.7,47.7,76.7,78.3,93,41.3,81.5,85.6,NA,53.1,48.4,103.1,58.7,45.4,65.9,87.4,NA,75.5,68
2032,62.3,50.8,170.2,71.6,81.2,69,46.2,68.5,58.6,NA,46.3,67.7,118.4,64.6,73.7,76.9,85.1,NA,65.5,75.1
2033,73.4,67.3,82.7,83.3,65.5,81.9,35.7,36.9,52.1,NA,28,65,132.9,76.8,44.7,51.5,81.3,NA,57.6,65.7
2034,70.2,40.7,55.8,62.2,71.4,70.4,79.9,16.3,94.3,NA,28.7,78.6,71.5,82.6,49.8,82.1,101.2,NA,61.3,65.7
2035,70.6,7.3,48.2,61.3,67.1,103.9,53.4,151.7,72.8,NA,33.2,65.6,79.7,80.8,61.4,74.4,60.6,NA,67.9,68.2
2036,65,57.2,52.4,72.2,99,44.1,49.2,60.2,67.9,NA,43.8,80,74.6,81.3,54.7,64.3,129.2,NA,58.1,67.8
2037,81.2,28.8,50.6,55.7,69.7,69.9,51.4,71.1,115.6,NA,34.1,76.9,157,83.1,32,70.8,89.2,NA,44.4,69.5
2038,69.5,49.1,172.4,84.3,80.4,67.9,65.6,115.9,92.4,NA,50.1,58.1,44,91.6,38.7,59.8,79.4,NA,48,74.5
2039,64.2,43.2,20.1,75.7,60.4,106.3,33.6,85.6,107.3,NA,35.2,79.2,127.7,86.9,49.9,85.9,84.8,NA,51,70.4
2040,72,71.6,61.7,71.6,81,72.8,90.3,91.4,73.1,NA,45.8,87.1,81.6,65.8,39.9,59.9,76.7,NA,36.2,69.3
2041,59,93.1,84.4,76.9,59,63.5,63.8,146.9,94.5,NA,42.1,79.9,79.8,102.9,47.9,77.1,117.2,NA,74.5,80.1
2042,71.6,55.5,46.7,70.2,98,77,46.6,91,109.9,NA,60.9,90.4,157.7,74.6,46.8,73.2,80.4,NA,47,76.3
2043,84.7,27.3,119.2,64.4,69.1,101.9,59.3,80.6,76.1,NA,34.3,57,83.2,61,59.5,73.3,82.5,NA,96,72.3
2044,75.3,13.7,168.1,58.8,68.4,79.7,46.7,56.9,98.3,NA,53.8,53.4,132.2,97.4,53.5,54,86.2,NA,67,74.3
2045,56.8,64.9,136.9,57.6,99.1,77,73.5,116.6,115.4,NA,25.1,86.6,111.4,69.3,35.8,44.4,54.3,NA,76.5,76.5
2046,79.6,34.4,55,71.6,64.9,64.2,57,113.9,74.9,NA,46.2,59.8,115.3,71.9,44.1,56.2,110.1,NA,55.8,69.1
2047,92.7,56.8,173.3,67.6,65.6,112.2,41,115.5,96.3,NA,41.2,43,50.8,88.9,40.3,75.9,68.6,NA,55.8,75.6
2048,65.3,31.2,85.8,75.9,50.1,66.8,85,157.5,100.1,NA,52,52.7,142.5,86.5,47.2,63.1,105.4,NA,32.1,76.4
2049,76.4,18.1,87.6,64.2,96.1,58.4,52.4,131.1,111.5,NA,50.4,66.2,49.3,99.4,33.7,71.8,81.2,NA,70.2,71.6
2050,80,51.1,68.7,55.6,97.2,51.9,67.8,84,61.4,NA,46.2,68.2,55.8,77.8,53.5,55.7,76.1,NA,42.8,64.3
2051,62.1,28.2,111.5,65.7,82.7,72.3,61.3,53.8,73.4,NA,42.1,96.4,52.5,48,58.1,55.3,71.5,NA,62,64.5
2052,69.7,34.6,45.9,69.2,64.1,65.2,100.1,71.6,67.2,NA,39.2,79.7,60.6,52.6,43,61.6,60.1,NA,46.3,60.6
2053,66.6,20.5,92.2,62,77.2,71.4,68.1,150.8,88.7,NA,44.6,60.8,63.6,89.1,49,93.8,95.4,NA,61,73.8
2054,64.5,63.5,139.3,72,107.2,76,77.8,87.6,56,NA,43.5,81.9,101.7,57,43.8,80.9,80.6,NA,52.1,75.6
2055,71.1,43.7,125.6,65.6,63.5,79,49.6,136,99.4,NA,70.3,46.5,104.4,82.4,53.5,58.4,95.8,NA,82.7,78.1
2056,60.3,60,152.5,91.5,60.4,58,48.9,107.6,90.1,NA,43.5,96.1,84.9,90.7,51.8,64.4,83.7,NA,99.6,79.1
2057,53,11.5,79.4,76.2,72.8,92.6,50.2,126.9,96.2,NA,38.9,75.4,81.4,85.7,39.3,57.7,85.1,NA,50.4,69
2058,57.1,16.9,92.2,74.9,41.8,80.7,41.5,74.2,71.2,NA,46.3,42,100.4,81.1,57.7,52.4,93.7,NA,79.1,64.9
