"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,75.1,23.6,66.7,68.3,71.6,70.2,69.1,66.7,71.3,70.7,70.5,72.1,84.4,72.3,70,70.7,73.6,93.4,67.9,69.9
2016,76,28.6,66.7,68.3,70.8,70.2,69.3,65.6,72,72.2,72.2,71.2,83.1,71.2,68.9,71,75.2,93.8,70.2,70.3
2017,75,30.2,67.9,68.3,71.2,70.3,69,65.4,71.3,71.7,72.9,70.1,83.9,71.9,68.3,70.1,74.5,94.2,69.6,70.3
2018,74.9,27.6,63.1,68.8,71.2,70,69.5,66.6,71,70,70.8,72,83.3,72.1,69,71.3,75,94.2,71.8,70.1
2019,75.2,31.1,67.3,68.4,70.6,70.9,68.4,65.7,72.2,69.9,71.9,73.3,84.5,72.9,70.6,70.9,72.4,94.1,70,70.5
2020,74.3,27.6,66.2,68.5,70.2,70.8,68.8,67.4,71.6,70.9,71.6,72.5,83.8,72.7,69.2,70.4,73.8,94.2,69.5,70.2
2021,74.9,29.1,64.6,68.9,71.4,70.1,68.5,64.2,72.2,70.2,72.9,71.7,82.7,73.4,71.2,71.1,72.7,93.8,70.5,70.2
2022,76.1,32.7,62.5,68,70.6,71,69.2,65.9,72,73.2,70.8,72.4,84.6,73.1,71.4,70.6,72.9,94.2,69.8,70.6
2023,75.4,29.7,66,67.6,70.6,70.4,69,66.3,72.1,71.5,74.2,72.1,84.6,72.7,68.7,69.6,75.9,93.9,69.9,70.5
2024,76.3,31.1,66.6,68.3,70.8,71.3,68.5,64.8,71.8,71.6,75.6,71,83.9,72.1,69.4,70.2,73.8,93.9,69.9,70.6
2025,75.1,28,63.2,68.6,71.4,71.2,68.6,67.8,72.4,70,75.2,72,83.9,72.9,68.9,70.5,73.9,93.8,69.8,70.4
2026,74.5,24.6,65.6,69.2,70.8,69.9,68.4,67,71.3,73.4,73.8,71,82.4,72.4,68.7,70.6,73.9,94.3,69,70
2027,74.9,29.7,66.3,69.6,70.3,71.3,69,67.3,72,68.9,70.5,71.6,83.9,72.1,68,70.5,76.9,94.3,69.3,70.3
2028,74.8,28.7,63.5,69.8,70.7,70.3,68.6,67.7,72.2,72.5,75.2,72.1,83.6,71.9,67.8,71.5,75.8,94.2,70.4,70.6
2029,75.2,28.9,66.4,69.2,71.2,70.4,69,67,71.1,71.2,69.5,72,84.6,72.9,68,71,75.9,93.8,70.3,70.4
2030,75.5,28.4,65.5,69.1,71,70.2,68.9,69.4,72.1,71.9,74,71.7,81.7,73,70.8,72,73.3,94.2,70.3,70.7
