"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,64.9,42.6,60.3,66.5,66,64.9,64.3,58.8,66.8,NA,60.9,75.4,76.8,63.7,67.8,71.3,71.3,NA,67.2,65.3
2016,63.9,37.1,60.6,64,65.8,65.4,65,61.2,65.5,NA,60.8,75,75.8,63.3,67,72.4,71.2,NA,67.3,64.8
2017,64,36.7,61.2,64.3,66.3,63.9,64.9,63,67,NA,60.7,75.3,75.1,62.9,67.4,71.4,71.1,NA,67.9,64.9
2018,66,40.4,65.7,64.8,66.4,65.2,64.7,66.1,65.6,NA,61.3,75.5,77.9,62.3,66.7,72,70.9,NA,66.1,65.7
2019,64.6,40,60.7,64.4,65.4,65.2,64.3,63.3,65.1,NA,60.5,75.5,79.1,63.9,67.9,71.6,71.4,NA,67.6,65.3
2020,65.5,38.2,54.5,64.3,66.4,64.7,65.6,64.2,65.9,NA,62.2,75.4,75.5,63,67.2,71.1,70,NA,65.6,64.7
2021,63.4,42,56.7,65.7,66.7,64.2,65,66.7,65.1,NA,61.7,74.6,77,62.8,66.8,71.2,72,NA,66.8,65.2
2022,64.5,45.4,53.7,67.7,67,65.9,64.6,65,65.4,NA,60.3,75.6,76.9,64.2,67.6,71.3,70,NA,66.3,65.4
2023,64.5,36.5,55.2,64,65.4,65,63.9,66.6,64.9,NA,61.3,74.1,77.8,63.3,66.8,71.8,71.2,NA,65,64.5
2024,62.7,42.8,61.3,64.4,65.9,63.9,64.3,62.4,65.8,NA,60.5,74.2,79.3,64,67.3,72.1,72,NA,66.8,65.3
2025,63.4,40.5,56.2,64.7,66.5,64.8,64.4,66.2,66.5,NA,61.2,74.1,77.8,63.5,66.8,71.7,71.8,NA,67.3,65.1
2026,64.2,43,61.6,64.6,65.7,65,63.5,61.7,64.3,NA,60.4,73.9,77,62.9,67.4,70.1,71.4,NA,67.7,65
2027,62.9,39.9,57.3,65.6,66,65.5,64.3,67.7,65.4,NA,62.2,74.3,75.7,63,67.1,71.7,71,NA,66.3,65.1
2028,62.5,39.3,55.8,64.8,65.8,65.8,65.3,66.4,66,NA,59.4,75.2,78.6,62.5,66,72,70.9,NA,64.9,64.8
2029,65.1,44.7,63.7,64.2,65.5,64.2,65.5,63,65.1,NA,59.9,74.7,76.9,61.5,67.2,71.9,72,NA,65.9,65.4
2030,65.5,36.6,57.8,64.3,64.6,64.2,64.4,63.3,67,NA,61.4,74.1,77.2,65.1,67.6,71.3,72,NA,63.9,64.7
2031,63.3,38.4,59.2,64.3,65.6,64,64.1,65.8,64,NA,60,75.1,74.4,63.2,67.7,71.4,71.2,NA,66.2,64.6
2032,64,44.4,57.6,64.7,67.4,65.2,65.9,65.6,67.3,NA,62.7,74.4,78,62.6,67.6,70.7,71,NA,64.9,65.5
2033,63,41,62.5,64.8,66.7,65.8,65.4,63,65.7,NA,61.7,74.5,80.1,63.6,67.4,70.2,71.9,NA,63.9,65.4
2034,64.2,38.2,61.6,65.3,64.8,65.1,63.6,61.1,65.8,NA,60,74.8,76.6,61.7,66.8,70.9,71.1,NA,65.8,64.6
2035,63.5,35,62,64.2,67.2,64.3,66.2,65.9,66.5,NA,61.9,75.7,76.1,62,67.7,70.7,71.4,NA,65.1,65
2036,63.8,37,59.1,65.1,66.4,65.6,63.9,64.3,64.8,NA,59.2,74.3,78.1,60.8,67.4,71.1,71.4,NA,65,64.5
2037,65.6,39.3,56.8,65.3,66.8,66.2,64.4,66.1,66,NA,60.8,74.9,77.7,62.6,67.2,71.6,71.8,NA,65.9,65.2
2038,64.4,41.6,58,64.7,65.4,64,63.9,63.4,67.8,NA,58.3,75.9,76.7,60.1,67.9,71.5,71.2,NA,64.8,64.7
2039,64.2,37.3,53.4,64.8,65.5,65.5,65.1,62.7,65.2,NA,60.3,75.3,76.1,63.1,67.4,71.2,71.8,NA,65,64.3
2040,63.1,39.3,50.1,65.1,66,65.2,64.7,63.8,67,NA,59,75.5,78.5,61.9,68.1,71.6,72.5,NA,65.5,64.5
2041,62.5,38.7,58.4,64.3,65.8,63.8,64.3,62.1,67.6,NA,58.8,74.2,76.7,64.1,66.5,69.6,72,NA,64.1,64.3
2042,63.1,43.1,58.9,63.3,66.7,64.6,65.1,65.7,66.3,NA,61.3,74.7,78.1,63.9,68,70.4,71.4,NA,63.5,65.2
2043,62.8,38.2,53.2,65.4,66.6,65.5,64.9,64.7,65.8,NA,60.8,74.9,78.4,61.6,66.7,71.6,71.6,NA,65.5,64.6
2044,63.4,39.4,61.1,65.2,66.1,65,65.6,61.3,65.7,NA,59.3,74.8,76,62.9,67.9,71.4,70.9,NA,63,64.6
2045,64.7,41.2,59.5,65.2,65.7,65.7,65.8,66.6,66.2,NA,62.6,74.6,75.5,63.6,67.2,70.9,72.4,NA,65.1,65.4
2046,64.2,42.6,55,64.3,65.9,66.9,66.6,59.9,66.1,NA,60.6,74.3,79.7,64.3,67.1,71.2,71.5,NA,64.3,65
2047,64.7,40.3,58,63.9,66.6,65.3,64.7,64.6,66.9,NA,59.8,75.3,77.3,62.1,66.6,70.8,72,NA,64,64.9
2048,63.7,40.8,55.8,64.1,66.9,65.2,65.2,65.6,66.1,NA,61.1,74.9,78.6,60.3,68,72.2,72.3,NA,63.3,64.9
2049,64.6,39.7,55,63.6,66.2,65.9,66.6,65.4,65.3,NA,57.2,74.7,74.3,62.1,67.1,70.7,70.8,NA,63.6,64.3
2050,64.2,38.1,53.3,63.6,66.8,66.5,65.5,63.4,65.7,NA,58.9,73.9,78.8,62.5,67.3,70.4,72.2,NA,63.7,64.4
2051,60.9,38.3,55.7,65.5,67.2,65.1,66.7,63.9,66.1,NA,58.9,75.5,77.8,63,68,69.7,71.6,NA,63.5,64.6
2052,63.4,34.6,54.7,64.7,65.9,65.1,65.5,65.7,67.5,NA,59,73.4,75.5,64,67.6,71.8,72.4,NA,63.7,64.4
2053,62.7,35.9,52.5,63.7,65.5,66.1,64.8,67.2,65.9,NA,57.2,74.7,76.3,61.9,67.9,71,71.7,NA,64.5,64.1
2054,61.7,39.5,50,63.2,65.9,65.6,65.3,62.1,66.9,NA,59.3,74.2,75.9,66,66.8,71.7,71.4,NA,63.1,64
2055,63.8,36.4,56,64,66.3,63.7,66.3,66.3,66.7,NA,61.4,74.8,78.2,64.3,67.9,71.1,72.6,NA,62.8,64.9
2056,62.6,43.6,55,65,66.2,66.1,65.2,65.1,66.3,NA,62.2,74.7,76.7,60.1,66.5,69.9,72.5,NA,62.7,64.7
2057,64.2,39.1,55.5,65.2,66.2,65.7,64.1,68,66.8,NA,59.3,73.7,77.4,62.4,67.4,71,70.8,NA,64,64.8
2058,61.7,38.5,57.2,64.7,65.5,66.7,65.3,65.3,66.5,NA,62.8,74.5,76.7,62.1,67.1,71.6,71.9,NA,64.8,64.9
2059,61,38.4,53.3,65.4,66.6,65.6,64.5,64.6,65.9,NA,59.1,75.3,79.2,61.9,67.8,70.7,71.2,NA,63.4,64.3
2060,62.3,38.7,56.7,63.4,66.1,67.7,66.2,66.2,67,NA,60.4,75.4,75.8,61.5,67.7,71.6,72.2,NA,62.3,64.8
2061,62.4,39.7,56.9,64.9,65.2,65.4,65.9,65.2,65.6,NA,60.7,73.8,76.2,65.6,67.1,70.5,71.2,NA,65.7,64.8
2062,63.7,42,54.1,63.6,66.7,65.8,66.6,65.5,65.9,NA,60.8,75,74.8,63.1,66.5,71.2,71.4,NA,62.8,64.7
2063,62.9,43.4,57.9,65.1,65.6,63.7,65.5,63,65.7,NA,61,74.8,77.7,63.6,68.2,71.3,71.2,NA,63.4,64.9
2064,61.9,40.6,54.9,65.3,65.8,66.1,65.9,63.5,65.7,NA,61.9,74.6,77.5,62.1,66.9,70.5,71.3,NA,62.8,64.5
2065,64.4,40.8,55,64.7,66.2,64.3,66.3,66.4,65.8,NA,61.8,74.2,73.9,64.7,67.4,71.2,72.9,NA,63.1,64.9
2066,60.4,38.8,53.3,65.7,67,64.1,65.9,65.1,65.3,NA,60.4,74,77.8,62.4,67.7,70.3,73.2,NA,62.5,64.3
2067,63.3,37.4,56.9,65.1,65.7,64.8,65.2,59.5,65.1,NA,58.5,74.6,77.4,62.4,67.3,71.4,71.8,NA,62,64
2068,62.1,36.1,53.4,63.5,65.8,65.4,65.6,64.7,65.5,NA,60.6,74.6,77.9,64.1,67.3,70.5,71.3,NA,62.9,64.2
2069,61.1,41.5,56.4,63.4,65.3,64.4,66.5,65.9,65.3,NA,61.1,73.2,77.4,62.3,68,70.2,71.7,NA,63.3,64.5
2070,62.7,40.4,57.5,65.7,65,66.2,65.5,64.2,65.9,NA,60.5,73.9,75.7,62.1,67.5,71,71.9,NA,64.3,64.7
2071,61.5,38,58.5,66.1,66,65.6,66.5,63.1,65.5,NA,58.8,73.5,78.7,62.4,67.1,71.4,72.8,NA,61.9,64.6
