"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,76.3,21.7,64.5,66.2,69.9,66.6,68.2,60.6,70.8,NA,75.7,72.1,81.6,69.1,69.8,70.6,71.5,NA,66.5,67.2
2016,76,39.4,71.2,68.4,69.4,68.1,67.9,61.9,70.7,NA,76.3,73.3,81,68.2,68,70.7,70.3,NA,71.3,68.9
2017,76.9,22,68.5,67.9,68.1,68.5,68.3,60.2,70.8,NA,76.2,70.9,79.6,66.5,68,68.5,70.2,NA,67.8,67
2018,76.5,25.4,65.1,65,68.6,67.5,68.6,68.9,71.3,NA,74.7,72.1,80.1,68.2,69.2,70.8,70.2,NA,69.3,67.7
2019,76.5,18.6,75.9,67.5,69,67.3,68.4,65.4,73,NA,75.1,74.6,80.7,69.2,68.9,68.9,70.2,NA,71.1,68.3
2020,77.7,34.4,71.4,67.6,67.9,68.1,68.7,63.1,69.4,NA,76.3,73.6,81.2,68.5,67.7,69.2,70.4,NA,71.5,68.6
2021,77.1,30.7,75.4,67.8,68.5,67.2,66.9,66.1,69.5,NA,75.6,72.5,80.7,70.5,68.8,70.1,69.3,NA,67.2,68.5
2022,76.9,35.7,67.3,67.7,69.4,69.4,69.8,69.2,69.7,NA,75.9,71.2,81.5,68.1,68.8,70.2,72.2,NA,69.4,69
2023,77,22.6,68.3,68.8,68.2,69.1,68.3,62.5,69.9,NA,75,72.2,82,68.8,68.5,70.2,71.2,NA,70.8,67.8
2024,75.6,23.8,69.1,69,69.3,70,69.4,69.1,71.3,NA,76.9,72.8,81.2,67.5,68.7,70,70,NA,68.5,68.4
2025,76.4,27.8,63,67.6,69.4,68.8,67.1,64.6,71.3,NA,76.3,73.9,83.5,70.3,69.4,69.7,71.8,NA,70.3,68.3
