"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,84.9,11.4,63,67,77,76,NA,66,74.9,72.6,78.6,50.8,88.1,79.1,66.1,66.7,77.6,93.3,69.7,70.2
"historical",1851,83.1,9.4,63.2,68.4,76.6,78.7,74.5,66.1,74,71.2,79.6,53.6,88.3,82,64.1,65.7,74.3,94.2,69.1,70.3
"historical",1852,84.7,9,64.2,65.3,75.7,78.2,73.3,64.5,74.7,72.2,78.3,56.8,89,79,67.9,68.8,76,94.2,70.4,70.6
"historical",1853,83.6,9.8,70.2,65.4,75.8,78,73,71.3,75.7,75.3,78.5,55.6,89.3,79,68.6,63.2,72.9,94.5,71.8,71.1
"historical",1854,83,16.7,63.4,68.7,75.8,77.6,73.7,66.7,78.3,71.8,76.7,56.3,90.9,78.7,66.7,65.3,76.4,93.7,70.3,71.1
"historical",1855,82.2,13.7,66.6,67.8,75.8,75.7,73.1,66,75.6,70.7,78.3,53.6,91.6,79.2,70.9,64.5,71.1,93.6,68.9,70.5
"historical",1856,83.9,14.9,62.8,64.9,75.9,77.1,76.4,66.1,74.6,66.5,79.9,50.5,91,80.1,65.9,65.7,78.1,94,66.7,70.3
"historical",1857,82.3,12.1,62.3,66.7,76.2,77,75.1,63.7,75.5,70,76.8,54.6,89.3,79.8,66.2,65.8,74.1,93.8,69.3,70
"historical",1858,83.8,15.3,65.1,66.5,76.5,77.1,76.4,63.1,72.8,70.6,79.2,54,89.1,77.2,66.7,67.9,75.8,93.8,67.1,70.4
"historical",1859,83.1,14.1,57.4,72,76.3,76.1,73,73.5,76,70,77.5,57.1,88.6,79.3,69,66.2,76.7,93.2,69.1,71
"historical",1860,85.1,18.5,67.4,66.2,73.7,77.1,73.1,64.5,75.6,64.9,76.9,60.2,92,79.7,64.1,65.3,75.4,93.4,70.5,70.7
"historical",1861,82.1,24.6,62.6,64.8,74.5,76.4,74.5,67.6,76.6,65,78.3,53.4,89.2,78.9,65,67.3,74,93,68.6,70.3
"historical",1862,82.8,13.9,57.2,66.8,76.2,76.3,75.3,64.1,77.2,70.5,77.7,53,90.4,78.7,67.5,65.6,76.2,92.8,69.1,70.1
"historical",1863,83.3,13.4,64.2,67.7,76.5,76.6,73.7,62.8,74.3,69,80.1,53.6,90.9,79.4,65.3,66.4,73.2,93.1,67.1,70
"historical",1864,83.3,14.4,65.4,68,77.3,75.8,74.8,62.5,77.3,69.8,76.5,51.4,89.4,79.2,69.5,66.9,73.4,93.7,70.7,70.5
"historical",1865,83.7,14.6,62.9,67.5,76.9,77.8,75.1,65.9,74.8,70.2,76.9,56,89.5,79.7,62.5,65.4,73.3,93.7,68.5,70.3
"historical",1866,82.5,8.3,68.1,65.5,77.3,78.7,71.9,66.7,76,66.4,79.3,52.8,88.8,77.7,63.2,66.5,71.9,93.6,68.9,69.7
"historical",1867,83,16.6,67.8,64.6,76.3,77,75,66.8,73.2,70.6,79.9,54.7,88.6,79,65.6,64.3,73.6,94.1,69.2,70.5
"historical",1868,83.2,13.9,69,67.5,76.7,78.3,74.8,61.6,72.6,71.2,78.7,55.7,90.7,80.3,67.6,64.5,75.8,93.9,70.3,70.9
"historical",1869,82.4,21.3,66.8,67,75.2,77.2,73.1,68.6,76.8,74.2,76.8,55.6,89,80.5,67.6,65.4,74,93.4,72.9,71.5
"historical",1870,82,10.5,63.2,66.7,76.5,77,75.4,62.9,74.7,71.4,76.3,59.7,90.5,79.2,67.6,66,76,94.4,71.8,70.6
"historical",1871,82.8,13.8,61.3,68,76.1,76.8,76.8,67.2,77,67.7,77.7,56.9,89.4,80.1,68.2,63.9,73.8,94.2,67.5,70.5
"historical",1872,83.8,9.9,64.8,65.8,77.5,76.7,74.5,65.8,78.7,71.5,80.9,58,89.7,81.4,69.6,67.6,74.1,92.6,71.5,71.3
"historical",1873,83.8,11,66.7,66.3,76.9,76.5,76.7,68.4,77.2,67,79.5,56.8,89.4,80.3,68,67.6,74.7,92.3,69.8,71
