"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-6.7,-32.6,-3.8,-7.6,-7.9,-6.9,-11.9,-12.8,-10.2,-12.8,-8.9,-13.3,-1.5,-6.6,-8,-12.8,-5.6,-8.8,-15.2,-10.2
2016,-5.4,-31.2,-10.9,-11.2,-6.6,-6.5,-15.2,-10.4,-9.9,-9.7,-9.9,-11.6,-1.1,-5,-15.5,-10.4,-10.6,-8.9,-12.3,-10.6
2017,-5.1,-29.5,-8.7,-9.4,-8.4,-5.4,-14,-8.4,-12.9,-14,-5.2,-13.7,-1.5,-6.6,-8.9,-13.2,-10.7,-7.8,-8.5,-10.1
2018,-5.5,-33.9,-6.9,-8.1,-4.9,-5.7,-12,-14.8,-11.6,-11.6,-1.9,-11.6,-2.7,-5.6,-13.1,-11.2,-10.2,-5.8,-14.1,-10.1
2019,-5.9,-13.8,-6.4,-7.9,-8.7,-3.9,-12.5,-10,-10.8,-13.4,-2.6,-13.8,-2.3,-5.6,-11.4,-11.2,-7.2,-12.9,-13.2,-9.1
2020,-5.7,-16.9,-12.6,-10.2,-6.4,-7.1,-12.1,-9.8,-9.4,-16,-5.2,-8.7,-1.6,-5.9,-9.9,-12.9,-8.8,-10.9,-13,-9.6
2021,-5.4,-21.9,-3.7,-8,-5,-8.4,-10.8,-11.1,-9.6,-13.7,-2.1,-10,-2.3,-6,-10.7,-12,-5.5,-7.8,-12.9,-8.8
2022,-5.4,-21.2,-14.1,-7.7,-7.7,-6.5,-11.9,-8.1,-11.1,-5.2,-10.3,-13.1,-1.3,-7.2,-6.6,-11.8,-1.5,-11.1,-9.5,-9
2023,-6.2,-28.6,-7.1,-9.1,-5.6,-6.5,-13.9,-12.4,-10.4,-12.1,-3.5,-11.8,1.5,-6.4,-7.7,-11.8,-7.1,-9,-10.2,-9.4
2024,-5,-22.7,-8.3,-9.9,-5.9,-7,-13.4,-11.8,-10.6,-6.6,-5.6,-9,0.3,-5.3,-5.4,-12.9,-14.9,-7.8,-8.3,-9
