"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,136.3,48.1,92,75.5,86.5,56.2,59.2,118.5,46.7,136.7,146.8,96.8,222.5,125.3,130.1,102.9,56.3,116.8,79.4,101.7
2016,149.5,51,101.8,81.3,77.8,61,72.5,119.5,56.8,77,111.4,118.6,195,145.3,119.9,114.6,60.1,152.7,96.1,103.3
2017,126.4,126.4,42.1,88.6,84.8,65.9,66.9,100.5,62.6,117.7,108.3,113,194.8,111.4,97.5,119.8,101.6,113.6,74.6,100.9
2018,157.4,40.2,44.6,78.3,65,82.5,74.2,90.7,52.8,104.6,131.4,111.7,263,145.2,82.4,111.7,71,119,70.9,99.8
2019,168.6,84.5,63.1,106.8,76.6,57.1,94,120.4,70,110.9,118.7,97.2,216.8,148.9,104.1,129.6,62.3,139.6,108.8,109.4
2020,162.1,75.4,63.3,81.5,65.2,68.8,72,99.2,62.5,122,92,90.8,238.6,149.7,195.4,113.5,68,169.1,107.2,110.3
2021,142.6,132.7,59.4,83.3,60,68.5,74.2,104.7,88.3,96.1,138,109.5,177.6,129,131.7,128.1,72,95.8,89.7,104.3
2022,146.8,37.7,87.8,85.9,75.2,59.8,73.9,105.5,70.1,95.2,124.9,87.7,211.7,129.6,105.1,117,46.9,152.3,93.5,100.3
2023,160.8,73.7,51.9,69.8,46.9,79.9,72.5,96.5,60.2,114.3,128.2,107.8,178.3,103.4,109.1,90.6,100.8,113.9,123.9,99.1
2024,155.2,62,104.3,82.5,65.2,69.8,64.1,132.9,52.1,113.6,202.9,101.7,196.7,106.5,76.6,96.3,66.3,122.9,72.9,102.3
2025,134.7,163.3,94.8,99.4,97,54.9,79.1,87.8,68.2,116.6,95.4,102.4,159.5,121.3,136.8,107.9,61.6,144.8,120.5,107.7
2026,140.6,44.8,69.2,82.6,75.9,86.9,87.6,89.9,68.6,104,120.9,85.8,233.7,144.6,96.1,106.6,119.5,101.4,82,102.1
2027,133.7,40.1,44.2,69.4,68.2,66,72.4,111.9,72,94.4,150.5,122.8,224.1,181.7,109.7,104.2,39.4,114.6,100.3,101
2028,169,122.1,113.2,90.9,78.4,76.6,95.4,117.7,84.8,188.2,127.8,101.1,239.7,109.6,104.4,118.6,46,115.7,103.5,115.9
2029,139.5,89.7,64.1,86.4,92,68.8,64.3,100.6,56.6,153,116.6,120.4,203,151.2,80.9,119,87,136.2,104.6,107
2030,132.7,50.4,52.7,94.1,68.2,78.9,95.9,146,77.8,184.2,134.1,83.7,235.5,125.8,90.8,121.4,66.6,130.8,120.9,110
2031,142.4,108.1,73.6,81.5,63.3,83.7,57.6,106.2,82.2,133.1,156.4,98.1,256.4,133.2,81.6,119.3,108.9,159.4,98.8,112.8
2032,152.7,59,73.4,79.7,69.7,64.2,71.1,116.9,65.8,114.6,67.4,107.6,238.4,129.7,97.3,149,106.8,116.5,106.4,104.5
2033,144.7,56.5,39.6,89.6,96.9,93.9,79.5,93.3,64.5,74.3,119.1,89.2,211.3,133.2,115.1,121,47.9,144,79.3,99.6
2034,134.8,93.1,72.6,90.1,84.6,63.3,70.5,114.7,56.3,99,82.6,116.3,138.4,134.2,95.4,107.8,99.7,124.3,92.9,98.5
2035,153.6,68.4,88.2,99.9,84.1,76.6,104.8,106.8,85.8,107.8,95.1,104.1,243.3,96.2,134.5,128.1,129.1,126,98.6,112.2
2036,162.4,57.6,56.8,89.1,72.6,77.1,93.7,142.4,77.5,74.3,129.6,141.7,225.8,139.1,79.2,104.6,99.2,94.9,119.5,107.2
2037,158.6,87.7,55.2,93.6,73.2,67.9,99.6,97.9,74.7,110.5,76.4,114.8,207.4,160.2,133.1,118.9,63.9,157.2,98.7,107.9
2038,157.9,107.3,88.7,82.2,88.8,60.6,87.8,126.8,73.2,88.1,95.7,97.2,240.9,135,86.6,130.6,98.8,192.8,123.6,113.8
2039,149.7,69.2,63.3,94.5,85.1,71.8,73.3,108,74.8,60.4,137.1,118.6,187.9,129.7,114.1,98.8,88.6,141.9,113.7,104.2
2040,148.1,132.3,119,103.8,79.8,58.3,85.3,98.1,60,79.3,140,101,247,108.4,88.6,120.2,134,108.6,107.4,111.5
2041,149.9,124.1,28.7,85.9,76.5,63.5,109.2,113.6,68.3,81.5,172.5,115.7,277.2,113.1,77.9,119.2,92.8,131.5,100,110.6
2042,172.9,114.2,81.4,88.1,79.9,71.4,87.3,95.9,64.9,85,177.5,110.1,228.2,135.5,114.3,117.3,86.9,124.8,106.8,112.8
2043,169.1,46.8,68.1,95.1,88.8,44,82.8,106.6,81.6,93.9,119.6,99.4,160,135.2,105.9,128.3,97,127.7,98.3,102.5
2044,156.1,93.1,94.3,90.9,71.4,72,64,82,70.4,126.8,125.7,106.6,247.8,131.8,113.6,104.8,141.8,116.2,94.1,110.7
2045,163.5,41.7,87.4,96.4,84.4,97.2,72.5,127.4,86.9,97.6,89.4,108.9,159.6,155.9,118.7,112.5,125.8,157.3,94.7,109.4
2046,164.5,82.5,63.1,100.2,76.2,68.6,105.9,92.3,79.6,102.4,153,127.5,263.5,154.5,100.8,137.9,143.3,190.2,114.8,122.1
2047,141.4,61.4,76.4,81,63,66.7,100.9,99.7,75.3,113,116.2,121.4,222.1,134.3,70.6,126.9,117.7,117.9,124,106.8
2048,169.3,110.8,34.3,91,89,80.6,77.5,140.5,74.2,127.5,95.9,104.2,186,97.5,87.9,112.3,73.7,78.7,103.5,101.8
2049,160.4,85.1,94,88.9,60.4,66.2,99,128.6,76,163.1,206.4,94.4,252.6,148.7,150.4,117.5,102.6,142.5,104.2,123.2
2050,164.1,94.9,106.8,81.8,66.8,90.4,84.3,108.1,75.8,79.1,118.4,104,247.6,136.7,101.2,139.8,150.6,163.4,97.5,116.4
2051,170.6,71.7,65.5,120.5,66.4,51.9,78.9,105.5,93.9,98.9,142,131.4,195.5,157.4,101.9,120.9,97.5,145.4,100.9,111.4
2052,148.1,65.9,84,100.4,80,56.6,83.8,137.9,67.5,123.1,208.8,112.8,269.2,116.2,96.6,123.6,50.4,154.5,113.3,115.4
2053,156.3,24.6,82.1,99.1,92.5,90,80.1,133.6,66.7,141.4,129.3,118.6,243.3,127.6,97.6,103.6,48.7,78.7,144.3,108.3
2054,170.1,93.2,85.7,97.3,72.8,71.8,80.8,157.4,81.1,153.2,113.5,92.7,223.5,127.1,126.9,113.4,55.9,143.7,103.1,113.9
2055,158.6,71.7,102.4,90.6,103.8,94.7,95.2,128.4,71.3,75.1,171.9,125,190.3,140.3,144.1,143.4,112.3,79.5,117.6,116.6
2056,165.8,54.2,63.4,94.8,99.9,85.9,102.7,132.6,63.8,168.3,164.7,94.3,299.4,122.4,108,121.2,94.6,146.1,109.3,120.6
2057,159.4,61.2,40.5,119.6,73.9,73.6,84.2,136.1,74.8,102.2,148.6,107,234.1,132.4,78.9,117,155,143.1,145.3,115.1
2058,147.1,59.3,107.1,93.3,73.1,55.5,107.4,98.8,84.6,139.6,149.4,103.9,246.6,132.4,142.8,140.5,89.1,124,117.8,116.4
2059,154.4,74.7,158.8,92,80.9,79.8,104.5,123.7,57.9,114.5,74.6,100.3,182.9,142.9,107.8,122.4,129.7,185.6,130.8,116.7
2060,169.7,87,97,125.1,74,65.4,97.7,143.3,78.1,98.8,192,125.3,240.3,138.5,129.6,109.7,82,158.2,147.8,124.2
2061,159.1,174,69.9,117.9,75.2,68.5,91.6,128.2,78.3,91.5,129.9,130.7,257.4,133.8,103.2,109.8,104,177,143.1,123.3
2062,175.3,51.7,61.2,117.6,106.3,63.9,114.3,117.7,65.4,125.3,210.8,117.4,263.9,109.8,103.8,112.9,98.2,152.2,109.9,119.9
2063,137.8,38.3,54.5,118.6,92.7,73.6,101.8,150.2,60.7,73.5,187.5,125.6,276.6,147.3,150.8,125.5,192.5,131.3,94.7,122.8
2064,178.9,58.6,60.2,87.6,77.3,77.4,91.9,134.4,79.2,144.3,84.4,99.8,185.7,143.1,111,128.1,92,147.1,162.5,112.8
2065,168.1,72.6,85.5,101.7,69,79.7,89.4,123.3,76.1,86.3,170.5,101.9,264.6,118.8,98.4,131.5,133.9,214.2,139,122.3
2066,172.9,76.2,116.1,117.8,71.3,65.6,127.3,128.1,73.3,133.8,155.3,122.1,226.4,133.8,130.3,138.3,124.6,203,137.7,129.2
2067,171.1,58.6,79.7,109,82.1,97.2,67,137.4,74.2,90.6,158.7,116.3,216.8,115.9,151.4,136.8,135.8,190.4,125,121.8
2068,184,55.7,113,120.8,67.6,70.4,76.8,121,69.8,129,144.9,124.1,221.8,136.6,117.7,133.5,60.4,142.9,136,117.2
2069,135.4,64.4,87.9,117.1,67,62.5,91.1,137.6,83.4,165.1,144.4,103.5,171.2,136.5,128.7,121.8,122.3,115.7,96,113.2
2070,170.1,119,100.2,118.2,89.3,80.6,96.3,144.1,68.3,89,198.6,115.3,263.9,151.2,84.8,140.2,105.5,172.9,116.5,127.6
