"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,12.5,26.5,14,11.3,14.8,16.6,12.5,9.6,12.1,NA,11.4,10.5,13.4,16.2,15.8,13.2,14.5,NA,10.8,13.9
2016,12.7,25.8,8.1,10.2,14.2,16,12.9,15.6,14.2,NA,12.3,11.5,12.2,15.5,15.7,12.9,15.8,NA,10.8,13.9
2017,13.5,23.4,7.9,9.4,14.4,15.1,13.4,12.8,11.9,NA,11.9,11.2,9.1,18.1,15,13.6,15.2,NA,13.1,13.5
2018,13.4,20.1,9.2,10.1,14.9,15.6,13.2,11.7,12.4,NA,12.9,13.2,14,19.3,14.3,12.7,15,NA,11.8,13.8
2019,12.8,24.6,11,10.9,14.7,16.3,13.7,12.2,9.7,NA,11.8,12,13.1,16.4,15.7,12.7,16.3,NA,11.6,13.9
2020,13.5,23.5,8.8,11.9,15.1,15.9,12.7,13.8,12.9,NA,11.1,12.3,13,17.4,14.5,12.7,15.3,NA,12.6,13.9
2021,12.4,26.1,8.2,12.2,14.7,17,13.5,10.7,12.7,NA,12,11.8,14.5,16.4,14.5,13.1,15.7,NA,9.8,13.8
2022,12.4,19.5,12.1,12.3,13.6,15.3,13.4,12.6,11.5,NA,11.2,11.6,14.6,16.6,15.9,11.8,16.6,NA,11.2,13.7
2023,12.2,27.9,12.3,11.3,14.7,15.6,13.6,13.2,13.3,NA,12.9,11.6,16.7,17,15,12.3,15.6,NA,13.5,14.6
2024,13,24.9,9.9,10.8,14.8,16.8,13.9,11.7,12.1,NA,11.5,11.8,13.4,18.2,15.9,12.6,15.3,NA,11.9,14
2025,13,22.8,13.8,11.4,15.4,15.8,12.6,13.1,12.4,NA,11.5,10.9,14.6,17.2,14.9,13.2,16.5,NA,13.4,14.3
2026,12.7,19.6,8.7,11.3,14.2,15.1,13,12.8,12,NA,12.1,11.6,12.4,16.3,14.5,13.2,16.2,NA,11.6,13.4
2027,13.5,21.1,11.1,11.2,14.8,14.9,13.1,13.3,14,NA,12.2,12.5,12.4,19,15.9,12.8,15.9,NA,10.5,14
2028,13.5,26.1,13.2,11.6,14.3,17.3,12.9,10.9,14.2,NA,12.9,11.8,13,16.1,15,13,16.4,NA,13.1,14.4
2029,13.2,28.3,14.3,11.5,14.2,17.2,13.2,11.9,15.2,NA,11.2,12.4,14.1,18.7,15.6,13.5,16.9,NA,13.2,15
2030,13.3,22.3,8.9,11.4,14.4,16.3,12.3,11.5,12.5,NA,12.1,11.1,9.3,19.5,14.5,12.9,14.5,NA,12.5,13.5
2031,12.4,19.5,9,11.4,15.6,18,14.5,10.8,11.8,NA,11.8,12.8,13.4,17,15.8,14.1,17.2,NA,11.9,13.9
