"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-33,-52.7,-37.6,-36.9,-35.9,-35.8,-39.7,-39.6,-39.5,-39.7,-36.7,-41.7,-27.4,-36.3,-39.6,-37.1,-30.2,-36.8,-39.5,-52.7
2016,-33.5,-47.4,-43.6,-41.6,-36.5,-34.8,-39,-36.6,-38.5,-38.6,-28.5,-43.4,-27.8,-37.1,-38.6,-38.2,-35.2,-34.2,-43,-47.4
2017,-33.5,-54.2,-37.2,-38.9,-38.5,-37,-37.2,-37.1,-42.5,-37.9,-34.8,-44.4,-33.4,-35.2,-38.1,-40.7,-26.5,-35.9,-40.7,-54.2
2018,-34.8,-54.6,-28.5,-37.7,-41.5,-38.2,-39.2,-34.1,-39.6,-38.9,-31.2,-42.1,-28.2,-35,-27.6,-36.4,-30.4,-36.9,-41.2,-54.6
2019,-34.1,-50,-33,-37,-37.5,-35.5,-39.1,-34.8,-40.2,-41.8,-34,-44.6,-31.3,-37.2,-35.8,-36,-31.5,-35,-40.6,-50
2020,-32,-52,-37.5,-38.5,-35.8,-38.2,-38,-40.8,-38.4,-41.8,-30.8,-43.7,-28.7,-35.8,-39.3,-40.9,-33.2,-35.8,-40.6,-52
2021,-35.7,-50,-36.6,-38.3,-38.3,-39.4,-37.9,-35.8,-37.9,-38.6,-31.2,-41.6,-25.3,-38.8,-38,-38,-33.4,-40.5,-39.6,-50
2022,-34,-50.7,-33,-38,-38.5,-36.5,-37.9,-35.3,-38.9,-42,-40.8,-41.8,-27,-36.4,-37.9,-38.5,-28.9,-35.1,-41.4,-50.7
2023,-33.5,-45.8,-30.7,-37.5,-37.6,-36.6,-38.4,-39.3,-39.8,-39.9,-32.4,-43,-22.1,-33.3,-35.4,-40.1,-30.1,-36.9,-40.8,-45.8
2024,-34.4,-48.1,-32.1,-37.3,-37.1,-34.6,-38.5,-35.6,-38.5,-39.6,-34,-41.9,-25.4,-35.5,-34.6,-38.7,-28.2,-38.4,-41.9,-48.1
2025,-32.1,-45.7,-36.8,-35.6,-36.1,-34.5,-37.4,-34.2,-39.5,-38.3,-36.1,-41.6,-31.6,-35.1,-34.1,-35.5,-30.9,-36.6,-39.7,-45.7
2026,-32.3,-47.6,-33.1,-39.7,-36.3,-34.1,-38.5,-29.4,-39.2,-37.2,-34.1,-41.9,-25.4,-34.6,-36.7,-38,-33.5,-36.2,-42.1,-47.6
2027,-35.1,-48.1,-31.7,-37.6,-38.1,-36.5,-40.8,-34.9,-39.1,-38.9,-38.3,-40.9,-25,-38,-31.7,-37.4,-35.3,-36.2,-40.6,-48.1
2028,-32.9,-44.5,-31.5,-37.8,-35.7,-37,-39.2,-34.4,-36.3,-39.1,-28.9,-42.8,-25.4,-32.7,-35.3,-36.9,-31.9,-33.7,-37.2,-44.5
