"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,7.5,0.9,9.1,3.3,7.6,8.5,9.2,5,3.6,15.9,15,11.1,43.7,17.5,20.4,9,20.7,11.7,10.9,0.9
2016,8.7,2,4.9,6,8.7,14.4,5.3,5.6,3.7,14.4,28.5,6.5,40.8,10.6,18.4,11.2,16.4,20.8,3,2
2017,3.3,2.4,3.7,6.2,8,14.4,6.4,7.6,5.7,6.9,21,5.6,32.1,16.5,15.6,1.2,17.4,22.8,3.1,1.2
2018,12.9,1.7,3.9,7.3,7,13.9,7.3,6.6,4.5,11.5,32.5,7.4,42.1,21.1,18.1,22.6,18.4,17.5,6.9,1.7
2019,10,1,4.6,5.4,7.8,10.1,3.8,8.1,4.6,12,30.8,4.9,51.6,17.9,13.3,13.8,26,25.5,8.3,1
2020,13.5,1.7,6.3,6.3,5.4,9.1,5.5,3.4,3.5,9.9,24.5,4,54.9,12.2,14.2,3.7,14.8,25.1,9.2,1.7
2021,6.9,1.4,9.2,7,9.4,7.9,6.4,7.5,3.4,13.3,39.4,4.4,47.8,29.5,11.3,13.2,12.7,15.1,6.2,1.4
2022,4.4,0.8,11.6,5,5.8,14.4,4.5,12.8,4.7,10.1,27.3,9.9,36.5,16,21.6,13.6,14.3,15.1,10.2,0.8
2023,6.8,3.8,9.5,5.2,10,7.6,4.9,4.7,4.2,7.9,35.2,10.1,58.4,16.1,23.3,4.7,19.5,10.5,4.4,3.8
2024,14.6,1.2,8.1,7.3,9.9,18.8,6.4,2.7,3.9,3.5,45.4,8.1,45.6,27.1,24.6,20.9,32,18.4,3.6,1.2
2025,11.2,2.4,6.1,8.8,12.3,16.7,7,4.6,4.9,16.3,30.8,12,33.7,25.4,35.1,3.9,29.5,17.1,5.8,2.4
2026,9,1.7,3.2,9.9,13.2,10.6,7.4,11.2,1.6,12.2,26.7,5.2,59.1,22.3,12.5,10.6,11.6,26.8,8.5,1.6
2027,12.4,1.9,7.3,4.8,6.9,14,4.9,12,7.9,7.7,30.6,9.3,55.2,22,18.4,9.6,11.7,12.5,8.4,1.9
2028,8.4,0.7,6.1,7.3,8.6,13.4,6.7,7.5,6.8,12.2,38,5.8,41.7,20.3,27.2,15.2,27.2,20.2,8,0.7
2029,14.1,3.3,9,11.9,9,18.5,5.8,9.5,6.7,10.4,34.4,12.2,52.2,29.5,31,12.2,18.5,21.8,5.3,3.3
2030,13.5,1.5,12.5,7.2,10.7,14.5,5.2,9.7,3.4,18.2,23.5,8.5,48.9,21.4,16.9,15.3,14.3,13.6,11,1.5
2031,12.9,2,6.4,7.2,12.6,12,7.8,8.7,10.2,18.6,37.2,8.8,47.3,27.5,19.2,13.8,15.9,16.2,12.4,2
