"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,91.4,106.2,164.3,61.3,110.5,90.6,43.6,96.4,40.3,52.2,147.5,120.3,115,86.2,220.1,95.8,125.9,67.3,70.3,40.3
2016,64.6,111.7,41.1,49.4,96.9,75.5,100.6,56.9,52.1,73.9,176,91.3,132.6,73.7,79.3,118.6,140.4,114.4,99.8,41.1
2017,93.2,175.1,108.5,90.9,88.8,116.3,62.9,139,60.4,55.8,97.7,107.2,146.9,61,84,70.2,140.1,156.4,104.2,55.8
2018,58.3,117.4,83.1,43.4,102.4,104.8,93.1,130,69.3,76.3,156.2,63,55.1,64.9,191.7,96.3,153.9,178.4,93.1,43.4
2019,87.6,177.5,99.7,34.8,87.3,104.5,73.2,86.4,89,64.2,116.6,90.2,96.7,85.3,95.5,81.3,164.6,85.8,68.9,34.8
2020,47.8,132.9,114.5,46.9,77.4,108.9,81.5,183.3,82,114.5,131.7,103.6,86.9,72.5,125.1,77.9,146.9,85.4,88.5,46.9
2021,81.2,234.7,120.1,70.9,49.2,72.6,54.6,193.4,61.9,135.3,140.3,80.1,75.6,68.7,82.6,90.5,197.5,79.2,98.8,49.2
2022,73.5,87.2,118.7,52.7,57.7,72.5,85.5,102.3,41.4,114.4,181.3,83.1,172.9,56,122.4,75.9,128.5,76.9,88.3,41.4
2023,88.7,126.3,198.1,54.9,119,78.3,112.4,160.1,74.4,107.6,134.9,95,51.1,59.8,148.1,98.8,129.9,115.5,68.7,51.1
2024,49.7,90.5,190.8,68.1,81.6,161.7,78.3,154.9,67.5,39,112.9,110.6,203.3,70.9,134.9,77,122,116.7,69.2,39
2025,89.3,58.9,100.9,61.6,118.4,108.6,90.8,187.3,78.4,74.7,88.5,66.5,97.1,43.5,104.2,74.7,245.9,93.8,42,42
2026,48.4,167.6,119.3,59.2,102.9,137,36.4,156.2,46.1,104.9,204.4,131.6,96.6,80.7,55.6,85,171.6,140,55.1,36.4
2027,62.2,131.9,167.2,52.6,73.8,103.4,77.3,164.8,27.7,77.1,118.4,80,41.6,53.3,123.7,59.3,151,125.1,67.8,27.7
2028,70.7,75.3,90.9,65.8,105.9,94.5,65.2,102.5,77.3,87.5,136.9,116.5,201.8,56.4,121.3,68.4,105.2,137.7,90.2,56.4
2029,88.6,107.7,165.7,36.3,101.9,72.3,71.4,76.4,48.3,86.4,129.2,95,171.3,67.3,128.3,121.1,248.1,106.4,59.9,36.3
2030,87.7,196.2,140.5,69.7,110.4,78.9,76.5,127.5,83.4,94.2,111.2,101.9,112.8,79.2,153.3,109.9,173.2,91.3,49,49
2031,50,135.6,151.7,45.3,90.7,109.3,61.2,137.9,56.5,68.4,137.7,45,108.9,76,219.6,91.7,139.4,120.5,98.9,45
2032,26.6,86.2,152,57,68.9,106.1,41.5,141.9,92.5,117.7,185.4,107.6,129.8,70,171.2,89,96.5,138.2,69.2,26.6
2033,61.9,69.3,111.3,64.2,89.8,106,78.4,79,79.8,109.7,127.7,81.1,154.4,52.8,235,128.4,101.1,157.8,81.8,52.8
2034,91.5,109.6,147.3,41.8,79.2,81.3,96,181.9,103.8,88.7,130.8,74.1,134.5,56.2,128.5,135.1,189.3,95.1,72.2,41.8
2035,84.8,202.1,161.5,23,88.7,120.7,62.6,87.3,56.5,69.6,177.4,91.2,101.7,63.4,148.6,41,216.2,100.3,47.6,23
2036,87.7,134.9,131.4,83.8,79.9,116.8,74.7,135.7,52.7,76.6,202,99.5,117.8,74,51.3,188.2,172.1,101.1,36.9,36.9
2037,55.5,154.9,65.2,94.2,91.4,74.9,66.7,146.3,30.5,98.6,179.2,78.8,217.6,76.3,154,61.1,151.8,82.3,59.5,30.5
2038,78.7,227.8,86,89.5,77.3,86.5,69.5,130.8,41.7,81.1,125.8,136.5,138.6,45.8,117.5,84.7,184.8,96.2,46.7,41.7
2039,79.4,116.4,44.3,69,93.5,136.5,78,176,99.8,51.4,85.7,102.2,91.4,61.8,159.3,65.7,163,161.4,89.2,44.3
2040,37.5,186.7,117.8,86.4,141.6,70.2,88.7,145.3,50.4,68.8,127.4,79.8,95,66.2,102.6,83.4,144.8,154.3,91.1,37.5
2041,73.9,147.8,84.3,105.3,102.8,76.1,54,127.1,58.9,53.3,189,123.8,151.8,73.7,99.6,86.4,65.7,49.7,40.4,40.4
2042,67.9,106.5,88.7,91.2,63.6,119,64.7,154,72.3,85,191.4,97.1,108.7,40.1,58.6,93.1,141,52.3,84.9,40.1
2043,87,160.1,132.4,56.9,92,116.6,48.8,138.8,67,100.6,211.8,122.2,150.4,75.7,118.5,128.5,69.9,84.5,54.2,48.8
2044,77.7,104.9,89.7,44.3,91.9,117.4,66.8,136.6,55.3,77.5,149.5,103.1,116.9,69.9,74.6,76.5,132.4,48.2,106.2,44.3
2045,77.3,108.8,82.8,50.3,77.5,98.9,64.1,58.5,103.1,50.1,89.1,80,120.8,66.9,29.8,71.8,149,99.6,78.9,29.8
2046,108.9,48.8,135.5,87.8,52,78.8,43.9,129.7,79,80.9,147.4,104.9,201.8,74.8,100.8,96.2,97.6,114.8,98.1,43.9
2047,59.3,156.2,125,49.2,97.7,88.7,62.3,144.2,50.4,65.7,227.8,131.3,206.1,57,153,67.1,95.3,99.3,71,49.2
2048,76.6,128.7,133.4,88.5,85.7,89,89.7,126.9,80,50.2,145.1,149.7,114.9,72.9,110.8,38.8,183.8,38.5,57.6,38.5
2049,74.7,126.1,112.1,85.8,166,116.4,85.2,110.9,89.5,55.3,89.7,149.9,67.5,76.8,173.9,113,100.9,159.3,96.7,55.3
2050,54.6,231.8,69.6,62.8,91.4,77.6,108.2,180.4,83.6,86.8,114.3,101.4,145.3,101.8,143.1,115.6,114,83.9,92.6,54.6
2051,62.2,84.6,119,87,99.3,113.6,68.3,119.4,68.1,90.3,158.9,97.7,197,62.2,118.3,64.9,221.7,139.7,76.8,62.2
2052,77.8,64.6,141,66.4,133.4,148.9,43,172.2,71.6,40.8,107.5,113.5,202,69,80.2,139,135.5,52.5,66.1,40.8
2053,87.4,85.1,152.5,70.4,81.2,132.9,54,132.9,81,86,113.3,117.2,129.7,78.7,45.4,52.9,197.3,111.2,89.4,45.4
2054,84.2,104.4,121.3,90.4,106.9,94,53.5,148.8,52.8,108.4,167.7,93.3,131.4,57.6,128.7,58.6,126.1,85.8,55.7,52.8
2055,45.9,218.7,132.2,65.3,117.1,105.4,50.9,110.7,76.6,72.4,188,110.7,212.1,67.1,187.2,124.7,166.5,60.6,72.4,45.9
2056,50.6,127.3,100.1,52.9,66.7,119.8,57.2,66.6,26.4,54,136.5,85.6,127.9,71,25.7,96.1,136,166.4,55.5,25.7
2057,85.4,85.6,144.8,71,111.7,149.7,32.2,126.1,36.1,79.6,157,92.9,104,61.3,86.5,94.8,128.2,94.7,69.1,32.2
2058,73.8,75.4,97.4,67.2,99,111.2,63.2,197.4,56.7,66.8,216.2,104,103.6,49.1,122.3,97.9,107.6,70.1,139.6,49.1
2059,98.7,89.4,70.1,104.1,84.3,109.6,62,163.3,34,60.4,156.7,102.8,103.4,54.6,159.3,57.1,142.1,77.9,46,34
2060,52.8,152.1,108.3,73.9,67.5,107.3,59.6,150.8,92.9,97.4,149.2,70.9,171,83.5,116.3,132.2,150.1,61,28,28
2061,103.7,71.8,111.5,56.3,144.2,84.5,17.7,87,116,107.7,179.8,129.2,164.1,56.4,63,66.1,179.1,102.4,44.2,17.7
2062,84.8,160.4,54.7,48.1,72.3,104.3,91.2,184.2,59.8,75.6,143,50.3,72.3,44.9,74.8,80.2,154.6,106.3,59.2,44.9
2063,68.3,135.6,146.7,75.9,112.7,133.2,82.1,132.4,77.5,59.6,165.1,86.2,93.2,54.1,114.4,83.3,169.1,152.4,38.5,38.5
2064,74.5,189.2,181.4,84.8,108.2,158.6,74.4,94.4,116.9,102.6,60.1,121.3,116.1,60.1,47.5,124.4,234.6,86.9,67.3,47.5
2065,22.8,126.9,114.2,67.4,52.6,116.3,64.2,69.7,95.3,105.2,121.5,80.1,146.4,77.6,173.2,93.1,161.9,118.3,69.4,22.8
2066,92.9,143.7,76.3,72,68.8,79.3,101,138.1,58.4,34.1,194,75.7,48.7,106.9,145.4,87.8,179.1,36.1,57.5,34.1
2067,73.1,100.5,134.1,77.1,56.5,97.9,72.2,120.6,92.6,70.5,193.9,150.6,176.3,65.2,153.3,112.2,47.4,111.6,102.8,47.4
2068,103.8,124,118.2,46.7,55.8,78.4,54.4,115.2,85.2,74.9,143.4,117.6,149.2,72.2,30,128.7,207.3,111.8,65.2,30
2069,75.1,72.9,147.8,102.8,156.6,77.9,75.6,132.3,92,59.4,150.9,97.2,129.8,85.6,145,58.4,220.2,136.3,85.3,58.4
2070,62.3,162.2,74,28.2,127.7,156.6,73.2,98.2,36.7,68.8,159.8,82.3,81.2,84.7,201.7,56.2,72.3,133.1,36.9,28.2
2071,45.6,138.7,139.1,71.3,106.3,121.9,58.8,160.1,54.6,83.2,119.7,110.8,135.6,88.9,149.9,37.1,85.4,90.3,47.1,37.1
2072,80.8,94.3,81.7,79.9,66.1,98.8,70.2,170.1,71.4,81.1,183.6,98,134.5,56,97.2,99.3,178.4,55.5,29.5,29.5
2073,61,172.1,181.7,80.4,84.5,97.9,46.3,93.9,80.2,78.8,158.8,117.6,127.5,75.2,158.4,110.4,146,124.6,40,40
2074,92.1,141.4,95.8,59,114.5,105.5,114.4,106.8,68,59.5,126.8,101.7,125.6,68.2,88.9,55.8,113.7,130.1,77.9,55.8
