"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,76.7,28.4,68.1,69.9,71.2,71.7,72.1,70,73.5,69.8,72,70.2,83.7,72.1,71.1,71.2,74.2,93.7,70.4,28.4
2016,77.1,27.4,67.5,67.6,72.5,71,72.3,69.5,72.6,72.2,76.2,67.8,83.2,72.2,71.8,71,73,94.4,70.5,27.4
2017,75.7,26.5,69.1,69.4,71.8,72,70.6,71,73.6,69.9,73.9,69.3,83.1,72.5,72.6,68.6,74.1,94.7,69.7,26.5
2018,76.7,26.7,67,69.8,72.1,71.8,71.7,70.7,74.8,72.5,77.2,68.1,82.1,72.7,71,71.9,74.6,94.2,69.6,26.7
2019,76.2,29,70.8,69.6,71.7,71.8,70.8,70.8,73.1,71.6,75,68.4,82,71.5,72,72.1,74.1,94.4,68.5,29
2020,76.7,25.1,69.4,68.1,72.2,71.1,71.8,69.7,74.1,71.8,75.2,67.7,83.2,72.2,70,72.9,73.1,94.1,70.3,25.1
2021,77.1,27.1,68.1,69.6,72,71.1,71.7,69.2,73,71.1,76.5,68.1,83.3,72.3,70.3,72.2,73.4,93.6,68.9,27.1
2022,75.6,27.9,68.5,69.2,71.3,72.4,72.6,71.2,74.3,72.3,73.5,70.3,82.6,72.5,70.7,71.9,73,94,70.9,27.9
2023,76.2,31.2,71.4,69.8,71.9,72.2,71.4,68.4,72.4,71.9,76.3,67.5,84.1,72.6,71.1,71.1,71.7,94.3,70,31.2
2024,76.1,30.4,74.1,69.6,72.4,72,72.3,69.4,73.8,72.6,77.2,66.7,81.6,72.6,72.9,72,75.5,94.3,70.6,30.4
2025,75.4,34.9,71.7,70.2,72.8,71.6,72.1,70.6,73.7,69.7,75.3,69.6,81.1,73,74.2,72.7,72.9,94.7,69.1,34.9
2026,76.3,27.3,67.5,71.5,71,71.6,72.1,71,74.4,71.3,74.5,69.1,85.2,71,71.6,73.5,72.5,94.5,69.7,27.3
2027,76.4,30.4,70.9,69.1,72.2,71.9,72.1,71.6,74,71.7,74.3,69.6,84,71.6,72.5,71,74.3,94.4,70,30.4
2028,75.7,29.8,73.3,69.2,73,72.2,72.4,71.2,74.1,69.9,77.3,69.5,84,71.8,72.2,71.8,73.7,94.2,71,29.8
2029,75.8,29.8,70.2,68.9,71.8,71.6,72.5,72.7,74.2,72.8,74.4,69.8,82.7,73.4,74.1,73.1,71.8,94.4,69.5,29.8
2030,76.6,29.4,70.6,69.7,71.8,71.6,73.1,72,73.5,71.8,74.3,71.6,83.6,72.5,72.5,71.8,72,94.4,70.5,29.4
2031,75.8,30.6,69.3,69.4,71.4,72.3,71.9,72.1,73.8,70.1,76.2,70.9,83.7,72.9,70.5,73.8,73.1,94.3,71.1,30.6
2032,75.8,27.4,71.3,70.1,71.1,71.6,71.5,71.9,73.8,72.3,73.1,70,83.5,72.1,70.8,72.7,74.7,94.6,70.6,27.4
2033,77.1,29.5,69.8,70.5,71.2,72.2,72.6,71.3,73.7,70.8,74,69.1,84,72.4,74.3,72.3,74.2,94.1,69.6,29.5
2034,76.5,30.5,72,70.4,72.4,71.6,72,71.3,73.4,72,73.8,70.2,83.4,72.9,71.6,73.1,74.7,94.4,70.5,30.5
2035,75.2,27.6,70.9,69.5,72.3,72.4,70.8,69.5,74.6,71.8,75.4,70.9,84.6,72.4,71.7,69.8,72.2,94.5,70.9,27.6
2036,76.7,30.6,72,71.3,72.5,72.7,72.3,69.4,73,72.3,76.1,70.6,83.3,72.4,70.8,71.9,75.4,94.7,71.1,30.6
2037,76.8,28.2,68.2,69.4,72.3,72.7,72.7,71.3,74.1,73.5,76.7,71.1,83.4,73,71.9,73.2,74.9,94.3,70.3,28.2
2038,77,36.1,66.9,71.9,72.8,71.7,72.5,70.5,73.4,72.2,76.3,70.1,83.1,73,71.9,74,77.6,94.6,69.9,36.1
2039,76.9,28.3,67.3,70.5,72.8,72.3,73,72.4,75.3,72,77.6,70.4,83.8,72.3,73.2,74.3,75.1,94.9,71.1,28.3
2040,75.9,28.9,68.8,71.3,73.2,71.4,72.6,72.3,74.6,72.3,77.2,71.1,83.5,73,70.9,73.9,74.8,94.7,71,28.9
2041,76.6,29.4,71.4,71.6,72.4,71.9,72.4,72.7,75.2,73.7,75.4,70.8,83.2,72.5,71.2,73,74.2,94.4,71.2,29.4
2042,76.6,30.3,71.5,70.4,72.7,72.6,71.6,68.7,75.3,73.3,77.3,72.1,83.6,73.5,72.6,73.3,75.4,94.5,70.9,30.3
2043,76.9,24.6,72.6,72.2,72.6,72.3,72.3,70.8,73.6,72.9,74.7,69.7,84.4,73.2,71.5,72.6,76,94.3,71.2,24.6
2044,77.4,28.4,67.8,71.9,73.1,73,72.8,70.2,73.3,71.2,76.2,68.4,84.3,73.3,71.7,72.1,76.8,94.3,72.5,28.4
2045,77.6,28.7,71.7,70.3,72.9,71.8,71.5,71.1,74.8,73.4,75.5,70.8,84.6,72.7,71,73,74,94.1,72,28.7
2046,76.5,26.4,71.5,71.6,72.7,71.6,72.3,71.4,73.7,71.1,76.8,72.6,83.8,73,72.7,72.2,76.6,94.9,70.9,26.4
2047,76.9,30.9,69.9,72.2,72.8,71.3,73.2,69.3,73.8,71.1,76.4,71.4,82.6,72.6,74.8,73.1,75.6,95,70.9,30.9
2048,77.2,30.4,72.8,71.1,72.4,72.8,71.9,71.3,74.9,72.6,77,72.3,84.5,72.3,73.8,74.1,76.2,94.5,71.7,30.4
2049,76.9,31.2,68.8,71.7,72.9,74,73,71.6,74.2,71.2,74.9,69.6,84.6,73.9,72.4,73,75.7,94.5,71.5,31.2
2050,76.6,31.6,70,71.5,73.7,72.2,72.2,72.9,73.6,72,75.4,71.3,84.7,73.3,70.6,73.6,75.4,94.5,71.6,31.6
2051,76.3,31.8,69.2,71.7,72.9,72.7,72.3,71.1,74.5,72.3,76,70.8,83.1,73,73.1,72.6,76.8,94.6,70.5,31.8
2052,75.9,27.8,70.1,72.1,72.8,72.2,72.6,73,74.5,72.4,76.8,70,84.2,73.3,72.4,71.2,75.7,94.9,73.3,27.8
2053,77.1,30.1,70.4,72.5,72.3,73.1,72.8,71.4,74.8,71.8,75.8,72,84.7,73.1,74.4,74.8,74.4,94.1,72.5,30.1
2054,77,34,71.6,73.2,73.9,72.6,71.3,71.7,74.6,72.8,78,71.7,83.5,73.5,73.5,72,74.6,94.7,71,34
2055,76.5,29.1,68.8,72.3,73,72.5,73.4,71.9,74.9,73.2,76.1,72.4,83.8,73.4,72.9,72.3,76.1,94.8,70.4,29.1
