"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,15.1,22.3,10.9,11.8,14.1,15.5,11.9,14.2,13.8,14,17.5,10.8,19.1,18.4,18.1,14.6,17.2,11.6,13.7,10.8
2016,14.4,24.7,15,13.9,14.6,15.7,10.4,14.3,12.6,14.3,15.1,10.8,18.9,20,14.5,12.8,15.4,9.1,12.6,9.1
2017,14.4,22.1,15.8,12.1,13.4,17.6,11.6,13.7,11.4,13.8,16,13.5,16.3,18.5,11.4,12.4,15.9,9.2,12.7,9.2
2018,14.6,21.1,12.6,13.7,13.1,15.4,14.7,13.8,12.4,15.6,15.8,12.6,19.1,19.1,16.2,13.9,17.6,11.4,12.7,11.4
2019,15.9,21,18.9,12.3,13.2,14.3,11.1,15.5,14.1,14,15.8,10.8,19.8,17.5,14.1,13.4,20.3,13,13.5,10.8
2020,16.1,23.7,13.7,14.2,13.6,15.4,11.8,13,13.1,16,14.4,10.8,20.2,20.1,17.3,12.4,16.5,10.5,13.7,10.5
2021,15.2,24.8,15.6,12.9,15.2,15.7,13.2,11.8,14.7,12.5,16.2,12,20.4,19.5,15.5,15,14.9,8.3,12.9,8.3
2022,13.9,24.5,15.7,13,14.8,15.6,11,15,11.9,15.3,16.6,12,19.5,20.7,14.9,14.9,14.4,8.7,14.2,8.7
2023,15.4,21.6,17,13.7,15.6,14.6,9.8,15.3,11.4,14.6,18.6,12,18.8,20.3,16.2,14.4,18.5,9.6,13.9,9.6
2024,15.8,25.3,14.3,13.5,14.5,16.6,11.4,12.9,14.8,13.6,17.2,12.5,22.5,19,17.9,13.7,16.6,12.7,11.8,11.4
2025,15.5,22.4,11.5,14.5,16.1,16.3,13.2,13.6,11.8,15.6,18.9,13.7,18.2,20.1,17.7,14.8,17.3,11.1,13.9,11.1
2026,15.4,22.4,17.2,13.1,13.3,15.3,13.4,15,14,13.3,17.4,12.8,19.5,20.3,14.8,12.9,13.5,10.8,14.8,10.8
2027,16.1,24.2,14,14,13.7,16.4,12,13.5,13.9,13.7,18,12.6,20.7,19.9,17.7,12.8,16.4,11.6,14.4,11.6
2028,17,22.2,12.6,14.1,14.2,15,11.3,14.9,14.7,15.5,18.8,12.4,18.2,20.4,16,13.6,15.7,10,14.4,10
2029,17.5,25.8,12,14.4,15,16.7,12.4,15,12.7,15,20.7,12.6,19.6,19.7,15.3,12.8,13.3,10.2,14.8,10.2
2030,15.8,23,16,14.3,16.3,16.6,13.5,14,16.4,15.3,16.6,12.9,20.8,20.1,15.2,12.6,17.8,10.4,14.3,10.4
2031,15.4,21.4,12.7,14.6,15.8,16.2,11.7,14.8,14.1,16.7,17,10.7,20.6,20.3,13.2,14.9,17,11.1,14.8,10.7
2032,16.9,23.4,14.6,14,15.7,14.6,15,14.4,14.2,14.3,16.6,14.1,21.8,21,17.2,15,18.7,11.3,15,11.3
2033,17.1,26.1,11.3,13.6,14,16.2,12.2,14.7,15.4,16,17.5,10.8,19.5,21.1,17.2,13,16.4,11.8,13.6,10.8
2034,16.3,22.1,11.1,14.5,15.4,15.4,13.8,15.2,11.9,16.4,18.6,14,20,20.9,16.9,13.3,17.3,12.5,13.1,11.1
2035,15,21.7,16.7,13.3,15.1,16.9,12.7,13.9,13.9,16.8,19.1,13.1,23,20.2,17.9,15.7,17.6,13.9,15.1,12.7
2036,17,23.3,9.4,13.5,14.7,15.7,13.3,15.1,14.8,12.8,16.1,13.3,19.8,20.7,16.7,11.7,17.8,11.6,14.3,9.4
2037,16.7,20.1,10.8,14.3,14.8,15.2,13.2,14.2,15.5,15.1,16.8,12.5,18.5,20.5,18.8,15.9,17.1,9.2,15.2,9.2
2038,16.8,22.9,12.4,14.5,14.9,16.7,11.4,17,14.8,15.2,15,12.7,21.8,20.7,14.5,14.4,17.1,13.1,15.7,11.4
2039,15.7,21.9,19.9,14.4,16.1,16,14.5,15.7,14.4,16.2,15.8,12.5,21.3,19.7,16.2,14.8,16.7,11.2,15,11.2
2040,16.1,24.7,15,14.9,14.5,17.6,12.1,14.8,14.6,17.7,17.7,12.3,21.2,20.6,16.6,14.7,18.2,13.7,13.2,12.1
