"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,10.2,5.4,6,10.2,8,9.3,7.2,5.5,6.9,NA,9.5,9.7,13.5,11.8,7.6,6.9,8.5,NA,8.6,5.4
2016,10.5,4.8,5.2,9.7,7.7,9.2,7.4,9.2,7.2,NA,9.6,9.6,12.8,12.2,8.2,7.1,9.2,NA,8.7,4.8
2017,10.7,6.1,6.4,10.7,7.7,8.8,8.7,6.2,7.6,NA,10.1,8.9,13.8,12.1,7.9,7,8.7,NA,9,6.1
2018,10.3,4.6,5.7,9.7,7.9,9.1,8,7.7,7.3,NA,8,9.3,13.4,12.6,8.2,7.4,8.3,NA,9.7,4.6
2019,11,4.3,4.6,9.4,7.8,9.3,6.6,6.2,7.5,NA,8.9,9.7,13.8,12.3,8.1,7.3,9,NA,8.7,4.3
2020,10,5.7,8.3,9.6,7.9,8.6,7.9,8.7,7.9,NA,9.7,9.1,13.9,11.7,7.2,6.9,8.2,NA,8.7,5.7
2021,11,5.4,6,9.7,7.9,9.1,8.5,9.5,8,NA,9.9,8.5,14,10.9,7.2,7.3,9.2,NA,8.8,5.4
2022,11.1,4.9,6.8,10.1,8,8.6,7,9.2,10,NA,9.4,9.7,14.7,11.5,7.8,7.1,9.8,NA,8.7,4.9
2023,10.7,5.5,8.4,10.7,8.9,9.1,7.5,7.2,7.3,NA,10.1,10.3,14.7,12.3,8,7,8.5,NA,9.5,5.5
2024,10.3,4.9,7.1,11,8.2,9.1,8,8.1,9.4,NA,10.2,10,14.6,12.3,7.5,7.1,8.8,NA,10.1,4.9
2025,10.8,5.2,6.5,10.7,8.3,9.4,6.7,6.8,8.4,NA,9.8,9.2,13.8,12.2,7.9,7.7,8.1,NA,10,5.2
2026,10.8,5,6.4,11,8.5,9.5,8.1,6.8,9.3,NA,10.1,9,13.2,12.1,8.8,7.9,10.2,NA,9.2,5
2027,10.7,5.5,6.9,10.6,8.5,9.9,8.2,6.7,9.5,NA,9.9,10.3,14.1,12.9,6.7,7.3,8.7,NA,10.1,5.5
2028,11.5,5.7,6.9,10.5,8.7,9.8,7.8,7.6,8.5,NA,10.1,9.9,13,12.4,7,7.6,9.7,NA,9.9,5.7
2029,10.7,5.1,7.5,10.3,8.3,8.7,8.8,6.5,9,NA,9.8,10.3,14.3,12.8,8.1,7.7,9.8,NA,10.2,5.1
2030,10.7,5.4,8.3,10.6,8.6,10.2,7.9,7.5,8.2,NA,9.6,10,13.5,13.6,8,7.1,9.9,NA,10,5.4
2031,10.9,6.6,6.7,11,9,10.2,8.2,7.8,8.3,NA,10.1,10.5,13.3,12.2,8.3,7,10,NA,9.3,6.6
2032,11,5.7,9.5,10.7,9.5,9.6,7.2,6.7,11.2,NA,10.3,10.2,15,12.8,8.3,7.4,9,NA,10.5,5.7
2033,11.4,5.9,5.4,10.4,8.9,9.9,8.8,7.7,8.4,NA,10.5,10,13.9,11.6,7.2,7.7,8.5,NA,9.6,5.4
2034,11.1,5.4,7.1,11,8.8,10.3,7.6,7.3,9.9,NA,9.2,10.6,13.9,12.3,7.5,7.8,10.3,NA,10.8,5.4
2035,11.3,6.7,7.8,11.5,8.4,8.9,6.9,8,8.1,NA,10.3,9.4,13.3,11.8,7.5,7.2,9.3,NA,9.7,6.7
2036,11.8,4.6,5.7,11.1,9.3,9.2,8.1,8.4,8.7,NA,10.3,9.2,13.8,12,7.9,6.7,10,NA,10.5,4.6
2037,11.4,6.2,7.3,11.2,8.9,9.6,6.9,9.5,8.1,NA,10.2,10.5,14.9,13.4,8.1,8,9.9,NA,10.5,6.2
2038,11.9,5.3,6.6,11.4,8.4,8.8,9,8.2,10,NA,10.7,10.2,14.4,12.2,8.6,6.9,9.4,NA,10.8,5.3
2039,12.1,5.7,8,10.9,8.9,9.6,9.2,7.2,9.5,NA,11,10.5,14.9,12.8,8.2,7.7,10.6,NA,11.3,5.7
