"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-41.6,-54.5,-37.8,-42.7,-40.2,-38.7,-41.9,-40.1,-41.8,-45.4,-36.8,-49.4,-29.8,-39.1,-42,-46.2,-31.8,-42.7,-47.6,-54.5
2016,-39.4,-47.2,-36.9,-44.7,-42.6,-42,-42.8,-37.9,-41.4,-39.9,-35.7,-48.4,-35.4,-41.2,-38.4,-45.7,-33.5,-37.3,-43.2,-48.4
2017,-41.3,-50.6,-38.9,-43.5,-40.1,-43,-40.1,-40,-38.8,-44.6,-36.2,-42.4,-33.3,-31.5,-40.5,-44.7,-34.7,-43.1,-50.9,-50.9
2018,-40.3,-50.9,-41.6,-45.6,-42.1,-39.8,-43.3,-36.5,-41.4,-42.9,-43.1,-43.9,-31,-41.9,-38.3,-42.7,-35.4,-43.5,-46.3,-50.9
2019,-38,-44.9,-35.2,-44.7,-42,-38.7,-45,-41.7,-44.3,-47.3,-33.1,-42,-33.5,-39.7,-40.2,-46.1,-43.4,-41.8,-46,-47.3
2020,-40.4,-51.2,-41.3,-43.9,-42.6,-38.6,-39.3,-42.8,-41.3,-50.4,-39.9,-45.6,-30.1,-36.3,-36.9,-44.1,-34.5,-40.4,-49.8,-51.2
2021,-37.2,-53.2,-37.3,-45.3,-46,-40.7,-39.1,-41.8,-42.2,-40.4,-37.3,-46.4,-28.1,-36.3,-39.2,-45.7,-32.9,-33.6,-49.4,-53.2
2022,-39.4,-46.4,-37.3,-43.3,-40.2,-43.6,-39.2,-41.5,-40.2,-37,-37.4,-43.9,-30.4,-36.3,-39.5,-45.8,-34.9,-44.8,-45.7,-46.4
2023,-41.9,-53.6,-41.3,-44.3,-43.7,-40.6,-42.1,-38,-42.2,-41.4,-34.7,-44.5,-27.2,-40.9,-39.5,-45.8,-32.6,-39.3,-44.5,-53.6
2024,-38.6,-49.8,-39.4,-41.9,-39.7,-39.6,-41.2,-40.2,-42.3,-43.3,-34.3,-43.2,-32.7,-35.1,-43,-48.2,-31.7,-39.9,-50.8,-50.8
