"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,76.8,34.9,75.3,64,68.4,53.6,NA,70.2,86.3,68.6,83,66.4,244.2,46.8,49.3,37.3,98.8,71.5,42.3,34.9
1851,58.5,55,70.3,51,63.6,58.6,56.8,67.4,81.3,53.2,69.6,69.7,153,104,40.5,43.6,95,60.3,63.4,40.5
1852,57.6,45,79.5,36.2,66.2,47.3,50.9,92.2,71,85.3,47.1,78.4,193.5,109.2,47.3,36.4,134.4,95.8,40.9,36.2
1853,54.8,32.8,70.5,56.8,32.4,35.8,63.4,102.4,62.6,73.7,66.6,57.8,152.3,92.9,63.5,50.2,93.7,38.5,48.8,32.4
1854,79.2,26.4,70.3,51.3,60.2,43.2,33.5,73.5,90.2,58.4,62.9,74.8,183.2,109.8,36.3,37.6,83.7,89.5,36.1,26.4
1855,47.7,34.7,72,44.8,57.4,51.3,41.5,101.2,105.7,66,70.2,73,125.4,94.9,41,50.7,78.3,86,50.9,34.7
1856,61.2,19.7,72.3,56.3,58.7,48.3,56.4,91.9,80.7,28.5,76.5,83.9,166.6,89.2,34.2,43.9,134.7,86.2,57.5,19.7
1857,58.2,41.8,93.2,49.3,51.8,30,55.1,75.2,87.8,43.7,71.3,65.6,192.3,87,62.8,57.1,78.5,75,59.2,30
1858,70.6,26.9,84.2,45.8,43.4,61.6,52.6,78.9,82.4,81.9,75.1,83.8,186.6,95.2,49.8,54.8,69.7,56.1,55.2,26.9
1859,57.5,29.2,79.8,40.4,61.4,53.6,54.7,59,85.8,70.9,75.3,53.8,135.8,113.5,57.1,45.4,87.1,73,49.6,29.2
1860,48,26.3,67.3,54.3,59.3,46.4,48.6,71.5,72.4,70.4,71.4,32.6,143.7,109.6,47.1,43.6,98.6,61.7,50.1,26.3
1861,48.5,25.1,72.7,40.4,29.2,71.9,55.5,97.1,62.4,72,57.5,76.1,141.4,109.1,47.1,45.3,93.2,80,45.1,25.1
1862,54.7,36.3,80.7,46.9,64.5,61.7,60.2,102.6,79.9,41.9,81.2,53.6,180.3,81.4,74.5,50.2,100.1,58.9,49,36.3
