"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,19.6,29.1,45.6,34.9,11.7,29.9,16.9,40.7,28.9,26.5,41.3,36.9,67.5,14,39.8,16.4,30.6,37.8,14.7,11.7
2016,12.2,56.2,64.8,20.1,14.3,16.7,26.9,67.3,49.1,11.9,31.3,35.5,101.8,13.5,36.4,7.6,56.1,35,29.5,7.6
2017,26.3,42.6,64.8,12.4,16.6,34.1,19.3,86.4,50.9,14.2,57,19.2,130.4,24.7,61.5,47.6,34.6,29.3,26.5,12.4
2018,19.3,73.2,48.2,23.4,48.2,25.4,25.7,16.4,50.8,15.2,58.1,32.2,97.4,17.6,40.9,24.5,28.4,22.1,20.3,15.2
2019,18.4,24,98.3,23.7,18.3,28.5,27.1,36.6,50.8,22.9,39.4,42.9,56.5,27.2,41,36.6,53.3,54.2,12.5,12.5
2020,13.9,22.1,47.4,22.5,13.2,16.2,16.5,42.2,34.6,12.5,53.6,15.9,103,25.7,27.8,26.8,28,21,19.6,12.5
2021,25.4,31.6,76.3,26.4,14.7,31.6,11.7,48.2,32.3,23.5,41,22.6,97.7,43.4,84.1,24.9,33.6,42.3,28.4,11.7
2022,23,37.1,56.8,28.9,23.3,17.9,32.7,35.4,41.6,27,58.1,31.6,88.3,33.5,69.1,14.4,37.9,26.3,16.6,14.4
2023,16.6,48,74,21.4,14.9,7.4,24,63.9,37.4,24.1,41.4,28.1,84.8,39.1,22.2,15.5,72,33.9,11.6,7.4
2024,13.5,53.7,43.4,28.7,18.3,34,15.6,40.3,44.8,22.9,52.5,32.5,78.9,39.9,20.6,31.7,71.8,36.7,14.9,13.5
2025,19.9,54.7,61.1,22.8,28.8,14.8,18.9,44,36.1,6.4,41.9,30.2,89,9.3,45.3,26,23.3,28.7,36.6,6.4
2026,34,26.4,49.2,22.9,13.9,7.8,17.6,88.8,51.3,40.1,33.5,35.6,71.3,19.2,61,55.4,66.7,29.1,29.5,7.8
2027,27.4,34.2,74.7,25.6,10,28.5,32.2,67.2,35.2,17.6,56.1,21.4,79.9,24.4,64.6,25,61,27.6,25.9,10
2028,23.4,45.4,47,17.6,16.4,43.5,33.1,30.9,24.3,28.8,27.8,39.7,69.2,41.3,44.3,36.3,61.9,21.1,9.4,9.4
2029,34.5,86.7,75.9,30,14.3,26.3,28.5,51.9,32.8,11.6,66.6,26.6,71.4,34.2,27.7,10.2,41.4,25,10.6,10.2
2030,16.1,97.7,54.2,18.2,18.4,8.3,32.1,37.2,47.6,13.8,96.9,19.1,66.4,32.9,16,28.2,38.8,29,11.1,8.3
2031,24.3,44.9,76.1,26.9,21.5,25.7,34.1,61.2,42.6,21.1,34,8,73.2,28.8,22,10.1,63,40.8,27.9,8
