"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,39.4,105.2,160,71.4,61,61.7,41.1,66.7,22.2,NA,46.7,53.1,184.5,95,60.7,38.3,70.6,NA,45.6,22.2
2016,22.3,33.9,174.3,47.6,46.5,56.9,55.2,64.5,47.4,NA,45.2,79.1,156.2,71.5,70.1,53.2,101.4,NA,54.3,22.3
2017,21.9,69.2,106.7,57.1,35.5,56.3,41.5,138.7,49.7,NA,44.1,83.8,100.4,53.7,27.6,70.5,92.4,NA,40.2,21.9
2018,30.8,80.6,79.4,64.3,71.7,63.5,46,147.4,23.4,NA,23.2,88.1,118.2,73.1,44,33.9,77.7,NA,17.5,17.5
2019,9.2,80.4,104.6,42.5,79,74.7,26.1,84.9,34.4,NA,23.7,103.7,175.7,82.4,48.6,46.3,98,NA,52.3,9.2
2020,11.5,79.6,43.5,39.8,45.1,35,48.3,116.1,10,NA,33.7,80.8,182.5,68.8,32.9,45.5,67.9,NA,45.6,10
2021,43.4,49,67.3,32.3,47.5,25,78.7,107.5,10.2,NA,44.8,87.7,212.1,93,50.3,48.2,107.4,NA,44.3,10.2
2022,28.1,72.1,70.9,53.3,51.8,74.5,22.9,99.7,34.2,NA,29.7,83.6,183.6,71.6,53.5,48.8,79.9,NA,35.2,22.9
2023,50.5,63.3,77,33.3,59.3,62.7,58,86.7,21.9,NA,37.9,98.1,143.9,65.8,20.7,59.6,100.9,NA,56.5,20.7
2024,37.5,58.4,102.6,62.7,70.2,42,38.5,100,25,NA,36.3,84.2,230.1,93.7,40.4,51.4,102.5,NA,84,25
2025,33.3,81.2,44.7,50.2,61.7,37.4,46.1,123.7,17.4,NA,25,42.8,200.6,57.6,49.3,40.6,87.8,NA,32.2,17.4
2026,29.7,81.2,139.2,74,44.4,30.7,41.3,82.4,21.1,NA,47.7,88.5,147.3,92.8,48.7,38.1,101.5,NA,74.7,21.1
2027,16.3,72.6,81.6,42.8,82.7,42.7,66.1,112.4,21.3,NA,23.4,84.8,160.9,86.1,44.8,83.3,114.6,NA,45.7,16.3
2028,19,107.8,92.8,44.9,58.3,88.3,60.3,98,22.9,NA,13,95.8,132.6,94.7,39.5,48,59.4,NA,20.7,13
2029,30.9,104.8,94.8,39.9,30.3,45,29.7,109.1,21.3,NA,44,92.1,193.2,50.4,33.4,57.6,106.4,NA,35.5,21.3
2030,18.1,51.6,119.7,37.6,64.6,49.6,42.9,119.1,14.8,NA,25.2,94.5,171.7,127.4,28.6,32,68.4,NA,27.9,14.8
2031,11.7,44.4,99.3,57,48.6,12.9,30,77.5,24.8,NA,17.8,89.1,107.1,64.7,37.4,50.9,82,NA,32.9,11.7
2032,26.2,99.1,78,45.2,72.7,58.3,60.9,102,8.8,NA,26.3,65.1,167.2,82.9,28.5,60.1,63.3,NA,21.3,8.8
2033,28,123.2,100.1,45.1,72.5,62.8,28.2,130.6,27.9,NA,34.2,67,176.7,102.2,58.1,35.5,78.3,NA,28,27.9
2034,20.6,64.2,160.1,48.1,65.9,43.1,41.2,94.1,10.3,NA,31.2,85.5,123.9,97.4,34,25.2,59.1,NA,27.6,10.3
2035,28.2,55.2,71.9,48,64.9,66.8,62.2,128.7,62.2,NA,41.2,95.3,152.7,58.4,42.5,74,97.7,NA,32.6,28.2
2036,13.7,38,111.1,52,44.5,53.7,35,154.9,27.5,NA,23.2,67.6,151.9,84.8,28.9,38.1,89.2,NA,62.4,13.7
2037,26.1,127.8,64.9,40.4,96,49.9,34.4,177.3,3.9,NA,17.6,94,124.9,56.2,42.1,28.3,86.3,NA,30.7,3.9
2038,27.6,71.6,87.4,23.7,46.4,59,35.5,63.8,17.3,NA,18.5,87.1,109.3,50.8,50.7,47.6,86.3,NA,40.8,17.3
2039,33.7,52.5,68.1,25.9,27.5,59.4,36.1,137,31.3,NA,29.8,71.9,200.1,63.7,54.8,41.6,115.8,NA,40.2,25.9
2040,16.6,46.6,28.9,62,54.5,62.1,48.2,105.8,19.6,NA,25,71.4,154.7,32.9,49.7,50.7,82.4,NA,37.6,16.6
2041,22.1,92.4,105.8,39.2,46.8,24.4,32.8,142.9,47.7,NA,27.1,108.2,191,67.8,34.9,53.5,57,NA,60.8,22.1
2042,21.3,66.9,127.7,34.9,59.5,34.5,40.6,154.5,21.9,NA,27.6,62.4,140.4,55.5,42.2,21.9,84.8,NA,26.9,21.3
2043,24,54.3,74.3,28.3,17.6,68.6,34.7,103.9,29.8,NA,34.2,80.6,202.1,53.9,44.6,43.4,83.6,NA,55.6,17.6
2044,21.2,42.8,95.8,50.6,62.2,77.9,60.8,59.8,14.3,NA,28.9,79.4,120.3,51.5,31.2,34.8,60.7,NA,19.2,14.3
2045,29.2,69,75.8,35.9,34.7,44.4,43.8,140.4,15.9,NA,34,81.3,158.9,70.6,33.3,40.2,99,NA,54.5,15.9
2046,10.8,67.3,70.4,54.3,54.5,28.4,64,65,15.5,NA,29.4,63.2,186.9,86.7,36.1,46.9,83.7,NA,35.5,10.8
2047,10,53.9,112.7,31.2,71.7,44.1,65.7,150.2,12.9,NA,30,84.4,141.4,46.2,17.4,28,56.8,NA,28.7,10
2048,22.4,41.9,67.9,53.2,71.8,69.7,37.1,120.3,19.4,NA,43.2,45.3,259.3,40.4,20.9,51.7,76,NA,40.6,19.4
2049,28.3,62.9,80.3,61.1,39,96.9,67.3,110.1,4,NA,22.5,87.2,84.1,60,38.9,35.9,55.2,NA,19.3,4
2050,25.1,38.2,47.4,36.8,57.7,61.1,55.9,87,22.6,NA,33,59.2,199.9,87.7,42.2,30.8,71.8,NA,38.4,22.6
2051,6.6,45.7,110.7,45.5,63.4,48.9,68.1,140.5,21.2,NA,25.2,72.1,172.1,67.3,35.4,40.7,67,NA,44.3,6.6
2052,8,41.8,82.5,36.9,53.8,63.5,46.3,93.3,19.4,NA,21.4,62.4,155.3,71.8,57.4,41.4,80.3,NA,41.9,8
2053,18.6,115.1,45,63,53.1,64.4,57.9,146.4,22.6,NA,22.9,59.6,125.2,96.1,39.5,54.6,63.9,NA,7.3,7.3
2054,9.8,42,49.9,35.9,65.9,50.1,41.9,102.1,42.1,NA,41.2,60,131,67.7,29.4,54.9,52.8,NA,33.3,9.8
2055,18.7,50.2,89.4,50,50,62.2,58.1,86.3,9.4,NA,30.3,102.7,109.1,59.3,46.5,54.6,129.2,NA,18.8,9.4
2056,18.4,130.6,39.3,53.8,41.4,27.8,54.4,78.9,42.5,NA,44.7,81.2,105.4,72.2,30.4,40.6,91.5,NA,26.7,18.4
2057,33.3,51.8,123.3,43.4,43.2,41.6,27.2,149.8,6.3,NA,19.2,70.6,152,50.2,40.8,34.9,101.3,NA,32.5,6.3
2058,18.9,58.9,40.8,52.7,71,76.8,38.3,99.5,40.3,NA,33,75.9,181.5,53.7,35,49.9,88.6,NA,38.5,18.9
2059,12.9,71.6,70.6,38.2,77.2,65.4,47.4,127.9,31.8,NA,20.9,83.2,191.5,98.5,45.4,38,87,NA,17.5,12.9
2060,14.1,60,68.3,32.1,64,67.2,46.3,122,40.6,NA,20.5,64.9,140,89.1,37.8,65.7,108.2,NA,28.8,14.1
2061,20.8,96.2,179.2,63.4,49.9,46.3,54.8,135,30.3,NA,29.1,51.9,152.5,101.6,35,43.7,103.5,NA,45.3,20.8
2062,11.8,67.1,23,35.6,24.9,34.2,47.7,143.3,27.7,NA,31.4,68.8,103.7,92.1,65.4,44.3,91.4,NA,31.6,11.8
2063,12.1,35.1,106.7,67.9,53.9,48,45.2,106.9,20.7,NA,30.8,94.9,226.6,74.4,27.4,38.4,63.6,NA,51.5,12.1
2064,15.9,96.4,95.4,69.8,42.1,37.6,43.2,118.4,22.5,NA,39,86.5,171.4,42,14.5,42.6,86.7,NA,53.5,14.5
2065,14.8,68.1,92.7,64.8,39.4,42.5,57.2,99.8,7.8,NA,33.9,75.5,142.3,90.6,26.1,23.6,65.8,NA,36.4,7.8
2066,14.8,38.8,65.7,21.9,34.7,41,47.7,123.6,11.8,NA,30.3,52,160.2,52.4,17,38.5,93.4,NA,33.2,11.8
2067,6.9,31.4,45.9,52,61.7,21.8,38.9,27.7,10.2,NA,16.7,81.2,177.9,73.7,37.3,44.7,84.3,NA,19,6.9
2068,27.2,45.2,7.7,61.3,52.3,45.8,10.4,82,2.9,NA,22.6,68.8,139.6,78.7,33.2,28.3,80.6,NA,25,2.9
2069,13,82.6,100.7,45.7,64.4,25.4,38.7,99.5,17.5,NA,27.3,42.9,169.4,61.8,52.4,34.6,58.4,NA,17.6,13
2070,17.5,22.9,51.4,80.4,32.8,57.7,61.6,109.3,9.4,NA,15.3,80.6,120.3,27.5,55.7,7.9,72.1,NA,31,7.9
2071,8.2,75.6,94.7,59.1,66.3,55.3,45.5,93.8,24.4,NA,23.8,52.8,190,79.6,18.2,47.5,96.2,NA,19.3,8.2
2072,24.2,81.7,112.3,19.9,45,90.7,47.4,147.9,12.2,NA,13.9,95,159.7,58.6,41.5,39.9,83,NA,24.7,12.2
2073,6.6,27.6,47.3,34.2,63.4,30.4,39,86.2,20,NA,40.5,78,133.9,17.8,31.1,33.6,57.9,NA,41.3,6.6
2074,30.6,65.4,131.4,61.3,90.1,69.3,25.1,160,38.7,NA,28.8,72,193.9,65.5,32.9,50.3,71.9,NA,37,25.1
2075,11.8,78.7,72.7,41.6,41.7,50.7,47.6,124.3,25.5,NA,31.1,38.3,86.5,98.6,45.2,47,77.9,NA,18.7,11.8
2076,19.6,53.8,59.4,52.9,29.7,56.3,20.2,113.8,18.9,NA,18.8,67.8,150.7,44.8,47.3,44.7,87,NA,8,8
2077,3.8,52.8,42.5,32.5,62.7,69.4,27.6,79.3,8.7,NA,17.1,76.5,90.3,94.5,45.7,31.7,79.7,NA,26.2,3.8
2078,27.6,81.1,98.4,64,39.8,38.7,40.4,72.2,11.8,NA,37.7,85.3,109.1,85.9,35.2,41,87.1,NA,8.4,8.4
2079,3.7,69.9,115.9,67.2,43.8,59,47.9,113.4,32,NA,21.5,49,108.5,59.3,33.9,32.6,80.2,NA,11.3,3.7
2080,17.4,68.1,49.6,34.6,61.1,41.1,43.2,103.3,62,NA,23.1,54.8,107.1,61.8,37,40.6,86.1,NA,7.1,7.1
2081,11.8,99.2,34.1,30.7,72.7,47.2,36.6,120,35.9,NA,17.7,69.9,85.5,72.8,44.6,23.9,116.3,NA,25.3,11.8
2082,12.1,68.4,150,32.5,48.8,66.4,56,120.1,21.8,NA,27.3,70,153.9,39.9,29.6,24.6,48.9,NA,17.2,12.1
2083,15.3,65,67.7,53.1,56.8,72.8,69.3,45.6,10.2,NA,18,74.3,124,76.8,43.1,43.9,83.2,NA,30,10.2
2084,1.6,31.8,131.1,29.2,63.2,8.6,24.3,73.8,15.6,NA,23.1,86.5,113,88.8,22.6,41.8,77.1,NA,14.4,1.6
2085,9.9,40.9,61.5,70.1,48.5,28.6,43.4,166.5,15.2,NA,32.7,70.1,159.7,76.5,43.7,30.5,72.4,NA,14.5,9.9
