"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,26.6,37,65.3,59.6,43.3,25.2,54,17.1,52.7,28.6,59.8,125.6,49.6,31.3,45.1,94.6,7,31.9,7
"historical",1851,16.6,23.7,13,35.4,52.8,71.4,73.5,40.5,45.4,19.3,64.3,149,56.2,41.8,35.3,61.1,49.3,32.6,13
"historical",1852,54,26,21.2,44.5,48.6,15.6,55.2,11.6,57.3,13,66.5,93.6,50.7,28.6,34.3,55.4,54.1,15.6,11.6
"historical",1853,39.3,54.7,110.1,40,67.1,48.9,64.6,24,15.3,22.2,66.2,127.8,57,26.5,47.6,78.2,81.5,30.7,15.3
"historical",1854,20.9,54.1,20.4,48.4,69.5,26.6,110.8,48.8,50.4,19.8,50.1,86.5,28.4,36,40,94.7,54.6,39.5,19.8
"historical",1855,45.9,33.1,106.7,40.3,41.2,16.3,77.9,16.8,12.6,31.4,64.5,118.1,66.4,25,42.3,88.4,49.5,40.3,12.6
"historical",1856,28.9,49.2,108.8,23.2,58.2,18.8,52,18.8,34.4,28.6,69,67.8,61.8,13.9,10.7,54.1,41.3,37.5,10.7
"historical",1857,28.5,28.4,42.6,46.2,51,64.7,88.5,35.8,13.8,14.5,38.6,111,44.1,51.9,50.9,56.4,31.2,43.4,13.8
"historical",1858,58.3,46.2,90.6,28.4,34.2,42,90,29.2,73,24,62.5,132,55.3,49.2,36.8,38.9,62.5,22.3,22.3
"historical",1859,24.7,31,28.8,12.6,50.7,55.9,72,27,24.4,24.4,34.4,114.5,40.2,36.3,36.7,40.6,69.5,34.5,12.6
"historical",1860,78.8,18.2,32.4,20.8,40.2,41.2,50.7,29.7,27.3,31.4,53.8,98.9,58.3,33.5,33.1,69.1,57.4,31.6,18.2
"historical",1861,22.2,70.8,42.4,28.6,31.9,38.1,102.1,28.5,23,32,89,162.8,37.4,32.5,32.5,87.1,57.5,34.7,22.2
"historical",1862,23.5,65.7,32,48.4,56.5,29.9,77.2,47.5,27.4,21.3,70.2,122.9,63.9,33.7,44.7,56.7,40.1,20,20
"historical",1863,40.6,60.4,41.9,34.4,50.6,29.7,73.5,33.1,2.2,17.1,29.1,142.1,54.2,39.7,15,81.9,59,46.6,2.2
"historical",1864,95.9,38.9,72.2,26.5,37.6,29.1,83.8,14.7,35.4,27.5,49.1,84.5,33.7,19.6,50.4,45.3,75.2,29.3,14.7
"historical",1865,26.6,50.1,51.8,33.7,75.2,45.4,79.2,37.4,69.6,24.7,61.2,117.2,44.4,41.1,58.1,75.7,23.5,21.6,21.6
"historical",1866,38,52.8,92.8,30,72.1,50.4,62.7,13.7,45.1,29.4,67.7,88.5,53.9,41.8,57.3,59.4,23.8,43.6,13.7
"historical",1867,27.1,89.2,42,31.9,56.3,19.4,54.5,24.8,82.4,18,37.1,89.9,74.4,48.5,51.6,79.4,74.4,40.8,18
"historical",1868,49.1,39.3,24.7,71.4,74.8,43.7,96.4,40.4,29.5,23.5,79.6,112.9,78.2,28.7,42,27.2,36.7,28.7,23.5
"historical",1869,50.6,42.2,82.7,25.6,57.5,42.9,59.7,22.4,20.5,11.6,52.5,115.1,55,19.5,41.4,82.9,73.4,35.5,11.6
"historical",1870,30.3,54.7,43.3,31.1,67,34.2,51.4,47.5,27.9,29.5,52.8,67.9,67,51,29.9,50.7,25.7,32.3,25.7
"historical",1871,27.4,38.5,80.6,45.4,40.6,57.4,90.4,30,45.8,23.8,70.2,110,77.1,28.5,36.1,55,37.6,26.6,23.8
"historical",1872,16.6,37.7,61.5,42.5,46.3,39.6,36.9,46.3,27.9,36.4,47.8,131,34.3,27.3,34.3,74.2,24,16.7,16.6
"historical",1873,73,40.7,56.7,35,15.5,18.7,77.9,32.9,14.2,31.1,48.3,132.5,67,35.5,51.2,104,50.2,53.9,14.2
"historical",1874,65.2,32.1,80.3,23.8,36.8,37.1,89.5,27.1,40.3,18.7,33.5,86.1,49.7,29.4,42.2,64.7,54.9,46.9,18.7
"historical",1875,44.1,54.1,71.5,32.6,63.8,34.6,47.5,7.9,19.7,22.8,80.4,101.2,65.4,37.1,29.8,73.2,37.1,31.7,7.9
"historical",1876,22.4,30.1,36.2,41,39.8,46.6,50.7,31.7,31.1,32.4,75.9,126.8,69.8,37.2,32.7,78.1,40.6,42.1,22.4
"historical",1877,52.2,66.6,43.3,37.7,45.3,39.9,75.2,26.1,22.4,17.4,58.7,163.2,50.6,31.3,32.8,54.2,28.3,39.4,17.4
"historical",1878,39.8,48.5,63.8,7.5,56.6,34.7,77,5.6,74,28.2,43.3,78.3,45.8,52.7,57.4,106.5,17.5,56.5,5.6
"historical",1879,14.7,55.1,77.8,51.2,54.1,18.5,99.6,28.1,43.6,21.4,45.4,127.2,59.1,29.9,46.2,56.8,74.3,22.2,14.7
"historical",1880,28.7,67.8,77.6,24.1,25.8,39.4,118.6,27.1,36.5,29.8,36.6,117.4,50.5,34.9,58.2,74,62.4,53.1,24.1
"historical",1881,27.7,13.9,91,52.5,27,29.4,53.9,15.7,22.4,23.6,67.5,125,60.4,47.3,54.1,90.6,34.6,32.1,13.9
"historical",1882,22.4,65.3,80.2,27,44.4,38.2,75.8,30.6,39.4,8.2,39.7,156.5,90.5,40,28.9,44.3,25,42.3,8.2
"historical",1883,29,25.9,55.3,30.7,37.9,55.6,70,50,41.5,11.3,72.5,112.8,43.6,19.9,47,82.2,43.3,32.3,11.3
