"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,2.6,-2.7,-1.1,-1.9,1.6,2.3,NA,-0.2,-0.1,0.9,2.1,-1.7,2.8,2.8,-1.7,-4.6,1.7,-0.7,-0.1,-4.6
1851,1.8,-0.4,-0.4,-1.5,0.3,2,0.2,-0.7,-0.5,1.7,3.3,0.7,3.8,1.6,-1.8,-2.8,-0.2,-3.8,-1.3,-3.8
1852,2,-2.1,-0.6,-1.2,0.7,2.5,-2,-0.6,-1.3,1.9,2.8,0.7,3.1,3.2,-1.5,-2.2,2.3,-1,-0.4,-2.2
1853,1.9,0.3,-2.5,-0.7,0.5,2.5,-0.9,0.5,-2.3,2.7,2.6,-1.4,4.8,2.6,-3.1,-2.1,1.9,-0.6,-0.7,-3.1
1854,1.8,-1.5,-2,-0.7,1.5,0.4,-1.3,-0.6,-2.4,-0.1,0.9,0.6,4.6,1.8,-0.2,-2.5,-0.2,-1.1,-0.4,-2.5
1855,3.1,-1,-3.5,0.2,-0.5,1.8,-0.2,-1.2,-0.6,1.2,2.2,-0.9,3.7,2.3,-1,-2.9,-0.2,-1,1,-3.5
1856,2.2,-1.1,-2.2,-1.5,0.7,1,-0.9,-0.3,-1.6,0.3,4,-1.4,4.7,3.6,-3.2,-2.4,2.8,-1.9,0.3,-3.2
1857,1,-2.8,0.1,-2,1.4,1.3,-0.2,0.5,-0.9,0.9,3.1,0.7,4.1,3.1,-2,-2.4,1.1,-1.4,1.7,-2.8
1858,2,-1.8,-1.7,-1.7,0.6,2.3,-0.8,-2.5,-0.9,0.6,1.5,0.1,3.6,2.5,-0.8,-1.9,2.5,-1.4,-0.1,-2.5
1859,2.1,-3,-3.9,0.1,1.5,2,-0.2,-1.1,-1.6,2.3,2.6,-1.6,4.4,3.3,-1.3,-3,0.5,-0.8,1.6,-3.9
1860,1.2,-1.7,0.1,-2,-0.3,2.4,-2.6,-0.9,-1.8,1.5,3.2,0.6,4.6,3.8,-1.5,-3.5,2.1,-1.5,0,-3.5
1861,2.4,2.1,-2.7,-0.2,0.8,1.1,-1.6,1.1,-0.8,0.9,3.1,-0.2,3.1,2.1,-0.9,-3.6,-0.1,-1,-0.6,-3.6
1862,2.5,-1.7,-2.1,-0.7,-0.6,0.7,0.1,0,-1.1,2.7,1.5,0.3,3.8,2.6,-0.4,-2,1.1,-1.5,-1.3,-2.1
1863,1.5,-1,-1.8,-0.5,1.2,1.9,-2.5,0.7,0,1.3,3.2,1,4.6,2.5,-1.6,-1.9,2.8,-1.5,-0.2,-2.5
1864,1.5,-2.4,-2.5,-0.7,0.4,2.2,-1.5,1.5,-1.1,0.2,2.3,-0.5,5.3,2.9,-0.6,-2.4,2.2,-3,0.6,-3
1865,1,-1.5,-0.8,-0.2,2,2.8,-1.4,-0.5,-1.2,2,3,0.5,4.5,3.2,-1.8,-2.6,1.1,-1.7,-0.5,-2.6
1866,0.8,-2.7,-0.5,0,0.3,2.5,-3.5,-0.3,-1.6,2.3,2.9,0.1,3.8,3,-0.6,-4.9,0.9,-1.2,0.3,-4.9
1867,1.9,-1.9,-2.1,-3.4,1.8,2.5,-1.7,-1,-1.6,-0.5,3.2,-0.1,2.5,2.7,-2.8,-2.3,1.8,-0.3,-1.3,-3.4
1868,2.7,-0.5,-2.4,-1.3,1.9,3.4,-1.9,0.2,-2.3,0.8,2.8,0.7,2.6,3,-1,-3.1,2,-1.6,0.9,-3.1
1869,1.9,0.7,-2.3,-1.8,1.7,2.2,0.2,-1.2,-0.2,2.9,2.3,-0.9,4.3,3.4,-2,-2.9,3,-3.5,0.6,-3.5
1870,1.5,-1.2,-2.1,-0.1,1.6,1.6,-1.6,0,0.2,1.8,3.2,-0.8,4,2.3,-1,-1.9,2.1,-0.9,-0.7,-2.1
1871,2.3,-0.6,-2,0.5,2.2,2.9,0.3,-0.5,-0.7,1,2.9,-0.9,3,1.1,-0.8,-1,1.2,0.6,1.1,-2
1872,1,-0.9,-4.1,-1,1.5,1.3,-0.6,-1.1,-1.2,0.4,2.2,0.2,4,3.9,-1.1,-2.1,1.9,-2.2,0.1,-4.1
1873,2.2,-0.8,-1.4,-0.7,1.2,2.8,-0.4,-1,0,0.2,0,-1,4.1,0.8,-2.9,-4.6,1.9,0.2,2.3,-4.6
1874,1.1,0,-1.7,-1.8,1.4,3.1,-1.4,-1.6,-0.9,1,2.5,0.4,5,3.4,-1.1,-5.5,2,-0.9,-0.5,-5.5
1875,1.8,-0.9,-0.8,0,0.8,2.6,-3.4,-1.3,-0.2,0.2,3.3,-0.7,4.2,1.5,-2.1,-1.4,2.1,-0.6,-0.3,-3.4
1876,2.6,-1.2,-0.6,-0.6,1.5,0.9,0.8,-0.3,-1.8,1.5,1.9,-1.7,3.9,2.3,-0.5,-1.9,1.9,-1.9,0.4,-1.9
1877,1.9,-2.6,-2.2,-0.8,1.1,2.3,-1.5,0.7,-0.7,0.9,2.6,-0.8,4.5,2.6,-1.7,-1.9,0.8,-1.9,1.2,-2.6
1878,0.8,-0.8,-0.9,-0.1,1.2,1.3,-0.5,-0.1,-2.5,1.6,3,0,2.6,2.7,0.3,-1.5,0.7,-2.1,0.1,-2.5
1879,2.3,-0.8,-1.1,-2,0.3,1.4,-1.6,-0.9,-0.7,2,1.4,-0.2,4.8,2.1,-2,-1.7,0.7,0.1,0.2,-2
1880,2.6,-0.5,-1.1,0.9,1.8,1.9,1.1,-2.4,0.3,1.5,2.8,-0.3,4.1,4.1,-1.3,-1.8,2,-2.1,-0.4,-2.4
1881,2.6,0,0.9,-0.2,1.7,1.5,-2.3,0.5,-2.2,0.4,1.8,-0.3,4.6,2.2,-1.3,-3.4,0.6,-1.2,-2.3,-3.4
1882,2.3,-0.3,-1.6,-1.6,1,1.8,-0.6,-0.4,-1.7,0.7,0.5,0.4,2.3,3.4,0,-1.8,1.5,-1.4,0.1,-1.8
1883,1.2,-1,-2.9,-0.7,0.7,1.3,-1.1,-0.2,-1.7,1.1,2.1,-0.3,4.2,1.2,-0.8,-2.7,2.1,-1.3,1.1,-2.9
1884,1.3,-0.9,-3.9,-1.8,0.5,1.9,-2.1,-1.3,-3.3,0.1,2,0.5,3.9,2.9,-2.6,-2.3,1.7,-1.4,-0.1,-3.9
1885,1.2,-3.6,-1.7,-0.7,-0.5,1.8,-1.1,1,-3,2.7,3.3,0.1,3.2,2.8,-1.5,-2.2,1.7,-2.9,0.6,-3.6
1886,1.3,-1,-1.7,-1.8,0.8,1.2,-2.3,-0.3,-2.8,-0.6,2.4,-2.2,3.1,2,-1,-2.5,1.3,-0.7,0.6,-2.8
1887,1.4,-0.2,-0.8,-1.8,2,1.3,0.3,-0.9,-0.7,0.2,2.2,-0.4,4.2,3.2,-1.9,-2.5,2.1,-1.3,0.7,-2.5
1888,1.9,-2.4,-2.3,-1,1.5,1.6,-0.4,-0.4,-1.1,-1.4,2.9,-1.7,4.6,3.3,-4.5,-1.7,1.6,-0.5,0.7,-4.5
1889,0.5,-1.1,-1.4,-0.6,0.9,1.9,-2.3,0,0.1,2.4,2.6,0.3,4.4,2.7,-1.6,-2.7,2.2,-0.1,-1.6,-2.7
1890,2.1,-1.7,-2.6,-2,1.2,1.6,-0.2,0.2,-1.7,1.3,2.7,-0.7,4.2,2.2,-1,-3.3,-0.2,-0.7,-2.2,-3.3
1891,2.3,-1.3,-2.6,-1.5,0.9,2,0.1,-0.4,-1.5,-1.8,2.9,-0.1,3.2,3.3,-2.1,-4.2,0.7,-1.4,0.7,-4.2
1892,1.8,0.3,-2.4,-1.5,-1.4,1.7,-0.3,-0.8,-0.8,-1.1,1.5,0.8,5.3,2.3,-1.9,-2.4,0,-1.1,-0.4,-2.4
1893,1.9,-1.8,-2.1,-0.2,0.2,1.8,-0.7,-0.1,-0.5,0.9,2.7,-0.1,3.7,3.1,-1.4,-2.5,1.7,-1.6,0.5,-2.5
1894,2.4,-0.5,-1.6,-2.5,1.7,1.9,-3.3,0,-0.7,0,2.4,0.3,4.8,2.5,-1.7,-2.4,1.5,0.8,-0.1,-3.3
1895,2.1,-0.8,-4,-0.8,1.1,1.2,-2.5,-0.9,-3.2,1.2,1.8,-0.3,2.9,1.9,-1.5,-1.7,0.8,-0.1,-2.6,-4
1896,1.4,-2.6,-1.2,-1.2,1.3,2.5,-1.7,-1.8,0.4,1.3,2.6,-0.8,5.1,0.4,-1.1,-3.9,-0.6,-2,-0.3,-3.9
1897,2.3,-0.7,-4.1,-0.4,1,2,-0.4,0.1,-2,0.8,1.7,-1.3,5.4,3.3,-2.3,-2,2,0.2,1.7,-4.1
1898,2.2,0.2,-2.3,-1.4,1.5,2.1,-1,1.6,-1.7,1.2,1.1,-0.3,4.4,2.2,-0.9,-2.1,2.1,-1.6,0.9,-2.3
1899,2.8,-2,-2,-1.4,2.4,0.2,-2.6,-0.7,-1.2,0.2,0.9,-2.1,4.5,3.3,-0.7,-1.6,1.7,-0.6,-0.1,-2.6
1900,2.1,-0.2,-0.7,-2.9,1.3,1.7,-0.9,0.6,-0.8,1.9,3.8,-0.1,4.9,2.9,-1.8,-1.5,0.5,-0.5,0.4,-2.9
1901,2.3,-0.9,-1.9,-0.5,1.6,2.7,-0.6,1.2,-0.4,0.2,0,-0.1,4.2,2.3,-0.2,-1.2,0.9,-1,0.8,-1.9
1902,1.2,-0.6,-2.1,-2,2,2.5,-1.1,0,0.1,1.3,1.5,-1.6,2.9,2.4,-1.6,-0.7,1.2,-1,-0.2,-2.1
1903,-0.8,-3.1,-1.5,-1.2,0.7,2.7,-1.6,-1,-2.3,1.8,0.5,-0.6,3.8,1.1,-1.7,-2.2,0.5,-2.7,-1.2,-3.1
1904,2,-0.9,-0.4,-0.8,0.3,1.6,-1.6,-1.4,-2,0.6,1.9,0.4,4.4,2.9,-0.3,-2,1.1,-0.6,-0.9,-2
1905,1.9,-0.6,-2,-0.2,1.3,1.3,-1.1,-0.6,-1.5,0.7,1.5,0.7,3.4,2.8,-1.2,-3.4,3.1,-1.8,1.1,-3.4
1906,3.6,-0.5,-3,-2.5,1.7,-0.5,-0.7,0.6,-0.7,1,0.2,-0.4,3.4,3.1,-2.5,-2.5,2.8,-0.9,1,-3
1907,2.2,-1.5,-3.6,-0.8,1.3,2.5,-0.4,1.6,-1.8,-0.8,2.1,0,3.3,2.4,-1.2,-2,-0.3,-0.3,0.7,-3.6
1908,2.8,-1.8,-1.7,-1.2,0.7,2.1,0.7,-0.6,-1.9,0.7,2.2,0.7,4.6,2.6,-1.1,-2.9,1.4,-2,0.5,-2.9
1909,1.8,-2.2,-0.4,-0.5,-0.1,1.8,-1.7,0,-0.1,0.7,3.3,0.8,2.4,2.7,-1.5,-2.9,1.4,-2.1,0.5,-2.9
1910,2.1,0.5,-1.6,-1.1,1.3,3.4,-1.9,-0.3,0.2,0.9,1.3,-0.4,3.7,2.7,-1.1,-1.2,1.1,-0.5,0.8,-1.9
1911,2,1,-2.4,0.4,2.3,1.6,-1.6,-0.5,-0.6,1.6,2.4,-0.3,3.8,2.6,-1.3,-1.1,1.9,-2.3,0.7,-2.4
1912,2.3,-1,-4.7,-2.1,0.5,0.8,-2.5,-0.2,-2.1,0.5,2.4,-1.6,3.2,2.3,-1.7,-3.5,1.1,-1.8,-0.8,-4.7
1913,2.6,-1.5,-0.5,-0.7,0,1.8,0.5,-0.4,-1.2,0.8,2.6,-1.4,3.5,2,-2,-2.3,1.4,-1.8,-0.2,-2.3
1914,1.9,-0.4,-2.8,-1.7,1.5,1.4,-3.4,1.6,-1.1,0.8,2.3,-0.9,3,3.2,-1.4,-2,2.5,-2.3,-0.5,-3.4
1915,2.1,-1.3,-1.7,-0.5,1.3,2.9,-0.5,-1.3,-1.9,0.5,2.3,0.1,4.8,2.3,-0.4,-3,1.9,-0.8,-0.3,-3
1916,2.8,-2.6,-0.5,-0.6,2,2.6,0.3,-0.6,-0.9,2.1,3.8,-1.7,3.8,2.5,-2.3,-1.5,1.4,-1.8,-0.7,-2.6
1917,1.8,-3.8,-1.2,-1.3,1.3,1.3,-1.7,-1.2,-1.2,0.3,3.2,0.6,3.8,2.4,-3.7,-2.4,2,0.2,-1.8,-3.8
1918,2.7,0,-2.4,-0.2,0.3,2.5,-0.1,0.6,-1.6,0.8,2.4,0.8,2.8,1.7,-2,-1.7,1.8,-1.8,-0.8,-2.4
1919,0.4,2,-1.5,-2.4,1.8,2.4,-1.3,0.4,-2.2,1.2,3.2,0.9,4.5,2.5,-1.9,-0.7,1.7,-0.2,-0.4,-2.4
1920,2.1,-2.7,-2.8,-0.6,1.6,2.6,-1.6,0.9,0.6,0.9,1.9,-0.7,4,2.3,-0.6,-2.8,1.4,-1.9,-0.2,-2.8
1921,2.2,0.2,-2.1,-0.6,1.2,0.7,-2,2.1,-2.8,-0.5,3.2,1.1,5,1.6,-0.8,-3.1,0.7,0.1,0.2,-3.1
1922,3,-1.6,-1.9,-0.7,1,1.6,0.6,-0.4,-2.2,1.3,2.7,-1.6,3.8,3.5,-2.5,-1.1,1,0,0.9,-2.5
1923,2.4,0.9,-2.4,-1.5,0.6,2.2,0.3,-0.2,-1.6,1.5,1.9,0,3.2,2.2,-1,-0.8,2.5,-2.2,-0.2,-2.4
1924,1.6,1,-2.5,-0.2,1,2.2,-1,-0.7,-0.4,2.6,1.9,-1.2,4.3,2.8,-2.3,-1.4,1.1,-1.7,-0.5,-2.5
1925,2.4,-1.2,-3.5,-2.3,2,1.8,0.7,0,-2.5,0.7,3.2,-1.5,4,3.2,-0.2,-2.9,1,-1.8,0,-3.5
1926,1.3,0.9,-1.7,-0.4,1.9,2.7,-2.4,-1.5,-1.7,1,3.2,0,3.6,2.4,-1,-1.5,1.5,0.8,0.4,-2.4
1927,1.7,-1.1,-0.6,-0.5,1.4,0.6,-0.1,-0.4,0.3,0.8,1.2,0.2,4.2,2.3,0.8,-2.3,0.4,-1.8,0.7,-2.3
1928,2.5,-2.5,-0.2,-1.5,1.5,2.8,-1.1,0.1,-0.7,0.1,1.7,1.1,3.1,2.1,-1.4,-2.1,2.3,-1,-1.3,-2.5
1929,2.2,-1.3,-2.6,-0.7,2.2,2.3,-1.3,0.9,-1.5,0.4,2.4,0.4,5,3.2,-1.3,-1.3,0.8,-1.5,1.5,-2.6
1930,1.6,-0.4,-1.9,-0.9,1.4,2.6,-1.8,0.6,-2.7,2.1,2.7,-0.6,3.7,3.2,-0.6,-1.3,0.7,-0.2,0.7,-2.7
1931,2.1,-0.5,-1.2,-2,1.3,1.6,-0.6,-1.3,-1.6,1.9,2.5,0.5,3.7,3,-0.4,-2.9,2,0.2,0.5,-2.9
1932,1.6,-1.4,-1.4,-1.8,0.7,0.5,0,-1.2,-1.7,-0.1,1.6,0.8,4,2.4,-0.8,-1.4,1.2,-1.3,-0.4,-1.8
1933,2,-2.4,-0.3,-0.9,-0.2,1.6,-0.1,-1.5,-2,0.4,2.9,-0.4,4.6,2.4,0.4,-1,0.6,-2,1,-2.4
1934,3.3,1.1,-1.6,-1.3,0.8,0.4,-0.3,0.4,-0.2,1,3.1,-0.1,4.2,3.2,-0.2,-1.7,2.3,-2.5,-0.6,-2.5
1935,2.6,-0.4,-1.6,-1.2,1.5,1.7,-0.4,-1,-0.3,1.9,2.8,-0.2,3.8,2.5,0,-2.4,2.5,-0.2,0.2,-2.4
1936,2.9,-1.8,-2.4,-1.1,0.8,2,-2.8,-0.8,-1.5,0,2.2,0,4,3.8,0,-0.4,2.2,-0.8,0.7,-2.8
1937,2.9,-2.2,-0.1,-0.4,2.1,1.2,-2.6,-0.2,-0.6,-0.2,3.5,-0.6,4.8,3.5,-1.1,-1.3,2.3,-1.7,-0.1,-2.6
1938,3,-2.9,-3.5,-1.1,1.6,1.7,-1.8,0,-1.5,0.2,3.2,-0.3,4.1,3,-3.6,-2.4,0.9,-1.5,1.2,-3.6
1939,2.5,0,-3.5,-0.9,0,2.1,-0.1,0.5,-2.2,0.7,-1.2,-0.1,4.5,3.9,-2.5,-0.9,1.9,0.2,1,-3.5
1940,3,0.2,-3.3,0.1,0.8,1.7,-0.5,-1.3,-2.1,1.8,2.3,0,5.4,3.2,-0.7,-2.6,1,-0.8,-0.5,-3.3
1941,2,-1.2,-1.8,-0.9,0.7,1.3,-1.2,0.5,-3.1,2.9,3.5,-0.6,4.3,3.9,0,-1.6,2,-3.9,1.3,-3.9
1942,2.1,1.4,-1.2,-0.7,1.8,2.9,-3.3,0.8,-2.9,1.6,2.9,0.4,5.2,3.9,-1.7,-1.8,2.7,-0.2,-1.3,-3.3
1943,1.1,-0.1,-1,0.4,0.3,2.5,-0.3,0.3,-0.4,-0.4,2.9,-0.1,3.7,3.1,-0.8,-1.4,0.5,0,1.2,-1.4
1944,1.7,-0.2,-1.1,-2.2,1.6,0.9,-1.2,1.1,0,2.5,1.6,0.5,4.3,3.9,-0.2,-2.1,2.2,0.3,0,-2.2
1945,0.6,-0.5,-2.7,-1.3,1.2,3,-0.2,-0.6,-2.1,1.3,3.4,0.5,5,2.6,-0.4,0,2,-1.4,0.1,-2.7
1946,2.3,0.8,-2.5,-1.5,0.7,2.2,-1.3,-0.4,-0.2,1.2,3,0.6,3.6,2.2,-1.7,-2.1,-0.1,-0.7,-0.4,-2.5
1947,2.5,-0.8,-1.6,-0.8,1.5,1.1,-1.2,0.3,-2.7,1.5,3,0.3,4.1,3.7,-0.9,-0.7,1.7,0.4,0.4,-2.7
1948,1.8,-4,-3.2,-1,1.6,2,-0.8,-2.5,-1.8,-0.7,3.9,0.6,5.1,3.6,-2.8,-2.8,2.7,0.1,-1.7,-4
1949,2.7,-1.6,-0.1,0.1,1.9,0.7,-0.9,-0.3,-1.6,0.9,2.4,0,5,3.8,-0.7,-2,-3.3,0.6,-1.4,-3.3
1950,3.1,-0.9,-2.7,0.1,0.3,2.1,0.5,0.9,-1.9,2.2,1.3,0.7,4.5,2.8,-0.3,-1.8,2.8,-1,-0.4,-2.7
1951,1.5,0.2,-2.1,-0.3,1.8,2.9,-1.5,1.3,-2.6,-0.1,1.6,-0.2,3.4,3.4,-0.1,-1.4,1.2,-2.4,0.5,-2.6
1952,1.7,-1.4,-1.7,-1.8,0.3,1.6,0.9,-0.2,-1.5,2.1,2.7,0.1,2.8,3.1,-0.3,-1.1,0.8,-0.7,-0.2,-1.8
1953,2.7,-1.3,-1.5,-0.7,1.3,2.1,0.2,-0.1,-0.1,1.6,3,1.7,4.3,3.3,0.5,-1.4,0.2,-0.8,0.2,-1.5
1954,3.4,-0.3,-3.2,-0.9,0.5,2.2,-1.2,1.9,0.1,1.9,2.4,1.5,5.4,3.7,-0.6,-1.2,0.6,-0.7,-0.6,-3.2
1955,2.6,-0.4,-1.7,-0.7,0.6,3.2,-1.4,0.6,-0.3,-0.4,2.3,0.5,5,2.6,-1.6,-1.6,1.6,-2.4,-1.5,-2.4
1956,1.9,-2.5,-1.4,-1.7,2,1.4,-0.2,1,-1.9,0.2,3.6,1,3.6,3.6,-0.3,-0.7,2.3,-0.3,-0.3,-2.5
1957,1.3,0.2,-1.4,-0.1,2.1,0.4,0.1,-0.4,-3.9,2,2.4,-0.5,4.8,2.1,-1,-3.4,2.8,-1.7,-0.2,-3.9
1958,2.7,0,-0.8,-0.8,1.7,2.1,-0.7,0.9,-1.2,-0.2,3.4,1,5.2,2.9,-0.7,-1.3,1,-1.2,-0.5,-1.3
1959,0.7,-0.4,-0.9,0.4,1.3,2.2,-1.4,0.5,-0.4,2.1,2.6,-0.6,4.8,2.2,-2.4,-2.3,1.2,-0.5,0.8,-2.4
1960,1.6,-5,-3.1,0,2.4,2.1,-1,0.8,-0.7,2.1,2.8,-0.5,4.1,2.7,-1.8,-2.4,2.6,-1.1,0.5,-5
1961,2.2,-0.2,-1.2,0.2,0.5,0.5,1.7,-1.7,-0.7,2,3.3,0.6,5.1,2.8,-0.1,-2.1,1.2,-0.6,0.7,-2.1
1962,1.5,0.7,-1.5,-1,2,0.9,-0.8,0.7,-3.1,-0.1,3.3,0.9,3,2.9,-0.6,-0.8,1.4,-1.1,0.3,-3.1
