"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-1.1,3.7,1.8,-1.9,-2.9,-6.8,-2.5,1.2,-4.6,NA,-0.6,-3.4,3.7,-2.8,-1.5,-4.7,1.2,NA,-3.9,-6.8
2016,-1.8,11.2,-1,-1.8,-1.6,1.4,1.6,0,-2.2,NA,-1.5,-3.8,0.7,-0.2,-1.6,-7.2,-3.3,NA,0.6,-7.2
2017,-0.3,8.6,-2.2,-4,-0.5,-0.1,-3.5,1.9,-3,NA,-3.2,-4.8,0.8,-2.6,-5.4,-6.3,0.2,NA,-1.3,-6.3
2018,-1.1,5.3,1.1,-2.1,-1.2,-1.9,-0.7,0.5,-3.4,NA,-3.3,-6.9,3.2,1.7,-2.9,-5.8,-4.5,NA,-0.3,-6.9
2019,0.7,1.4,2.3,-3.8,-2,-2.2,-2.9,-0.4,-4.1,NA,-3.4,-2.1,5.2,-0.1,-4.8,-4.9,-2.5,NA,-3.2,-4.9
2020,0,14.7,1.2,-3.2,-0.3,-2.6,0.3,0.7,-4.1,NA,-1.4,-2.6,6.4,-3.2,-4.4,-6.7,0.3,NA,0.7,-6.7
2021,0,6.1,3.8,-4.4,-0.3,0.1,0.1,2.6,-2.4,NA,-4.9,-2.4,6.2,0.6,-1.8,-4.2,-0.5,NA,-3.8,-4.9
2022,-1.5,11.9,2.2,-2.1,-2.2,-1.2,-6.8,3.4,-1.5,NA,-1.9,-5.7,3.7,-1,-3.1,-5.3,3.1,NA,-2.6,-6.8
2023,-1.5,4,-1.3,-2.1,0.3,0.1,-1.2,0.1,-6.3,NA,-3.1,-3.6,6,-2.8,-5.2,-8.6,1.6,NA,-1,-8.6
2024,-2.6,3.9,2,-3.3,-2.8,-3,-1.6,2.6,-1,NA,-2,-2,5.5,1.6,-6.3,-5.4,-0.8,NA,-2.9,-6.3
2025,-0.2,3.1,3.4,-3.7,-2.9,-0.9,-2.6,1.4,-1.7,NA,-0.9,-4.7,3.4,-2.4,-3.4,-3.4,1.5,NA,0.2,-4.7
