"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,0.8,5.5,1.4,1.4,2.7,2.6,NA,1.7,0.8,2.4,1.5,-1.4,4.4,3.8,1.3,-1.1,3,-4.3,3,-4.3
1851,1.2,7.4,0.5,1.1,1.7,3.8,-0.1,1.6,2.2,2.9,1.4,-1.1,3,4.6,2.6,-1.7,4.2,-5,2.7,-5
1852,1.1,5.1,0.3,3.3,1.3,4.4,2.8,4.6,0.1,2.7,1.2,-1.2,7.4,2.4,2.8,-1.7,3.8,-5.7,0.8,-5.7
1853,1,8.3,-2.1,0.7,2.2,3.7,1,3.3,2.6,1.9,0.2,-0.4,4.9,2.5,2.2,-1.5,3.9,-3.3,2.7,-3.3
1854,1.1,7.2,2.9,1.2,3.6,2,-0.1,1.2,3.1,1.1,0.6,-0.6,7.3,1,1.8,-3.6,2.9,-5,1.9,-5
1855,1.6,9.3,-0.3,1.4,2.9,3.6,-0.4,1.3,4,2.4,0.7,-0.5,7.1,1,2.8,-1.1,1,-3.5,2.4,-3.5
1856,1.4,3.9,1.3,2.3,2.2,3.4,0.6,4.3,1.4,2.8,0.9,-0.5,9,1.9,4.2,-2.5,3.5,-3.6,1.4,-3.6
1857,1.2,7.8,1.3,1.3,3.5,1.5,1.2,1.9,1.1,2.5,1.1,-0.9,5.2,2.6,3.7,-1.4,1,-5.5,1.8,-5.5
1858,0.9,6.3,2.6,0.6,3.7,2.8,0.8,5.5,2.1,4.3,1.1,-0.1,3,2.2,4.2,-1.9,3.6,-5.8,2.9,-5.8
1859,0.1,4,-1.9,0.3,3.7,4.7,0.3,3.6,0.2,2.8,0.4,-0.7,6.4,4.3,2,-1.7,5.3,-5.3,3,-5.3
1860,0.9,7.2,1.8,2.5,0.7,3.7,2,4,1,3.8,0.7,-0.2,8.4,2.1,2.1,-2.1,5,-5.2,2.9,-5.2
1861,0.4,6.1,1.8,0.9,2.3,2.2,0.4,3.4,3.9,2.5,1.3,0.7,8.3,3.9,1.6,-1.6,4.7,-5.2,2.3,-5.2
