"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,0.4,-2.1,0.8,-0.7,-0.1,1.2,-1.7,-2.1,-0.2,NA,5,-0.9,8.1,3.1,-0.1,-0.6,-0.1,NA,-0.4,-2.1
2016,0.3,-2.2,-1.6,-2.1,-0.4,1.4,-1.4,1.9,-0.4,NA,4.8,-0.9,6.8,3.4,1.1,-1.8,1.4,NA,0.5,-2.2
2017,-0.4,-4.3,-0.7,-2.5,0.1,1.5,-0.7,0.6,-2.6,NA,5,-1.9,7,4.7,1.8,1.2,0.8,NA,0.1,-4.3
2018,1.9,-3.5,-1.6,-3.1,0.9,0.9,-0.7,-0.4,-1.1,NA,1.1,0.9,8.8,5.6,0.3,-2,0.6,NA,-0.7,-3.5
2019,1.8,-4.4,0.5,-1.7,-0.3,1.3,-1.6,-3,-2.1,NA,2.2,-1,9.4,5.4,1.9,-0.3,1.8,NA,-0.3,-4.4
2020,1.3,0.8,-1,-1.5,1.1,1.4,-0.4,0.8,2,NA,4.4,-0.8,9.5,4.2,0.4,1.1,1.4,NA,1.1,-1.5
2021,-1.1,-3.3,-1.1,-0.8,-0.2,2,-0.7,0.8,0.1,NA,5.5,-0.3,9.8,1.5,1.1,-3.5,0.9,NA,-1.6,-3.5
2022,0.3,-1.7,0.7,0.2,-0.1,0.9,-1.6,2.2,-0.8,NA,5.2,-0.3,10.5,2.1,1.8,-3.8,0.8,NA,-1,-3.8
2023,-1.5,-3.8,0.3,-1.2,0.3,0.9,-1,-0.6,0.5,NA,5.3,-0.5,10.6,3,1.1,-1.2,0,NA,1,-3.8
2024,0.7,-6.9,-1,0,0,1.4,-0.7,0.9,-0.7,NA,5.1,-0.5,8.9,5.6,1.1,1.1,0.7,NA,0.9,-6.9
2025,1.8,-4.4,1.9,-1,0.4,1.9,-1.7,2.3,0.1,NA,4,-2.1,8.3,3.2,0.4,0.3,1.6,NA,2.6,-4.4
2026,0.9,-3.6,0,-1.5,1,0.5,-1.4,0.9,-1.5,NA,5.4,-1.1,9.3,2.9,0.1,-0.3,1.2,NA,0.4,-3.6
2027,2.1,-0.9,0.8,-0.5,0.3,0.8,-1.8,0.5,-0.2,NA,3.5,-0.6,8.8,4.1,2.3,-1.6,2.2,NA,0.9,-1.8
2028,0.5,-3.9,-0.1,-1.8,0.5,1.9,-1.5,-1.7,0.7,NA,5,-1.5,7.6,4.3,0.2,0.2,2.9,NA,1.5,-3.9
2029,-0.6,-3,3,0,-1.1,1.2,-1.6,-0.5,-0.4,NA,4.8,0.6,10,5.5,2,-0.3,1.4,NA,-0.1,-3
2030,2.1,-5.8,-1.9,-0.8,0.3,1.8,-1.5,-1.8,-1,NA,4.5,-0.5,5.6,6.7,1.7,-0.6,0.8,NA,0,-5.8
2031,-0.3,-4.7,0.1,0.2,1.1,2.9,-0.3,-0.3,-1.2,NA,4.7,0.3,9.5,5.5,1.4,-0.3,2.2,NA,-0.7,-4.7
2032,2,-1.2,-2,0,1.3,3.2,-1.5,0.6,-0.5,NA,4.5,0.2,10.3,3.7,1.8,-0.5,0.5,NA,0.7,-2
2033,0.9,-1.2,0,0,1.6,2.1,-1.7,1.6,-2.3,NA,5.2,-0.6,9.4,5.2,1.4,-2.1,1.8,NA,0.5,-2.3
2034,0.5,-1.8,0,0.5,1.3,3.6,-0.8,1.8,-0.2,NA,5.6,0.6,6.1,5.5,0.5,-0.3,2.5,NA,2.3,-1.8
2035,0.2,-4.6,1,0,1.2,1.5,-1.1,0.6,-0.2,NA,4.9,-0.4,9.2,6.1,1.3,-1.5,2.6,NA,0.7,-4.6
