"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,48.9,12.7,37.3,47,46.6,51.2,35.3,43.6,30.3,56.5,60.2,57.5,69.9,47.2,47.4,41.4,57.8,50.9,55.7,12.7
2016,54.3,11.9,37.2,47.3,43,54.8,35.4,33.3,22.1,50.3,66.6,54.2,72.9,46.8,41.9,27.7,64.1,52.2,44.7,11.9
2017,56.1,20.8,38.9,44.4,47.1,50.2,40.8,39.3,31.2,43.9,70.4,48.6,62.3,54.6,44.4,34.5,53.9,60.2,49.5,20.8
2018,52.8,13.6,43.3,49.9,46.6,45.9,36.4,43,31.2,51,69,39.7,66.5,53.5,33.2,36.5,65.8,54.4,50.3,13.6
2019,52.4,15.3,41.9,43.9,47.5,47.1,39.8,47.6,28.6,46.8,63.9,49.7,83.1,56.9,43.4,40.3,64.5,57.2,45.8,15.3
2020,50.1,12.6,39.2,50.2,44.3,50.2,41.1,41.7,26.2,59.7,74.2,45,59.4,51.5,40.6,38.1,59.1,58.8,51.1,12.6
2021,51.8,13.8,46.7,49.4,45.2,50.4,48.1,33.2,33.4,58.3,76,51.4,67,55.7,32.8,48.6,54.7,51.9,51.4,13.8
2022,53.2,12.2,43.8,48.7,44.8,54.6,47.3,41.8,30,57.4,75,51.6,62.1,50.3,50.6,37.1,61.7,44.3,53.3,12.2
2023,54.8,16,43.8,46.5,50.6,54.6,43.7,30.4,29.6,56.1,74,57.7,79.5,57.3,47.6,41.3,53.1,49.9,52.9,16
2024,55.4,15.8,49.3,48.9,50.9,50.9,41.2,35.9,28.4,51.4,69.9,55.4,78.3,60.2,52.9,36.9,64.7,53.4,45.5,15.8
2025,58.7,18.6,38.7,53.8,51,50.2,44.8,44.2,25.4,57.4,67.3,57.2,64.7,57.4,43,38.5,60.1,60.1,53.5,18.6
2026,52,15.5,46.5,49.5,51.9,57.6,45.7,41.4,32.5,58.2,77,48,71.7,50.4,40.4,43,56.7,45.5,54.6,15.5
2027,50.4,14.6,25.6,49.7,48.2,50,40.5,46.7,28.9,59.3,68.9,51.3,66.2,48.6,47.8,37.6,51.4,60.1,54.4,14.6
2028,58.9,17.2,37.9,53.1,47.5,54.8,41.1,47.2,32.3,45.2,76.6,49.4,85.9,54.3,49.9,34.2,59.1,53.5,56.8,17.2
2029,57.1,19.1,58.1,50.2,53.2,49.1,46.6,39.7,31.1,53.7,67.6,51.9,77.4,56.1,49.5,38.8,59.2,51.3,54.2,19.1
2030,57.3,16.2,46.1,52.2,47.1,54.7,44.6,45.6,35.6,58.8,59.2,52.9,77.1,56.3,47.3,36.5,64.6,52.9,55.3,16.2
2031,56.8,16.4,46.1,50.7,43.6,53.3,47.9,48.2,33.2,63.4,71.8,46.8,87.2,58.1,38.9,43.2,60.8,52.7,59.5,16.4
2032,53.9,19,40.8,52.5,49,52.9,45.1,44.9,29.5,57.9,66.6,51.7,63.9,60.8,36.6,36.5,60.1,54.1,61.4,19
2033,53.7,19.7,44.8,46.9,49.2,53.1,46.2,47.2,31.1,57.9,63.4,51.9,71.5,59.2,44.2,34.9,67.7,58.1,54.7,19.7
2034,53.4,13.1,45.8,52.2,52.7,50.9,49,39,32.5,61.1,65.4,59.4,71.7,46.7,46.4,33.9,57.7,60.8,57.2,13.1
2035,59.3,15.1,40.8,57.3,47.4,54.7,43.8,35.6,29.5,58,66.6,54.3,82.8,51.9,51.9,36.2,52.5,54.9,59.4,15.1
2036,55.9,13.9,39,55,47.2,52.9,47.6,43.8,33.1,53.8,70.2,62.9,76.9,60.1,48.1,31.7,58.2,65.5,61.3,13.9
