"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,6.7,0,2.6,0.6,0.2,0.8,NA,1.3,0,0.8,0.2,0,1.2,0.1,0,0,8.7,0,1.4,0
"historical",1851,7.2,0,1.6,0.4,0.4,2.1,1.6,0.6,0,0.1,0.2,0,4.5,0.1,0,0,3.6,0.2,0.4,0
"historical",1852,6.3,0,1.3,0.4,2.6,1,1.3,0.7,0,1.2,1.3,0.3,0.5,0,0.1,0,5.9,1.2,1.6,0
"historical",1853,4.2,0,2.6,0.4,1.3,3.9,1.6,0.8,0,5.4,3.6,0.2,1.3,0,0,0,6.7,0.3,1.6,0
"historical",1854,4.9,0,0.8,1.2,1,1.7,0.9,0.3,0,4.7,0,0.3,8.5,0.1,0,0,9.4,0,0.8,0
"historical",1855,3.4,0,0.4,0.2,0.1,0.4,0.6,0.1,0.1,3.3,0.8,0,10.5,0.3,0.1,0,4.7,0.1,0.8,0
"historical",1856,5.3,0,1.8,0.5,1.2,1.2,1.3,0.1,0,0.9,1.2,0,7.2,0.7,0.3,0,6.4,0.4,1.1,0
"historical",1857,6.1,0,2.3,0.6,0.5,1.1,0.6,0.3,0,2.7,2.7,0,3.3,0.1,0,0.1,4.4,0.1,2,0
"historical",1858,5.4,0,1.6,1.1,2.3,0.6,1.3,0,0,3.6,2.7,0,2.8,0.1,0.3,0,9.8,0.2,0.2,0
"historical",1859,6.1,0,1,1.9,0.5,0.3,1.2,0.7,0,1,0,0,4.1,0.4,0.1,0,12.4,0.1,1.2,0
"historical",1860,4.4,0,1.8,1.6,0.3,4.9,0,0,0,1.2,0.1,0.4,14.4,0.3,0,0,8.1,0.7,3.4,0
"historical",1861,4.7,0,2.9,0.2,1.7,0.9,0.5,0,0,1.1,0.3,0,4.2,0.1,0,0,4.9,0.1,0.1,0
"historical",1862,4.1,0,0.8,0.2,0.9,0.6,1.9,0.2,0.1,2.2,0.8,0.2,4.1,0.5,0.6,0,5,0,0.4,0
"historical",1863,6,0,1.2,0.2,0.6,2.3,0.8,0.5,0,4,1.9,0.1,5,0.3,0,0,2.4,0.5,0.8,0
"historical",1864,7,0,3.9,1.6,1.2,3.9,2.1,1.8,0,2.1,3.1,0,1.6,0.1,0,0,3.4,0.6,1,0
"historical",1865,7.3,0,2.6,0.5,3,2.5,2,0,0,0.2,0.2,0,5.1,0.2,0,0,2.8,0.1,0.5,0
"historical",1866,3.6,0,1.4,0.6,2.6,3.2,1.1,0.1,0,0.7,0.7,0,6,0,0,0,1.4,0.1,0.3,0
"historical",1867,3.7,0,3.6,0.6,0.2,4,0.4,1.1,0,4.2,1.2,0.1,3.7,0.3,0,0,3,0.4,0.5,0
"historical",1868,5.9,0,3.6,1.4,0.3,3.6,0.6,0.1,0.2,2.4,0.4,0.2,10.9,1,0.1,0,8.3,0.7,0.9,0
"historical",1869,2.7,0,2.3,3.1,0.2,4.1,1.6,0.4,0,2.6,1.4,0,1.1,0.3,0.2,0,4.1,0.1,0.9,0
"historical",1870,5.1,0,1.4,1,0.4,0.9,2,0.2,0,1.8,1.8,0,4.8,1.7,0,0,7,0.4,3.5,0
"historical",1871,3.2,0,1.1,1.8,2.2,1,3.2,0,0,1.6,0.4,0.1,4.5,0.2,0.2,0,6.9,0,0.7,0
"historical",1872,5.7,0,2.3,0.6,1.9,2.4,1.3,0.7,0,3.2,1.6,0.1,6.9,0.6,0,0,1.5,0,0.4,0
"historical",1873,7.6,0,3,0.4,1.6,0.9,2,0.2,0,0.9,2.3,0,2.7,0.1,0.4,0,4.1,0.1,0.5,0
"historical",1874,5.5,0,1.5,0.6,0.9,0.4,3.8,0.8,0,1.7,0.3,0,0.5,0.2,0,0,3.7,0.4,1,0
"historical",1875,6,0,4.1,1.3,0.4,0.3,2.3,0.6,0,0.6,0.5,0,5.8,0.2,0.1,0,1.4,0.3,0.6,0
"historical",1876,5.5,0,2.2,2,2.7,2.9,2,0.2,0,1.9,1,0.2,2.3,0.4,0.1,0.1,11.2,0,1.4,0
"historical",1877,4.2,0,0.9,0.3,0.5,0.6,4.7,2.1,0,1.4,0.3,0.1,4,0.1,0,0,6.8,0.2,0.1,0
"historical",1878,3.7,0,1.3,1.7,1.3,1.1,1.9,0,0.1,1.1,0.4,0,0.4,1,0.2,0.1,1.9,0.4,1.6,0
"historical",1879,5.4,0,2.2,1,1.1,0.6,2,0.3,0,3,0.1,0,5.9,2.2,0.1,0.1,1.9,2.3,0.3,0
"historical",1880,6,0,2.8,0.9,0.1,1.9,0.8,0,0,2.5,0.9,0,2.5,0,0.1,0.1,7.8,0.5,1,0
"historical",1881,3.6,0,5.9,3.1,0.4,1.3,2.1,1.7,0,1.8,0.4,0.1,6.2,1,0,0,2.3,0.3,0.5,0
"historical",1882,3.8,0,1.5,2,2.2,2.2,0.5,0.1,0.2,1.4,0.1,0,3.2,0.4,0,0,7.6,0.1,2.6,0
"historical",1883,2.2,0,1,0.5,0.5,0.1,1.9,0.4,0,0.8,1.1,0,10.2,0.4,0,0.1,1.7,0.1,0.4,0
"historical",1884,6.5,0,1.5,0.2,0.3,1,1.4,0.2,0,4.1,0,0,2.9,0.3,0,0,10.6,0.2,0.6,0
"historical",1885,5.7,0,2.7,2.3,0.3,0.7,0.1,0.3,0,1.6,4,0.1,4.5,0.8,0,0,4.3,0.2,0.7,0
"historical",1886,4.6,0,3.3,0.9,0.9,0.6,2.3,0.1,0,2.5,0.3,0,5.2,0.3,0.1,0,10.1,0.4,1.1,0
"historical",1887,5.1,0,1.6,1.1,2.1,1.4,1.8,0,0,3.4,0.2,0.2,3,0,0,0,1.8,0.1,0.3,0
"historical",1888,6.2,0,3.2,1,3.3,1.4,2.7,0.2,0.2,1.3,1.8,0,2,0.1,0,0.1,5.7,0.4,0.1,0
"historical",1889,4.2,0,3.1,1.4,0.3,0.2,2.7,0.2,0,0.5,2.1,0,3.6,1.3,0,0,1.2,0,1.7,0
"historical",1890,5.2,0,0.9,0.6,1.9,2.2,0.4,0.2,0,0.6,0.4,0,0.9,0.1,0.3,0,6.2,0.1,0.8,0
"historical",1891,4.2,0,3.3,1,0.6,2,0.4,0.3,0,1.3,0.5,0.3,3.7,0.2,0,0,0.9,0.1,0.9,0
"historical",1892,4.6,0,4.3,1.8,0.4,1.6,2.2,0.1,0,1.5,0,0.7,3.5,0.2,0,0,5.2,0.1,0.6,0
"historical",1893,5.5,0,4.3,1,1,1.9,1.3,0.4,0,3.2,1.3,1,3.5,0.5,0,0,10.1,0,2.6,0
"historical",1894,5.3,0,1.8,2,0.9,2,2.1,0.1,0,3.4,0.5,0,5.2,1.9,0,0,7.7,0,0.1,0
"historical",1895,4,0,2.1,2,1.5,5.1,1.5,3,0.1,1.3,0.7,0.2,3.2,0.8,0,0.1,2.4,0.3,0.9,0
"historical",1896,5.6,0,6.1,1,0.9,2,0.1,0,0,4.5,0.4,0.3,4.3,0.2,0.1,0,6.7,0.2,0.9,0
"historical",1897,5,0,3.3,2.3,0.5,6.2,1.2,0.8,0,1.5,1.6,0,6.1,0.3,0,0,6.5,0.3,0.8,0
"historical",1898,3.3,0,0.8,0.6,2.4,1,0.6,0.1,0,1.9,0.5,0,3.2,1.6,0.1,0,8.4,0.4,1.9,0
"historical",1899,3.4,0,1.7,1.3,0.1,2.3,4.5,0.1,0,1.6,0.4,0.1,1.6,0.1,0.1,0,4.6,0,1.8,0
"historical",1900,5.3,0,1.6,0.9,1,1.4,1.5,1.7,0,0.2,2.6,0,6.1,0.6,0.1,0,3,0.1,0.5,0
"historical",1901,4.8,0,0.9,0.3,0.9,5.4,2,0.8,0,1.3,1.6,0.3,12.8,0.1,0.1,0,1.1,0.1,0.2,0
"historical",1902,1.8,0,2.9,0.9,1.1,2.2,2.8,0.3,0,0.1,0.9,0,5,0,0,0,5,0,0.4,0
"historical",1903,2.3,0,1.9,0.3,1.1,2.6,3.4,1,0,0.9,0.6,0.1,4.1,0.4,0.1,0.1,7.5,0.1,0.7,0
"historical",1904,5,0,1.3,1.3,0.6,0.7,0.7,0.4,0,3.4,0.5,0.1,2.3,0.5,0.1,0.1,4.2,0.1,0.1,0
"historical",1905,2.5,0,2.4,1,0.9,3.1,0.4,0.5,0,2.4,1.5,0.1,1.6,0,0.4,0.1,9.4,0.1,0.1,0
