"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,153.6,315.2,444.1,118.8,283,297.6,224.2,263.5,186.9,NA,170.3,201.4,338.9,237.4,219.6,173.7,274.5,NA,149,118.8
2016,156.2,234.1,308.8,125.3,275.9,336.8,319.5,312.2,155.1,NA,118.4,171.2,272.7,255.7,173.1,243.1,289.6,NA,262.7,118.4
2017,141.4,255.6,276.2,135.6,309.1,228,292.9,319.9,165,NA,107.7,280.7,288.3,221,218.3,207.6,350,NA,261.7,107.7
2018,199.3,260.8,344.4,124.1,239.5,265.1,256.1,342.8,223.8,NA,139.1,235.1,307.3,193,186.5,175.4,304.7,NA,162.3,124.1
2019,180.7,180.7,339,148.3,269.1,300.5,196.5,369,123.4,NA,127.7,191.4,401.2,289.9,176.8,169.5,399,NA,150.5,123.4
2020,151.7,297.1,246.2,141.6,339.7,292.8,324.4,195.3,171.1,NA,122,273.7,314.1,238.1,176.6,144.7,315.9,NA,197.4,122
2021,173.1,331.9,207.5,84.4,236.2,310.2,329.4,380.2,149.2,NA,128.4,216.8,330.1,171.4,241.4,166,338.4,NA,205.3,84.4
2022,159,331.3,321.9,163.5,305,270.4,204.8,328.8,117.7,NA,144.1,208.7,264.4,216.6,209.5,240.3,302.6,NA,202,117.7
2023,133.8,318.5,334.3,135.9,308.1,267.8,348.9,433.4,186.9,NA,139.9,238.4,349.4,235.2,189.9,210.1,237,NA,213.2,133.8
2024,124,257,302.2,118.9,270.6,201.3,303.3,423.9,100.2,NA,135.2,211.9,410.2,294.1,208.3,195.8,277.3,NA,205.8,100.2
2025,151.4,190,325.6,127.3,363,205.3,191.3,355,199.5,NA,152.6,195.1,369.9,216.5,255.6,234.9,258.8,NA,182.3,127.3
2026,144.9,249.8,404.9,162.3,241.2,258.5,262,225.3,140.9,NA,109.6,243.5,362,203.8,183.6,211.1,275.4,NA,214.7,109.6
2027,136,397.6,271.6,134.1,308.8,267.2,310.1,443.1,135.6,NA,134.7,248.3,223.2,223.2,208.3,242.6,291.6,NA,221.2,134.1
2028,130.1,323.5,244.7,141.3,342.2,328.9,350.1,347.3,132.9,NA,109.6,200.2,340.5,270.7,199.5,220.6,333.7,NA,150.6,109.6
2029,189.1,278.1,224.4,134.9,325.4,297.3,364.5,260.5,129.6,NA,125.7,197.1,322.4,224.4,228.3,196.6,348.7,NA,170.1,125.7
2030,135.9,207.2,341.6,143.7,299,272,329.8,448.8,238.9,NA,118.2,254.7,297.1,219.7,117.2,210.4,295,NA,212.4,117.2
2031,147.4,245,253.2,145.1,348.1,209.4,197.3,342.9,178.1,NA,104.3,220.4,264.6,167.8,223.9,212.5,244.6,NA,151.9,104.3
2032,155.5,221.7,254.5,142.8,330.4,309.8,266.4,448.6,194.9,NA,128.5,210.9,327.5,233.6,222,223.2,327.3,NA,139.2,128.5
2033,132.6,207.9,257.7,160.4,310.8,259.7,260.7,389.2,157.9,NA,102.3,180.5,352.2,229.1,227.8,205.3,372.9,NA,152.9,102.3
2034,176.4,265.9,338.5,159.6,257.3,348.8,400.7,318.1,159.4,NA,113.8,197.2,290.6,237.2,226.2,195.4,264.3,NA,205.7,113.8
2035,154.4,169.3,335.8,135.1,339.9,266.6,296.1,330.3,237.3,NA,142.6,199.7,326.2,199.6,233.8,193,344,NA,157.4,135.1
2036,144.5,339.1,371.5,157.3,336.7,278.8,282.1,409.4,124.2,NA,129.9,238.4,346,174.6,265.9,199.5,312.5,NA,207.3,124.2
2037,186.4,361.4,347.9,137,337,318.9,278.3,412.8,134.7,NA,103.7,218.1,331.4,253.5,226.2,180.4,244.3,NA,225.9,103.7
2038,178.2,265.6,288.6,93.8,316.5,364.8,306.2,431.5,184.9,NA,93.5,276.3,275,157,156,204.8,246.8,NA,185.6,93.5
2039,114.6,321.3,243.4,123.3,243.5,253.3,262.4,305.9,237.2,NA,143.1,211,261.5,271.3,209.6,148.5,295.1,NA,228.4,114.6
2040,123.2,231.4,282.6,121.2,350.9,348.2,322.8,364.9,136.4,NA,118.6,220.4,304.3,253.2,170.1,167.6,283.8,NA,213.8,118.6
2041,109,265.9,362.1,111,363.4,304.1,316.7,335.6,236.5,NA,81.5,186,312.9,267.7,212.6,151.2,261.4,NA,234.8,81.5
2042,147.3,188.2,393.8,92.6,357.2,244.6,235.8,376.3,106.9,NA,151.7,221,316.2,212.9,219.9,171.6,343.3,NA,174.5,92.6
2043,127.1,277.3,286.1,92.8,317.1,328.1,335.9,361,220.8,NA,127.8,287.8,307.8,200,228.7,171.5,327.1,NA,162.9,92.8
2044,126.7,227.9,280.4,105,325.1,339.2,314.8,274.4,215.1,NA,126.2,186.2,304.7,252,207.6,185.4,236.9,NA,204.9,105
2045,131.6,239,291.1,151.9,325.9,275.6,153.6,326.8,171.4,NA,132.9,246.6,292.4,234.6,163.2,240.1,296.6,NA,238.3,131.6
2046,86.4,327.7,211.1,170.9,310.2,327.5,379.7,300.3,136.5,NA,142.8,201.2,407.2,201.4,234.3,208,336.8,NA,206.4,86.4
2047,154.9,352.4,317.7,132.2,366.4,230.1,351.5,369.6,77.6,NA,83.1,222.5,333.4,201.9,192.1,126.4,301.5,NA,218.4,77.6
2048,155,305.1,395,104.8,384.9,310.3,288,273.6,150.2,NA,125.8,189.8,307.2,184,226.6,203.2,335.6,NA,148.6,104.8
2049,126.7,250.2,300.9,110,290.2,269.9,334.3,292.5,184.8,NA,102.2,197.2,254.4,169.1,201.3,214.5,274.6,NA,71.3,71.3
2050,125.1,279,210.2,119.5,277.9,327.1,318.6,346,186.5,NA,115.1,164.6,307.3,205.9,221,175.4,292.7,NA,198.1,115.1
2051,101.1,277.3,313,127.8,197.5,374.3,274.6,374.4,171.6,NA,140.2,177.1,316.1,229.3,218.8,173.6,342.5,NA,250.8,101.1
2052,158,252.9,266.7,113.1,336.1,321.2,272.7,300.7,141.2,NA,142.1,186.5,276.2,199,192.2,172.5,323.6,NA,132.7,113.1
2053,151.3,294.2,293.2,101.7,315.7,353.2,313.6,387.1,137.3,NA,87,168.3,304,198.6,202.6,140.2,307.9,NA,199.8,87
2054,122.8,242.9,216.9,112.8,306.5,355.6,363.4,415.8,171.9,NA,92.8,171.8,296.2,208.5,231.4,190.9,324.2,NA,161.5,92.8
2055,119,359.4,256.5,124.4,267.8,340.2,290.3,356.5,138.4,NA,117.7,226.8,301.4,268.6,188.2,228.3,366.7,NA,199,117.7
2056,109.4,355.8,254.8,146.1,314.4,405.1,284.4,400.8,129.5,NA,168.5,117.3,391.3,176.9,175.6,186.1,332,NA,175.4,109.4
2057,109.5,191.5,254.8,172.3,322.4,311.2,299.7,392,158.1,NA,91.4,188.3,320.3,220.9,177.3,192.9,358.2,NA,138.4,91.4
2058,81.4,383.5,278.7,151.9,269.9,352.8,224,372.8,199.5,NA,156.7,231.6,317.8,130.2,199,154,288.4,NA,163.7,81.4
2059,123.5,189.3,282.9,137.7,285.6,215.5,371.7,246.2,176.3,NA,144.5,222.5,334.7,209.4,216.8,204.4,226.2,NA,175.4,123.5
2060,119.6,266.7,247.3,143.1,162.7,371.3,325.1,401.9,195.7,NA,134.1,212.3,234.4,213.2,150.6,198.9,360.6,NA,202.8,119.6
2061,121.7,401.6,258.8,149.5,325.6,318.6,206.9,398.3,126.7,NA,141.6,254.1,249.4,251.7,219.8,194.7,256,NA,260.5,121.7
2062,121.6,207.6,258.7,113.6,246.6,201.5,270,391.4,204.9,NA,139.7,191.9,240.7,231.9,206.9,215.7,308.8,NA,198.1,113.6
2063,124,282.6,360,110.1,276.5,309.1,266.8,412,176.1,NA,99.9,179.2,388.4,117.3,222,135.4,333.5,NA,252.9,99.9
2064,79.3,289.4,310.8,141.4,285,308.1,305,270.4,208.4,NA,105.9,201.6,329.8,185.4,175.8,192.8,279.4,NA,136,79.3
2065,122.5,199.1,332.9,126.9,272.3,255.4,326.8,318.5,193.1,NA,132,224,264.5,257.9,227.1,170,312.8,NA,128.8,122.5
2066,112.7,295.3,221.7,82.4,267.1,311.9,301,358.4,227.7,NA,141.2,235.3,309.1,215.9,179.6,167.4,289.7,NA,199.6,82.4
