"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,147.6,265.9,110.8,68.4,188.4,140.2,108.2,303.8,81.2,57.3,140.1,146.7,186.2,73.3,71.7,95.9,194.3,109.1,93.6,57.3
2016,143.2,208.2,142.9,58.6,213.4,178.8,56.5,223.9,93.8,104.4,209.4,78.2,71.4,58.5,166.6,123.1,208.4,173,73.8,56.5
2017,164.8,149.8,68.5,90.2,76.8,265.6,107.4,157.7,136.5,66.4,185.5,73.5,179,60.2,216.2,70,220.5,165.5,94.2,60.2
2018,113.5,266.2,191.7,64.1,206.8,97.9,47.3,193.1,132.2,102,224,92.8,183.9,96.8,99.9,88.9,57.3,166.5,118.5,47.3
2019,122.6,171.5,191.4,98.3,88.1,117.1,161.5,139,100.9,221.6,224.9,163.5,61.2,53.5,280,58.2,274.2,145.8,99.7,53.5
2020,117.6,306.8,195.7,83,226.6,193.7,136.2,205.2,154.7,63.1,151.9,143.3,170.1,66.2,221.2,213.9,118,163.2,54.9,54.9
2021,130.7,344.2,152.6,121.1,119.2,103.6,138.5,153.5,103.9,81.2,82.1,112.3,155.6,46.4,164.1,107.9,201,162.4,162.8,46.4
2022,143.8,233,214,59.8,163.5,209.3,96.4,202.6,120.4,142.6,225.3,208.8,132,33.1,225.4,83,181.9,127,96.4,33.1
2023,60.7,303.4,178.8,64.7,149.7,179,112.9,220.7,108.1,151.6,202.2,60.6,159.8,76.8,119.1,107.4,171.9,184.5,176.5,60.6
2024,80.9,122.1,172.4,80.3,151.4,133.9,102.4,245.4,50,153.4,135.5,141,83.1,67.7,282.3,93.6,199,197.8,95,50
2025,88.2,268.9,145.1,96.3,89.6,228.4,76.4,137.5,135.4,113.6,229,103.9,196.6,34.8,192.3,118.8,186.1,233.9,98.6,34.8
2026,85.3,314.1,80.1,81.6,105.5,190.1,115.3,232.8,78.6,138.5,224.9,211.1,182.5,67.9,394.5,122.6,253.5,187.5,98.2,67.9
2027,111.9,252.4,165.5,88.2,149.8,190.3,103.4,320.9,128.9,90,97.4,106,147.6,11.2,206.3,198.1,225.3,141.2,102.5,11.2
2028,147.9,224.5,169.8,58.9,161.9,135.5,72.8,170.5,176.3,124.1,193.1,108.9,132.5,30.8,112.4,62.6,198.5,127.6,101.3,30.8
2029,104.7,197.8,37.9,73.7,164.3,168.5,137.9,160.7,88.8,180.3,166.7,124,154.2,51.5,243.4,170.6,101.2,55.4,112.8,37.9
2030,84.2,241.6,203.5,84.2,154.6,102.6,111.8,205.2,104,95.6,213.9,112.1,107.8,51.5,200.8,77.9,163.4,240.8,41.9,41.9
2031,86.4,106.7,67.2,97.4,190.6,114.3,89.3,212.4,79.7,101.6,211.9,64.8,69.7,63.4,313.4,105.5,295.7,197.4,94.8,63.4
2032,52.3,159.9,165.4,41.7,117.3,133.9,53.3,169.8,94.5,95.1,72.8,98.7,107.9,75.9,176.5,157.1,112.7,211.5,82.8,41.7
2033,184.1,192.1,89,73.7,37.2,143.1,124,146.2,131.4,48.4,150.5,176,122,80.7,155.1,177.4,233.6,212.5,47,37.2
2034,88.5,166.9,241.3,54.5,184.4,158.7,45.2,200.1,139.3,150.6,227.9,138.9,227.9,110.5,74.8,153.7,463.4,103.8,150.9,45.2
2035,72.1,262.6,103.4,70.2,179.8,189.5,58.2,230.1,97.8,194.7,142.3,118.8,168.3,72.3,243.3,107.1,182.6,164.3,165.8,58.2
2036,114.4,280.1,130.5,59.1,99.3,200.4,74.4,63,81.9,87.8,216.4,198.1,226.9,84.3,239.2,171.2,205.9,88.1,159.8,59.1
2037,77.5,201.5,207.8,111,106.9,221.1,159,61.5,109.5,160.5,100.8,217.8,251.9,97.2,144.3,94.4,208.5,110.2,71.5,61.5
2038,108.6,301,173.9,117.8,231.8,197.3,132.1,202.4,136.2,96.2,229.5,189.1,145.4,107.4,91.6,71.4,196.8,175.1,111.7,71.4
2039,124.2,130,249.5,77.3,119,179.7,101.6,213,129.1,111,245.5,234.9,97.7,82.9,261.6,88.1,287.2,92,66.7,66.7
2040,77.9,138.4,141.6,116.6,148.6,119.6,68.6,133.7,80.6,151.8,134.7,153.6,112.8,39.8,171.9,77.5,271.1,158.8,114.6,39.8
2041,137.2,288.7,131,115.1,183.4,47,132.4,181.2,130.3,83.1,213.2,84.2,231.2,82.2,273.4,98.7,185.9,130.3,144.2,47
2042,98.8,150.4,134.7,67.8,226.6,172.3,174.2,218.1,106.8,60,252.7,136,260.4,89.6,119,119.9,158.3,158.3,88.9,60
2043,106.4,163.2,132.4,129,174.3,222.2,65.3,114.1,149,105.7,162.5,81.9,145.5,60,101.3,117.3,152.1,108.1,106.7,60
2044,75.7,134.6,96.1,95.4,132.9,225.7,117.6,143.3,99.2,49.8,91.5,135.5,152.7,81.9,171.9,104,365.4,71.8,86,49.8
2045,96,320.7,239.1,103,209.9,182,108.9,166.5,153.1,115.7,118.4,115.8,132.6,86.1,153.2,146.8,221.9,187.1,102.5,86.1
2046,77.6,171.9,172.1,78.1,99.5,124.8,97.3,148.5,85.5,75,184.3,106.5,208.8,49.1,323.4,131.8,225.7,90.2,107,49.1
2047,128.9,202.3,171.2,109.7,149.4,126.2,41.9,275.3,70.6,123.3,162.4,104.7,56.2,60.1,165.6,96.6,114.9,234.9,122.1,41.9
2048,144.2,202.8,244.2,147,139.2,163.8,86.3,182.2,86.4,133.3,225.2,129,113.9,83.6,319.6,84,285.8,108.6,94.8,83.6
2049,126,177.4,146.5,85.2,195.8,211.9,131.6,145.4,92.1,177.2,146.1,203.1,119,72.2,244.2,165.3,198.1,87.4,85,72.2
2050,119.3,70.1,155.1,100.8,105.3,177.8,118.2,192.7,45.5,182.2,218.4,188.8,242.1,86,85.6,123.1,102.7,211.8,85.4,45.5
2051,118.1,295.1,107.8,111.6,162.6,76.7,100.3,186,90.4,61.2,211.6,139.9,204.3,63.5,295.7,98,285.7,119.3,79,61.2
2052,79.7,279,171.3,31.6,134,106.1,69.9,191.1,122.5,125.4,197.1,103.9,137,54.5,182.1,150.5,361.3,131.9,123.3,31.6
2053,121.3,185.2,170.4,131.5,162.7,212.7,80.1,159.9,75,126.7,115,87.5,148.7,63.2,259.4,113.7,164.9,197.4,25.3,25.3
2054,126.3,326.9,199.8,56.6,114,176.9,94.4,194.4,118.2,144.6,97.1,150.9,99.7,63,161.8,68.8,243.4,200.1,77.5,56.6
