"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,2.8,7.8,3.8,1.9,3.6,4.4,4.3,1.4,2.4,5.4,1.2,8.1,8.8,3.1,1.1,4.9,-1.6,2.5,-1.6
"historical",1851,3.3,5.9,3.4,3.6,3.6,5.1,4,1.5,2.7,5.1,1,6.4,9.9,3.1,-0.4,5,-1,3.2,-1
"historical",1852,2.2,8.6,2.8,3.4,2.9,4.7,4.8,1.7,2.5,4.2,0.6,8.7,7.3,3.2,2,4.8,-3.4,2.1,-3.4
"historical",1853,4.2,9.6,1.4,2.5,4.1,4.6,5.5,1.4,1.9,4.4,0.5,7.4,5.3,4.6,0.3,5,-0.4,1.9,-0.4
"historical",1854,5.3,6.7,4.2,3.4,4.5,4.6,3.8,2,1.7,3.7,0.8,8.6,6.5,3.1,0,4.5,-1.3,3.5,-1.3
"historical",1855,3.6,9.8,3.2,3.3,4.2,5,3.4,2.2,3,4.7,2.4,9.5,5.2,3.7,1.5,4.9,0.6,3,0.6
"historical",1856,3.4,7.4,4.5,3.5,2.8,6.2,5.7,1.4,2.3,4,2.2,9.3,6.3,4.9,1.4,5.7,-1.4,3.2,-1.4
"historical",1857,3.5,8.6,2.3,2.7,4.2,4.2,4.1,0.7,2,5.3,1.6,8.4,7,5.2,1.9,4.5,-1.2,2.2,-1.2
"historical",1858,3.8,7,3.7,1.9,4,4.6,4.9,1.1,4,4.9,0.3,5.7,7.7,5,1.7,4.6,-3.2,3.5,-3.2
"historical",1859,3.9,6.1,0.5,2.7,4.8,3.9,5.4,1.8,2.4,6,2,8.5,9.7,3.6,0.9,5.8,-1.5,3.9,-1.5
"historical",1860,3.4,9.1,4,4.2,3.6,4.2,4.9,1.1,3.2,4.6,2.2,10.3,9.3,1.7,1.1,5.7,-0.5,4,-0.5
"historical",1861,2.6,11.1,2.7,3.1,2.8,4.2,3.6,1.1,2.9,5.7,2.2,9.9,10.2,1.7,1.1,6.8,-2.5,3.3,-2.5
"historical",1862,5.5,9.8,2.5,2.1,3.9,4.1,3.1,1.5,3,4.8,2.6,8.9,6.3,2.7,0.6,6.6,-0.5,2.3,-0.5
