"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-24.8,-42.9,-23.1,-25.9,-20.6,-21.4,-23.6,-26.3,-30,-29.3,-18.6,-29.1,-17.4,-22.5,-29.1,-33.5,-18.4,-30.4,-28.5,-42.9
2016,-24.3,-32.5,-18.8,-27.3,-22.3,-22.4,-26.9,-24.7,-28.6,-24.9,-20.2,-33.2,-23.3,-24.6,-25.5,-31,-19.7,-23.8,-32.2,-33.2
2017,-27.9,-38.5,-22.2,-25,-23.4,-22.3,-21.3,-26.2,-26.7,-24.6,-20.4,-28.3,-20.8,-20.4,-29.1,-35,-19.9,-28.7,-32.5,-38.5
2018,-26.9,-41.4,-24.2,-24.1,-22.2,-23.1,-24,-22.6,-28.5,-20.9,-21,-25.4,-21.7,-23.9,-26.9,-29.9,-18,-30.8,-33,-41.4
2019,-25.2,-38.1,-22.9,-25.9,-23.3,-23.9,-26.3,-24.2,-29,-30,-20.1,-25.8,-16.9,-22.3,-25,-33.4,-22.2,-26.4,-29.7,-38.1
2020,-24.1,-41.4,-24.6,-23.2,-25.4,-20.8,-23.1,-24.8,-29.2,-27.6,-20.7,-25.8,-17.4,-25.4,-26.2,-32.3,-21.4,-24.3,-30.4,-41.4
2021,-24.6,-39.8,-25.1,-24.3,-22.7,-24.3,-23,-25.2,-29.7,-30.4,-18.2,-27.4,-17.3,-20,-23.5,-32.2,-16.6,-26.5,-32.1,-39.8
2022,-23.8,-28,-22.7,-26.8,-22.5,-22.4,-20.4,-24.5,-27.4,-25.1,-19.1,-30.7,-15.6,-20.1,-24,-33.3,-21.3,-27.4,-34.3,-34.3
2023,-24.6,-37.2,-26.2,-27.3,-24.7,-21,-23.1,-24.1,-24.7,-24.9,-17.7,-27.8,-15.3,-23.5,-25.4,-33.4,-18.2,-27.5,-30.1,-37.2
2024,-24,-31.2,-25.6,-25.6,-21.4,-22.1,-22.8,-24.4,-28,-21.6,-20.2,-26.3,-20.4,-22.4,-30.2,-35.4,-18.1,-27.2,-32,-35.4
2025,-24.5,-40,-29.8,-26.6,-27.4,-19.7,-22.8,-20.7,-30,-27.4,-18.4,-28,-17.3,-27.2,-24.7,-31.3,-20.7,-29.5,-33.2,-40
2026,-24,-41.9,-23.7,-25.6,-24.1,-22.4,-23.4,-23.3,-25.3,-26.7,-19.9,-35.1,-21.4,-23.7,-26.2,-31.9,-26.4,-24.5,-31.1,-41.9
2027,-24,-36.6,-24.5,-24.8,-21.5,-21.2,-22.4,-21.7,-26.4,-28.9,-22.2,-30,-16.5,-21,-29.4,-31.4,-16.9,-25,-29.5,-36.6
2028,-24.7,-35.2,-28.1,-24.8,-24.3,-22.4,-24.9,-24.2,-30.7,-24.5,-17.4,-29.1,-17.6,-26.1,-31.8,-34,-15.1,-30.2,-25.5,-35.2
2029,-23.8,-44.9,-22.5,-26.9,-23.1,-24.4,-21.5,-21.9,-29.9,-28.2,-22.4,-27.2,-17.8,-21,-26.9,-30,-17,-26.4,-29.1,-44.9
2030,-27.4,-41.4,-25.9,-24.1,-25.5,-22.6,-23.2,-21.6,-32.8,-26.8,-20.5,-26.5,-19,-20.1,-22.5,-31.4,-17.3,-25.8,-28.2,-41.4
2031,-24.6,-36.4,-23.5,-22.8,-22.7,-23.3,-24.6,-24.3,-27.4,-25.1,-16.8,-27,-20.4,-19.5,-27,-27.8,-18.2,-26.9,-28.7,-36.4
2032,-23.5,-26.6,-25.3,-25,-23.3,-22.5,-20.7,-24.3,-28.8,-24,-16.9,-29.2,-18.4,-22.5,-29.2,-33.1,-19.6,-27.6,-28.1,-33.1
2033,-22.3,-33,-25.1,-24.7,-22,-23.3,-21.1,-24,-27.1,-28.5,-29.7,-29.4,-15.8,-20.7,-29.1,-32.1,-15,-29.6,-28.1,-33
2034,-23.5,-33.4,-23.1,-26.5,-22.6,-20.3,-24.5,-21.9,-27.5,-27.8,-23.7,-33.1,-21,-21.9,-22.8,-31.1,-17.9,-23.1,-34.1,-34.1
2035,-23.3,-38.8,-21,-25.4,-20.2,-19.2,-23.4,-22.5,-29,-26.7,-18.2,-28.6,-17.8,-24.3,-23.9,-31,-15.7,-27.9,-28.1,-38.8
2036,-24.2,-43.8,-20.7,-24,-22.5,-22.1,-21.8,-23.5,-25,-28.8,-20.8,-27.5,-16.2,-20,-27.1,-30,-18.6,-27.2,-24.8,-43.8
2037,-23.7,-36.9,-18.3,-28,-22.6,-20.6,-22.2,-20.9,-28.2,-24.1,-24.8,-27.6,-17.2,-21.1,-30.3,-32.9,-17,-25.1,-29.5,-36.9
2038,-24.1,-42.5,-22.3,-24.7,-21,-21.4,-24.5,-22.8,-26.2,-24.9,-20.3,-28,-17.7,-21.6,-27.8,-33.8,-18.1,-27.4,-26.2,-42.5
2039,-26,-24.4,-20.9,-22.4,-21.7,-22,-20.6,-23.5,-27.1,-25.4,-18.4,-28.4,-14.5,-18.5,-23.8,-30.2,-18.8,-23.2,-25,-30.2
2040,-23.2,-38.4,-23.6,-22.6,-20.3,-20.3,-22.9,-24.4,-26.4,-24.8,-22.8,-29.1,-15.8,-21,-29.5,-29,-20.6,-24.7,-28.9,-38.4
2041,-25.3,-37.8,-22.6,-24.7,-23.7,-20.1,-22.6,-24.7,-30.3,-21.5,-18.9,-28,-16.1,-19.8,-25.8,-32.5,-21.1,-24.5,-28.8,-37.8
2042,-21.9,-41.4,-21.7,-26.2,-22.6,-21.2,-22.4,-22.8,-27.2,-23,-18.4,-31.7,-14.5,-25,-29.6,-29.8,-25.4,-26.9,-24.3,-41.4
2043,-22.4,-33.2,-21.7,-23.4,-23.8,-21.5,-20.5,-23.3,-28.6,-23.7,-20.7,-27.5,-12.7,-20.6,-23.5,-29.3,-20.3,-27.6,-28.2,-33.2
2044,-23.4,-27.6,-20.9,-24.4,-21.9,-20.7,-23.8,-20.9,-26.9,-27.8,-21.3,-29.1,-22.2,-20.3,-25.9,-33.2,-13.4,-24.3,-28.4,-33.2
2045,-25.1,-35.2,-21.3,-24.6,-19.2,-20.7,-22.8,-23.6,-29.8,-25,-18.9,-27.5,-17.8,-18.7,-23,-35.5,-15.3,-25.8,-26.6,-35.5
