"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,170.5,98.1,152.5,145.9,207.6,197.6,NA,185.5,166.3,133.3,197.9,163.4,226.1,218.7,155.8,130.2,225.6,169.3,145.5,98.1
1851,161.4,79.6,156.4,169.3,189.9,222.3,204.4,177.3,146.6,156.9,210.2,158.4,233.3,212,166,136.9,209.3,163.5,148.2,79.6
1852,168,80.7,159,171.7,197.4,205.9,196.7,180.7,160.5,158.6,215.3,177.3,230.9,207.2,173.7,133.6,207.3,165.2,137.3,80.7
1853,180.1,98.2,131.5,174.6,203.8,213.6,190.3,202.4,165.3,170.7,189.4,151.7,233.6,192.2,181.1,133.3,225.1,179,158.7,98.2
1854,179.7,90.5,165.1,169.4,201.2,209.6,187.2,168.7,163.4,147.1,190.5,159.3,242,183.1,167.5,131.3,191,161.8,166.3,90.5
1855,173.1,98.5,158.1,163.5,204.8,209.1,192.4,168.8,174,148.6,187,163.5,252,186.9,173.2,139.3,203,183.7,151.1,98.5
1856,169.7,89.1,163,153.2,194.2,215.4,170.1,198.7,155.7,155.6,215.9,164.7,254.7,212.8,169.7,137,227.2,159.4,149.2,89.1
1857,176.4,80.7,151,161.8,214.6,208.1,190,193.3,166.6,151.9,212.2,161.9,240.5,210.3,167.8,155.7,206.5,176.4,146.9,80.7
1858,178,76.5,157.3,157,202,200.1,185.4,184.8,155.3,183.5,182.3,172,219.6,188.1,171.4,144.6,227.8,178.8,155.7,76.5
1859,157.8,75.6,128.4,163.5,197.1,208.3,176.3,190.1,156.8,166.4,194.2,174.1,249.4,216,176.1,132.2,210.6,178.7,159,75.6
1860,180.1,72.2,171.6,178.5,188.9,211.1,188.3,181.4,152.2,164.4,199.2,164.3,267.2,198.6,164.4,133.1,227,180.5,159.1,72.2
1861,175.9,98.9,147.4,155.3,190.6,211.1,192.5,176.8,163.9,168,203.7,167.6,245.2,204.5,160,148.7,220.7,174.5,155.4,98.9
1862,172.7,111.4,133.5,157.3,193.2,213.3,200.4,177.5,160.4,164.5,194.3,173.6,244.3,200.2,171.6,136.5,219.4,178,141.5,111.4
1863,175.9,90.1,152.5,171.8,194.5,203,185.8,186.6,167.1,160.2,199.1,167.1,254.2,203.8,173.9,146.7,215.6,165.4,149.2,90.1
1864,170.1,87.2,161.7,160.4,193.8,208.9,186.6,194.8,163.4,159.9,189.3,156.9,256.6,196.3,167.9,135.8,224.3,155.2,150.3,87.2
1865,155.2,82.9,145.4,151.8,205.2,219.8,195.1,195.5,158.9,172,191,169.4,247.1,201.9,143.3,144.9,230.5,173.6,140.5,82.9
1866,167.3,96,145.3,168.3,194.4,221.1,166.1,184.8,160.1,166.1,210.7,168.8,240.8,204.6,167.6,134,206.2,169.7,158.6,96
1867,158,95.7,139.3,160.1,194.1,222,181.8,196.2,158.5,155.3,194,164.9,239.4,202.6,162.9,131.6,190.2,176.6,131,95.7
1868,170.3,85.6,142.9,168.4,199.9,221.6,203.3,190.2,151.4,136.6,213.5,168.7,229.5,219,178.1,146.4,208.2,164.7,160.8,85.6
1869,170,116.7,151.3,154.2,198.1,226.9,193.6,182,169.2,159.4,213.1,172.4,241.1,225.1,161.7,136,230.1,178.1,145.4,116.7
1870,178.2,98.6,147.6,179.6,195.8,204.5,182.5,183.3,157.4,169.4,185.5,168.9,233.4,209.6,179.4,146.2,204.7,177,152.2,98.6
1871,157.6,91.1,148.9,165.8,205.6,213.5,207,179.1,155.3,157.5,200.1,168.3,255.9,185.7,166.8,148.5,206.5,186.4,150.9,91.1
1872,164.7,85,155.9,180.5,190.2,210.2,192,192.3,154,151.5,196.4,180.8,237.1,217.3,168.1,150.3,223,181.9,165.3,85
1873,174.6,84.3,150.7,173.9,198.7,222,189,167.6,176.9,156.4,197.1,154.4,232.3,218.4,169.9,139,198.2,188.1,155.8,84.3
1874,172.2,92.4,152.6,167.8,207.6,201.9,172.7,186.3,157.8,166.9,186.7,171.3,231.7,199.8,174,142.3,214.4,180.5,149.6,92.4
1875,171.6,89.7,147.4,162.8,187.3,203.7,186.8,183,159.4,161,190,172.9,233.2,203,166.1,139.3,208.7,184.2,147,89.7
1876,172.3,97.9,169.3,170.8,205,208.5,193.2,179.3,166.2,157.5,174.7,146.1,223.4,209.6,172.2,145.1,208.4,160.8,143.7,97.9
1877,146.5,79.9,152.2,148.7,199,201.8,204.1,182.3,158.6,181.2,178.2,168.2,234.6,211.6,183.8,133.6,227.7,162.9,157.2,79.9
1878,174.3,96.8,148.4,164.4,187,205.9,196.1,185.6,162.7,165.6,192.6,157.1,220.5,199.2,179.7,152.4,209.3,178.5,155.8,96.8
1879,166,71.2,156.5,181.9,206.5,208.1,181.7,194.1,147.6,168.7,189.4,168.4,256.1,207,164.9,135.3,201,177.5,135.4,71.2
1880,179.3,105.6,153.4,171.7,207,210.7,208.6,178.6,172.8,156.6,198,159.3,259.6,206.4,172.5,136.7,232.5,179,149,105.6
1881,169.1,93.2,168.5,177.4,198.2,201.8,188.5,192,155.5,161.3,179.8,167.4,257.6,201.8,174.6,141,197.5,173,133.5,93.2
1882,174.2,80.5,151.1,169.4,192.9,213.5,189.3,186.2,168.8,160.2,193.9,174,234.2,210.9,175.9,133.8,216.9,182.3,154.8,80.5
1883,167.4,78.2,134.4,160.3,202.6,207.6,196.6,189.4,164.9,151.8,195.1,169.6,222.4,195.8,177.4,129.8,213.2,178.6,146.7,78.2
1884,174.6,89.7,119.3,149.9,194.8,212.7,189.5,185.4,150.9,164.6,195.4,171.1,249.1,217.1,168.3,129.3,220,155.7,143.4,89.7
1885,144.8,74.5,142.5,165.2,195.2,218.5,170.6,189,133,162.1,172.7,164.3,239,216.8,155.3,125.2,216.6,179.8,151.3,74.5
1886,153.7,80.5,159.4,170.9,192.6,197.9,170,181.2,155.9,155.5,202.1,166.5,235.2,185.5,153.9,133.4,208,184.4,148.7,80.5
1887,160.1,96.8,159.5,160.7,193.8,198.1,188.4,185.2,158.9,159.5,185.4,167.1,234.2,194.8,162.8,150.8,212.9,182.4,148.7,96.8
1888,173.2,94.9,164.6,171.9,199,188,187.6,166.9,155,150,175.9,159.8,250.3,201.4,157.5,138.3,205.8,181.7,162.3,94.9
1889,149,101.8,138.1,159.8,183.9,201.1,200.7,191.6,155.6,154.5,206.3,166.7,239.4,209.2,171.5,152.3,220.5,188,155.7,101.8
1890,165.9,93.1,149.1,151.6,194.1,198.6,198.4,197.1,141,168.6,209,172.7,213.7,196.6,174.9,151.3,221.3,170.8,144.6,93.1
1891,158.6,83.5,140.9,156.5,200,203.5,190.5,187.3,165.1,132.2,191,158.6,233.9,212.6,168.9,139.9,222.8,159.7,149.8,83.5
1892,151.8,117.2,150.8,163.3,202.9,194.5,189.7,189.2,151,166.9,179.5,156.1,230.5,202.1,151.9,133.7,197.7,171.3,150.6,117.2
1893,154.6,96.5,165.6,173,184.1,210.6,193.3,207.9,163.5,170.3,205,168.1,237.6,211.2,165.4,138.6,210.2,177.2,144.9,96.5
1894,160.6,82,165.1,173.8,201.4,205,168.8,183.9,157.5,143.2,198.7,173.4,236.6,205.4,165.9,137.4,202.9,169.4,139.4,82
1895,162.5,92.4,151.7,172.7,202.9,210,190.8,178.9,144.6,162.7,187.6,176.5,219.3,197,174.1,148.7,214.9,173.6,170.4,92.4
1896,159.9,91.2,161.6,172.5,200.8,207,181,186.6,175.4,178.1,198,171.7,258.5,208.4,167.6,139.4,218.8,170.1,142.6,91.2
1897,184.4,102.9,139.9,168.5,205,208.1,179.4,193.1,161.5,179.5,175.3,152,260.6,204.1,167.4,128,211.3,180.8,157.6,102.9
