"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,0.1,0,0.2,0,0.1,0.2,NA,1.1,0,0.1,0.4,0,0.8,0.1,0,0,9.3,0,0,0
1851,0,0,0,0,0.3,5.6,0.8,0.8,0,0,0.1,0,5.2,0,0,0,1.1,0,0,0
1852,0.1,0,0,0,0.4,0.7,0.9,0.3,0,0,0.1,0,0.4,0,0,0,3.2,0.1,0,0
1853,0.1,0,0.4,0,1.7,3.2,0.3,3.1,0,0.1,0.6,0,1.7,0,0,0,6.5,0,0,0
1854,0.1,0,0,0.4,0.6,3.5,0.3,0.2,0,0,0,0,5.4,0.1,0,0,4,0,0,0
1855,0,0,0,0,0.1,0.6,0.2,0.4,0,0,0.1,0,11,0.1,0,0,0.9,0,0,0
1856,0.1,0,0.2,0,0.1,2,0.5,0.2,0,0,0.3,0,6.5,0.6,0,0,0.4,0,0,0
1857,0,0,0.1,0,1.3,1,0.6,0.3,0,0,0,0,1.9,0.1,0,0,0.2,0,0,0
1858,0,0,0.6,0.1,1.2,0.7,0.9,0,0,0,0.2,0,4.2,0,0,0,3.4,0,0,0
1859,0.1,0,0,0.1,1.4,0.1,0.4,3.2,0,0,0,0,2.7,0.2,0,0,4.9,0,0,0
1860,0,0,0.1,0.1,0.3,4.2,0,0.1,0,0,0,0,24.2,0,0,0,1,0,0,0
1861,0.1,0,0.1,0,2.1,1.4,0.1,0.1,0,0,0,0,1.7,0.1,0,0,0.5,0,0,0
1862,0,0,0,0,0.2,0.3,0.4,0.1,0,0,0,0,8.5,0,0.1,0,3.1,0,0,0
1863,0,0,0.3,0,0.3,1.3,0.8,0.4,0,0,0.9,0,7.9,0.1,0,0,1.9,0,0,0
1864,0.1,0,0.5,0,0.7,3.1,1.1,0.2,0,0,0.3,0,1.7,0,0,0,3.3,0,0,0
1865,0,0,0.2,0,4,2.1,2.3,0.1,0,0,0,0,5.9,0.1,0,0,0.8,0,0,0
1866,0,0,0,0,1.5,3.8,0.1,0,0,0,0.6,0,9.3,0.1,0,0,0,0,0,0
1867,0,0,0.2,0,0.6,3.1,0.2,1.6,0,0,0,0,5.2,0.1,0,0,0.4,0,0,0
1868,0.1,0,0.6,0.5,0.5,5.5,0.4,0.1,0,0,0,0,7.9,0.4,0,0,6.6,0,0,0
1869,0,0,0.7,0,0.2,6.2,0.3,0.9,0,0.1,0.1,0,1.2,0,0,0,1.3,0,0,0
1870,0.1,0,0.1,0,0.3,1.5,0.9,0.6,0,0.1,0.2,0,7.7,1.8,0,0,3.2,0,0,0
1871,0,0,0,0.2,1.5,1.2,1.4,0.3,0,0,0,0,8.1,0.1,0,0,2.4,0,0,0
1872,0.1,0,0.3,0,0.5,3.2,0.1,0.7,0,0,0,0,3.9,0.9,0,0,2.2,0,0,0
1873,0.1,0,0.1,0,0.6,0.7,1.4,0.4,0.1,0,1.1,0,1.7,0,0,0,0.2,0,0,0
1874,0.1,0,0,0,0.9,0.2,1.4,0.9,0,0,0.3,0,0.8,0.1,0,0,1.8,0,0,0
1875,0,0,0.6,0,0.3,0,1.7,2.4,0,0,0,0,8.9,0.2,0,0,1.2,0,0,0
1876,0,0,0.1,0.1,5.6,1,1.2,1,0,0,0.2,0,1.7,0.3,0,0,6.4,0,0,0
1877,0,0,0.2,0,0.4,0.5,5.5,2,0,0.1,0,0,5.4,0.2,0,0,7.6,0,0,0
1878,0,0,0,0,0.6,2.2,2,0,0,0,0.1,0,0.2,0.2,0,0,2.3,0,0,0
1879,0,0,0.1,0,1,1.7,0.8,0.9,0,0,0,0,3.6,0.1,0,0,0.1,0.1,0,0
1880,0,0,0.1,0.3,0.1,2.3,0.5,0.1,0,0,0.1,0,2.9,0,0,0,7,0,0,0
1881,0,0,0.3,0,0.8,0.3,0.6,2.2,0,0,0.1,0,6.8,0.9,0,0,1.8,0,0,0
1882,0,0,0,0,0.3,0.2,0.1,0.3,0.1,0,0,0,3.5,0.1,0,0,2.4,0,0,0
1883,0,0,0,0,0.3,0.2,0.1,1,0,0,0.1,0,12.2,0.6,0,0,1,0,0,0
1884,0.1,0,0.5,0,0.1,0.5,0.6,0.1,0,0,0,0,4.1,0.2,0,0,8,0,0,0
1885,0.1,0,0.2,0.3,0.6,0.8,0,0.1,0,0,0.5,0,6.3,0.4,0,0,2.2,0,0,0
1886,0.1,0,1.1,0,0.6,0.4,0.8,0.1,0,0,0.3,0,6.3,0.1,0,0,3.5,0,0,0
1887,0.1,0,0.1,0,1,0.6,0.5,0.1,0,0,0,0,2,0,0,0,0.4,0,0,0
1888,0.1,0,0,0,2.1,2.9,1.1,0.1,0.1,0,0.6,0,1.8,0,0,0,0.3,0,0,0
1889,0.1,0,0.1,0.1,0.3,0.2,1.8,0.5,0,0,0.8,0,5.1,0.2,0,0,1.1,0,0,0
1890,0.1,0,0.3,0,1.2,2,0.1,0.2,0,0,0.4,0,0.6,0,0.2,0,2.5,0,0,0
1891,0,0,0.1,0,0.2,4.1,0.1,0.6,0,0,0,0,3.8,0,0,0,0.2,0,0,0
1892,0.1,0,0.9,0.3,0.3,0.2,1.2,0.2,0,0,0,0,5.4,0.3,0,0,0.6,0,0,0
1893,0,0,0.5,0.1,0.3,4.5,0.6,0.5,0,0,0,0,6.5,0,0,0,6.8,0,0,0
1894,0,0,0,0,0.7,0.5,0.4,0.3,0,0,0,0,6.2,0.6,0,0,2.6,0,0,0
1895,0,0,0.4,0.2,1.3,6.3,0.2,2.7,0,0,0,0,2.3,0.4,0,0,0.7,0,0,0
1896,0,0,1.5,0,0.3,1,0.1,0.2,0,0,0.2,0,5.3,0.2,0,0,5,0,0,0
1897,0,0,0.7,0.1,0.3,6.1,0.2,1.1,0,0,0.1,0,8.2,0.2,0,0,1.1,0,0,0
1898,0,0,0,0,1,0.7,0.4,0.2,0,0,0.1,0,0.8,0.6,0.1,0,4,0,0,0
1899,0,0,0,0,0,1,2,0.7,0,0,0,0,0.4,0,0,0,6,0,0,0
1900,0.1,0,0.1,0,0.5,2.1,0.4,3.4,0,0,0.8,0,17.2,0.2,0.1,0,0.7,0,0,0
1901,0.1,0,0,0,0.5,8,0.7,0.5,0,0,0.1,0,22.6,0.2,0,0,0,0,0,0
1902,0,0,0.3,0,0.5,0.2,2.4,0.8,0,0,0.1,0,4.5,0,0,0,1.4,0,0,0
1903,0,0,0.3,0,1.4,2,0.7,0.5,0,0,0,0,5.2,0.2,0,0,2.2,0,0,0
1904,0.1,0,0,0,1.1,1,0.6,0.4,0,0,0,0,4.8,0.3,0,0,0,0,0,0
1905,0,0,1.3,0,0.6,3.4,0.3,1.7,0,0,0,0,1.9,0,0,0,9.7,0,0,0
1906,0,0,0,0,1.5,3.5,0.2,0.3,0,0,0,0,1.1,0,0,0,12,0,0,0
1907,0,0,0,0,0.2,1.6,0.6,0,0,0,0,0,9,0.1,0,0,8.7,0,0,0
1908,0.1,0,0,0.1,2.5,2.4,0.2,0.1,0,0.1,0.7,0,1.1,0.3,0,0,0.9,0,0,0
1909,0.1,0,0.2,0,0.4,0.6,1.2,1.7,0,0,0.1,0,5.6,0.1,0,0,5.8,0,0,0
1910,0,0,0.2,0,0.3,0.3,0.2,1.1,0,0,0.3,0,3,0.2,0.1,0,3.5,0,0,0
1911,0.1,0,0.6,0.1,0.6,3,2,2,0,0,0.3,0,0.2,0.2,0,0,1,0.1,0,0
1912,0,0,0.1,0,0.2,0.4,0.6,0.1,0,0,0.1,0,5.7,0,0,0,1.3,0,0,0
1913,0.1,0,0,0,2.3,0.9,2.5,0.4,0,0,0.2,0,5.2,0.2,0,0,2.1,0,0,0
1914,0,0,0.4,0.1,1,1.4,3.6,0.5,0,0,0,0,1.5,0.8,0,0,0.3,0,0,0
1915,0.2,0,0.3,0,3.1,0.2,0.9,1.1,0,0,0.1,0,1.4,0.1,0,0,2.1,0,0,0
1916,0.1,0,0.7,0,0.7,4,1.4,0,0,0,0.2,0,26.6,0,0,0,10.2,0,0,0
1917,0,0,0,0.1,0.1,1.8,2.1,2.2,0,0,0.5,0,13.4,0,0,0,0.9,0,0,0
1918,0,0,0.1,0,1.3,6.9,1.1,0.3,0,0,0.2,0,0.7,0.1,0,0,2.6,0,0,0
1919,0,0,0.3,0,0.7,0.2,0.8,0.4,0,0,0,0,15.7,0,0,0,3,0,0,0
1920,0,0,0.2,0,0,2.4,2.1,0.7,0,0.1,0.3,0.2,2.3,0.4,0,0,3.2,0.1,0,0
1921,0,0,0,0,0.4,0.5,0.1,0.8,0,0,0,0,2.1,0.1,0,0,4.2,0,0,0
1922,0.1,0,0.1,0.1,1.1,0.2,0.1,5.7,0.1,0,0.1,0,7.8,0,0,0,0.2,0,0,0
1923,0,0,0.2,0,0.4,4.1,0.4,0.1,0,0,0.9,0,1,0.2,0,0,14.8,0,0,0
1924,0,0,0.2,0.1,0.2,2.1,0.8,0.6,0,0,0.4,0,0.1,0.1,0,0,11.7,0,0,0
1925,0.1,0,0,0,0.2,2.8,0.3,3.2,0,0,1.1,0,11.6,0.1,0,0,5,0,0,0
1926,0.2,0,0.1,0,1.6,2.1,1,1.8,0,0,0,0,10.7,0.2,0,0,2,0,0,0
1927,0,0,0.1,0,0.4,2.1,0.7,0.3,0,0,0,0,4.1,0.2,0,0,1.1,0,0,0
1928,0,0,0.6,0.1,0.4,1.7,1.2,7.3,0,0,0,0,0.5,0.3,0,0,4.8,0,0,0
1929,0.2,0,0.5,0.1,0.9,2.4,0.4,2.1,0,0,0.5,0,16.1,0.1,0,0,0,0,0,0
1930,0.2,0,0.3,0,3.5,6.5,2.3,0.6,0,0,0.1,0,4.7,0.2,0,0,1.5,0,0,0
1931,0,0,0.5,0,0.5,0.3,0.2,1.3,0,0,0.4,0,5.8,0.1,0,0,7.2,0,0,0
1932,0,0,1.8,0,1.5,4.3,1.1,1,0,0,0,0,1.3,0,0,0,2.3,0,0,0
1933,0.1,0,0.2,0,2.7,0,0.7,3.4,0,0,0,0,5.7,0.1,0,0,0.5,0.1,0,0
1934,0.1,0,0.3,0,1.3,7.8,2.1,1.4,0,0,0,0,8.1,1,0,0,0.4,0,0,0
1935,0,0,0.8,0.1,0,1.5,0.4,1.1,0,0,0.5,0,8.1,0,0,0,5.4,0,0,0
1936,0,0,0.2,0,0.9,2.5,1.8,2.1,0,0,0.6,0,1.7,0.2,0,0,0.5,0,0,0
