"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,247.3,390.7,509.4,191.2,261.9,142.5,508.7,613.7,284.2,NA,124.8,149.4,202.4,275.8,227.8,226.3,301.2,NA,196.9,124.8
2016,219.3,364.3,336.1,169.4,313.6,234.6,287.5,220.7,325.3,NA,80.5,164.4,389.5,182.3,305.9,251.7,331.1,NA,298.6,80.5
2017,285.1,388.5,600.4,193,204.6,231.1,420.8,289.8,327,NA,134.9,117.9,88,215.5,267.7,168.1,258.3,NA,417.3,88
2018,138.4,542.1,426.8,157.5,173.9,172.1,318.3,441.9,246.9,NA,147.9,186.7,257.1,234.1,207.9,289.9,251.1,NA,207.5,138.4
2019,199.2,653.9,388.9,186,134.5,306.9,112.5,248.7,336.3,NA,90,153.1,309.5,282.2,248,272.4,320.6,NA,445.3,90
2020,209.5,512,394.1,129.6,180.9,204.1,252.2,262.5,282.4,NA,59.8,165.6,126.6,153.9,219.4,184.2,490,NA,310.7,59.8
2021,422.6,617.4,370.9,158.8,179.8,412.3,339.7,350.8,236.8,NA,76.8,230.3,172.9,201.1,235.7,85,296.2,NA,340.2,76.8
2022,199.3,384.5,339.7,128.1,350.4,193.8,372.3,358.5,331.8,NA,138,339.8,270.9,262.6,230.9,162.3,289.5,NA,168.4,128.1
2023,186.2,561.4,456.2,250.7,197.9,308.8,236.7,407.1,210.9,NA,87.9,279,271.7,129.9,204.9,285.6,230.7,NA,151.3,87.9
2024,336.9,763.9,345.4,79.1,302.5,288.9,459.2,301.7,204.3,NA,141.1,126.7,367.4,241.4,353.2,162.6,369.8,NA,421.4,79.1
2025,100.2,404.3,497.5,231.8,292.5,307.6,238.6,420.4,226.1,NA,133.7,143.9,229.4,246.1,201.7,291.7,361.2,NA,314.5,100.2
2026,169.3,445.9,379.3,188.1,186.1,293.5,373.4,677.3,260.7,NA,119.3,117,211.9,167,106,237,245.4,NA,148.8,106
2027,278,695.5,329.2,220.6,228.5,93.7,312.9,423.4,294.4,NA,111.1,202.9,272.9,238.3,243,99.5,395.6,NA,372.4,93.7
2028,306.7,599.7,271.1,216.3,245,143.9,159.8,596.4,314.3,NA,126.2,113.5,268.1,222.4,348.7,254.7,243.1,NA,329.3,113.5
2029,227.8,600,310.4,185.6,101,312.8,226.5,570.7,400.4,NA,136.6,221.1,198.7,250.3,234,226.5,194.5,NA,457.9,101
2030,346.3,584.5,333.7,195.3,242.7,245.6,296.7,535.2,178.8,NA,145.6,167.2,265,193.9,181.2,259.8,218.7,NA,330.3,145.6
2031,127.4,613.7,405,115.6,261.7,326.4,316.3,450.9,296.8,NA,160.7,158.8,169.2,162,169.7,242.6,344.9,NA,247.8,115.6
2032,228.7,605.5,400.3,195.4,277.2,279.4,331.3,420.7,213.6,NA,102.7,134.4,301.7,213.9,373.3,246.4,384.7,NA,273.2,102.7
2033,272.2,759,402,82.8,187.5,150.1,154.9,230.3,335.1,NA,132.2,135,207.9,189.9,214.7,191.2,417.4,NA,160,82.8
2034,304.6,492.3,305.1,204.6,116.8,407.1,191.7,265.3,278.7,NA,92.9,216.9,227.7,371.7,205.7,140.4,425.1,NA,485.1,92.9
2035,332.4,594.2,205.3,179,63.9,313.4,225.4,403.9,274.2,NA,73.3,133.3,189.9,240.8,202.3,258,350,NA,255.2,63.9
2036,237,429,267.4,236.3,285.6,319.6,316.5,377.1,264.3,NA,128.8,183.9,196.7,135.2,332.2,180.2,508.9,NA,144.7,128.8
2037,292.2,390.2,426.1,136.2,295.9,293.5,251.2,481.6,295.9,NA,91.2,222.8,312,175.1,121.9,238.4,197.8,NA,162.1,91.2
2038,300.3,465.4,485.9,208.5,156.3,312.5,357.4,582.7,328,NA,81.3,141,168.1,217.8,244.2,147.8,326.2,NA,407.9,81.3
2039,116.9,637.9,232.9,203.4,126.3,323,118.9,547.2,267.9,NA,140.1,191.9,259,237.5,305.9,214.2,285.4,NA,83.2,83.2
2040,340.2,541.4,368.7,132.5,334,159.5,304.5,472.8,114.7,NA,96.3,234.5,160.4,312.1,309.1,177.4,127.6,NA,317.3,96.3
2041,218.7,660.3,451,210.8,107.5,227.7,360.8,604.8,319.7,NA,193.6,210.9,162.4,323.6,295.5,233.1,414.2,NA,248.4,107.5
2042,328.8,686,562.1,238.1,337.9,179.4,427.5,617.2,318.6,NA,131.8,159.7,317.5,171,193.2,204.3,381.3,NA,244.9,131.8
2043,289.2,522.3,465.3,219.1,260.7,320.3,258.8,358.7,266.4,NA,134,189.1,291.2,207.8,260.3,210,279.4,NA,361.2,134
2044,267.2,468,463,152.8,77.9,122.4,211.2,232.3,334.9,NA,159.1,121.9,277.9,227.2,228.9,217,313.4,NA,334.6,77.9
2045,299.2,448.5,400.2,171.7,215.4,168.6,176.4,752.8,412.4,NA,110.9,169.7,204.9,212.3,263.4,160.7,215.4,NA,145.6,110.9
2046,292.1,597.4,456.6,185.8,169.1,302.1,288,447,197.7,NA,110.9,180,202.2,160.4,247.3,191.5,189.1,NA,205.8,110.9
2047,371.3,693.2,740.9,258.6,295.5,171.3,178.4,535.8,185.5,NA,118,182.7,206,262,108.2,178.5,299.3,NA,382.6,108.2
2048,282.1,617.6,358.5,137.1,143.4,202.2,446,660.9,421.2,NA,53.5,150.6,239,344.2,272.4,81.5,438,NA,286.8,53.5
2049,313.1,553.7,360.7,181.9,127.7,221.2,357.2,574.1,269.1,NA,72.3,202.5,224.4,293.6,185.8,245.6,293.8,NA,281.6,72.3
2050,222.1,704.3,430.6,176.2,209.4,80.7,397.8,277.3,263.2,NA,98,160.8,235.8,141.5,271.2,207.7,205.8,NA,187.6,80.7
2051,228.3,252.1,384.9,63,70,224.7,307.5,534.9,298.2,NA,118.1,247.1,282.7,135.2,294,140.7,198.9,NA,454.6,63
2052,418.8,418.9,277.8,104.1,106.4,140.3,293.9,179.6,307.6,NA,153.5,214.8,164.6,227,99.2,200.4,264.2,NA,353.6,99.2
2053,284.3,543.7,394.2,114.5,310.5,174.8,231.2,801,372.7,NA,162.4,111.1,200.7,278.3,224.9,144.8,361.4,NA,355,111.1
2054,227.1,523.9,716.9,207.4,263.5,186.3,444.2,510.9,297,NA,136.8,215.7,180.8,204.6,136,141.6,270.6,NA,103.7,103.7
2055,368.6,536.2,363,165.9,199.7,190.5,328.2,634.1,289.1,NA,186.5,141.3,351.1,180.5,228.2,194.5,373.9,NA,174.2,141.3
2056,277.8,583.9,546.2,228.3,414,230.1,153.2,449.5,200.7,NA,38,272.6,186,144.5,220.5,149.6,349.1,NA,596.4,38
2057,208.7,356.1,461,251.4,243.3,370.5,209.8,552.6,308.7,NA,98.1,220.8,293.4,115.8,165.9,235.2,251.3,NA,230,98.1
2058,116.3,386.2,561.3,137.6,159.1,130.5,177.9,446.8,185.9,NA,123.4,13.2,124.4,210.3,227.6,135.1,410.8,NA,437.3,13.2
2059,236.8,662,291.1,141.7,400.2,321.9,210.5,415.9,255.1,NA,164.2,101.8,319.2,198,160.8,227.4,462.7,NA,440.6,101.8
2060,137,393.9,435.1,171.8,325.5,386.8,264.9,404.5,309,NA,157.2,226.1,208.3,160.3,168.6,196,374.6,NA,286.4,137
2061,249.8,790.9,464,196.4,340.2,285.8,171.7,548,314.5,NA,106.5,171.7,317.6,273.1,173.9,180.6,241.8,NA,432.8,106.5
