"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,289.7,1450.5,223.7,130.5,347.2,151.4,340.3,284.9,165.4,834.1,222.4,307.1,151.6,273.5,531.2,211.6,228.5,444.1,263.2,130.5
2016,260.9,1469.9,346.2,190.2,348.1,132.1,161,235.6,211,617.9,108.7,326.5,342,259.6,488.9,256.3,235.2,506.1,550.3,108.7
2017,335.8,421.5,328.2,159.4,181.4,235.6,230.8,390,209.5,897.7,341.2,440.8,171.2,193.5,466.7,225.2,274.2,759,508.4,159.4
2018,282.6,1047.5,180.7,171,307.5,159.8,173.8,248.3,290.7,645.9,192.6,306.2,83.3,187.9,233.8,254.7,337.4,617.6,483.5,83.3
2019,202.9,1200.2,326.3,155.5,186.6,205.3,278.6,346.2,301.2,715.4,158.5,383.7,137.4,211.5,241.3,273.2,576.8,745.4,290.2,137.4
2020,320.2,537.2,407.4,164.7,218.9,265.6,200.6,353.6,262.6,622.2,211.8,412.4,83.6,178.2,520.2,306.8,433.3,492.3,526.3,83.6
2021,243.4,725.2,299.5,143.5,173.7,255.2,215.9,317.4,311,495.2,147.3,286.3,149.1,123.8,401.7,263.5,221.5,220.9,404,123.8
2022,384.5,973.4,310.5,108.1,237.2,231.5,202,423.1,247.5,913.7,288.5,372.8,73.1,176.1,475.6,426.5,178,509.1,517.2,73.1
2023,223.7,772.6,360.7,145.1,200.2,177.4,221.8,254,348.7,504.5,148.2,350.6,67.8,111,464.3,254.2,240.2,330.4,317.8,67.8
2024,264.7,1115.8,224.2,132.5,191.7,200.5,269.5,336.8,161.2,447.8,130.2,314,121.6,159.1,489.3,269.8,214.4,409.1,662.2,121.6
2025,279.2,540.7,390.8,146.8,249.8,289.3,186.8,207.2,189.5,636.9,130.1,257.1,189.3,186.1,456.3,260,222,548.4,289,130.1
2026,328.2,615.8,350.8,119.6,194.4,153.3,171.9,277,150.4,670.7,306.5,347.8,230.1,188.4,319,352.6,454.1,517.5,399.8,119.6
2027,269,1378.3,218.3,118.5,206.7,178.3,166.9,241.5,286.3,615.2,261.8,201.7,101.1,214.3,517.2,368.7,250.8,176.5,445.9,101.1
2028,269.9,1322.3,393.6,142.6,265.7,281.9,230.6,324.3,246.1,496.1,87.5,427.8,100.8,146.4,446.7,417.3,130.9,342.9,453.9,87.5
2029,253.4,389.9,496.4,98.5,297.8,194.8,135.4,215.1,228,707.9,330.8,293.4,179.5,128.2,316.7,387.4,251.8,450.7,251.9,98.5
2030,261.1,1478.7,93.2,120.8,157.1,180.9,175,346,240.6,522.7,225.5,380.9,307.6,153.6,259.6,310,277.2,667.6,302.3,93.2
2031,237.3,1143.3,283.2,204.9,220.3,192.4,109.7,310.5,292.6,407.3,143.2,434.4,209.8,143.2,222.4,175.3,253.4,414.5,333.5,109.7
2032,250,302.3,397.7,131.9,213.5,210,163.1,215.8,235.8,458.7,214.3,379.2,175.9,208.2,464.3,355.3,325.4,382.6,301.1,131.9
2033,296.4,1253.5,415.2,132.7,212.7,135.1,154.2,330.8,209.3,683.7,361.8,332.1,98.8,160.3,364.7,270,240.8,423.1,332.9,98.8
2034,211.1,1384.5,452.8,113.3,119.8,209.3,235.8,282.7,245.5,259.1,257.4,272.4,218.9,270.5,285.5,342.5,417.5,509.1,269.3,113.3
2035,246.1,484.6,202.1,158.2,179.5,260.1,226.1,237.5,100.4,314.9,206.8,254,202,121.6,446.6,380.2,259,486.4,362.1,100.4
2036,203.9,1001,285.1,152.1,237.1,187.7,236.3,203.1,226.8,534.1,319.6,224.2,147.8,185.8,573.7,193.3,207.2,554.8,446.2,147.8
2037,265.5,457.9,182.3,127.8,230.6,166.4,160.6,176.9,263.3,700.5,351.3,248.2,101.5,153.7,580.1,364.5,164.5,468.7,235.4,101.5
2038,162.1,1014.6,261.6,99.1,220.9,140.4,247.5,279.3,272.5,555,311.1,222.4,148.5,157.4,347.6,400.3,271.5,412.3,272.1,99.1
2039,187.5,719.7,229.8,139.9,265.3,204.3,217.7,298.7,207.2,497,224.4,270.1,52.1,71.3,297.3,314,290.1,380.5,419.6,52.1
2040,280.5,917.3,318.3,135.4,128.4,151,132.3,395.5,220.2,289.1,240.6,266.6,163.2,156.6,479.4,309.5,337.2,490.7,178.8,128.4
