"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,140.2,325.9,343.1,70.4,95.4,85.1,278.8,389.1,149.8,NA,91.9,90,103.8,108.7,122.3,129,134.8,NA,76.1,70.4
2016,148.2,233.1,283.8,105.6,209.2,14.8,167,181.9,113.6,NA,35.7,38.3,215.9,93.4,232.1,89.6,214.4,NA,204.2,14.8
2017,148.1,145.4,294.4,68.6,108.2,99.5,253,222.7,137.7,NA,89.2,78.3,59.3,178.8,65.5,89.6,115.7,NA,243.1,59.3
2018,71.8,230.2,304.3,101.3,50,72.2,121.3,296.5,122.7,NA,73.5,47.4,153.4,175.2,73.4,64.5,63.8,NA,132.9,47.4
2019,138.8,503.5,139.2,80.9,26.1,129.5,76.5,192.7,167.8,NA,54,105.9,235.1,174.1,139.7,152,145.7,NA,282.3,26.1
2020,148.5,363.2,363.1,87.6,72.5,142,94.1,124.2,116.7,NA,35.2,91.7,84.6,100.4,105.4,31.9,302.9,NA,261.8,31.9
2021,236.7,462,176.2,88.2,74.2,200.6,188,154,130,NA,24.7,108,116.1,118,25.6,19.7,202.6,NA,261.2,19.7
2022,131.6,281.2,102.2,90.6,122.8,118.1,178.5,281.3,148.9,NA,95.4,84.9,215.9,134.9,125.8,84.5,137.2,NA,104.1,84.5
2023,102,332.9,243.4,150.6,89.8,239.9,139.3,119.3,94.4,NA,27.1,84.3,208.2,73.6,82.8,133,155.9,NA,13.5,13.5
2024,134,339,144.1,33.6,141.1,152.4,220.2,193.8,88.9,NA,98.3,91.8,285,112,136.7,66.3,149.2,NA,274.6,33.6
2025,59.3,147.3,196.5,146.9,49.7,84.8,60.3,240.9,100.5,NA,88.3,59,157.3,170.2,108,100.5,243.7,NA,145.7,49.7
2026,90.3,263.5,277.5,109.3,54.6,113,173,520.3,175.2,NA,78.3,18.8,155.7,90.2,28,25.3,111.3,NA,108.1,18.8
2027,215.4,633.7,251,149.7,127.5,76.2,36.1,297.9,172,NA,93.4,108,176.9,170.2,154.5,64,217.1,NA,69.8,36.1
2028,171.4,310,101.9,154.2,92.5,101.3,107.4,455.9,111,NA,82,54.3,226.4,155.9,166.9,26.3,99,NA,135.3,26.3
2029,188.3,230.3,232.2,126.3,17.8,183.6,29.9,338.2,199.2,NA,78.9,39.9,109.7,116.5,85.3,67.2,162.2,NA,229.5,17.8
2030,242.9,305.8,108.6,111,86.1,103.5,35.4,389.1,104,NA,112.4,81.6,144.8,125.6,64.8,61.2,86.3,NA,112.3,35.4
2031,106.9,405.8,254,49.6,31.7,134,168.5,259.5,35,NA,104.6,72.2,75.1,92.3,63.8,48.3,241.6,NA,179.7,31.7
2032,114.5,274,204.8,125.4,205.8,146.8,162.3,329.2,113.2,NA,34,123.2,183.5,138.5,29.8,82.2,160,NA,134.1,29.8
2033,201.5,376,239.5,23.2,128.4,37.5,118.9,184.3,220.7,NA,110.2,95.4,106,100.6,84.1,99.8,346.3,NA,42,23.2
2034,171.3,108.3,200.3,137.4,66.7,251.3,58.1,206,135.8,NA,52.8,43.9,160.2,227,89.5,54.1,233.9,NA,229.3,43.9
2035,222,325.4,130.8,89,20.3,245.2,146.4,58.7,176.4,NA,47.6,95.2,88.7,179.4,42.6,41,165.5,NA,93.3,20.3
2036,149.5,180.9,186.4,116.7,55,279.5,205.6,205.5,108.1,NA,60.9,78.6,147.4,82.5,160.6,116.2,209.3,NA,46.9,46.9
2037,186.2,260.6,335.8,72.6,93.8,235.3,108.4,338.9,50.8,NA,66.6,105.1,135,84.8,64,128,145.8,NA,40.5,40.5
2038,151.8,444.5,304.2,98.2,84.7,222.6,113.6,308.4,108.6,NA,27.3,69.4,130.2,119.1,114.9,109.1,171.3,NA,259,27.3
2039,65.4,240.9,170.9,158.9,96.3,149.4,63.6,326.4,119.3,NA,109.7,75.7,144.5,150.5,111.5,48.3,234,NA,22.6,22.6
2040,190.2,176.3,259,78.6,182.9,131.1,146.1,258.6,51.9,NA,49.3,68.3,72.4,152.5,210.2,91.6,106.8,NA,125.3,49.3
2041,210.9,514.7,296.8,167.6,79,190.4,109.3,346.8,66.5,NA,113.8,85.4,108.9,212.2,150.6,102.4,200.1,NA,105.5,66.5
2042,190.9,348.8,419.1,166.1,140.7,158.3,208.9,399.9,153.6,NA,103.7,79.8,114.5,118.4,74.2,139.8,152.5,NA,120,74.2
2043,114.1,380.9,290.7,157.7,143.5,67,144.8,183.5,122.7,NA,103.6,59.9,214.9,170,94.6,87.6,122.8,NA,192.4,59.9
2044,120,496.6,215.8,122.6,40,84.2,174.2,134.4,145.9,NA,91.6,73.8,152,61.6,40.9,54.6,109.2,NA,249.3,40
2045,161.8,250.1,194.9,122.7,86,104.5,29.9,533.4,152,NA,55.2,69.1,117.4,169.6,66.3,70.6,119.3,NA,70.4,29.9
2046,188.6,281,378.9,119.6,70.1,172.5,108,246.8,82.6,NA,53.2,88.6,81.4,90,21.7,86.4,91.7,NA,153.9,21.7
2047,255.6,307.2,552.1,177.3,161.8,70.2,99.5,327.7,118.5,NA,74.9,146.8,168.3,116.4,53.9,118.2,91.2,NA,250.3,53.9
2048,80.4,334.5,159.1,111,45.2,90.8,231,360.3,228,NA,39.9,59.3,52.8,240.5,153.6,47.5,322.3,NA,194.3,39.9
2049,123.9,291.5,280,138.7,78.5,212.2,162.8,367.2,91.8,NA,57.6,114,189.5,191.6,92.5,64,181.2,NA,247.5,57.6
2050,88.7,420.4,316.2,104.3,133.9,49.1,245,73.4,109.8,NA,70.1,63.4,203.3,86.5,133.9,88.3,135.4,NA,109.9,49.1
2051,157.4,93.3,207.1,29.1,12,65.5,215.9,494.2,190.4,NA,92.7,46.5,231.8,120.1,144.2,87.6,139.4,NA,363.2,12
2052,215.7,145.8,229.6,43.8,50.1,75.3,177.3,71.9,208.3,NA,74.9,86.2,116.8,164.6,40.9,136.5,136.8,NA,199.3,40.9
2053,217.4,323.3,229.9,102.2,199.1,153.3,167.9,527.7,146.3,NA,87.2,48.9,148.3,198.6,100.7,60.4,207,NA,197.2,48.9
2054,109,326,459.3,142.9,28.9,86.4,202.5,328.2,119.6,NA,123.9,128.7,95,184.5,62,62.7,174.7,NA,65.6,28.9
2055,230.3,403,135.2,142.6,164.7,120.5,179.8,394.7,84.9,NA,120.9,104.7,226.7,86.1,151.5,99.4,201.6,NA,138.6,84.9
2056,159.2,170,239.1,124.8,236.7,112.7,117.8,293.6,96.3,NA,26.8,164.9,113.4,97.7,194.3,44.5,176.2,NA,270.1,26.8
2057,98.6,205.2,323.2,133.9,49.4,211.7,89.9,328.7,172,NA,79.4,166,230.8,64.5,114.3,135.2,207.3,NA,156.6,49.4
2058,87.1,441.2,351.5,79.9,35.1,47.5,85.4,326.3,86.2,NA,67.6,1.9,47,157.5,118.5,110.5,240.1,NA,257.1,1.9
2059,137.2,346.6,109.7,108.2,282.9,201.1,114.5,233.7,113.3,NA,128.7,70.6,181.5,145.2,132.3,56.1,315.9,NA,144.2,56.1
2060,122.2,159.2,277.6,75.6,184.4,350.9,186.1,256.4,199.6,NA,97.5,101.6,184.9,122.1,111.8,59.6,195.4,NA,266.5,59.6
2061,69,372.2,342.9,103.2,202.2,134.3,21.4,239.5,112.8,NA,83.1,163.8,237.8,144.6,50.1,78.7,161.3,NA,312.9,21.4
2062,167.7,488,201.1,125.1,165.1,18.3,73.5,326,128.4,NA,33.6,81.9,126.2,243.3,164.7,53.7,283.7,NA,99,18.3
2063,138.4,395.1,142.3,44.9,128.5,60.3,102.2,228.7,196.1,NA,98.6,119.1,155.1,77.7,85.8,86.5,197.2,NA,256.2,44.9
2064,177.4,417.9,207.3,174.7,186.7,172.2,96.9,238.1,49.6,NA,54.1,108.4,149.9,64.5,63.9,92.7,158.1,NA,181.5,49.6
2065,133.3,229.8,264.8,41.3,0.2,150.6,64.5,247.2,224.1,NA,75.5,24,248.3,115.1,130,126.5,249.2,NA,244.3,0.2
2066,212.2,410.9,208.4,148.6,181.9,156.7,140.5,269.2,136.1,NA,25.8,41.6,167.9,120.9,146.1,60.5,148,NA,187.2,25.8
2067,180.9,353.7,203.8,106.3,92.9,83.7,259,346.3,172.1,NA,50.1,59.1,305.6,171.9,218.3,80.3,274,NA,415.3,50.1
2068,44.8,177.9,288.4,99.5,43.1,131.6,248.8,290.8,144.4,NA,122.7,78.9,201.2,217.5,104.8,89.1,177.5,NA,223.8,43.1
2069,191.5,201.2,202,91.2,258,203,224.6,444.8,68.2,NA,64.1,126.4,201.6,122.1,177.8,127.2,208.7,NA,149.2,64.1
2070,87.5,483.9,133.1,96.3,119.7,171.9,128.3,501.1,158.6,NA,165.4,7.6,174.7,66.1,119.5,38,216,NA,150,7.6
2071,141.6,79.5,118.1,93.3,194.9,52.4,208,224,219.1,NA,46.2,46,237.7,183.4,163,53.8,213.1,NA,101.8,46
2072,80,281.8,414.5,99.4,127.1,34.5,97.3,370.8,176.8,NA,54.1,46.9,151.8,142.5,150.1,140.6,261.5,NA,243.1,34.5
2073,156.7,181.4,223.8,74.3,85.9,185.8,177.4,217,162.1,NA,133.3,69.6,286.4,51.8,157.8,126.5,260.9,NA,277.4,51.8
2074,104.7,195.7,176.1,132,51.6,133.1,48.6,281.7,172.3,NA,45.1,47.1,147.1,130.5,70.7,148.4,173.1,NA,169.2,45.1
2075,105.3,67.9,283,157.1,119.1,109.5,122.4,330.8,70.4,NA,97.9,90.1,119.5,140.7,78.1,141.8,129,NA,226.2,67.9
2076,216.5,331.5,274.3,91.6,62.8,145.8,131.7,178.3,58.9,NA,62.3,194.5,138.2,181,58.1,108,240.5,NA,224.2,58.1
2077,107.4,280.4,206.8,180.2,131.8,82.1,221.1,266.8,143.8,NA,24.7,147,328.8,202.5,58.6,64.4,157.6,NA,53.8,24.7
2078,254,472.2,281.4,202.6,70.6,141.8,170.6,398.3,52.1,NA,77,18.5,116.3,153.2,99,81,398.8,NA,233.6,18.5
2079,128.9,411.2,327.8,84.8,183.5,78.8,114.8,440.5,140.2,NA,115.3,75.8,104.4,156.3,91.7,50.1,86,NA,233.4,50.1
2080,212.9,397.1,359.5,93.1,131.8,142.1,113.4,483.6,116.2,NA,98.7,139.6,219.8,27.2,216.6,92.4,164.3,NA,182.7,27.2
2081,144.2,366.8,246,143,100.8,325,215.3,412.5,91.9,NA,50.9,159.4,234.4,116.3,61.8,161,161.4,NA,174.3,50.9
2082,198.8,248.4,76.9,94.7,194.6,122.4,220.7,199.2,95.1,NA,24.6,58.7,177.5,105,130.5,93.5,213.2,NA,166.6,24.6
2083,222.4,515.3,264.5,103.5,175.2,167.5,39.8,287.7,74.9,NA,47.7,31.2,137,131.2,127.7,59.8,96.4,NA,304.6,31.2
2084,197.4,252,231.7,145.5,157.5,167.7,129.5,291.1,155.7,NA,105.2,120.4,87.6,169.5,112.5,68.8,153.1,NA,182.6,68.8
2085,89.2,244.5,252.5,119.9,93.7,185.6,219.9,191.1,91.7,NA,25.9,57.4,139.6,109.3,191.2,93.3,156.6,NA,212.8,25.9
2086,231.3,680.7,253.4,77.3,123.5,187.6,147,195.3,83.9,NA,141.1,109.8,118.4,58.4,48.5,141.4,146.2,NA,295.6,48.5
