"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,12.2,24.6,15.9,10.5,10.7,15,13.4,13.1,11.1,20.1,16.4,10.8,15.2,21.2,11.8,9.3,17.8,8.5,10.5,8.5
2016,12.7,24.9,15.1,10.5,12.1,14,12.4,11.5,9.9,15.3,15.7,11.2,15.1,19.9,13.2,11.7,17,9.5,11.1,9.5
2017,12.5,24,13.4,11.5,14,14.1,13.8,12.9,10.9,11.9,14.8,10.8,14.4,19.8,15,10.3,15.5,8.6,9.3,8.6
2018,8.5,24,15.6,9.1,13.4,13.8,12.7,12.7,10.9,12.4,17,10.7,15.3,18.9,14.3,12.3,13.9,8,11.7,8
2019,13.1,24.6,14.6,10.2,14,15,14.1,14.4,10.1,15.9,15.9,11.4,15.8,17.2,13.7,11.1,14.7,9.5,12.4,9.5
2020,10.5,23.4,16.4,11,14.1,13.9,14.5,13.7,11.1,15.3,17.1,11.8,16,15.7,13.4,12.7,15.8,6.2,7.7,6.2
2021,12.1,22.9,8.3,11.1,12.9,13.6,13.2,12.2,11.3,12.7,16.8,12.5,16.4,18.8,15.5,10.4,17.6,12.9,9,8.3
2022,11.9,24.8,12.5,10.9,12.2,13.9,14.3,10.8,10.7,14.7,16,11.2,17.2,18,15.2,9.9,15.8,8.2,10.8,8.2
2023,10.8,24.2,8.5,11.1,13.6,17.3,13.5,12.4,11,12.5,18.8,10.8,17.3,20.4,11.7,6.7,13.5,6.5,10.1,6.5
2024,11.6,29,8.9,10.5,12.5,14,14.1,11.8,13.1,12.9,16.9,11,14.8,20.8,16.7,10.9,16.5,9.4,10.2,8.9
2025,13.5,24,14.1,11.1,15,15.9,13,14.7,10.6,16.5,16.5,12.1,17.2,20.1,12.7,11.6,15.6,8.3,11,8.3
2026,8.6,27,10.6,11.1,13.1,13,12.5,15.1,12.6,14.5,16.3,12.4,13.3,20.2,16,11.7,14.6,10.2,14.5,8.6
2027,12.7,22.1,9.4,9.3,15.8,14,12.7,12.6,12.8,12.4,18.7,9.6,15.7,20.7,11.9,8.2,18.5,10.9,11.5,8.2
2028,11.4,23.6,11.5,11.1,12.2,12.8,13.8,15.1,11.2,12,18.3,12,14.8,20.4,12.5,11.6,18,8.1,10.6,8.1
2029,13.1,23.6,14.7,11.9,13.5,15.4,13.7,12.7,12.5,13.2,16.8,12.5,16,18.1,14.6,7.7,14.5,9,7.8,7.7
2030,11,22.4,14.2,10.2,12.4,15,11.4,11.8,11.2,11.8,17.3,12.9,15.8,20.3,13.2,11.7,11.4,7.9,11.5,7.9
2031,13.5,26.9,11.9,12.1,14.6,14.3,13.4,11.2,12.8,14.1,16.2,10.3,15.7,19.8,14.9,11.6,18,6.7,11.4,6.7
2032,12.6,26.1,12.6,11.2,13.7,12.8,14.3,12.1,11.5,14.1,19.7,9.9,14.8,19.8,12.4,11.5,15.7,10.1,13.4,9.9
2033,12.8,21.4,9.4,12.5,13.1,14.5,12.6,13.4,11.7,13.1,16.6,11.7,15.9,19.4,15.2,10.7,13.8,7.3,14.8,7.3
2034,15.4,23.7,12.9,11.4,13.5,14.9,13,13.5,11.6,15.5,17.9,10.4,14.6,17.5,16.8,10.9,14.2,6.8,12.1,6.8
2035,14.1,24.4,9.2,12.6,12.2,14.6,14,12.7,10.4,18.3,16.9,12.2,17.5,20.1,12.3,11,16.3,5.6,13.5,5.6
2036,13.7,21.6,11.6,12.7,15.8,15.1,12.7,11.6,9.8,12.1,19,11.7,14.8,19.5,13.3,9.9,17,10.4,12.4,9.8
2037,14.9,24.8,19.7,10.3,13.9,14.1,13.1,12.8,13.1,14.6,18.9,13.4,13.8,19.4,16.4,12,17,8.1,11.8,8.1
2038,14.3,20,16.8,12.6,12.3,15,12.8,12.2,11,13.6,16.2,10.9,15.3,20.9,14.7,9.4,16.4,9.6,14.8,9.4
2039,14.7,27.6,16.9,11.8,14.7,13.1,14,12.4,14.5,15.5,20.7,12.9,15.6,20.3,18.4,11.5,16.5,9,12.1,9
2040,14.6,25.4,13.1,12.5,14.9,13.6,13.3,12.3,9.8,15.3,16.3,11.8,15.3,16.6,15.6,9.3,16.7,9.8,11.1,9.3
2041,14.6,24.9,15.8,11.8,13.4,14.1,12.8,12.5,14.9,17.7,18.3,12.6,16.8,19,16,10.7,16.4,9.4,11.6,9.4
2042,14.2,24.9,15.4,11.5,13,14.3,15.3,14.1,11.5,16.5,15.9,13.7,15.2,17.1,14.8,11.8,19,10.1,13.1,10.1
2043,14.7,26.2,13.4,13.3,13.4,14.6,13.7,14,11.4,17,18.6,13.9,16.8,21.7,14.3,11.1,15.8,9.4,13.4,9.4
2044,16.1,25.1,14.3,12.3,14.8,16.1,14.4,14.1,14.1,15.5,17.2,11.5,15.7,20.5,12.9,9.7,16.7,8.7,10.5,8.7
2045,14.2,27.5,11.9,12.6,15.1,13.7,14.5,13,11.8,17.2,19,11,17,17.3,16.2,12.1,18.1,8.8,12.6,8.8
2046,13.6,28.9,13.9,13.6,12.4,15.5,14.2,15.4,12.4,14.4,20.6,12.1,15.5,20,13.6,10.1,15.6,8.3,14.1,8.3
2047,15.4,25.5,11.7,11.5,14.9,13.4,14,12.7,11.7,16.8,18.2,13.2,14,19,14.7,10.5,12.6,7.2,15.4,7.2
2048,14.6,22.4,13,15.6,11.4,14.5,15.4,13.6,12.8,16.8,18.8,12.3,17.2,20.8,15.9,11.3,17.5,12.1,11.9,11.3
2049,14.7,26.1,11.9,11.6,14,14.4,14,14.5,13.4,16.2,15.8,14.2,15.6,20.2,13.6,9.4,16.6,8.2,11.6,8.2
2050,14,29.5,12.9,12.5,12.9,13.9,15.8,13,12.4,19.6,17.9,12.3,16,21.7,14.2,11.8,17.7,8.2,12.3,8.2
2051,14.7,20.4,15.6,12.8,14.5,15.1,15.5,14.3,12.3,16.3,15.2,11.6,16.1,17.3,13.9,10,18,8.5,12.7,8.5
2052,14.1,24.8,12.9,12.1,13.3,15.8,13.9,13,14.2,16.1,16.1,10.4,13.8,20,15.3,10.3,16.6,10.2,13.1,10.2
2053,14.2,22.4,16.7,12.1,15.7,12,12.3,14.9,10.8,14.8,17.3,12.6,14.4,17.9,13.1,12.1,19.5,7.8,13.8,7.8
2054,15.7,28.8,11.7,12.5,12.9,15.9,15.4,12.4,10,16.8,18,12.7,17,20.2,16.1,12.1,19.1,9.4,16,9.4
2055,16.6,28.8,13,12.8,14.1,13.3,14.3,13.6,10.7,18.7,18.1,13.7,17.8,20.6,15.6,12.1,14.7,10,12.3,10
2056,16,26.5,14.3,13.4,12.5,14.6,15.1,14.3,13.8,15.6,17.2,12.8,15.4,23.3,14.8,11.4,18.8,8.1,12.8,8.1
2057,14.7,27.3,10.3,11.6,13.4,15,13.4,13.3,11.3,17.5,16.2,12.8,16.3,21.3,15.8,9.9,20.1,8.4,14.9,8.4
2058,14.3,24.6,13,13.5,13,14.1,13.3,14.1,10.8,16,17.3,13.8,15,19.1,15.8,12.2,19.2,7.9,14.9,7.9
2059,14.2,24.9,15,14.4,12,16,13.1,14.9,12.8,15.4,20.7,14.1,17.7,22.7,15.1,10.9,16.5,10.5,14.8,10.5
2060,16.6,21.4,15,14.3,15.2,14.2,13.9,13.6,11.7,16.5,20.1,13.3,16.1,18.3,14.5,12.1,17.5,7.6,13,7.6
2061,13.1,22.9,17,12.2,11.9,16,16.5,13.7,11.3,16.4,17.9,12.8,15.5,22.7,15.6,11.2,15.5,7.5,13.1,7.5
2062,15.5,29.4,17.5,13,14.2,16.8,14.8,13.5,12.6,14.6,18.7,12.3,15,21.1,16.4,9.5,16.9,8.7,14.8,8.7
2063,15.3,24.6,17.7,12.4,14.1,14.9,12.8,10.5,12.7,15.7,16.2,13.6,17.7,19.4,16.7,9,16,7.1,15.5,7.1
2064,14.7,26.8,14.8,15.3,13.9,16.1,13.2,14.5,11.2,18.4,19,14.8,17.4,21.9,14.1,9.8,14.4,10.6,12.9,9.8
