"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-4,-7.7,-4,-1.8,-1.1,-2.6,-5.5,0.9,-7.4,NA,1.1,-16.9,2.4,-4,-8.5,-10.7,-2.8,NA,-5.1,-16.9
2016,-5.8,-4.8,1.2,-5.2,-1,-0.9,-9.2,1.4,-9.5,NA,-4.6,-8.9,2.3,-5.1,-13.6,-12.3,-1.1,NA,-7.1,-13.6
2017,-2.9,-19.4,-4.3,-6.5,-1.4,-0.4,-1.1,-2.5,-7.2,NA,-0.1,-9.9,4.2,-1.1,-7.3,-10,-2.7,NA,-10.9,-19.4
2018,-4.6,-7,-3.9,-3.3,-1.2,-1.1,-2.1,1.3,-6.5,NA,-3.9,-6.2,4.7,2.6,-9.6,-10.5,-0.1,NA,-11.8,-11.8
2019,-3.4,-3.7,-5.8,-3.8,-1,-3,-2.4,-3,-4.9,NA,-1.5,-5.4,2.9,1,-8.2,-12.2,1.5,NA,-5.6,-12.2
2020,-5.1,-5.2,-2.5,-8,-1.6,-0.2,-2.2,2.6,-7.9,NA,-4.1,-11.3,4.4,-4.4,-6.8,-10.8,-4.1,NA,-7.8,-11.3
2021,-3.4,-10,0.9,-4.1,-0.6,-1.4,-1.7,-0.8,-4.6,NA,-0.2,-7.1,3.1,-1.3,-9,-10.6,0.2,NA,-8.9,-10.6
2022,-5,-10.2,0.8,-6,-0.9,-2.4,-7.9,1.8,-7.3,NA,-1.6,-12.5,5.7,-2.6,-12.3,-11.1,1,NA,-8.8,-12.5
2023,-4.5,-20.6,-1.3,-3.8,-3.7,-0.1,-2.6,1.2,-3.8,NA,-4.8,-6.1,5.5,2.7,-10.8,-10.3,-3,NA,-7.4,-20.6
2024,-4.3,-14.9,-6.2,-1.3,-4,-2.6,-2.8,0.4,-5.6,NA,2,-9.3,2.1,-1.6,-7.3,-9.5,0.1,NA,-6.5,-14.9
2025,-2.5,-8.9,-3,-7,-2.9,1.1,-4,3.1,-7.9,NA,-5.7,-15.2,4.4,-0.5,-6.9,-11.6,-3.3,NA,-8.9,-15.2
2026,-4.7,-8.7,-3,-1.2,-0.9,-0.5,-2.4,-1.3,-8.7,NA,0.9,-6.5,4.8,-2.7,-9,-10.4,-5,NA,-8,-10.4
2027,-2.4,-18.4,-2.3,-4.8,0.7,-0.2,-0.4,1,-7.4,NA,0.7,-5.1,4.3,-2.2,-11.9,-9.7,0.3,NA,-5.3,-18.4
2028,-2.1,-5.1,1.3,-4.3,-3.1,-0.6,-3.9,-1.5,-8.5,NA,-1.3,-2.9,4.5,-2.3,-10.6,-9.5,-0.7,NA,-3.5,-10.6
2029,-2.8,-14.3,-2.7,-2,-2.2,-0.1,-1.8,-6,-6.5,NA,-3.3,-7.5,2.7,-0.7,-5.9,-11.6,-4.2,NA,-6.7,-14.3
2030,-4.1,-10.6,-2.5,-7.7,-1,0,-1.4,-2.7,-9.2,NA,-1.6,-9.4,3.2,-0.5,-8.3,-9.6,-3.6,NA,-6,-10.6
2031,-4.5,-7,-1.4,-2.1,-2.8,-6.9,-0.7,0.2,-4.9,NA,-3,-6,5.5,-3.1,-7.4,-7,-3.5,NA,-8.6,-8.6
2032,-2.4,-19.1,-0.3,-1.7,-0.8,-0.2,-0.4,1.1,-7.1,NA,-0.8,-4.1,4.4,-2.7,-3.6,-14.3,2.3,NA,-7.1,-19.1
2033,-4.1,-10.7,1.3,-3,-3.1,-0.7,-2.3,-2.2,-4.5,NA,-3.1,-5.3,1.8,-1.3,-7.8,-5.7,1.5,NA,-5.9,-10.7
2034,-5,-4.9,-5.3,-3.4,-3.1,0.9,-5.1,-0.6,-5.6,NA,2.1,-10.9,-1,0.8,-8.3,-5.5,-2.8,NA,-4.1,-10.9
2035,-2.1,-8.9,1.2,-2,-0.5,0.5,-4.2,-2.7,-8.1,NA,0.9,-8.2,5.8,0.5,-12.1,-10,0,NA,-5.9,-12.1
2036,-4.9,-13.7,-0.6,-4,-1.7,0.5,-1.9,-0.6,-5.6,NA,1.2,-9,4.4,1.6,-6.4,-11.4,-8.6,NA,-4.8,-13.7
2037,-4.6,-12,-2.1,-6,-0.5,0.1,-4.3,1.7,-4.8,NA,-5.8,-6.2,3.7,-1.5,-5.5,-11.5,0.5,NA,-3.8,-12
2038,-1.5,-10.2,-2.6,-4.8,-1,0,-2,-2.7,-8.1,NA,-0.8,-6.1,3.2,-0.4,-7.6,-8.5,-1.7,NA,-8.9,-10.2
2039,-1.1,-9.3,-1.1,-4.7,-0.1,-1.4,-4.7,-3.1,-5.9,NA,-0.9,-5.9,2.4,-1.1,-13.3,-9.5,-2.7,NA,-6.7,-13.3
2040,-0.5,-11.4,2.4,-3.5,0.2,-2.2,-1.7,-1.8,-3.9,NA,-1.3,-4.9,4.8,1.1,-7.1,-11.8,2.7,NA,-6.4,-11.8
2041,-1.5,-8.1,1.8,-1.4,-1.2,1,-3,0.7,-7,NA,1.1,-5.9,4.9,-1.4,-6.1,-7.2,1.2,NA,-3.9,-8.1
2042,-5.8,-15.2,-1.9,-0.9,-0.7,1.8,-4.4,2.7,-7,NA,-4.6,-11.7,3.3,-0.8,-10.9,-9,-3.3,NA,-7.3,-15.2
2043,-3.1,-3.3,0,-4.6,1.5,-1.6,-1.1,0.4,-7.6,NA,-3.4,-6.4,1.5,-2.4,-7.6,-17.1,-2,NA,-4.2,-17.1
2044,-2.4,-13.7,-5.1,-4.4,-2.5,-1.8,-4.8,-1.1,-9,NA,2.5,-6,5.3,1.2,-8.4,-10,-4.2,NA,-1.8,-13.7
2045,-5.1,-9.5,-4.5,-3.2,-0.7,1.7,-2.2,1.3,-7.3,NA,2.1,-7.7,4.8,0.2,-8.3,-8.3,-3.2,NA,-7.2,-9.5
2046,-0.6,-5.6,2.2,-4.1,1.2,1.5,-5.5,-0.2,-7.8,NA,-5.3,-4.8,4.2,0.3,-7.6,-9.1,-0.4,NA,-5.8,-9.1
2047,-3.3,-13,0.1,-2.6,0.8,-1.4,-1.8,2.7,-1.4,NA,-5.2,-9.8,3.8,0.6,-6.9,-7.4,-1.7,NA,-4.1,-13
2048,-2.3,-11.2,-6.2,-0.7,-0.1,-1.1,-1.8,0.8,-4.1,NA,-1.1,-4.2,0.2,2.3,-8,-6.2,0.7,NA,-2.1,-11.2
2049,-2.3,-11.2,-1.7,-0.3,-3.3,0.2,-0.1,1.9,-6.1,NA,-0.6,-4.1,5,-2.1,-11.2,-8.2,1.5,NA,-5,-11.2
2050,-0.7,-6.1,-3.6,-6.1,-1.1,-2.2,-4.7,-3,-5.6,NA,-0.4,-6.6,3,0.3,-10.9,-13.4,1.1,NA,-3,-13.4
2051,-2,-11.5,0.8,-4.2,1.8,1.1,0.5,1.2,-3.6,NA,2.2,-7.5,2.8,-1.4,-5.3,-9.9,-0.4,NA,-5.6,-11.5
2052,-0.7,-4.8,1,-3,-0.8,-1.1,-2.1,0.1,-5.8,NA,0.6,-5.8,2.2,-1,-6,-11.7,0.3,NA,-3.3,-11.7
2053,-0.8,-8.5,-2.8,-1.2,-0.4,-1.1,0.2,-3.5,-6.6,NA,-1.4,-4.9,0.7,0.7,-8,-7.5,1.5,NA,-4.1,-8.5
2054,-2.9,-9,-2.2,-1.3,-0.3,1.1,1.1,-2.5,-7.9,NA,-2,-6.2,3,2.3,-4.4,-7.5,-1.4,NA,-7,-9
2055,-2.4,-13.1,1.4,0.4,-0.6,1,-3.9,-1.6,-7.4,NA,1.2,-4.3,1.4,1.1,-7.8,-9.1,-2.4,NA,-0.7,-13.1
2056,-2.7,-11.6,-1.8,-4.8,-0.8,0,-5.3,0.7,-6.3,NA,2.4,-5.5,3.7,0.3,-9.1,-7.6,1.6,NA,-6.3,-11.6
2057,-1.9,-9.1,3.1,0.3,-2.6,2.4,-1,0.3,-6.3,NA,-1,-4.7,4.6,-3,-7.9,-6.2,0.6,NA,-10,-10
2058,-1.9,-4.9,-1.5,-3.1,-1.2,1.5,-2.3,0.7,-5,NA,2.9,-6.8,6.3,-2,-4.2,-8.4,-1.7,NA,-4.8,-8.4
2059,-4.2,-14.4,-3.1,-2.8,-2.1,0,-2.6,3.3,-6.2,NA,-7,-3.9,3.8,-0.3,-6.9,-7.7,-3.2,NA,-2.2,-14.4
2060,-1,-1.4,-6.4,-1.9,1.3,-0.7,-6,-0.1,-4.6,NA,-1.7,-3.8,6,0.7,-6.9,-8.2,1.8,NA,-7.3,-8.2
2061,-1.6,-8.8,-7.3,1.3,-1,2.8,-0.7,1.2,-6.4,NA,1.5,-4.9,1.8,4.2,-6.5,-7.4,1.9,NA,-3.4,-8.8
2062,-0.9,-6.6,-0.7,-1,-0.5,0.3,-2.5,2.4,-3.9,NA,3.3,-2.3,3.5,-3.9,-4.9,-5.5,-4,NA,-7.6,-7.6
2063,-0.7,-8.6,1.5,-1.2,-1.6,-1,-0.8,-0.2,-6.7,NA,0.1,-15.6,1.5,3.5,-5.3,-6.2,0.1,NA,-4.6,-15.6
2064,-0.4,-14.2,1.8,-1.3,-0.4,2.2,-5.5,1.3,-3.1,NA,-0.3,-5.1,3.3,1.1,-6.7,-5.9,3.3,NA,-7.3,-14.2
2065,-1.1,-9.8,-2.5,-0.2,-0.4,-0.7,-3.3,0.8,-5.5,NA,0,-3.9,2.9,0.1,-7.2,-9.7,2.6,NA,-4.6,-9.8
2066,-1.1,-12.7,4,-0.7,0.6,0.3,-1.7,1.2,-1.8,NA,-4.2,-4.2,3.1,3.3,-5.3,-8.6,1.6,NA,-7.9,-12.7
